,compOrig,baseOrig,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compStr,baseStr,bRange,cRange,compOrder,baseOrder,dam-lev,jac,compWork,canonCite,refRange
13,ref-b.4.04.107a.28-ref-b.4.04.107a.33,ref-mek.1.1.1.192-ref-mek.1.1.1.199,6239185,6239217,909263,909268,ref-b.4.04.107a.28,ref-b.4.04.107a.33,948,990,140,147,ref-mek.1.1.1.192,ref-mek.1.1.1.199,אלהי אברהם אלהי יצחק ואלהי יעקב ,אלהי אביך אלהי אברהם אלהי יצחק ואלהי יעקב ,8,6,2080,4,0.2380952380952381,0.2,ref-b,ref-mek.1.1.1,ref-mek.1.1.1.190-ref-mek.1.1.1.199
14,ref-b.1.01.64a.94-ref-b.1.01.64a.101,ref-mek.1.1.1.194-ref-mek.1.1.1.199,342814,342856,50992,50999,ref-b.1.01.64a.94,ref-b.1.01.64a.101,958,990,142,147,ref-mek.1.1.1.194,ref-mek.1.1.1.199,אלהי יעקב אלהי יעקב ולא אלהי אברהם ויצחק ,אלהי אברהם אלהי יצחק ואלהי יעקב ,6,8,177,7,0.5121951219512195,0.0,ref-b,ref-mek.1.1.1,ref-mek.1.1.1.190-ref-mek.1.1.1.199
15,ref-b.2.04.88a.55-ref-b.2.04.88a.63,ref-mek.1.1.1.194-ref-mek.1.1.1.199,1522635,1522683,220298,220306,ref-b.2.04.88a.55,ref-b.2.04.88a.63,958,990,142,147,ref-mek.1.1.1.194,ref-mek.1.1.1.199,אלהי יעקב וגו' אלהי יעקב ולא אלהי אברהם ויצחק ,אלהי אברהם אלהי יצחק ואלהי יעקב ,6,9,429,8,0.5217391304347826,0.2,ref-b,ref-mek.1.1.1,ref-mek.1.1.1.190-ref-mek.1.1.1.199
16,ref-bible.0103.26.42.1-ref-bible.0103.26.42.12,ref-mek.1.1.1.210-ref-mek.1.1.1.220,249754,249815,42973,42981,ref-bible.0103.26.42.1,ref-bible.0103.26.42.12,1043,1100,156,164,ref-mek.1.1.1.210,ref-mek.1.1.1.220,וזכרתי את בריתי יעקוב ואף את בריתי יצחק ואף את בריתי אברהם ,וזכרתי את בריתי יעקב ואך בריתי יצחק ואף את בריתי אברהם ,12,11,555,4,0.0847457627118644,0.125,ref-bible,ref-mek.1.1.1,ref-mek.1.1.1.210-ref-mek.1.1.1.220
17,ref-b.5.02.87a.298-ref-b.5.02.87a.307,ref-mek.1.1.1.347-ref-mek.1.1.1.351,7403981,7404021,1077807,1077813,ref-b.5.02.87a.298,ref-b.5.02.87a.307,1768,1791,260,264,ref-mek.1.1.1.347,ref-mek.1.1.1.351,אמרי אמר רבא בר רב שילא כי בחר ה' בציון ,שנאמר כי בחר ה' בציון ,5,10,2483,9,0.5,0.625,ref-b,ref-mek.1.1.1,ref-mek.1.1.1.347-ref-mek.1.1.1.355
18,ref-t.5.1.13.20.40-ref-t.5.1.13.20.59,ref-mek.1.1.1.347-ref-mek.1.1.1.355,1069411,1069510,168752,168771,ref-t.5.1.13.20.40,ref-t.5.1.13.20.59,1768,1816,260,268,ref-mek.1.1.1.347,ref-mek.1.1.1.355,או' נחלה זו שילו מנוחה זו ירושלם שנ' כי בחר ייי בציון אוה למושב לו וגו' ואו' זאת מנוחתי עדי עד ,שנאמר כי בחר ה' בציון ואומר זאת מנוחתי עדי עד ,21,10,517,1,0.5894736842105263,0.625,ref-t,ref-mek.1.1.1,ref-mek.1.1.1.347-ref-mek.1.1.1.355
19,ref-b.5.01.119a.201-ref-b.5.01.119a.214,ref-mek.1.1.1.347-ref-mek.1.1.1.355,7130684,7130749,1038422,1038434,ref-b.5.01.119a.201,ref-b.5.01.119a.214,1768,1816,260,268,ref-mek.1.1.1.347,ref-mek.1.1.1.355,ואומר זאת מנוחתי עדי עד פה אשב כי אויתיה ואומר כי בחר ה' בציון ,שנאמר כי בחר ה' בציון ואומר זאת מנוחתי עדי עד ,10,14,2367,10,0.6984126984126984,0.3636363636363637,ref-b,ref-mek.1.1.1,ref-mek.1.1.1.347-ref-mek.1.1.1.355
20,ref-bible.0301.132.13.1-ref-bible.0301.132.14.3,ref-mek.1.1.1.348-ref-mek.1.1.1.355,1247208,1247258,212357,212366,ref-bible.0301.132.13.1,ref-bible.0301.132.14.3,1775,1816,261,268,ref-mek.1.1.1.348,ref-mek.1.1.1.355,כי בחר יהוה בציון אוה למושב לו זאת מנוחתי עדי עד ,כי בחר ה' בציון ואומר זאת מנוחתי עדי עד ,11,9,1188,5,0.2653061224489796,0.375,ref-bible,ref-mek.1.1.1,ref-mek.1.1.1.347-ref-mek.1.1.1.355
21,ref-sifre-n.118.1.1063-ref-sifre-n.118.1.1068,ref-mek.1.1.1.372-ref-mek.1.1.1.377,194482,194507,30715,30720,ref-sifre-n.118.1.1063,ref-sifre-n.118.1.1068,1896,1921,281,286,ref-mek.1.1.1.372,ref-mek.1.1.1.377,ברית מלח עולם היא לפני ה' ,ברית מלח עולם היא לפני ה' ,6,6,594,1,0.0,0.0,ref-sifre-n,ref-mek.1.1.1,ref-mek.1.1.1.372-ref-mek.1.1.1.388
22,ref-bible.0104.18.19.16-ref-bible.0104.18.19.23,ref-mek.1.1.1.372-ref-mek.1.1.1.381,297229,297267,50047,50054,ref-bible.0104.18.19.16,ref-bible.0104.18.19.23,1896,1946,281,290,ref-mek.1.1.1.372,ref-mek.1.1.1.381,ברית מלח עולם הוא לפני יהוה לך ולזרעך ,ברית מלח עולם היא לפני ה' ואומר והיתה לו ולזרעו ,8,10,593,6,0.3125,0.6,ref-bible,ref-mek.1.1.1,ref-mek.1.1.1.372-ref-mek.1.1.1.388
23,ref-b.3.05.49a.9-ref-b.3.05.49a.19,ref-mek.1.1.1.377-ref-mek.1.1.1.388,3959888,3959938,577418,577427,ref-b.3.05.49a.9,ref-b.3.05.49a.19,1919,1982,286,296,ref-mek.1.1.1.377,ref-mek.1.1.1.388,דוד היו כל ישראל מוכרי רבב שנאמר שיתה ה' מורה להם ,ה' ואומר והיתה לו ולזרעו אחריו עד שלא נבחר דוד היו כל ישראל ,13,11,1285,11,0.7166666666666667,0.7647058823529411,ref-b,ref-mek.1.1.1,ref-mek.1.1.1.372-ref-mek.1.1.1.388
24,ref-bible.0208.31.16.4-ref-bible.0208.31.16.8,ref-mek.1.1.1.441-ref-mek.1.1.1.445,928502,928531,157516,157520,ref-bible.0208.31.16.4,ref-bible.0208.31.16.8,2246,2276,340,344,ref-mek.1.1.1.441,ref-mek.1.1.1.445,מנעי קולך מבכי ועיניך מדמעה ,מנעי קולך מבכי ועיניך מדמעה ,5,5,954,7,0.0,0.0,ref-bible,ref-mek.1.1.1,ref-mek.1.1.1.441-ref-mek.1.1.1.445
25,ref-sifre-d.357.40.50-ref-sifre-d.357.40.60,ref-mek.1.1.1.481-ref-mek.1.1.1.492,389217,389270,65438,65448,ref-sifre-d.357.40.50,ref-sifre-d.357.40.60,2467,2525,380,390,ref-mek.1.1.1.481,ref-mek.1.1.1.492,מדבר עמו עד שנדבר עמו ובלעם היה יודע אימתי היה מדבר ,היה היה דבר ה' וגו' ויש אומרים נדבר עמו בארץ ונדבר עמו ,12,11,980,0,0.7818181818181819,0.8461538461538461,ref-sifre-d,ref-mek.1.1.1,ref-mek.1.1.1.481-ref-mek.1.1.1.506
26,ref-m.2.9.2.3.37-ref-m.2.9.2.3.46,ref-mek.1.1.1.484-ref-mek.1.1.1.504,259309,259352,40139,40148,ref-m.2.9.2.3.37,ref-m.2.9.2.3.46,2479,2585,383,402,ref-mek.1.1.1.484,ref-mek.1.1.1.504,יהיה בארץ דבר כי יהיה בארץ אשר היה דבר ה' ,ה' וגו' ויש אומרים נדבר עמו בארץ ונדבר עמו בחוצה לארץ שנאמר היה היה דבר ה' היה שנדבר עמו בארץ היה ,10,21,97,1,0.6632653061224489,0.75,ref-m,ref-mek.1.1.1,ref-mek.1.1.1.481-ref-mek.1.1.1.506
27,ref-sifre-d.357.40.50-ref-sifre-d.357.40.60,ref-mek.1.1.1.497-ref-mek.1.1.1.506,389217,389270,65438,65448,ref-sifre-d.357.40.50,ref-sifre-d.357.40.60,2550,2596,395,404,ref-mek.1.1.1.497,ref-mek.1.1.1.506,מדבר עמו עד שנדבר עמו ובלעם היה יודע אימתי היה מדבר ,היה דבר ה' היה שנדבר עמו בארץ היה שנדבר עמו ,10,11,981,1,0.5769230769230769,0.6666666666666667,ref-sifre-d,ref-mek.1.1.1,ref-mek.1.1.1.481-ref-mek.1.1.1.506
28,ref-y.04.04.11.00.1246-ref-y.04.04.11.00.1251,ref-mek.1.1.1.531-ref-mek.1.1.1.538,3225771,3225803,491528,491533,ref-y.04.04.11.00.1246,ref-y.04.04.11.00.1251,2723,2766,424,431,ref-mek.1.1.1.531,ref-mek.1.1.1.538,ויקם יונה לברוח תרשישה מלפני ה' ,ויקם יונה לברוח תרשישה וגו' וכי מלפני ה' ,8,6,1358,4,0.2195121951219512,0.25,ref-y,ref-mek.1.1.1,ref-mek.1.1.1.531-ref-mek.1.1.1.538
29,ref-bible.0301.139.8.1-ref-bible.0301.139.10.4,ref-mek.1.1.1.548-ref-mek.1.1.1.560,1250516,1250597,212908,212925,ref-bible.0301.139.8.1,ref-bible.0301.139.10.4,2812,2865,439,451,ref-mek.1.1.1.548,ref-mek.1.1.1.560,אם אסק שמים שם אתה ואציעה שאול הנך אשא כנפי שחר אשכנה באחרית ים גם שם ידך תנחני ,אם אסק שמים שם אתה וגו' אשא כנפי שחר גם שם ידך תנחני ,18,13,1190,8,0.3625,0.375,ref-bible,ref-mek.1.1.1,ref-mek.1.1.1.548-ref-mek.1.1.1.560
30,ref-sifre-d.40.3.19-ref-sifre-d.40.3.31,ref-mek.1.1.1.562-ref-mek.1.1.1.573,64824,64892,10930,10941,ref-sifre-d.40.3.19,ref-sifre-d.40.3.31,2872,2935,453,463,ref-mek.1.1.1.562,ref-mek.1.1.1.573,עיני ה' משוטטים בכל הארץ ואומר כל מקום עיני ה' צופות רעים וטובים ,עיני ה' משוטטות בכל הארץ בכל מקום עיני ה' צופות רעים וטובים ,12,13,139,2,0.12307692307692307,0.18181818181818174,ref-sifre-d,ref-mek.1.1.1,ref-mek.1.1.1.562-ref-mek.1.1.1.573
31,ref-y.01.01.9.00.2950-ref-y.01.01.9.00.2954,ref-mek.1.1.1.657-ref-mek.1.1.1.662,174816,174840,27540,27544,ref-y.01.01.9.00.2950,ref-y.01.01.9.00.2954,3367,3393,540,545,ref-mek.1.1.1.657,ref-mek.1.1.1.662,וה' הטיל רוח גדולה בימי ,וה' הטיל רוח גדולה אל הים ,6,5,110,5,0.19230769230769232,0.33333333333333337,ref-y,ref-mek.1.1.1,ref-mek.1.1.1.657-ref-mek.1.1.1.662
32,ref-b.4.01.114b.153-ref-b.4.01.114b.162,ref-mek.1.1.1.671-ref-mek.1.1.1.688,4932100,4932149,716883,716892,ref-b.4.01.114b.153,ref-b.4.01.114b.162,3432,3523,554,571,ref-mek.1.1.1.671,ref-mek.1.1.1.688,כבוד אביהן טעמא מפני כבוד אביהן הא לאו כבוד אביהן ,כבוד האב וכבוד הבן ואחד תבע כבוד האב ולא כבוד הבן ואחד תבע כבוד הבן ולא כבוד האב ,18,10,1589,12,0.5925925925925926,0.7777777777777778,ref-b,ref-mek.1.1.1,ref-mek.1.1.1.671-ref-mek.1.1.1.688
33,ref-bible.0205.19.16.1-ref-bible.0205.19.16.17,ref-mek.1.1.1.729-ref-mek.1.1.1.743,702470,702556,118734,118748,ref-bible.0205.19.16.1,ref-bible.0205.19.16.17,3747,3819,612,625,ref-mek.1.1.1.729,ref-mek.1.1.1.743,ואת יהוא בן נמשי תמשח למלך על ישראל ואת אלישע בן שפט מאבל מחולה תמשח לנביא תחתיך ,ואת יהו בן נמשי תמשח למלך על ישראל ואת אלישע בן שפט תמשח לנביא תחתיך ,17,15,799,9,0.14814814814814814,0.15384615384615385,ref-bible,ref-mek.1.1.1,ref-mek.1.1.1.729-ref-mek.1.1.1.743
34,ref-t.3.5.6.10.95-ref-t.3.5.6.10.100,ref-mek.1.1.1.760-ref-mek.1.1.1.766,648656,648685,102234,102239,ref-t.3.5.6.10.95,ref-t.3.5.6.10.100,3908,3940,640,646,ref-mek.1.1.1.760,ref-mek.1.1.1.766,שנאמר ויהי דבר ה' אלי בשנה ,שנאמר ויהי דבר ה' אל יונה שנית ,6,7,253,2,0.2258064516129032,0.4285714285714286,ref-t,ref-mek.1.1.1,ref-mek.1.1.1.760-ref-mek.1.1.1.776
35,ref-b.2.02.63a.374-ref-b.2.02.63a.386,ref-mek.1.1.1.760-ref-mek.1.1.1.770,550523,550587,81563,81575,ref-b.2.02.63a.374,ref-b.2.02.63a.386,3908,3959,640,650,ref-mek.1.1.1.760,ref-mek.1.1.1.770,שנאמר אז נדברו יראי ה' וגו' אין דיבור אלא נחת שנאמר ידבר עמים ,שנאמר ויהי דבר ה' אל יונה שנית לאמר שנית נדבר עמו ,11,13,211,13,0.5645161290322581,0.5833333333333333,ref-b,ref-mek.1.1.1,ref-mek.1.1.1.760-ref-mek.1.1.1.776
36,ref-y.04.04.10.00.2692-ref-y.04.04.10.00.2698,ref-mek.1.1.1.761-ref-mek.1.1.1.767,3195841,3195874,486565,486571,ref-y.04.04.10.00.2692,ref-y.04.04.10.00.2698,3915,3945,641,647,ref-mek.1.1.1.761,ref-mek.1.1.1.767,ויהי דבר ה' אל אליהו התשבי לאמר ,ויהי דבר ה' אל יונה שנית לאמר ,7,7,1342,6,0.21875,0.4285714285714286,ref-y,ref-mek.1.1.1,ref-mek.1.1.1.760-ref-mek.1.1.1.776
37,ref-y.04.04.10.00.3362-ref-y.04.04.10.00.3368,ref-mek.1.1.1.761-ref-mek.1.1.1.767,3199236,3199269,487133,487139,ref-y.04.04.10.00.3362,ref-y.04.04.10.00.3368,3915,3945,641,647,ref-mek.1.1.1.761,ref-mek.1.1.1.767,ויהי דבר ה' אל ישעיה הנביא לאמר ,ויהי דבר ה' אל יונה שנית לאמר ,7,7,1346,7,0.1875,0.5,ref-y,ref-mek.1.1.1,ref-mek.1.1.1.760-ref-mek.1.1.1.776
38,ref-m.4.9.3.6.36-ref-m.4.9.3.6.43,ref-mek.1.1.1.763-ref-mek.1.1.1.769,605959,605994,94163,94170,ref-m.4.9.3.6.36,ref-m.4.9.3.6.43,3925,3955,643,649,ref-mek.1.1.1.763,ref-mek.1.1.1.769,שנים שנאמר אז נדברו יראי ה' איש אל ,ה' אל יונה שנית לאמר שנית נדבר ,8,7,283,2,0.8285714285714286,0.7272727272727273,ref-m,ref-mek.1.1.1,ref-mek.1.1.1.760-ref-mek.1.1.1.776
39,ref-b.3.01.98a.145-ref-b.3.01.98a.164,ref-mek.1.1.1.764-ref-mek.1.1.1.772,3072372,3072466,447633,447648,ref-b.3.01.98a.145,ref-b.3.01.98a.164,3928,3971,644,652,ref-mek.1.1.1.764,ref-mek.1.1.1.772,דברים גר נושא אשת אחיו מאמו ואמר ויהי דבר ה' אל יונה שנית לאמר שנית דברה עמו שכינה שלישית לא ,אל יונה שנית לאמר שנית נדבר עמו ולא שלישית ,9,20,959,14,0.5913978494623656,0.5,ref-b,ref-mek.1.1.1,ref-mek.1.1.1.760-ref-mek.1.1.1.776
40,ref-b.3.01.98a.251-ref-b.3.01.98a.260,ref-mek.1.1.1.764-ref-mek.1.1.1.776,3072898,3072945,447706,447715,ref-b.3.01.98a.251,ref-b.3.01.98a.260,3928,3988,644,654,ref-mek.1.1.1.764,ref-mek.1.1.1.776,אל יונה שנית לאמר שנית דברה עמו שכינה שלישית לא ,אל יונה שנית לאמר שנית נדבר עמו ולא שלישית ר' יונתן אומר לא ,13,10,961,17,0.35,0.30000000000000004,ref-b,ref-mek.1.1.1,ref-mek.1.1.1.760-ref-mek.1.1.1.776
41,ref-bible.0214.1.11.10-ref-bible.0214.1.12.6,ref-mek.1.1.1.782-ref-mek.1.1.1.789,1112076,1112128,187986,187994,ref-bible.0214.1.11.10,ref-bible.0214.1.12.6,4012,4060,660,667,ref-mek.1.1.1.782,ref-mek.1.1.1.789,הים הולך וסער ויאמר אליהם שאוני והטילני אל הים ,בים שנאמר ויאמר אליהם שאוני הטילוני אל הים ,9,8,1063,10,0.23404255319148934,0.375,ref-bible,ref-mek.1.1.1,ref-mek.1.1.1.782-ref-mek.1.1.1.789
42,ref-sifre-d.344.2.13-ref-sifre-d.344.2.23,ref-mek.1.1.1.799-ref-mek.1.1.1.810,361100,361150,60573,60582,ref-sifre-d.344.2.13,ref-sifre-d.344.2.23,4113,4166,676,684,ref-mek.1.1.1.799,ref-mek.1.1.1.810,במשה מהו אומר ועתה אם תשא חטאתם ואם אין מחני נא ,במשה מה הוא אומר ועתה אם תשא חטאתם ואם אין מחני נא ,12,11,918,3,0.05882352941176471,0.0,ref-sifre-d,ref-mek.1.1.1,ref-mek.1.1.1.799-ref-mek.1.1.1.826
43,ref-bible.0102.32.32.1-ref-bible.0102.32.32.11,ref-mek.1.1.1.803-ref-mek.1.1.1.813,172744,172795,30268,30277,ref-bible.0102.32.32.1,ref-bible.0102.32.32.11,4131,4183,678,687,ref-mek.1.1.1.803,ref-mek.1.1.1.813,ועתה אם תשא חטאתם ואם אין מחני נא מספרך אשר כתבת ,ועתה אם תשא חטאתם ואם אין מחני נא מספרך אשר כתבת א,11,12,507,11,0.02,0.0,ref-bible,ref-mek.1.1.1,ref-mek.1.1.1.799-ref-mek.1.1.1.826
44,ref-b.1.01.32a.512-ref-b.1.01.32a.516,ref-mek.1.1.1.807-ref-mek.1.1.1.811,167200,167223,24714,24717,ref-b.1.01.32a.512,ref-b.1.01.32a.516,4150,4173,682,685,ref-mek.1.1.1.807,ref-mek.1.1.1.811,ואם אין מחני נא מספרך ,ואם אין מחני נא מספרך ,5,5,104,18,0.0,0.0,ref-b,ref-mek.1.1.1,ref-mek.1.1.1.799-ref-mek.1.1.1.826
45,ref-b.2.09.16b.357-ref-b.2.09.16b.363,ref-mek.1.1.1.807-ref-mek.1.1.1.813,2221844,2221876,322198,322203,ref-b.2.09.16b.357,ref-b.2.09.16b.363,4150,4183,682,687,ref-mek.1.1.1.807,ref-mek.1.1.1.813,ואם אין מחני נא מספרך אשר כתבת ,ואם אין מחני נא מספרך אשר כתבת א,8,7,706,19,0.03125,0.0,ref-b,ref-mek.1.1.1,ref-mek.1.1.1.799-ref-mek.1.1.1.826
46,ref-b.2.09.16b.364-ref-b.2.09.16b.376,ref-mek.1.1.1.809-ref-mek.1.1.1.813,2221877,2221935,322204,322212,ref-b.2.09.16b.364,ref-b.2.09.16b.376,4159,4183,683,687,ref-mek.1.1.1.809,ref-mek.1.1.1.813,מחני נא זה ספרן של רשעים מספרך זה ספרן של צדיקים אשר כתבת ,מחני נא מספרך אשר כתבת א,6,13,707,20,0.6206896551724138,0.5555555555555556,ref-b,ref-mek.1.1.1,ref-mek.1.1.1.799-ref-mek.1.1.1.826
47,ref-sifre-n.91.1.73-ref-sifre-n.91.1.80,ref-mek.1.1.1.814-ref-mek.1.1.1.821,127954,127985,19774,19780,ref-sifre-n.91.1.73,ref-sifre-n.91.1.80,4183,4214,688,694,ref-mek.1.1.1.814,ref-mek.1.1.1.821,אם ככה את עושה לי הרגני נא הרוג ,אם ככה את עושה לי הרגני נא הרוג ,8,8,383,2,0.0,0.0,ref-sifre-n,ref-mek.1.1.1,ref-mek.1.1.1.799-ref-mek.1.1.1.826
48,ref-sifre-n.91.1.133-ref-sifre-n.91.1.140,ref-mek.1.1.1.814-ref-mek.1.1.1.821,128263,128294,19824,19830,ref-sifre-n.91.1.133,ref-sifre-n.91.1.140,4183,4214,688,694,ref-mek.1.1.1.814,ref-mek.1.1.1.821,אם ככה את עושה לי הרגני נא הרוג ,אם ככה את עושה לי הרגני נא הרוג ,8,8,384,3,0.0,0.0,ref-sifre-n,ref-mek.1.1.1,ref-mek.1.1.1.799-ref-mek.1.1.1.826
