,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,baseOrder,compOrder,dam-lev,jac
13,ref-m.4.1.9.11.4-ref-m.4.1.9.11.24,ref-sifre-n.4.1.19-ref-sifre-n.4.1.72,456133,456247,71117,71135,ref-m.4.1.9.11.4,ref-m.4.1.9.11.24,8306,8581,1229,1260,ref-sifre-n.4.1.19,ref-sifre-n.4.1.72,ונשבע לו ומת הרי זה משלם קרן וחמש לכהנים ואשם למזבח שנאמר ואם אין לאיש גואל להשיב האשם אליו האשם המושב ,ואם אין לאיש גואל בא הכתוב ולימד על הגוזל הגר ונשבע לו ומת שישלם קרן וחומש לכהנים ואשם למזבח ר' נתן אומר ואם אין לאיש גואל אין לי אלא איש אשה מנין תלמוד לומר להשיב האשם אליו אבא חנן אומר משום ר' אליעזר בנגזל הכתוב מדבר או אינו מדבר אלא בגוזל תלמוד לומר להשיב ,21,54,234,13,0.637065637065637,0.6363636363636364
15,ref-m.2.4.6.6.61-ref-m.2.4.6.6.70,ref-sifre-n.4.1.77-ref-sifre-n.4.1.88,209567,209623,32339,32348,ref-m.2.4.6.6.61,ref-m.2.4.6.6.70,8603,8668,1265,1273,ref-sifre-n.4.1.77,ref-sifre-n.4.1.88,כתובים קיימים אשם לה' ואשם לכהנים ואומר כסף אשם וכסף ,הכתוב מדבר אשם המושב לה' לכהן בכסף הכתוב מדבר אתה אומר בכסף ,10,12,57,15,0.5833333333333334,0.5833333333333333
16,ref-m.4.1.9.11.13-ref-m.4.1.9.11.38,ref-sifre-n.4.1.98-ref-sifre-n.4.1.114,456178,456314,71125,71148,ref-m.4.1.9.11.13,ref-m.4.1.9.11.38,8716,8798,1278,1291,ref-sifre-n.4.1.98,ref-sifre-n.4.1.114,ואשם למזבח שנאמר ואם אין לאיש גואל להשיב האשם אליו האשם המושב לה לכהן מלבד איל הכפורים אשר יכפר בו עליו היה מעלה את הכסף ואת ,מלבד איל הכפורים אשר יכפר בו עליו הרי אשם אמור הא מה תלמוד לומר האשם המושב לה' ,26,17,236,16,0.704,0.65
17,ref-m.4.1.9.11.15-ref-m.4.1.9.11.39,ref-sifre-n.4.1.98-ref-sifre-n.4.1.114,456191,456320,71127,71149,ref-m.4.1.9.11.15,ref-m.4.1.9.11.39,8716,8798,1278,1291,ref-sifre-n.4.1.98,ref-sifre-n.4.1.114,שנאמר ואם אין לאיש גואל להשיב האשם אליו האשם המושב לה לכהן מלבד איל הכפורים אשר יכפר בו עליו היה מעלה את הכסף ואת האשם ,מלבד איל הכפורים אשר יכפר בו עליו הרי אשם אמור הא מה תלמוד לומר האשם המושב לה' ,25,17,237,17,0.7142857142857143,0.631578947368421
18,ref-m.4.1.9.11.26-ref-m.4.1.9.11.33,ref-sifre-n.4.1.133-ref-sifre-n.4.1.143,456251,456291,71137,71144,ref-m.4.1.9.11.26,ref-m.4.1.9.11.33,8898,8954,1305,1314,ref-sifre-n.4.1.133,ref-sifre-n.4.1.143,לכהן מלבד איל הכפורים אשר יכפר בו עליו ,כהן שירצה תלמוד לומר מלבד איל הכפורים אשר יכפר בו עליו ,8,11,239,18,0.32727272727272727,0.5
19,ref-m.4.1.9.11.27-ref-m.4.1.9.11.39,ref-sifre-n.4.3.1-ref-sifre-n.4.3.21,456257,456320,71138,71149,ref-m.4.1.9.11.27,ref-m.4.1.9.11.39,9383,9489,1393,1409,ref-sifre-n.4.3.1,ref-sifre-n.4.3.21,מלבד איל הכפורים אשר יכפר בו עליו היה מעלה את הכסף ואת האשם ,מלבד איל הכפורים אשר יכפר בו עליו מכאן אתה אומר הגוזל את הגר ונשבע לו והלך להביא את הכסף ואת האשם ,13,21,241,19,0.40816326530612246,0.4666666666666667
20,ref-m.4.1.9.11.27-ref-m.4.1.9.11.34,ref-sifre-n.4.3.31-ref-sifre-n.4.3.39,456257,456295,71138,71145,ref-m.4.1.9.11.27,ref-m.4.1.9.11.34,9542,9584,1418,1426,ref-sifre-n.4.3.31,ref-sifre-n.4.3.39,מלבד איל הכפורים אשר יכפר בו עליו היה ,מלבד איל הכפורים אשר יכפר בו עליו כך היה ,8,9,240,20,0.07317073170731707,0.16666666666666663
21,ref-m.4.1.9.12.1-ref-m.4.1.9.12.7,ref-sifre-n.4.3.55-ref-sifre-n.4.3.61,456391,456430,71159,71165,ref-m.4.1.9.12.1,ref-m.4.1.9.12.7,9657,9695,1438,1443,ref-sifre-n.4.3.55,ref-sifre-n.4.3.61,נתן הכסף לאנשי משמר ומת אין היורשים ,נתן את הכסף לאנשי משמר ומת היורשים ,7,7,242,21,0.19444444444444445,0.1428571428571429
22,ref-m.4.1.9.11.13-ref-m.4.1.9.11.29,ref-sifre-n.4.3.80-ref-sifre-n.4.4.3,456178,456274,71125,71140,ref-m.4.1.9.11.13,ref-m.4.1.9.11.29,9785,9891,1454,1472,ref-sifre-n.4.3.80,ref-sifre-n.4.4.3,ואשם למזבח שנאמר ואם אין לאיש גואל להשיב האשם אליו האשם המושב לה לכהן מלבד איל הכפורים ,אשם והקרב והוא אומר האשם המושב לה' לכהן וגו' את שצריך כפרה יצא זה שכפרה לו נפשו מלבד איל הכפורים ,17,20,235,22,0.5670103092783505,0.7391304347826086
23,ref-m.4.1.9.11.23-ref-m.4.1.9.11.29,ref-sifre-n.4.3.84-ref-sifre-n.4.4.3,456235,456274,71134,71140,ref-m.4.1.9.11.23,ref-m.4.1.9.11.29,9807,9891,1458,1472,ref-sifre-n.4.3.84,ref-sifre-n.4.4.3,האשם המושב לה לכהן מלבד איל הכפורים ,האשם המושב לה' לכהן וגו' את שצריך כפרה יצא זה שכפרה לו נפשו מלבד איל הכפורים ,7,16,238,23,0.5324675324675324,0.6
25,ref-m.4.1.9.12.18-ref-m.4.1.9.12.39,ref-sifre-n.4.4.7-ref-sifre-n.4.4.49,456484,456612,71176,71196,ref-m.4.1.9.12.18,ref-m.4.1.9.12.39,9906,10132,1474,1499,ref-sifre-n.4.4.7,ref-sifre-n.4.4.49,נתן הכסף ליהויריב ואשם לידעיה יצא אשם ליהויריב וכסף לידעיה אם קיים האשם יקריבוהו בני ידעיה ואם לאו יחזיר ויביא אשם אחר ,נתן הכסף ליהויריב ואשם לידעיה יצא וקורא אני עליו איש אשר יתן לכהן לו יהיה או אפי' נתן את האשם ליהויריב והכסף לידעיה יצא וקורא אני עליו איש אשר יתן לכהן לו יהיה תלמוד לומר מלבד איל הכיפורים וגו' יחזיר ויביא אשם אחר ,22,43,244,25,0.5280373831775701,0.6153846153846154
26,ref-m.1.11.1.9.10-ref-m.1.11.1.9.16,ref-sifre-n.5.1.149-ref-sifre-n.5.1.155,123036,123071,18915,18921,ref-m.1.11.1.9.10,ref-m.1.11.1.9.16,10924,10959,1600,1606,ref-sifre-n.5.1.149,ref-sifre-n.5.1.155,ראשית בכורי אדמתך תביא בית ה' אלהיך ,ראשית בכורי אדמתך תביא בית ה' אלהיך ,7,7,45,26,0.0,0.0
27,ref-m.1.6.6.6.47-ref-m.1.6.6.6.63,ref-sifre-n.5.1.174-ref-sifre-n.6.1.21,78749,78838,12167,12177,ref-m.1.6.6.6.47,ref-m.1.6.6.6.63,11048,11172,1618,1632,ref-sifre-n.5.1.174,ref-sifre-n.6.1.21,ונתן לכהן את הקדש כל שהוא ראוי להיות קדש דברי רבי אליעזר ורבי עקיבא אומר ונתן לכהן ,נתונים לכהנים ואיש את קדשיו לו יהיו כל הקדשים היו בכלל שנאמר ואיש את קדשיו לו יהיו משך הכתוב כל הקדשים ונתנם לכהנים ,17,23,21,27,0.646551724137931,0.7222222222222222
29,ref-m.4.7.5.6.85-ref-m.4.7.5.6.104,ref-sifre-n.7.1.114-ref-sifre-n.7.1.135,579188,579315,90053,90069,ref-m.4.7.5.6.85,ref-m.4.7.5.6.104,14184,14319,2084,2102,ref-sifre-n.7.1.114,ref-sifre-n.7.1.135,בכרכמית שפחה משוחררת שהיתה בירושלים והשקוה שמעיה ואבטליון אמר להם דוגמא השקוה ונדוהו ומת בנדויו וסקלו בית דין את ארונו ,כרכמית שפחה משוחררת היתה בירושלים והשקוה שמעיה ואבטליון כלשון הזה אמר להם דוגמה השקוה ונדוהו ומת בנדויו וסקלו בית דין את ארונו ,20,22,293,29,0.10236220472440945,0.25
30,ref-m.4.7.5.6.144-ref-m.4.7.5.6.149,ref-sifre-n.7.1.128-ref-sifre-n.7.1.135,579525,579561,90102,90106,ref-m.4.7.5.6.144,ref-m.4.7.5.6.149,14275,14319,2097,2102,ref-sifre-n.7.1.128,ref-sifre-n.7.1.135,המתנדה ומת בנדויו סוקלין את ארונו ,ונדוהו ומת בנדויו וסקלו בית דין את ארונו ,6,8,294,30,0.3170731707317073,0.2857142857142857
31,ref-m.3.5.2.5.31-ref-m.3.5.2.6.3,ref-sifre-n.7.3.250-ref-sifre-n.7.3.259,388843,388917,60540,60552,ref-m.3.5.2.5.31,ref-m.3.5.2.6.3,16502,16549,2427,2435,ref-sifre-n.7.3.250,ref-sifre-n.7.3.259,נטמאתי יבאו בי רבי מאיר אומר אמן שלא נטמאתי אמן שלא אטמא הכל שוין שאין ,נטמאה והיא לא נטמאה אם היא נטמאה למה שותה ואם ,15,10,194,31,0.5774647887323944,0.9166666666666666
32,ref-m.6.11.2.4.19-ref-m.6.11.2.4.29,ref-sifre-n.7.3.321-ref-sifre-n.7.3.332,1022260,1022323,159244,159254,ref-m.6.11.2.4.19,ref-m.6.11.2.4.29,16845,16912,2479,2488,ref-sifre-n.7.3.321,ref-sifre-n.7.3.332,טמאים ספק טהורין ספיקן טהור מפני שאמרו ספק הידים ליטמא ולטמא ,אמרו ספק טומאה ברשות היחיד טמא ספק טומאה ברשות הרבים ספיקו טהור ,11,12,616,32,0.6875,0.75
34,ref-m.6.5.4.11.1-ref-m.6.5.4.11.11,ref-sifre-n.7.3.322-ref-sifre-n.7.3.332,947805,947864,147727,147736,ref-m.6.5.4.11.1,ref-m.6.5.4.11.11,16850,16912,2480,2488,ref-sifre-n.7.3.322,ref-sifre-n.7.3.332,ספק ידים ליטמא ולטמא וליטהר טהור ספק רשות הרבים טהור ספק ,ספק טומאה ברשות היחיד טמא ספק טומאה ברשות הרבים ספיקו טהור ,11,11,571,34,0.6440677966101694,0.4444444444444444
36,ref-m.6.5.6.4.56-ref-m.6.5.6.4.76,ref-sifre-n.7.3.322-ref-sifre-n.7.3.332,951776,951874,148327,148340,ref-m.6.5.6.4.56,ref-m.6.5.6.4.76,16850,16912,2480,2488,ref-sifre-n.7.3.322,ref-sifre-n.7.3.332,ספק טהרה ואפילו טומאה ספק נגע ספק לא נגע ספיקו טמא רבי אלעזר אומר ספק ביאה טהור ספק מגע טומאה טמא ,ספק טומאה ברשות היחיד טמא ספק טומאה ברשות הרבים ספיקו טהור ,21,11,585,36,0.673469387755102,0.6
38,ref-m.6.5.4.7.3-ref-m.6.5.4.7.33,ref-sifre-n.7.3.322-ref-sifre-n.7.3.338,946931,947095,147592,147618,ref-m.6.5.4.7.3,ref-m.6.5.4.7.33,16850,16939,2480,2490,ref-sifre-n.7.3.322,ref-sifre-n.7.3.338,שטיהרו חכמים ספק מים שאובים למקוה ספק טומאה צפה על פני המים ספק משקין ליטמא טמא ולטמא טהור ספק ידים ליטמא ולטמא וליטהר טהור ספק רשות הרבים ספק דברי סופרים ספק ,ספק טומאה ברשות היחיד טמא ספק טומאה ברשות הרבים ספיקו טהור את שיש בו דעת לישאל ספיקו ,31,17,562,38,0.710691823899371,0.7916666666666666
39,ref-m.6.5.4.8.21-ref-m.6.5.4.9.6,ref-sifre-n.7.3.322-ref-sifre-n.7.3.339,947261,947374,147644,147661,ref-m.6.5.4.8.21,ref-m.6.5.4.9.6,16850,16943,2480,2491,ref-sifre-n.7.3.322,ref-sifre-n.7.3.339,ספק ירידתו טמא וספק עלייתו טהור רבי יוסי אומר אפילו אין שם אלא מלא אדם וטומאה טהור ספק משקין ליטמא טמא כיצד טמא ,ספק טומאה ברשות היחיד טמא ספק טומאה ברשות הרבים ספיקו טהור את שיש בו דעת לישאל ספיקו טמא ,23,18,566,39,0.6696428571428571,0.8
42,ref-m.6.5.6.3.59-ref-m.6.5.6.4.17,ref-sifre-n.7.3.322-ref-sifre-n.7.3.340,951452,951592,148269,148292,ref-m.6.5.6.3.59,ref-m.6.5.6.4.17,16850,16948,2480,2492,ref-sifre-n.7.3.322,ref-sifre-n.7.3.340,ספק לטמא נכנס ספק לטהור נכנס ספיקו טמא כל שאתה יכול לרבות ספיקות וספק ספיקות ברשות יחיד טמא ברשות הרבים טהור כיצד נכנס למבוי והטומאה ,ספק טומאה ברשות היחיד טמא ספק טומאה ברשות הרבים ספיקו טהור את שיש בו דעת לישאל ספיקו טמא ואת ,25,19,582,42,0.6691729323308271,0.625
43,ref-m.6.5.6.1.29-ref-m.6.5.6.2.16,ref-sifre-n.7.3.322-ref-sifre-n.7.3.350,950792,950995,148181,148204,ref-m.6.5.6.1.29,ref-m.6.5.6.2.16,16850,16997,2480,2499,ref-sifre-n.7.3.322,ref-sifre-n.7.3.350,לרשות היחיד כשהוא ברשות היחיד ספיקו טמא כשהוא ברשות הרבים ספיקו טהור רבי שמעון אומר רשות הרבים מפסקת ארבע ספיקות רבי יהושע מטמא וחכמים מטהרין כיצד הטמא עומד והטהור עובר הטהור עומד והטמא עובר ,ספק טומאה ברשות היחיד טמא ספק טומאה ברשות הרבים ספיקו טהור את שיש בו דעת לישאל ספיקו טמא ואת שאין בו דעת לישאל ספיקו טהור והוא נטמאה או עבר ,34,29,578,43,0.5549738219895288,0.6
46,ref-m.4.7.3.7.13-ref-m.4.7.3.7.36,ref-sifre-n.7.3.324-ref-sifre-n.7.3.350,572892,573030,89218,89233,ref-m.4.7.3.7.13,ref-m.4.7.3.7.36,16860,16997,2482,2499,ref-sifre-n.7.3.324,ref-sifre-n.7.3.350,הטהור עומד והטמא עובר טומאה ברשות היחיד וטהרה ברשות הרבים טהרה ברשות היחיד וטומאה ברשות הרבים ספק נגע ספק לא נגע ספק האהיל ספק ,ברשות היחיד טמא ספק טומאה ברשות הרבים ספיקו טהור את שיש בו דעת לישאל ספיקו טמא ואת שאין בו דעת לישאל ספיקו טהור והוא נטמאה או עבר ,24,27,290,46,0.6692307692307692,0.5333333333333333
47,ref-m.6.5.6.1.10-ref-m.6.5.6.2.16,ref-sifre-n.7.3.324-ref-sifre-n.7.3.350,950663,950995,148167,148204,ref-m.6.5.6.1.10,ref-m.6.5.6.2.16,16860,16997,2482,2499,ref-sifre-n.7.3.324,ref-sifre-n.7.3.350,רשות היחיד כשהוא רשות היחיד ספיקו טמא כשהוא רשות הרבים ספיקו טהור המסוכן ברשות היחיד והוציאוהו לרשות הרבים והחזירוהו לרשות היחיד כשהוא ברשות היחיד ספיקו טמא כשהוא ברשות הרבים ספיקו טהור רבי שמעון אומר רשות הרבים מפסקת ארבע ספיקות רבי יהושע מטמא וחכמים מטהרין כיצד הטמא עומד והטהור עובר הטהור עומד והטמא עובר ,ברשות היחיד טמא ספק טומאה ברשות הרבים ספיקו טהור את שיש בו דעת לישאל ספיקו טמא ואת שאין בו דעת לישאל ספיקו טהור והוא נטמאה או עבר ,53,27,577,47,0.6688311688311688,0.6521739130434783
49,ref-m.6.5.4.3.9-ref-m.6.5.4.3.18,ref-sifre-n.7.3.331-ref-sifre-n.7.3.350,945944,946006,147429,147437,ref-m.6.5.4.3.9,ref-m.6.5.4.3.18,16902,16997,2487,2499,ref-sifre-n.7.3.331,ref-sifre-n.7.3.350,הטהורים או שעברו טהורים ביניהן ספיקן טהור מפני שאין לטומאה ,ספיקו טהור את שיש בו דעת לישאל ספיקו טמא ואת שאין בו דעת לישאל ספיקו טהור והוא נטמאה או עבר ,10,20,560,49,0.6630434782608695,0.7692307692307692
50,ref-m.6.11.2.4.18-ref-m.6.11.2.4.29,ref-sifre-n.7.3.433-ref-sifre-n.7.3.457,1022256,1022323,159243,159254,ref-m.6.11.2.4.18,ref-m.6.11.2.4.29,17391,17519,2563,2578,ref-sifre-n.7.3.433,ref-sifre-n.7.3.457,ספק טמאים ספק טהורין ספיקן טהור מפני שאמרו ספק הידים ליטמא ולטמא ,אמרו ספק טומאה ברשות היחיד טמא ספק טומאה ברשות הרבים םפיקו טהור את שיש בו דעת לישאל ספיקו טמא ואת שאין בו דעת לישאל ספיקו ,12,25,615,50,0.6557377049180327,0.8333333333333334
51,ref-m.6.5.4.7.9-ref-m.6.5.4.7.28,ref-sifre-n.7.3.434-ref-sifre-n.7.3.444,946967,947075,147598,147615,ref-m.6.5.4.7.9,ref-m.6.5.4.7.28,17396,17458,2564,2572,ref-sifre-n.7.3.434,ref-sifre-n.7.3.444,ספק טומאה צפה על פני המים ספק משקין ליטמא טמא ולטמא טהור ספק ידים ליטמא ולטמא וליטהר טהור ספק רשות הרבים ,ספק טומאה ברשות היחיד טמא ספק טומאה ברשות הרבים םפיקו טהור ,21,11,563,51,0.6666666666666666,0.6666666666666667
52,ref-m.6.5.6.1.10-ref-m.6.5.6.1.21,ref-sifre-n.7.3.434-ref-sifre-n.7.3.444,950663,950733,148167,148175,ref-m.6.5.6.1.10,ref-m.6.5.6.1.21,17396,17458,2564,2572,ref-sifre-n.7.3.434,ref-sifre-n.7.3.444,רשות היחיד כשהוא רשות היחיד ספיקו טמא כשהוא רשות הרבים ספיקו טהור ,ספק טומאה ברשות היחיד טמא ספק טומאה ברשות הרבים םפיקו טהור ,12,11,576,52,0.4393939393939394,0.25
53,ref-m.6.5.4.11.1-ref-m.6.5.4.11.11,ref-sifre-n.7.3.434-ref-sifre-n.7.3.450,947805,947864,147727,147736,ref-m.6.5.4.11.1,ref-m.6.5.4.11.11,17396,17485,2564,2574,ref-sifre-n.7.3.434,ref-sifre-n.7.3.450,ספק ידים ליטמא ולטמא וליטהר טהור ספק רשות הרבים טהור ספק ,ספק טומאה ברשות היחיד טמא ספק טומאה ברשות הרבים םפיקו טהור את שיש בו דעת לישאל ספיקו ,11,17,572,53,0.6588235294117647,0.6428571428571428
55,ref-m.6.5.6.3.59-ref-m.6.5.6.4.11,ref-sifre-n.7.3.434-ref-sifre-n.7.3.452,951452,951561,148269,148287,ref-m.6.5.6.3.59,ref-m.6.5.6.4.11,17396,17494,2564,2576,ref-sifre-n.7.3.434,ref-sifre-n.7.3.452,ספק לטמא נכנס ספק לטהור נכנס ספיקו טמא כל שאתה יכול לרבות ספיקות וספק ספיקות ברשות יחיד טמא ברשות הרבים ,ספק טומאה ברשות היחיד טמא ספק טומאה ברשות הרבים םפיקו טהור את שיש בו דעת לישאל ספיקו טמא ואת ,20,19,581,55,0.6826923076923077,0.6
56,ref-m.6.5.6.4.56-ref-m.6.5.6.4.76,ref-sifre-n.7.3.434-ref-sifre-n.7.3.457,951776,951874,148327,148340,ref-m.6.5.6.4.56,ref-m.6.5.6.4.76,17396,17519,2564,2578,ref-sifre-n.7.3.434,ref-sifre-n.7.3.457,ספק טהרה ואפילו טומאה ספק נגע ספק לא נגע ספיקו טמא רבי אלעזר אומר ספק ביאה טהור ספק מגע טומאה טמא ,ספק טומאה ברשות היחיד טמא ספק טומאה ברשות הרבים םפיקו טהור את שיש בו דעת לישאל ספיקו טמא ואת שאין בו דעת לישאל ספיקו ,21,24,586,56,0.6581196581196581,0.75
57,ref-m.6.5.4.8.24-ref-m.6.5.4.9.6,ref-sifre-n.7.3.434-ref-sifre-n.7.3.458,947276,947374,147647,147661,ref-m.6.5.4.8.24,ref-m.6.5.4.9.6,17396,17524,2564,2579,ref-sifre-n.7.3.434,ref-sifre-n.7.3.458,וספק עלייתו טהור רבי יוסי אומר אפילו אין שם אלא מלא אדם וטומאה טהור ספק משקין ליטמא טמא כיצד טמא ,ספק טומאה ברשות היחיד טמא ספק טומאה ברשות הרבים םפיקו טהור את שיש בו דעת לישאל ספיקו טמא ואת שאין בו דעת לישאל ספיקו טהור ,20,25,567,57,0.6967213114754098,0.8095238095238095
60,ref-m.4.7.3.7.17-ref-m.4.7.3.7.34,ref-sifre-n.7.3.436-ref-sifre-n.7.3.444,572916,573020,89222,89231,ref-m.4.7.3.7.17,ref-m.4.7.3.7.34,17406,17458,2566,2572,ref-sifre-n.7.3.436,ref-sifre-n.7.3.444,טומאה ברשות היחיד וטהרה ברשות הרבים טהרה ברשות היחיד וטומאה ברשות הרבים ספק נגע ספק לא נגע ספק ,ברשות היחיד טמא ספק טומאה ברשות הרבים םפיקו טהור ,18,9,291,60,0.6105263157894737,0.25
63,ref-m.3.5.1.3.32-ref-m.3.5.1.3.46,ref-sifre-n.8.1.17-ref-sifre-n.8.1.37,385311,385389,59942,59953,ref-m.3.5.1.3.32,ref-m.3.5.1.3.46,17600,17706,2593,2610,ref-sifre-n.8.1.17,ref-sifre-n.8.1.37,ומוסרין לו שני תלמידי חכמים שמא יבוא עליה בדרך רבי יהודה אומר בעלה נאמן עליה ,מוסרים לו שני תלמידי חכמים בדרך שלא יבא עליה ורבי יוסי אומר בעלה נאמן עליה מקל וחומר ומה נדה שחיבים על ,15,21,169,63,0.4368932038834951,0.4736842105263158
