,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,baseOrder,compOrder,lev,jac,lcsseq
17,ref-Sifra.2.02-00.6.11-ref-Sifra.2.02-00.6.19,ref-sifre-d.100.1.1-ref-sifre-d.100.1.12,13215,13260,2068,2076,ref-Sifra.2.2-00.6.11,ref-Sifra.2.2-00.6.19,139397,139459,23308,23319,ref-sifre-d.100.1.1,ref-sifre-d.100.1.12,זאת הבהמה אשר תאכלו שור שה איל וצבי ויחמור ,זאת הבהמה אשר תאכלו שור שה כשבים ושה עזים איל וצבי ויחמור ,9,12,17,1090,0.25862068965517243,0.2586206896551724,0.25862068965517243
19,ref-Sifra.2.02-00.8.24-ref-Sifra.2.02-00.8.41,ref-sifre-d.101.3.10-ref-sifre-d.101.3.19,13925,14002,2181,2193,ref-Sifra.2.2-00.8.24,ref-Sifra.2.2-00.8.41,140078,140122,23421,23427,ref-sifre-d.101.3.10,ref-sifre-d.101.3.19,כשנעבדה בו עבירה על פי שני עדים נעבדה בו עבירה על פי עד אחד או על פי הבעלים ,"שנעבדה בו עבירה על פי עד אחד או ע""פ הבעלים ",18,10,19,1107,0.4473684210526316,0.4545454545454546,0.4473684210526316
21,ref-Sifra.2.02-00.11.14-ref-Sifra.2.02-00.11.24,ref-sifre-d.249.5.5-ref-sifre-d.249.5.18,15408,15458,2393,2402,ref-Sifra.2.2-00.11.14,ref-Sifra.2.2-00.11.24,246761,246824,41152,41163,ref-sifre-d.249.5.5,ref-sifre-d.249.5.18,אם נאמר רובע למה נאמר נוגח ואם נאמר נוגח למה נאמר ,אם נאמר עד עולם למה נאמר דור עשירי ואם נאמר דור עשירי למה נאמר ,11,14,21,2358,0.3492063492063492,0.3857142857142857,0.3492063492063492
23,ref-Sifra.2.02-00.11.14-ref-Sifra.2.02-00.11.24,ref-sifre-d.269.2.6-ref-sifre-d.269.2.16,15408,15458,2393,2402,ref-Sifra.2.2-00.11.14,ref-Sifra.2.2-00.11.24,255785,255834,42723,42732,ref-sifre-d.269.2.6,ref-sifre-d.269.2.16,אם נאמר רובע למה נאמר נוגח ואם נאמר נוגח למה נאמר ,אם נאמר דבר למה נאמר ערוה ואם נאמר ערוה למה נאמר ,11,11,23,2557,0.22,0.2321428571428571,0.18
25,ref-Sifra.2.02-00.11.14-ref-Sifra.2.02-00.11.27,ref-sifre-d.32.6.6-ref-sifre-d.32.6.22,15408,15472,2393,2405,ref-Sifra.2.2-00.11.14,ref-Sifra.2.2-00.11.27,41367,41445,6981,6996,ref-sifre-d.32.6.6,ref-sifre-d.32.6.22,אם נאמר רובע למה נאמר נוגח ואם נאמר נוגח למה נאמר רובע לפי שיש ,אם נאמר בכל נפשך למה נאמר בכל מאדך ואם נאמר בכל מאדך למה נאמר בכל נפשך יש ,14,17,25,49,0.43243243243243246,0.4252873563218391,0.3783783783783784
27,ref-sifra.2.03-00.10.1-ref-sifra.2.03-00.10.11,ref-sifre-d.71.6.48-ref-sifre-d.71.6.66,19488,19551,2905,2913,ref-sifra.2.3-00.10.1,ref-sifra.2.3-00.10.11,115932,116032,19399,19414,ref-sifre-d.71.6.48,ref-sifre-d.71.6.66,לא אם אמרת בבכור שקדושתו מרחם תאמר בעולה שאין קדושתה מרחם ,לא אם אמרת בבכור שכן קדושתו מרחם וקדושתו חלה עליו על בעל מום קבוע תאמר בקדשים שאין קדושתם מרחם ,11,19,27,717,0.4421052631578947,0.40625,0.4421052631578947
28,ref-sifra.2.03-00.10.1-ref-sifra.2.03-00.10.11,ref-sifre-d.124.3.81-ref-sifre-d.124.3.98,19488,19551,2905,2913,ref-sifra.2.3-00.10.1,ref-sifra.2.3-00.10.11,161331,161430,27003,27018,ref-sifre-d.124.3.81,ref-sifre-d.124.3.98,לא אם אמרת בבכור שקדושתו מרחם תאמר בעולה שאין קדושתה מרחם ,לא אם אמרת בבכור שכן קדושתו מרחם וקדושתו חלה עליו בבעל מום קבוע תאמר בקדשים שאין קדושתם מרחם ,11,18,28,1581,0.43010752688172044,0.3936170212765957,0.43010752688172044
31,ref-Sifra.2.03-04.2.4-ref-Sifra.2.03-04.2.11,ref-sifre-d.357.30.43-ref-sifre-d.357.30.48,21772,21805,3244,3251,ref-Sifra.2.3-04.2.4,ref-Sifra.2.3-04.2.11,387129,387158,65057,65062,ref-sifre-d.357.30.43,ref-sifre-d.357.30.48,יד בנו ולא יד עבדו ולא יד שלוחו ,ביד בנו ביד עבדו ביד שלוחו ,8,6,31,3258,0.28125,0.3142857142857143,0.25
33,ref-Sifra.2.04-00.4.38-ref-Sifra.2.04-00.4.49,ref-sifre-d.190.3.19-ref-sifre-d.190.3.29,24792,24857,3729,3740,ref-Sifra.2.4-00.4.38,ref-Sifra.2.4-00.4.49,201745,201799,33673,33683,ref-sifre-d.190.3.19,ref-sifre-d.190.3.29,כשר ובכלי שרת נאמר כאן כיהון' ונאמר להלן כיהון' מה כיהון האמור ,כשרה לעדות נאמר כאן שני ונאמר להלן שני מה שני האמור ,12,11,33,1974,0.3968253968253968,0.3571428571428571,0.3333333333333333
35,ref-Sifra.2.04-00.4.38-ref-Sifra.2.04-00.4.58,ref-sifre-d.291.5.40-ref-sifre-d.291.6.18,24792,24904,3729,3749,ref-Sifra.2.4-00.4.38,ref-Sifra.2.4-00.4.58,276832,276939,46301,46319,ref-sifre-d.291.5.40,ref-sifre-d.291.6.18,כשר ובכלי שרת נאמר כאן כיהון' ונאמר להלן כיהון' מה כיהון האמור להלן בכהן כשר ובכלי שרת אף כיהון' האמור כאן ,כשרה וענתה ואמרה נאמר כאן ענייה ונאמר להלן ענייה מה ענייה האמורה להלן בלשון הקדש אף ענייה האמורה כאן ,21,19,35,2928,0.4485981308411215,0.375,0.3177570093457944
37,ref-Sifra.2.04-00.4.39-ref-Sifra.2.04-00.4.58,ref-sifre-d.302.1.4-ref-sifre-d.302.1.20,24796,24904,3730,3749,ref-Sifra.2.4-00.4.39,ref-Sifra.2.4-00.4.58,288545,288623,48288,48304,ref-sifre-d.302.1.4,ref-sifre-d.302.1.20,ובכלי שרת נאמר כאן כיהון' ונאמר להלן כיהון' מה כיהון האמור להלן בכהן כשר ובכלי שרת אף כיהון' האמור כאן ,יכול בחנוכה נאמר כאן קץ ונאמר להלן קץ מה קץ האמור להלן רגל אף קץ האמור כאן ,20,17,37,3061,0.47572815533980584,0.4385964912280702,0.4368932038834951
39,ref-Sifra.2.04-00.4.41-ref-Sifra.2.04-00.4.50,ref-sifre-d.36.2.56-ref-sifre-d.36.2.65,24807,24862,3732,3741,ref-Sifra.2.4-00.4.41,ref-Sifra.2.4-00.4.50,51448,51495,8632,8641,ref-sifre-d.36.2.56,ref-sifre-d.36.2.65,נאמר כאן כיהון' ונאמר להלן כיהון' מה כיהון האמור להלן ,נאמר כאן כתב ונאמר להלן כתב מה כתב האמור להלן ,10,10,39,79,0.25925925925925924,0.33333333333333337,0.25925925925925924
41,ref-Sifra.2.04-00.4.41-ref-Sifra.2.04-00.4.53,ref-sifre-d.103.3.7-ref-sifre-d.103.3.19,24807,24879,3732,3744,ref-Sifra.2.4-00.4.41,ref-Sifra.2.4-00.4.53,141400,141457,23636,23647,ref-sifre-d.103.3.7,ref-sifre-d.103.3.19,נאמר כאן כיהון' ונאמר להלן כיהון' מה כיהון האמור להלן בכהן כשר ובכלי ,נאמר כאן נשר ונאמר להלן נשר מה נשר האמור להלן עשה את כל ,13,13,41,1162,0.37681159420289856,0.4375,0.37681159420289856
43,ref-Sifra.2.04-00.4.41-ref-Sifra.2.04-00.4.55,ref-sifre-d.43.24.43-ref-sifre-d.43.25.12,24807,24886,3732,3746,ref-Sifra.2.4-00.4.41,ref-Sifra.2.4-00.4.55,82634,82690,13897,13909,ref-sifre-d.43.24.43,ref-sifre-d.43.25.12,נאמר כאן כיהון' ונאמר להלן כיהון' מה כיהון האמור להלן בכהן כשר ובכלי שרת אף ,אפו נאמר כאן אף ונאמר להלן אף חרי מה חרי אף האמור להלן ,15,13,43,269,0.5657894736842105,0.44047619047619047,0.4868421052631579
44,ref-Sifra.2.04-00.4.41-ref-Sifra.2.04-00.4.58,ref-sifre-d.36.2.102-ref-sifre-d.36.2.118,24807,24904,3732,3749,ref-Sifra.2.4-00.4.41,ref-Sifra.2.4-00.4.58,51683,51764,8674,8690,ref-sifre-d.36.2.102,ref-sifre-d.36.2.118,נאמר כאן כיהון' ונאמר להלן כיהון' מה כיהון האמור להלן בכהן כשר ובכלי שרת אף כיהון' האמור כאן ,נאמר כאן כתב ונאמר להלן כתב מה כתב האמור להלן על הספר ובדיו אף כתב האמור כאן ,18,17,44,179,0.34408602150537637,0.3495145631067961,0.3333333333333333
46,ref-Sifra.2.04-00.4.41-ref-Sifra.2.04-00.4.58,ref-sifre-d.62.4.5-ref-sifre-d.62.4.24,24807,24904,3732,3749,ref-Sifra.2.4-00.4.41,ref-Sifra.2.4-00.4.58,110332,110430,18467,18484,ref-sifre-d.62.4.5,ref-sifre-d.62.4.24,נאמר כאן כיהון' ונאמר להלן כיהון' מה כיהון האמור להלן בכהן כשר ובכלי שרת אף כיהון' האמור כאן ,נאמר כאן לשום את שמו ונאמר להלן ושמו את שמי מה שמי האמור להלן בלשון הקדש אף שמי האמור כאן ,18,20,46,437,0.4838709677419355,0.38053097345132747,0.34408602150537637
47,ref-Sifra.2.04-00.4.41-ref-Sifra.2.04-00.4.58,ref-sifre-d.69.1.2-ref-sifre-d.69.1.16,24807,24904,3732,3749,ref-Sifra.2.4-00.4.41,ref-Sifra.2.4-00.4.58,114321,114400,19130,19144,ref-sifre-d.69.1.2,ref-sifre-d.69.1.16,נאמר כאן כיהון' ונאמר להלן כיהון' מה כיהון האמור להלן בכהן כשר ובכלי שרת אף כיהון' האמור כאן ,נאמרה כאן שמחה ונאמרה להלן שמחה מה שמחה האמורה להלן שלמים אף שמחה האמורה כאן ,18,15,47,642,0.46236559139784944,0.44036697247706424,0.3655913978494624
49,ref-Sifra.2.04-00.4.41-ref-Sifra.2.04-00.4.58,ref-sifre-d.86.6.4-ref-sifre-d.86.6.18,24807,24904,3732,3749,ref-Sifra.2.4-00.4.41,ref-Sifra.2.4-00.4.58,131306,131387,21925,21939,ref-sifre-d.86.6.4,ref-sifre-d.86.6.18,נאמר כאן כיהון' ונאמר להלן כיהון' מה כיהון האמור להלן בכהן כשר ובכלי שרת אף כיהון' האמור כאן ,נאמרה כאן הדחה ונאמרה להלן הדחה מה הדחה האמורה להלן בסקילה אף הדחה האמורה כאן ,18,15,49,854,0.43010752688172044,0.45945945945945943,0.3763440860215054
51,ref-Sifra.2.04-00.4.41-ref-Sifra.2.04-00.4.58,ref-sifre-d.90.2.4-ref-sifre-d.90.2.19,24807,24904,3732,3749,ref-Sifra.2.4-00.4.41,ref-Sifra.2.4-00.4.58,133293,133376,22275,22290,ref-sifre-d.90.2.4,ref-sifre-d.90.2.19,נאמר כאן כיהון' ונאמר להלן כיהון' מה כיהון האמור להלן בכהן כשר ובכלי שרת אף כיהון' האמור כאן ,נאמר כאן הדחה ונאמר להלן הדחה מה הדחה האמורה להלן כאן בסקילה אף הדחה האמורה כאן ,18,16,51,951,0.3763440860215054,0.42727272727272725,0.34408602150537637
53,ref-Sifra.2.04-00.4.41-ref-Sifra.2.04-00.4.58,ref-sifre-d.107.18.9-ref-sifre-d.107.18.25,24807,24904,3732,3749,ref-Sifra.2.4-00.4.41,ref-Sifra.2.4-00.4.58,147877,147963,24697,24713,ref-sifre-d.107.18.9,ref-sifre-d.107.18.25,נאמר כאן כיהון' ונאמר להלן כיהון' מה כיהון האמור להלן בכהן כשר ובכלי שרת אף כיהון' האמור כאן ,נאמר כאן שמחה ונאמר להלן שמחה מה שמחה האמורה כאן להלן שלמים אף שמחה האמורה להלן כאן ,18,17,53,1255,0.5053763440860215,0.4054054054054054,0.3655913978494624
55,ref-Sifra.2.04-00.4.41-ref-Sifra.2.04-00.4.58,ref-sifre-d.111.1.12-ref-sifre-d.111.1.28,24807,24904,3732,3749,ref-Sifra.2.4-00.4.41,ref-Sifra.2.4-00.4.58,150485,150567,25160,25176,ref-sifre-d.111.1.12,ref-sifre-d.111.1.28,נאמר כאן כיהון' ונאמר להלן כיהון' מה כיהון האמור להלן בכהן כשר ובכלי שרת אף כיהון' האמור כאן ,נאמר כאן קץ ונאמר להלן קץ מה קץ האמור להלן בסופה ולא בתחילתה אף קץ האמור כאן ,18,17,55,1406,0.3978494623655914,0.4112149532710281,0.3655913978494624
57,ref-Sifra.2.04-00.4.41-ref-Sifra.2.04-00.4.58,ref-sifre-d.122.3.2-ref-sifre-d.122.3.16,24807,24904,3732,3749,ref-Sifra.2.4-00.4.41,ref-Sifra.2.4-00.4.58,159893,159968,26768,26782,ref-sifre-d.122.3.2,ref-sifre-d.122.3.16,נאמר כאן כיהון' ונאמר להלן כיהון' מה כיהון האמור להלן בכהן כשר ובכלי שרת אף כיהון' האמור כאן ,נאמר כאן אזנו ונאמר להלן אזנו מה אזנו האמור להלן ימנית אף אזנו האמור כאן ,18,15,57,1525,0.3763440860215054,0.44859813084112155,0.3763440860215054
59,ref-Sifra.2.04-00.4.41-ref-Sifra.2.04-00.4.58,ref-sifre-d.138.1.6-ref-sifre-d.138.1.20,24807,24904,3732,3749,ref-Sifra.2.4-00.4.41,ref-Sifra.2.4-00.4.58,170594,170671,28530,28544,ref-sifre-d.138.1.6,ref-sifre-d.138.1.20,נאמר כאן כיהון' ונאמר להלן כיהון' מה כיהון האמור להלן בכהן כשר ובכלי שרת אף כיהון' האמור כאן ,נאמר כאן שמחה ונאמר להלן שמחה מה שמחה האמורה להלן שלמים אף שמחה האמורה כאן ,18,15,59,1718,0.44086021505376344,0.4299065420560748,0.3655913978494624
61,ref-Sifra.2.04-00.4.41-ref-Sifra.2.04-00.4.58,ref-sifre-d.149.4.17-ref-sifre-d.149.4.37,24807,24904,3732,3749,ref-Sifra.2.4-00.4.41,ref-Sifra.2.4-00.4.58,179909,180017,30019,30035,ref-sifre-d.149.4.17,ref-sifre-d.149.4.37,נאמר כאן כיהון' ונאמר להלן כיהון' מה כיהון האמור להלן בכהן כשר ובכלי שרת אף כיהון' האמור כאן ,נאמר כאן שעריך ונאמר להלן שעריך מה שעריך האמור להלן שער שנמצאו בו ולא שער שנדונו בו אף שעריך האמור כאן ,18,21,61,1853,0.46601941747572817,0.43200000000000005,0.36893203883495146
63,ref-Sifra.2.04-00.4.41-ref-Sifra.2.04-00.4.58,ref-sifre-d.194.6.12-ref-sifre-d.194.6.26,24807,24904,3732,3749,ref-Sifra.2.4-00.4.41,ref-Sifra.2.4-00.4.58,206762,206832,34504,34518,ref-sifre-d.194.6.12,ref-sifre-d.194.6.26,נאמר כאן כיהון' ונאמר להלן כיהון' מה כיהון האמור להלן בכהן כשר ובכלי שרת אף כיהון' האמור כאן ,נאמר כאן אחר ונאמר להלן אחר מה אחר האמור להלן נכרי אף אחר האמור כאן ,18,15,63,2047,0.40860215053763443,0.4666666666666667,0.40860215053763443
65,ref-Sifra.2.04-00.4.41-ref-Sifra.2.04-00.4.58,ref-sifre-d.195.7.13-ref-sifre-d.195.7.27,24807,24904,3732,3749,ref-Sifra.2.4-00.4.41,ref-Sifra.2.4-00.4.58,207312,207382,34601,34615,ref-sifre-d.195.7.13,ref-sifre-d.195.7.27,נאמר כאן כיהון' ונאמר להלן כיהון' מה כיהון האמור להלן בכהן כשר ובכלי שרת אף כיהון' האמור כאן ,נאמר כאן אחר ונאמר להלן אחר מה אחר האמור להלן נכרי אף אחר האמור כאן ,18,15,65,2140,0.40860215053763443,0.4666666666666667,0.40860215053763443
67,ref-Sifra.2.04-00.4.41-ref-Sifra.2.04-00.4.58,ref-sifre-d.261.2.25-ref-sifre-d.261.2.41,24807,24904,3732,3749,ref-Sifra.2.4-00.4.41,ref-Sifra.2.4-00.4.58,251780,251870,42029,42045,ref-sifre-d.261.2.25,ref-sifre-d.261.2.41,נאמר כאן כיהון' ונאמר להלן כיהון' מה כיהון האמור להלן בכהן כשר ובכלי שרת אף כיהון' האמור כאן ,נאמר כאן תועבה ונאמר להלן תועבה מה תועבה האומר להלן בשם זובח בזובח אף תועבה האמורה כאן ,18,17,67,2412,0.43010752688172044,0.3928571428571429,0.34408602150537637
69,ref-Sifra.2.04-00.4.41-ref-Sifra.2.04-00.4.58,ref-sifre-d.264.1.5-ref-sifre-d.264.1.20,24807,24904,3732,3749,ref-Sifra.2.4-00.4.41,ref-Sifra.2.4-00.4.58,253239,253315,42294,42309,ref-sifre-d.264.1.5,ref-sifre-d.264.1.20,נאמר כאן כיהון' ונאמר להלן כיהון' מה כיהון האמור להלן בכהן כשר ובכלי שרת אף כיהון' האמור כאן ,נאמר כאן נדר ונאמר להלן נדר מה נדר האמור להלן נדר ונדבה אף נדר האמור כאן ,18,16,69,2499,0.40860215053763443,0.4629629629629629,0.3978494623655914
71,ref-Sifra.2.04-00.4.41-ref-Sifra.2.04-00.4.58,ref-sifre-d.284.6.4-ref-sifre-d.284.6.24,24807,24904,3732,3749,ref-Sifra.2.4-00.4.41,ref-Sifra.2.4-00.4.58,268475,268578,44842,44862,ref-sifre-d.284.6.4,ref-sifre-d.284.6.24,נאמר כאן כיהון' ונאמר להלן כיהון' מה כיהון האמור להלן בכהן כשר ובכלי שרת אף כיהון' האמור כאן ,נאמר כאן גר יתום ונאמר להלן גר יתום מה גר יתום האמור להלן בעושה פחות מסאתים אף גר ויתום האמור כאן ,18,21,71,2627,0.3979591836734694,0.4083333333333333,0.32653061224489793
73,ref-Sifra.2.04-00.4.41-ref-Sifra.2.04-00.4.58,ref-sifre-d.285.4.3-ref-sifre-d.285.4.22,24807,24904,3732,3749,ref-Sifra.2.4-00.4.41,ref-Sifra.2.4-00.4.58,269137,269231,44955,44974,ref-sifre-d.285.4.3,ref-sifre-d.285.4.22,נאמר כאן כיהון' ונאמר להלן כיהון' מה כיהון האמור להלן בכהן כשר ובכלי שרת אף כיהון' האמור כאן ,נאמר כאן גר יתום ונאמר להלן גר יתום מה גר יתום האמור להלן פחות מסאתים אף גר יתום האמור כאן ,18,20,73,2713,0.41935483870967744,0.4137931034482759,0.3225806451612903
75,ref-Sifra.2.04-00.4.41-ref-Sifra.2.04-00.4.58,ref-sifre-d.289.3.11-ref-sifre-d.289.3.30,24807,24904,3732,3749,ref-Sifra.2.4-00.4.41,ref-Sifra.2.4-00.4.58,274573,274669,45894,45912,ref-sifre-d.289.3.11,ref-sifre-d.289.3.30,נאמר כאן כיהון' ונאמר להלן כיהון' מה כיהון האמור להלן בכהן כשר ובכלי שרת אף כיהון' האמור כאן ,נאמר כאן שם אחיו ונאמר להלן על שם אחיהם יקראו בנחלתם מה שם האמור להלן לנחלה אף שם האמור כאן ,18,20,75,2799,0.5698924731182796,0.41880341880341876,0.3763440860215054
77,ref-Sifra.2.04-00.4.41-ref-Sifra.2.04-00.4.58,ref-sifre-d.289.9.18-ref-sifre-d.289.9.32,24807,24904,3732,3749,ref-Sifra.2.4-00.4.41,ref-Sifra.2.4-00.4.58,275341,275407,46033,46047,ref-sifre-d.289.9.18,ref-sifre-d.289.9.32,נאמר כאן כיהון' ונאמר להלן כיהון' מה כיהון האמור להלן בכהן כשר ובכלי שרת אף כיהון' האמור כאן ,נאמר כאן שם ונאמר להלן שם מה שם האמור להלן נחלה אף שם האמור כאן ,18,15,77,2848,0.43010752688172044,0.4455445544554455,0.43010752688172044
80,ref-Sifra.2.04-00.4.41-ref-Sifra.2.04-00.4.61,ref-sifre-d.64.2.2-ref-sifre-d.64.3.1,24807,24921,3732,3752,ref-Sifra.2.4-00.4.41,ref-Sifra.2.4-00.4.61,112038,112125,18748,18764,ref-sifre-d.64.2.2,ref-sifre-d.64.3.1,נאמר כאן כיהון' ונאמר להלן כיהון' מה כיהון האמור להלן בכהן כשר ובכלי שרת אף כיהון' האמור כאן בכהן כשר ובכלי ,נאמר כאן שמחה ונאמר להן שמחה מה שמחה האמורה להלן שלמים אף שמחה האמורה כאן שלמים בכל ,21,17,80,595,0.48148148148148145,0.4390243902439024,0.4074074074074074
82,ref-Sifra.2.04-00.4.42-ref-Sifra.2.04-00.4.50,ref-sifre-d.302.1.23-ref-sifre-d.302.1.34,24812,24862,3733,3741,ref-Sifra.2.4-00.4.42,ref-Sifra.2.4-00.4.50,288631,288685,48307,48318,ref-sifre-d.302.1.23,ref-sifre-d.302.1.34,כאן כיהון' ונאמר להלן כיהון' מה כיהון האמור להלן ,מה קץ האמור להלן חג המצות אף כאן חג המצות נאמר להלן ,9,12,82,3146,0.6153846153846154,0.4696969696969697,0.46153846153846156
83,ref-Sifra.2.04-00.4.44-ref-Sifra.2.04-00.4.59,ref-sifre-d.62.4.32-ref-sifre-d.62.4.47,24823,24910,3735,3750,ref-Sifra.2.4-00.4.44,ref-Sifra.2.4-00.4.59,110468,110554,18491,18505,ref-sifre-d.62.4.32,ref-sifre-d.62.4.47,ונאמר להלן כיהון' מה כיהון האמור להלן בכהן כשר ובכלי שרת אף כיהון' האמור כאן בכהן ,האמור להלן בית הבחירה ומה שמי האמור להלן ברכת כהנים אף שמי האמור כאן ברכת כהנים ,16,16,83,532,0.5365853658536586,0.276595744680851,0.35365853658536583
84,ref-Sifra.2.04-00.10.7-ref-Sifra.2.04-00.10.20,ref-sifre-d.36.2.105-ref-sifre-d.36.2.118,26359,26430,3969,3982,ref-Sifra.2.4-00.10.7,ref-Sifra.2.4-00.10.20,51696,51764,8677,8690,ref-sifre-d.36.2.105,ref-sifre-d.36.2.118,ונאמר להלן סביב מה סביב האמור להלן הפסק ארבע מתנות אף סביב האמור כאן ,ונאמר להלן כתב מה כתב האמור להלן על הספר ובדיו אף כתב האמור כאן ,14,14,84,205,0.3188405797101449,0.25,0.2753623188405797
