ref-Sifra.1.1,רבי ישמעאל אומ׳ 
ref-Sifra.1.12,כל דבר שהיה בכלל ויצא מן הכלל לטעון טען אחר שהוא כענינו יצא להקל ולא להחמיר כיצד ובשר כי יהיה בו בעורו שחין ונרפא וכתיב או בשר כי יהיה בעורו  אש והלא השחין והמכוה בכלל כל הננעים היו וכשיצאו מן הכלל ליטעון טען אחד שהוא כענינו יצאו להקל ולא להחמיר להקל עליהן שלא ידונו במחיה ושלא ידונו אלא בשבוע אחד 
ref-Sifra.1.13,כל דבר שהיה בכלל ויצא מן הכלל לטען טען אחד שלא כענינו יצא להקל ולהחמיר כיצד ואיש או אשה כי יהיה בו נגע בראש או בזקן והלא ׳הראש והזקן׳ בכלל ׳עור ובשר׳ היו וכשיצאו מן הכלל ליטען טען אחד שלא כענינו יצאו להקל ולהחמיר להקל עליהן שלא ידונו כשער לבן ולהחמיר עליהן שידונו כשער צהוב 
ref-Sifra.1.14,כל דבר שהיה בכלל ויצא מן הכלל לידון בדבר חדש ואי אתה יכל להחזירו לכללו עד שיחזירנו הכתוב לכללו בפירוש כיצד ושחט את הכבש במקום אשר ישחט את החטאת ואת העולה במקו׳ הקדש שאין תלמוד לו׳ כי כחטאת האשם הוא לכהן אלא לפי שיצא לידון בדבר חדש בבוהן יד ובבוהן רגל ובאזן ימנית יכול יהא טעון מתן דמים למזכח תל ל ״כי כחטאת כאשם הוא לכהן כחטאת כאשם הוא לכהן הרי החזירו הכתוב לכללו בפירוש לומר לך מה חטאת טעונה מתן מזבח אף אשם טעון מתן מזבח 
ref-Sifra.1.15,דבר הלמד מענינו כיצד ואיש כי ימרט ראשו קרח הוא טהור הוא יכל יהא טהור ׳מכל טומאה׳ תלמוד לומד וכי יהיה בקרחת או בגבחת נגע לבן אדמדם דבר למ׳ מענינו שאיגו טהור מכל טומאה אלא מטומאת נתקים בלבד 
ref-Sifra.1.16,דבר למד מסופו כיצד ונתתי ננע צרעת בבית ארץ אחוזתכם משמע בית שיש בו אבנים ועצים ועפר מטמא יכל אף בית שאין אבנים ועצים ועפר שמטמא תלמוד לומר ונתץ את הבית את אבניו ואת עציו ואת כל עפר הבית בר למד מסופו שאין הבית מטמא עד שיהא בו אבנים ועצים ועפר 
ref-Sifra.1.17,שני כתובים המכחישים זה את זה עד שיבא השלישי ויכריע ביניהם כיצד כתוב אחד אומר וירד יי על הר סיני אל ראש ההר וכתוב אחד אומר מן השמים השמיעך את קולו ליסרך הכריע השלישי מן השמים השמיעך את קולו ליסרך ׳ הכריע השלישי ״כי מן השמים דברתי עמכם מן השמים דברתי עמכם מלמד שהרכין הקדוש ברוך הוא שמי שמים העליונים על הר סיני ודבר עמהם׳ וכן אמר דוד בספר תלים ויט שמים וירד וערפל תחת רגליו הלל הזקן דרש שבע מדות לפני זקני בתירה קל וחומר וגזרה שוה ושני כתובים וכלל ופרט וכיוצא בו במקום אחר ודבר למד מענינו אלו שבע מדות שדרש הלל הזקן לפני זקני בתירה 
ref-Sifra.1.18,כתוב אחד אומר ובבא משה אל אהל מועד לדבר אתו וכתוב אחד אומ׳ ולא יכול משח לבא אל אהל מועד הכריע כי שכן עליו הענן אמור מעתה כל זמן שהיה הענן שם לא היה משח נכנס לשם נסתלק הענן היח נכנס ומדבר עמו רבי יוסי הגלילי אומר הרי הוא אומר ולא יכלו הכהנים לעמוד לשרת מפני הענן כי מלא כבוד יי׳ את בית י מלמד שנתנה רשות למלאכים לחבל וכך הפסוק אומר ושכותי כפי עליך עד עברי מלמד שנתנה דשות למלאכים לחבל וכך הפסוק אומ׳ אשר נשבעתי באפי אם יבואון אל מנוחתי כשישוב אפי יבואון אל מנוחתי 
ref-Sifra.2.01-01.1,ויקרא וידבר הקדים קריאה לדיבור הלא דין הוא נאמר כאן ׳דיבור׳ ונאמר בסנה דיבור מה דיבור האמור בסנה הקדים קריאה לדיבור אף דיבור האמור כאן הקדים קריאה לדיבור 
ref-Sifra.2.01-01.2,לא אם אמרת בדיבור הסנה שהוא תחלה לדברות תאמר בדיבור אהל מועד שאינו תחלה לדברות דיבור הר סיני יוכיח שאינו תחלה לדברות והקדים בו קריאה לדיבור 
ref-Sifra.2.01-01.3,לא אם אמרת בדיבור הר סיני שהוא לכל ישראל תאמר בדיבור אהל מועד שאינו לכל ישראל הרי את דן מבנין אב לא הרי דיבור הסנה שהוא תחלה לדברות כהרי דיבור הר סיני שאינו תחלה לדברות ולא הרי דיבור הר סיני שהוא לכל ישראל כהרי דיבור הסנה שאינו לכל ישראל 
ref-Sifra.2.01-01.4,הצד השוה שבהן שהן דיבור מפי קדש למשה והקדים קריאה לדביור אף כל מה שהוא דיבור מפי קדש למשה הקדים קריאה לדיבור 
ref-Sifra.2.01-01.5,אי מה להצד השוה שבהן שהן דיבור באש מפי קדש למשה והקדים בהן קריאה לדיבור אף כל שהוא דיבור באש מפי קדש למשה הקדים קריאה לדיבור יצא דיבור אהל מועד שאינו באש תלמוד לומר ויקרא וידבר הקדים קריאה לדיבור 
ref-Sifra.2.01-01.6,יכול לא היתה קריאה אלא לדיבור זה מנין לכל הדברות שבתורה תלמוד לומר מאהל מועד כל שהוא מאהל מועד הקדים קריאה לדיבור 
ref-Sifra.2.01-01.7,יכול לא היתה קריאה אלא לדברות בלבד מנין אף לאמירות ולצווין אמר ר׳ שמעון תלמוד לומר ׳דיבור׳ וידבר אף לאמירות ולצווין 
ref-Sifra.2.01-01.8,יכול אף להפסקות תלמוד לומר וידבר לדיבור היתה קריאה ולא להפסקות 
ref-Sifra.2.01-01.9,ומה היו הפסקות משמשות ליתן ריוח למשה להתבונן בין פרשה לפרשה ובין ענין לענין והלא דברים קל וחמר מה מי שהוא שומע מפי הקב״ה ומדבר ברוח הקדש צריך להתבונן בין פרשה לפרשה ובין ענין לענין על אחת כמה וכמה הדיוט הלומד מן ההדיוט 
ref-Sifra.2.01-01.10,ומנין שכל הקריאות היו משה משה תלמוד לומר ויקרא אליו אלקים מתוך הסנה ויאמר משה משה שאין תלמוד לומר ויאמר ומה תלמוד לומר ויאמר מלמד שכל הקריאות היו משה משה 
ref-Sifra.2.01-01.11,ומנין שעל כל קריאה היה אומר הנני תלמוד לומר ויאמר הנני שאין תלמוד לומר ויאמר ומה תלמוד לומר ויאמר הנני מלמד שעל כל קריאה וקריאה היה אומר הנני 
ref-Sifra.2.01-01.12,משה משה אברהם אברהם יעקב יעקב שמואל שמואל לשון חיבה לשון זירוז דבר אחר הוא משה עד שלא נדבר עמו הוא משה משנדבר עמו 
ref-Sifra.2.01-02.1,אליו למעט את אהרן אמר ר׳ יהודה בן בתירא י״ג דברות נאמרו בתורה למשה ולאהרן וכנגדן בתורה י״ג מיעוטים ללמדך שלא לאהרן נאמר אלא למשה שיאמר לאהרן 
ref-Sifra.2.01-02.2,ואלו הן                    אשר אועד לך                                                         
ref-Sifra.2.01-02.3,מיעט את אהרן מדברות הר סיני באהל מועד מהו אומר וירקא אל משה מיעט את אהרן מדברות אהל מועד 
ref-Sifra.2.01-02.4,ר׳ יוסי הגלילי אומר בשלשה מקומות נאמר בתורה ׳דיבור׳ למשה בארץ מצרים בהר סיני באהל מועד כל התורה כולה בארץ מצרים מהו אומר         מיעט את אהרן מדברות ארץ מצרים בהר סיני מהו אומר            מיעט את אהרן מדברות הר סיני באהל מועד מהו אומר     מיעט את אהרן מדברות אהל מועד אל משה דבר ולא לאהרן 
ref-Sifra.2.01-02.5,ר׳ אלעזר אומר       עתיד אני להיות ועד להם ולהתקדש בהם אימתי היה זה יום שמיני למלואים שנאמר וירא כל העם וירנו ויפלו על פניהם או אינו אלא ליתן להם יעידה לדברות תלמוד לומר      לך היתה יעידה ולא היתה יעידה לכלל ישראל 
ref-Sifra.2.01-02.6,אוציא את ישראל שלא כשרו לעלות בהר ולא אוציא את הזקנים שכשרו לעלות בהר אוציא את הזקנים שלא נראו בדיבור עם משה ולא אוציא את בני אהרן שנראו בדיבור עם משה אוציא את בני אהרן שלא נתועדו עם משה בדיבור ולא אוציא את אהרן עצמו שנתועד עם משה בדיבור תלמוד לומר אשר אועד לך לך היתה יעידה ולא היתה יעידה לכולם 
ref-Sifra.2.01-02.7,או אוציאם מן היעידה ולא אוציאם מן הדברות תלמוד לומר ודברתי אתך אוציא את ישראל ולא אוציא את הזקנים אוציא את הזקנים ולא אוציא את בני אהרן אוציא את בני אהרן ולא אוציא את אהרן עצמו תלמוד לומר    עמך היה הדיבור ולא היה הדיבור עם כולם 
ref-Sifra.2.01-02.8,יכול לא היו שומעים את הדיבור אבל היו שומעים את הקול תלמוד לומר      קול לו קול אליו אוציא את ישראל ולא אוציא את הזקנים אוציא את הזקנים ולא אוציא את בני אהרן אוציא את בני אהרן ולא אוציא את אהרן עצמו תלמוד לומר ׳קול לו׳ 
ref-Sifra.2.01-02.9,אוציא את כולם ולא אוציא את מלאכי השרת שאין משה יכול לכנס לרשותם עד שיקרא תלמוד לומר קול אליו משה היה שומע את הקול ואין כל אלו שומעים את הקול 
ref-Sifra.2.01-02.10,מאהל מועד מלמד שהיה הקול נפסק ולא היה יוצא חוץ לאהל מועד יכול מפני שהוא נמוך תלמוד לומר וישמע את הקול שאין תלמוד לומר הקול ומה תלמוד לומר הקול הקול המתפרש בכתובים ומהו המתפרש בכתובים קול ה׳ שובר ארזים אם כן למה נאמר מאהל מועד מלמד שהיה הקול נפסק ולא היה יוצא חוץ לאהל 
ref-Sifra.2.01-02.11,כיוצא בדבר אתה אומר        יכול מפני שהיה הקול נמוך תלמוד לומר     בסיני ואם כן למה נאמר    אלא כיון שהיה מגיע אל החצר החיצונה היה נפסק 
ref-Sifra.2.01-02.12,מאהל מועד יכול מכל הבית תלמוד לומר מעל הכפורת אי מעל הכפורת יכול מעל הכפורת כולה תלמוד לומר מבין שני הכרובים דברי ר׳ עקיבא אמר ר׳ שמעון בן עזאי אין אני כמשיב על דברי רבי אלא כמוסיף על דבריו הכבוד שנאמר בו את השמים ואת הארץ אני מלא ראה חבתם של ישראל להיכן גרמה לכבוד הזה כביכול דחק להיות מדבר מעל הכפורת מבין שני הכרובים ר׳ דוסא אומר הרי הוא אומר כי לא יראני האדם וחי בחייהם אינם רואים אבל רואים הם במיתתם וכן הוא אומר         ר׳ עקיבא אומר אף חיות הקדש הנושאות את כסא הכבוד אינן רואות את הכבוד  אמר ר׳ שמעון איני כמשיב על דברי רבי אלא כמוסיף על דבריו כי לא יראני האדם וחי אף מלאכים שחיים חיי עולם אינם רואים את הכבוד 
ref-Sifra.2.01-02.13,לאמר אמור להם דברי כבושים בשבילכם מדבר עמי שכן מצאנו שכל ל״ח שנים שהיו ישראל כמנודין לא היה מדבר עם משה שנאמר ויהי כאשר תמו כל אנשי המלחמה למות וידבר ה׳ אלי  דבר אחר לאמר צא ואמור להם והשיבני ומנין שהיה משה יוצא ומדבר עמהם שנאמר         ומנין שהיה משה משיב הדברים לפני הגבורה תלמוד לומר       ה׳ ״ אלעזר בן אחוי אומר יכול היה מדבר עמו לצורך עצמו תלמוד לומר ׳לאמר לישראל׳ בשביל ישראל היה מדבר עמו לא בשביל עצמו      ה׳       ה׳ ״ אלעזר בן אחוי אומר יכול היה מדבר עמו לצורך עצמו תלמוד לומר ׳לאמר לישראל׳ בשביל ישראל היה מדבר עמו לא בשביל עצמו אלעזר בן אחוי אומר יכול היה מדבר עמו לצורך עצמו תלמוד לומר ׳לאמר לישראל׳ בשביל ישראל היה מדבר עמו לא בשביל עצמו 
ref-Sifra.2.02-00.1,׳דבר אל בני ישראל וסמכו׳ בני ישראל סומכים ואין עובדי כוכבים סומכים וכי איזה מדה מרובה מדת תנופה או מדת סמיכה מרובה מדת תנופה ממדת סמיכה שהתנופה נוהגת בדבר שיש בו רוח חיים ובדבר שאין בו רוח חיים והסמיכה אינה אלא בדבר שיש בו רוח חיים אם מעטתים מתנופה מרובה לא אמעטם מסמיכה מועטת אתה אומר בצד זה נתרבה תנופה ונתמעטה סמיכה או בצד זה יתרבה סמיכה ונתמעטה תנופה שהסמיכה נוהגת בכל החוברים ואין התנופה נוהגת בכל החוברים אם מעטתים מתנופה מעוטה אמעטם מסמיכה מרובה הא לפי שיש בתנופה שאין בסמיכה ובסמיכה מה שאין בתנופה צריך לומר דבר אל בני ישראל בני ישראל סומכים ואין עובדי כוכבים סומכים 
ref-Sifra.2.02-00.2,בני ישראל סומכים ואין בנות ישראל סומכות ר׳ יוסי ור׳ שמעון אומרים נשים סומכות רשות אמר ר׳ יוסי אמר לי אבא אלעזר היה לנו עגל זבחי שלמים והוצאנוהו לעזרת נשים וסמכו עליו הנשים לא מפני שהסמיכה בנשים אלא מפני נחת רוח של נשים יכול לא יסמכו על העולות שאין העולות טעונים תנופה אבל יסמכו על השלמים שהרי השלמים טעונים תנופה תל ל ״ואמרת אליהם אליהם לרבות כל האמור בענין כשם שאין סומכים על העולות כך לא יסמכו על השלמים 
ref-Sifra.2.02-00.3,אדם לרבות את הגרים מכם להוציא את המומרים ומה ראית לומר כן אמור אדם לרבות את המומרים מכם להוציא את הגרים אחר שריבה הכתוב מיעט תלמוד לומר בני ישראל מה בני ישראל מקבלי ברית אף הגרים מקבלי ברית יצאו מומרים שאין מקבלי ברית אי מה ישראל בני מקבלי ברית אף מומרים בני מקבלי ברית יצאו גרים שאינם בני מקבלי ברית תלמוד לומר מכם ועכשיו אל תאמר אלא מה ישראל מקבלי ברית אף הגרים מקבלי ברית יצאו מומרים שאינם מקבלי ברית שהרי הפרו ברית וכן הוא אומר זבח רשעים תועבה 
ref-Sifra.2.02-00.4,אדם כי יקריב יכול גזירה תלמוד לומר כי יקריב אינו אלא רשות קרבן לה׳ קרבן לה׳ ״ שיקדים הקדשו להקרבתו דברי ר׳ יהודה אמר ר׳ שמעון מנין שלא יאמר אדם ״לה׳ עולה שיקדים הקדשו להקרבתו דברי ר׳ יהודה אמר ר׳ שמעון מנין שלא יאמר אדם קרבן לה׳ ״ שיקדים הקדשו להקרבתו דברי ר׳ יהודה אמר ר׳ שמעון מנין שלא יאמר אדם ״לה׳ עולה׳ עולה ״לה׳ מנחה ״לה׳ שלמים׳ שלמים תלמוד לומר תלמוד לומר ״קרבן לה׳ ״ הלא דברים קל וחמר ומה מי שהוא עתיד להתקדש אמרה תורה לא יזכיר שם שמים לבטלה על הקרבן על אחת כמה וכמה שאין מזכירים שם שמים לבטלה לה׳ תלמוד לומר ״קרבן לה׳ ״ הלא דברים קל וחמר ומה מי שהוא עתיד להתקדש אמרה תורה לא יזכיר שם שמים לבטלה על הקרבן על אחת כמה וכמה שאין מזכירים שם שמים לבטלה הלא דברים קל וחמר ומה מי שהוא עתיד להתקדש אמרה תורה לא יזכיר שם שמים לבטלה על הקרבן על אחת כמה וכמה שאין מזכירים שם שמים לבטלה 
ref-Sifra.2.02-00.5,ר׳ יוסי אומר כל מקום שנאמר קרבן אמור ביוד הא שלא ליתן פתחון פה למינים לרדות 
ref-Sifra.2.02-00.6,קרבן לה׳ הבהמה יכול אף חיה שהיא קרויה בהמה שנאמר זאת הבהמה אשר תאכלו שור שה איל וצבי ויחמור תלמוד לומר ׳בקר וצאן׳ יכול לא יביא ואם הביא כשר משל למה הדבר דומה למי שאמר לו רבו לך והבא לי חטים והלך והביא לו חיטים ושעורים הרי זה מוסיף על דבריו תלמוד לומר ׳בקר וצאן תקריבו׳ אין לך בבהמה אלא בקר וצאן בלבד הא למה זה דומה למי שאמר לו רבו אל תביא לי אלא חיטים הא אם הוסיף זה על החיטים הרי הוא עובר על דבריו 
ref-Sifra.2.02-00.7,מן הבהמה להוציא את הרובע ואת הנרבע והלא דין הוא מה בעל מום שלא נעבדה בו עבירה פסול מעל גבי מזבח הרובע והנרבע שנעבדה בהן עבירה אינו דין שיפסלו מעל גבי מזבח הרי שור שחרש עם החמור יוכיח שנעבדה בו עבירה וכשר על גבי המזבח 
ref-Sifra.2.02-00.8,לא אם אמרת בשחרש שור עם החמור שאינם חייבים מיתה תאמר ברובע ונרבע שכן חייבים מיתה טול לך מה שהבאת אין לי אלא כשנעבדה בו עבירה על פי שני עדים נעבדה בו עבירה על פי עד אחד או על פי הבעלים מנין אמר ר׳ ישמעאל הריני דן ומה אם בעל מום שאין יעידת שני עדים פוסלתו מן האכילה יעידת עד אחד פוסלתו מן ההקרבה רובע ונרבע שיעידת שני עדים פוסלתו מן האכילה אינו דין שתהא יעידת עד אחד פוסלתו מן ההקרבה אמר לו רבי עקיבא לא אם אמרת בבעל מום שמומו בגלוי תאמר ברובע ונרבע שאין מומו בגלוי לא יפסל מעל גבי המזבח תלמוד לומר מן הבהמה להוציא הרובע והנרבע 
ref-Sifra.2.02-00.9,מן הבקר להוצי׳ את הנעבר והלא דין הוא ומה אם אתנן ומחיר שצפוייהן מותרים פםולין מעל גבי המזבח נעבר שצפוייהן אסורין אינו דין שיפסל מעל גבי המזבח או חילוף ומח אתנן ומחיר שהן אסורין על גבי המזבח מותרין אתה ביטלת לא תחמד כסף וזהב עליה ואני אקיימנו לא תחמד כסף וזהב עליה ולקחת לן ברב שאין בו רוח חיים אבל בדבר דבר שיש בו רוח חיים הואיל והוא מותר יהו צפוייו מות תלמוד לומר מן הבק להוציא את הנעבד 
ref-Sifra.2.02-00.10,כשהוא אומר מן הבקר למטה שאין תלמוד לומר אלא להוציא את הטריפה והלא דין הוא ומה אם בעל מום שהוא מותר בחולין פסול מעל גבי המזבח טריפה שאסורה בחולין אינו דין שתפסל מעל גבי המזבח חלב ודם יוכיחו שאסורים בחולין וכשרים על גבי המזבח מה לחלב ודם שהם מדבר מותר תאמר בטריפה שכולה אסור מליקת העוף תוכיח שכולה אסורה וכשר על גבי המזבח לא אם אמרת במליקת העוף שקדושתה אוסרתה תאמר בטריפה שאין קדושתה אוסרתה הואיל ואין קדושתה אוסרתה לא תפסל על גבי המזבח הא אם השבת כשהוא אומר למטה מן הבקר שאין תלמוד לומר אלא להוציא את הטריפה מן הצאן להוציא את המוקצה 
ref-Sifra.2.02-00.11,מן הצאן להוציא את המוקצה ומן הצאן להוציא את הנוגח אמר ר׳ שמעון אם נאמר רובע למה נאמר נוגח ואם נאמר נוגח למה נאמר רובע לפי שיש ברובע מה שאין בנוגח ובנוגח מה שאין ברובע רובע עשה בו אונס כרצון נוגח לא עשה בו אונס כרצון נוגח משלם את הכופר לאחר מיתה רובע אינו משלם את הכופר לאחר מיתה יש ברובע מה שאין בנעבד ויש בנעבד מה שאין ברובע רובע בין שלו בין של אחרים אסור נעבד שלו אסור של אחרים מותר נעבד ציפויו אסורים רובע ציופיו מותרים לפיכך צריך הכתוב לומר את כולם 
ref-Sifra.2.02-03.1,תקריבו מלמד שהוא באה נדבת שנים והלא דין הוא עולת העוף באה בנדר ונדבה ועולת בהמה באה בנדר ונדבה מה עולת העוף באה נדבת שנים אף עולת בהמה באה נדבת שנים 
ref-Sifra.2.02-03.2,או נלך לדרך זה מנחה באה בנדר ונדבה ועולת בהמה באה בנדר ונדבה מה מנחה שהיא באה בנדר ונדבה אינה באה נדבת שנים אף עולת בהמה שהיא באה בנדר ונדבה לא תבא נדבת שנים 
ref-Sifra.2.02-03.3,נראה למי דומה דנין דבר שכולו עולה לאשים מדבר שכולו עולה לאשים ואל תוכיח מנחה שאין כולה לאשים או כלך לדרך זה דנים דבר שהוא באה חובת ציבור מדבר שהוא באה חובת ציבור ואל תוכיח עולת העוף שאינה באה חובת ציבור תל ל ״תקריבו מלמד שהיא באה בנדר ונדבה נדבת שנים 
ref-Sifra.2.02-03.4,קרבנכם מלמד שהיא באה נדבת ציבור הלא דין הוא מנחה באה בנדר ונדבה ועולת בהמה באה בנדר ונדבה מה מנחה שהיא באה בנדר ונדבה אינה באה נדבת ציבור אף עולת בהמה שהיא באה בנדר ונדבה לא תבא נדבת ציבור 
ref-Sifra.2.02-03.5,לא אם אמרת במנחה שאינה באה נדבת שנים תאמר בעולת בהמה שהוא באה נדבת שנים עולת העוף תוכיח שהיא באה נדבת שנים ואינה באה נדבת ציבור 
ref-Sifra.2.02-03.6,לא אם אמרת בעולת העוף שאינה באה חובת ציבור תאמר בעולת בהמה שהיא באה חובת ציבור שלמים יוכיחו שהן באים חובת ציבור ואינם באים נדבת ציבור תלמוד לומר קרבנכם מלמד שהיא באה נדבת ציבור 
ref-Sifra.2.02-03.7,אף אתה אל תתמה על עולת בהמה שאף על פי שהיא באה חובת ציבור לא תבא נדבת ציבור 
ref-Sifra.2.02-03.8,דין אחר ומה אם היחיד שאינו מביא עולת חובה בכל יום מביא עולת בהמה נדבה ציבור שמביא עולת חובה בכל יום אינו דין שיביא עולת בהמה נדבה לא אם אמרת ביחיד שהוא מביא מנחה נדבה תאמר בציבור שאינו מביא מנחה נדבה שותפין יוכיחו שאין מביאין מנחה נדבה ומביאין עולת בהמה נדבה 
ref-Sifra.2.02-03.9,מה לשותפין שהן מביאין עולת בהמה נדבה שכן מביאין עולת העוף נדבה תאמר שיביא הציבור עולת בהמה נדבה שכן אינו מביא עולת העוף נדבה מה לציבור שאינו מביא עולת העוף נדבה שכן אינו  חובה תאמר שלא יביא הציבור עולת בהמה נדבה שכן הוא  חובה והואיל והוא מביאה חובה יביאנה נדבה מנחה תוכיח שהציבור מביאה חובה ואינו מביאה נדבה 
ref-Sifra.2.02-03.10,אף אתה אל תתמה על עולת בהמה שאף על פי שהציבור מביאה חובה לא יביאנה נדבה תלמוד לומר קרבנכם מלמד שהיא באה נדבת ציבור 
ref-Sifra.2.02-03.11,דבר אחר קרבנכם ממקום שהיחיד מביא משם הציבור מביאין 
ref-Sifra.2.03-00.1, מה תלמוד לומר שיכול לא יהיו כל הפסולים אלו נוהגים אלא בעולת נדבה עולת חובה מנין ודין הוא נאמר הבא עולת נדבה ונאמר הבא עולת חובה מה עולת נדבה כל הפסולים האלו נוהגים בה אף עולת חובה כל הפסולים האלו נוהגים בה 
ref-Sifra.2.03-00.2,לא אם אמרת בעולת נדבה שאין לה חליפין תאמר בעולת חובה שיש לה חליפין הואיל ויש לה חליפין לא יהיו כל הפסולים האלו נוהגים בה תלמוד לומר  אחד עולת נדבה ואחת עולת חובה כל הפסולים האלו נוהגים בהן 
ref-Sifra.2.03-00.3,ומנין שינהגו בתמורה ודין הוא נאמר הבא עולה ונאמר הבא תמורה מה עולה כל הפסולים האלו נוהגים בה אף תמורה כל הפסולים האלו נוהגים בה 
ref-Sifra.2.03-00.4,לא אם אמרת בעולה שאין קדושה חלה עליה בבעל מום קבוע תאמר בתמורה שקדושה חלה עליה בבעל מום קבוע הואיל וקדושה חלה עליה בבעל מום קבוע לא יהיו כל הפסולים האלו נוהגים בה תלמוד לומר אם  לרבות את התמורה 
ref-Sifra.2.03-00.5,ומנין שינהגו בשלמים ודין הוא נאמר הבא עולה ונאמר הבא שלמים מה עולה כל הפסולים האלו נוהגים בה אף שלמים כל הפסולים האלו נוהגים בהם   
ref-Sifra.2.03-00.6,קל וחומר ומה אם עולה שכשרה לבא מן העוף כל הפסולים האלו נוהגים בה שלמים שלא כשרו לבא מן העוף אינו דין שיהיו כל הפסולים האלו נוהגים בהם לא אם אמרת בעולה שלא כשרה לבא נקבות כזכרים תאמר בשלמים שכשרו לבא נקבות כזכרים הואיל וכשרו לבא נקבות כזכרים לא יהיו כל הפסולים נוהגים בהם תלמוד לומר  לרבות שלמים 
ref-Sifra.2.03-00.7,מן הבקר זה שאמרנו להוציא את הטריפה זכר ולא נקבה וכשהוא אומר למטה זכר שאין תלמוד לומר אלא להוציא טומטום ואנדרוגניס 
