baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-b,baseOrder,grp-ref-sifra,dam-lev,jac,id
ref-sifra.1.2.38-ref-sifra.1.2.52,ref-b.5.7.1.2b.21.10-ref-b.5.7.1.2b.21.23,218,283,ref-sifra.1.2.38,ref-sifra.1.2.52,8340563,8340621,ref-b.5.7.1.2b.21.10,ref-b.5.7.1.2b.21.23,לכלל כל דבר שהיה בכלל ויצא מן הכלל ללמד לא ללמד על עצמו יצא אלא ,כל דבר שהיה בכלל ויצא מן הכלל ללמד לא ללמד על עצמו יצא אלא ,15,14,8503,8503.0,7,2.0,0.078125,0.0,4080000011
ref-sifra.1.2.102-ref-sifra.1.2.108,ref-b.3.1.1.7a.13.15-ref-b.3.1.1.7a.13.21,522,569,ref-sifra.1.2.102,ref-sifra.1.2.108,2859472,2859516,ref-b.3.1.1.7a.13.15,ref-b.3.1.1.7a.13.21,להחזירו לכללו עד שיחזירנו הכתוב לכללו בפירוש ,להחזירו לכללו עד שיחזירנו לך הכתוב בפירוש ,7,7,2105,2105.0,12,12.0,0.2,0.1428571428571429,4080000012
ref-sifra.1.2.102-ref-sifra.1.2.108,ref-b.3.1.1.7a.13.33-ref-b.3.1.1.7a.13.39,522,569,ref-sifra.1.2.102,ref-sifra.1.2.108,2859571,2859615,ref-b.3.1.1.7a.13.33,ref-b.3.1.1.7a.13.39,להחזירו לכללו עד שיחזירנו הכתוב לכללו בפירוש ,להחזירו לכללו עד שיחזירנו לך הכתוב בפירוש ,7,7,2108,2108.0,13,12.0,0.2,0.1428571428571429,4080000013
ref-sifra.1.2.102-ref-sifra.1.2.108,ref-b.5.1.5.49a.12.19-ref-b.5.1.5.49a.12.25,522,569,ref-sifra.1.2.102,ref-sifra.1.2.108,6949486,6949533,ref-b.5.1.5.49a.12.19,ref-b.5.1.5.49a.12.25,להחזירו לכללו עד שיחזירנו הכתוב לכללו בפירוש ,להחזירו לכללו עד שיחזירנו הכתוב לכללו בפירוש ,7,7,5308,5308.0,14,12.0,0.0,0.0,4080000014
ref-sifra.1.3.8-ref-sifra.1.3.15,ref-b.2.11.3.16a.20.22-ref-b.2.11.3.16a.20.29,717,757,ref-sifra.1.3.8,ref-sifra.1.3.15,2694790,2694830,ref-b.2.11.3.16a.20.22,ref-b.2.11.3.16a.20.29,ואביה ירק ירק בפניה הלא תכלם שבעת ימים ,ואביה ירק ירק בפניה הלא תכלם שבעת ימים ,8,8,1943,1943.0,15,15.0,0.0,0.0,4080000015
ref-sifra.1.3.8-ref-sifra.1.3.21,ref-b.4.1.2.25a.3.17-ref-b.4.1.2.25a.3.26,717,791,ref-sifra.1.3.8,ref-sifra.1.3.21,4754431,4754483,ref-b.4.1.2.25a.3.17,ref-b.4.1.2.25a.3.26,ואביה ירק ירק בפניה הלא תכלם שבעת ימים תסגר שבעת ימים' קל וחומד לשכינה ,"ואביה ירק ירק בפניה הלא תכלם שבעת ימים ק""ו לשכינה ",14,10,3424,3424.0,16,15.0,0.30985915492957744,0.3846153846153846,4080000016
ref-sifra.1.3.8-ref-sifra.1.3.25,ref-b.4.3.8.111a.5.10-ref-b.4.3.8.111a.6.1,717,809,ref-sifra.1.3.8,ref-sifra.1.3.25,5779591,5779663,ref-b.4.3.8.111a.5.10,ref-b.4.3.8.111a.6.1,ואביה ירק ירק בפניה הלא תכלם שבעת ימים תסגר שבעת ימים' קל וחומד לשכינה ארבעה עשר יום אלא ,ואביה ירק ירק בפניה הלא תכלם שבעת ימים קל וחומר לשכינה ארבעה עשר אלא ,18,14,3802,3802.0,17,15.0,0.23595505617977527,0.2666666666666667,4080000017
ref-sifra.1.4.4-ref-sifra.1.4.35,ref-b.4.2.3.41a.18.26-ref-b.4.2.3.41b.2.6,900,1050,ref-sifra.1.4.4,ref-sifra.1.4.35,5232266,5232370,ref-b.4.2.3.41a.18.26,ref-b.4.2.3.41b.2.6,האמורה בשומר שכר משליחות יד האמורה בשומר חנם,יד האמורה בשומר שכר משליחות יד האמורה בשומר חנם ואני אומר אינה משונה ומאי משונה לא תאמר שליחות יד,32,19,3589,3589.0,18,18.0,0.5463917525773195,0.4,4080000018
ref-sifra.1.5.24-ref-sifra.1.5.31,ref-b.2.5.3.39a.3.3-ref-b.2.5.3.39a.3.15,1225,1270,ref-sifra.1.5.24,ref-sifra.1.5.31,1792737,1792806,ref-b.2.5.3.39a.3.3,ref-b.2.5.3.39a.3.15,תטמאו בהם ונטמתם בם אדם מטמא עצמו מעט מטמאין אותו הרבה מלמטה מטמאין,תטמאו בהם ונטמתם בם אדם מטמא עצמו מעט מטמאין אותו הרבה מלמטה מטמאין,8,11,1160,1160.0,20,20.0,0.0,0.0,4080000019
ref-sifra.1.5.27-ref-sifra.1.5.32,ref-b.6.7.7.55b.1.6-ref-b.6.7.7.55b.1.13,1242,1276,ref-sifra.1.5.27,ref-sifra.1.5.32,8693748,8693791,ref-b.6.7.7.55b.1.6,ref-b.6.7.7.55b.1.13,לטמא אדם במגע וכמשא ולטמא בגדים ,במשא מטמא אדם ובגדים במגע אדם מטמא בגדים ,6,8,9184,9184.0,22,20.0,0.4878048780487805,0.5,4080000020
ref-sifra.1.5.27-ref-sifra.1.5.33,ref-b.6.7.7.55b.2.19-ref-b.6.7.7.55b.2.25,1242,1279,ref-sifra.1.5.27,ref-sifra.1.5.33,8693906,8693942,ref-b.6.7.7.55b.2.19,ref-b.6.7.7.55b.2.25,מגעו למשאו לטמא אדם ולטמא בגדים אף,מגעו למשאו לטמא אדם ולטמא בגדים אף,7,7,9200,9200.0,24,24.0,0.0,0.0,4080000021
ref-sifra.1.5.27-ref-sifra.1.5.32,ref-b.6.7.7.55b.11.24-ref-b.6.7.7.55b.12.6,1242,1276,ref-sifra.1.5.27,ref-sifra.1.5.32,8694604,8694648,ref-b.6.7.7.55b.11.24,ref-b.6.7.7.55b.12.6,לטמא אדם במגע וכמשא ולטמא בגדים ,טמאתי לך ואימא במשא מטמא אדם ובגדים במגע ,6,8,9209,9205.0,23,20.0,0.6097560975609756,0.7272727272727273,4080000022
ref-sifra.1.5.42-ref-sifra.1.5.49,ref-b.2.5.3.39a.3.3-ref-b.2.5.3.39a.3.15,1320,1365,ref-sifra.1.5.42,ref-sifra.1.5.49,1792737,1792806,ref-b.2.5.3.39a.3.3,ref-b.2.5.3.39a.3.15,תטמאו בהם ונטמתם בם אדם מטמא עצמו מעט מטמאין אותו הרבה מלמטה מטמאין,תטמאו בהם ונטמתם בם אדם מטמא עצמו מעט מטמאין אותו הרבה מלמטה מטמאין,8,11,1161,1161.0,26,26.0,0.0,0.0,4080000023
ref-sifra.1.7.2-ref-sifra.1.7.11,ref-b.3.4.6.35a.8.11-ref-b.3.4.6.35a.8.18,1595,1643,ref-sifra.1.7.2,ref-sifra.1.7.11,3837097,3837134,ref-b.3.4.6.35a.8.11,ref-b.3.4.6.35a.8.18,ופרט כיצד מן הבהמה כלל מן הבקר ומן הצאן פרט ,מן פרט הבהמה כלל בקר וצאן חזר ופרט ,10,8,2700,2700.0,29,28.0,0.5,0.5,4080000024
ref-sifra.1.7.1-ref-sifra.1.8.1,ref-b.3.4.6.35b.8.3-ref-b.3.4.6.35b.9.6,1589,1684,ref-sifra.1.7.1,ref-sifra.1.8.1,3837758,3837860,ref-b.3.4.6.35b.8.3,ref-b.3.4.6.35b.9.6,מכלל ופרט כיצד מן הבהמה כלל מן הבקר ומן הצאן פרט כלל ופרט' אין בכלל אלא מה שבפרט ח מפרט ,כללי ופרטא ותרין פרטי וכללא כעין פרטא דיינינן מאי איכא ביני וביני איכא דאילו תרתין כללי ופרטא אי ,20,18,2703,2703.0,28,28.0,0.6907216494845361,0.8,4080000025
ref-sifra.1.9.7-ref-sifra.1.9.20,ref-b.2.3.3.27b.14.17-ref-b.2.3.3.27b.14.25,1826,1899,ref-sifra.1.9.7,ref-sifra.1.9.20,1024776,1024828,ref-b.2.3.3.27b.14.17,ref-b.2.3.3.27b.14.25,בבקר ובצאן וביין ובשכר מיעט ובכל אשר תשאלך נפשך,בבקר ובצאן וביין ובשכר מיעט ובכל אשר תשאלך נפשך,13,9,389,389.0,42,42.0,0.0,0.0,4080000026
ref-sifra.1.9.7-ref-sifra.1.9.20,ref-b.2.3.3.27b.15.13-ref-b.2.3.3.27b.15.22,1826,1899,ref-sifra.1.9.7,ref-sifra.1.9.20,1025018,1025073,ref-b.2.3.3.27b.15.13,ref-b.2.3.3.27b.15.22,כלל בבקר ובצאן וביין ובשכר פרט ובכל אשר תשאלך נפשך,כלל בבקר ובצאן וביין ובשכר פרט ובכל אשר תשאלך נפשך,13,10,391,391.0,43,43.0,0.0,0.0,4080000027
ref-sifra.1.8.14-ref-sifra.1.8.25,ref-b.2.4.9.95a.6.18-ref-b.2.4.9.95a.6.24,1733,1790,ref-sifra.1.8.14,ref-sifra.1.8.25,1599401,1599438,ref-b.2.4.9.95a.6.18,ref-b.2.4.9.95a.6.24,כפרט וכלל ונעשה כלל מוסיף על הפרט,כפרט וכלל ונעשה כלל מוסיף על הפרט,12,7,859,859.0,34,34.0,0.0,0.0,4080000028
ref-sifra.1.8.9-ref-sifra.1.8.22,ref-b.3.4.6.35a.5.13-ref-b.3.4.6.35a.5.24,1715,1776,ref-sifra.1.8.9,ref-sifra.1.8.22,3836845,3836896,ref-b.3.4.6.35a.5.13,ref-b.3.4.6.35a.5.24,חמור או שור או שה פרט וכל בהמה כלל לשמור חזר ופרט,חמור או שור או שה פרט וכל בהמה כלל לשמור חזר ופרט,12,12,2698,2698.0,31,31.0,0.0,0.0,4080000029
ref-sifra.1.9.7-ref-sifra.1.9.20,ref-b.3.4.6.35b.2.8-ref-b.3.4.6.35b.4.16,1826,1899,ref-sifra.1.9.7,ref-sifra.1.9.20,3837275,3837440,ref-b.3.4.6.35b.2.8,ref-b.3.4.6.35b.4.16,כלל בבקר ובצאן וביין ובשכר פרט ובכל אשר תשאלך נפשך,בקר וצאן והוה ליה פרט וכלל ואי אתה דן אלא כעין הפרט ומנלן דהכי הוא דתניא ונתת הכסף בכל אשר תאוה נפשך כלל בבקר ובצאן וביין ובשכר פרט ובכל אשר תשאלך נפשך,13,32,2701,2701.0,44,44.0,0.6688741721854304,0.5652173913043479,4080000030
ref-sifra.1.8.18-ref-sifra.1.9.25,ref-b.4.1.5.54b.19.16-ref-b.4.1.5.54b.22.4,1753,1926,ref-sifra.1.8.18,ref-sifra.1.9.25,4857275,4857507,ref-b.4.1.5.54b.19.16,ref-b.4.1.5.54b.22.4,בכלל ופרט דתניא ונתת הכסף בכל אשר תאוה נפשך כלל בבקר ובצאן וביין ובשכר פרט ובכל אשר תשאלך נפשך חזר וכלל כלל ופרט וכלל אי אתה דן אלא כעין הפרט מה הפרט מפורש פרי מפרי וגידולי קרקע אף כל פרי מפרי וגידולי קרקע אמרי בכל כללא כל,בכלל ופרט דתניא ונתת הכסף בכל אשר תאוה נפשך כלל בבקר ובצאן וביין ובשכר פרט ובכל אשר תשאלך נפשך חזר וכלל כלל ופרט וכלל אי אתה דן אלא כעין הפרט מה הפרט מפורש פרי מפרי וגידולי קרקע אף כל פרי מפרי וגידולי קרקע אמרי בכל כללא כל,28,47,3487,3487.0,37,37.0,0.0,0.0,4080000031
ref-sifra.1.8.18-ref-sifra.1.9.25,ref-b.4.1.7.63a.6.15-ref-b.4.1.7.63a.8.4,1753,1926,ref-sifra.1.8.18,ref-sifra.1.9.25,4884828,4885060,ref-b.4.1.7.63a.6.15,ref-b.4.1.7.63a.8.4,בכלל ופרט דתני' ונתת הכסף בכל אשר תאוה נפשך כלל בבקר ובצאן וביין ובשכר פרט ובכל אשר תשאלך נפשך חזר וכלל כלל ופרט וכלל אי אתה דן אלא כעין הפרט מה הפרט מפורש פרי מפרי וגידולי קרקע אף כל פרי מפרי וגידולי קרקע אמרי בכל כללא כל,בכלל ופרט דתני' ונתת הכסף בכל אשר תאוה נפשך כלל בבקר ובצאן וביין ובשכר פרט ובכל אשר תשאלך נפשך חזר וכלל כלל ופרט וכלל אי אתה דן אלא כעין הפרט מה הפרט מפורש פרי מפרי וגידולי קרקע אף כל פרי מפרי וגידולי קרקע אמרי בכל כללא כל,28,47,3490,3490.0,38,38.0,0.0,0.0,4080000032
ref-sifra.1.8.11-ref-sifra.1.9.1,ref-b.4.1.7.64a.7.17-ref-b.4.1.7.64a.7.30,1723,1796,ref-sifra.1.8.11,ref-sifra.1.9.1,4888243,4888312,ref-b.4.1.7.64a.7.17,ref-b.4.1.7.64a.7.30,שור או שה פרט וכל בהמה לשמור כלל פרט וכלל' נעשה כלל מוסף על הפרט מכלל ,שור פרט וגניבה כלל פרט וכלל נעשה כלל מוסיף על הפרט ואיתרבו להו כל ,16,14,3492,3492.0,33,30.0,0.44285714285714284,0.5333333333333333,4080000033
ref-sifra.1.8.9-ref-sifra.1.8.17,ref-b.4.2.4.57b.15.14-ref-b.4.2.4.57b.15.22,1715,1752,ref-sifra.1.8.9,ref-sifra.1.8.17,5286270,5286307,ref-b.4.2.4.57b.15.14,ref-b.4.2.4.57b.15.22,חמור או שור או שה פרט וכל בהמה לשמור ,חמור או שור או שה פרט וכל בהמה לשמור ,9,9,3629,3629.0,30,30.0,0.0,0.0,4080000034
ref-sifra.1.8.14-ref-sifra.1.9.2,ref-b.5.2.5.55b.14.12-ref-b.5.2.5.55b.15.19,1733,1802,ref-sifra.1.8.14,ref-sifra.1.9.2,7312920,7313020,ref-b.5.2.5.55b.14.12,ref-b.5.2.5.55b.15.19,ופרט מתקיף לה רב אשי האי כלל ופרט הוא פרט וכלל הוא ונעשה כלל מוסיף על הפרט ואיתרבי להו כל,בכלל ופרט מתקיף לה רב אשי האי כלל ופרט הוא פרט וכלל הוא ונעשה כלל מוסיף על הפרט ואיתרבי להו כל,14,21,6521,6521.0,35,35.0,0.05319148936170213,0.0,4080000035
ref-sifra.1.9.39-ref-sifra.1.9.52,ref-b.2.3.3.27b.16.6-ref-b.2.3.3.27b.16.12,1985,2055,ref-sifra.1.9.39,ref-sifra.1.9.52,1025213,1025244,ref-b.2.3.3.27b.16.6,ref-b.2.3.3.27b.16.12,וולד וולדות הארץ וגדולי קרקע אף אין לי אלא כל דבר' שהוא וולד וולדות ,ולד ולדות הארץ אף כל ולד ולדות ,14,7,393,393.0,48,48.0,0.5441176470588235,0.5,4080000036
ref-sifra.1.11.8-ref-sifra.1.11.14,ref-b.2.4.10.120a.12.10-ref-b.2.4.10.120a.12.16,2366,2394,ref-sifra.1.11.8,ref-sifra.1.11.14,1677022,1677050,ref-b.2.4.10.120a.12.10,ref-b.2.4.10.120a.12.16,ללמד לא ללמד על עצמו יצא אלא ,ללמד לא ללמד על עצמו יצא אלא ,7,7,891,890.0,55,49.0,0.0,0.0,4080000037
ref-sifra.1.11.8-ref-sifra.1.11.14,ref-b.3.1.1.7a.8.16-ref-b.3.1.1.7a.8.22,2366,2394,ref-sifra.1.11.8,ref-sifra.1.11.14,2858969,2858997,ref-b.3.1.1.7a.8.16,ref-b.3.1.1.7a.8.22,ללמד לא ללמד על עצמו יצא אלא ,ללמד לא ללמד על עצמו יצא אלא ,7,7,2089,2088.0,56,49.0,0.0,0.0,4080000038
ref-sifra.1.11.8-ref-sifra.1.11.14,ref-b.5.2.5.55b.7.20-ref-b.5.2.5.55b.7.26,2366,2394,ref-sifra.1.11.8,ref-sifra.1.11.14,7312086,7312114,ref-b.5.2.5.55b.7.20,ref-b.5.2.5.55b.7.26,ללמד לא ללמד על עצמו יצא אלא ,ללמד לא ללמד על עצמו יצא אלא ,7,7,6513,6512.0,57,49.0,0.0,0.0,4080000039
ref-sifra.1.11.8-ref-sifra.1.11.16,ref-b.5.4.1.6a.2.16-ref-b.5.4.1.6a.2.28,2366,2402,ref-sifra.1.11.8,ref-sifra.1.11.16,7940018,7940076,ref-b.5.4.1.6a.2.16,ref-b.5.4.1.6a.2.28,ללמד לא ללמד על עצמו יצא אלא ללמד על ,ללמד לא ללמד על עצמו יצא אלא ללמד על הכלל כולו יצא ולעולם ,9,13,7796,7795.0,58,49.0,0.3620689655172414,0.2857142857142857,4080000040
ref-sifra.1.10.1-ref-sifra.1.10.48,ref-b.5.4.2.19a.3.26-ref-b.5.4.2.19a.5.22,2096,2334,ref-sifra.1.10.1,ref-sifra.1.10.48,7988349,7988559,ref-b.5.4.2.19a.3.26,ref-b.5.4.2.19a.5.22,"מכלל הצריך לפרט ומפרט הצריך לכלל כיצד קדש לי כל בכור יכול אפילו נקבה במשמע תלמוד לומר זכר אי זכר יכול אפי' יצתה נקבה לפניו תלמוד לומר פטר רחם אי פטר רחם יכול אפילו יצא אחר יוצא דופן ת""ל בכור תנו רבנן מכלל הצריך לפרט ומפרט הצריך לכלל","בכור תנו רבנן מכלל הצריך לפרט ומפרט הצריך לכלל כיצד קדש לי כל בכור יכול אפילו נקבה במשמע תלמוד לומר זכר אי זכר יכול אפי' יצתה נקבה לפניו תלמוד לומר פטר רחם אי פטר רחם יכול אפילו יצא אחר יוצא דופן ת""ל בכור",40,9,7849,7849.0,49,49.0,0.2413793103448276,0.0,4080000041
ref-sifra.1.10.20-ref-sifra.1.10.36,ref-b.5.4.2.19a.7.12-ref-b.5.4.2.19a.7.20,2189,2275,ref-sifra.1.10.20,ref-sifra.1.10.36,7988749,7988787,ref-b.5.4.2.19a.7.12,ref-b.5.4.2.19a.7.20,"אי זכר יכול אפי' יוצא דופן ת""ל פטר רחם","אי זכר יכול אפי' יוצא דופן ת""ל פטר רחם",10,9,7852,7852.0,50,50.0,0.0,0.0,4080000042
ref-sifra.1.10.25-ref-sifra.1.10.40,ref-b.5.4.2.19a.8.15-ref-b.5.4.2.19b.1.8,2213,2291,ref-sifra.1.10.25,ref-sifra.1.10.40,7988855,7988940,ref-b.5.4.2.19a.8.15,ref-b.5.4.2.19b.1.8,לפניו תלמוד לומר פטר רחם אי פטר רחם' יכול אפילו לאחר יוצא דופן תלמוד לומד בכור ,אחר יוצא דופן קדוש בכור דכתב רחמנא למה לי אי למעוטי היכא דיצתה נקבה לפניו מפטר רחם ,16,17,7854,7854.0,52,49.0,0.7831325301204819,0.6666666666666667,4080000043
ref-sifra.1.10.48-ref-sifra.1.11.14,ref-b.5.7.1.2b.21.10-ref-b.5.7.1.2b.21.23,2329,2394,ref-sifra.1.10.48,ref-sifra.1.11.14,8340563,8340621,ref-b.5.7.1.2b.21.10,ref-b.5.7.1.2b.21.23,לכלל כל דבר שהיה בכלל ויצא מן הכלל ללמד לא ללמד על עצמו יצא אלא ,כל דבר שהיה בכלל ויצא מן הכלל ללמד לא ללמד על עצמו יצא אלא ,15,14,8504,8503.0,54,49.0,0.078125,0.0,4080000044
ref-sifra.1.11.25-ref-sifra.1.11.39,ref-b.3.1.1.7a.10.5-ref-b.3.1.1.7a.10.13,2442,2529,ref-sifra.1.11.25,ref-sifra.1.11.39,2859084,2859137,ref-b.3.1.1.7a.10.5,ref-b.3.1.1.7a.10.13,מזבח השלמים אשר ליי' וטמאתו עליו ונכרתה הנפש ההיא והלא שלמים בכלל כל הקדשים היו ,מזבח השלמים וטומאתו עליו והלא שלמים בכלל קדשים היו ,15,9,2090,2090.0,59,59.0,0.3875,0.36363636363636365,4080000045
ref-sifra.1.11.35-ref-sifra.1.11.49,ref-b.3.4.6.45b.8.3-ref-b.3.4.6.45b.9.4,2504,2600,ref-sifra.1.11.35,ref-sifra.1.11.49,3859652,3859744,ref-b.3.4.6.45b.8.3,ref-b.3.4.6.45b.9.4,שלמים בכלל כל הקדשים היו דכתיב זאת התורה לעולה ולמנחה לחטאת ולאשם ולמלוא' ולזבח השלמים ,לחטאת ואשם הוא דאתא אם כן לימא שלמים וזבח מאי זבח השלמים שמע מינה תרתי תנו רבנן הכל היו ,15,19,2734,2734.0,60,59.0,0.8068181818181818,0.9130434782608696,4080000046
ref-sifra.1.13.24-ref-sifra.1.13.34,ref-b.5.3.2.27a.15.10-ref-b.5.3.2.27a.15.21,3214,3277,ref-sifra.1.13.24,ref-sifra.1.13.34,7559509,7559569,ref-b.5.3.2.27a.15.10,ref-b.5.3.2.27a.15.21,בראש או בזקן והלא הראש והזקן' בכלל עור ובשר' היו וכשיצאו ,הראש ואת הפדר והלא ראש ופדר בכלל כל הנתחי' היו למה יצאו ,11,12,7357,7350.0,61,61.0,0.43859649122807015,0.7692307692307692,4080000047
ref-sifra.1.13.30-ref-sifra.1.13.46,ref-b.6.7.4.35a.14.8-ref-b.6.7.4.35a.14.19,3249,3343,ref-sifra.1.13.30,ref-sifra.1.13.46,8627266,8627326,ref-b.6.7.4.35a.14.8,ref-b.6.7.4.35a.14.19,בכלל עור ובשר' היו וכשיצאו מן הכלל ליטען טען אחד שלא כענינו יצאו להקל ולהחמיר להקל עליהן ,בכלל בעל קרי היה ולמה יצא להקל עליו ולהחמיר עליו להקל עליו ,17,12,9025,9025.0,62,61.0,0.5842696629213483,0.75,4080000048
ref-sifra.1.14.14-ref-sifra.1.14.33,ref-b.3.1.1.7a.13.15-ref-b.3.1.1.7a.14.13,3459,3574,ref-sifra.1.14.14,ref-sifra.1.14.33,2859472,2859683,ref-b.3.1.1.7a.13.15,ref-b.3.1.1.7a.14.13,להחזירו לכללו עד שיחזירנו לך הכתוב בפירוש דתניא דבר שהיה בכלל ויצא לידון בדבר החדש אי אתה רשאי להחזירו לכללו עד שיחזירנו לך הכתוב בפירוש כיצד ושחט את הכבש במקום אשר ישחט את החטאת ואת העולה במקום הקדש,להחזירו לכללו עד שיחזירנו לך הכתוב בפירוש דתניא דבר שהיה בכלל ויצא לידון בדבר החדש אי אתה רשאי להחזירו לכללו עד שיחזירנו לך הכתוב בפירוש כיצד ושחט את הכבש במקום אשר ישחט את החטאת ואת העולה במקום הקדש,7,7,2106,2106.0,65,65.0,0.0,0.0,4080000049
ref-sifra.1.14.22-ref-sifra.1.14.31,ref-b.5.1.5.48a.23.8-ref-b.5.1.5.48a.23.14,3512,3563,ref-sifra.1.14.22,ref-sifra.1.14.31,6946499,6946534,ref-b.5.1.5.48a.23.8,ref-b.5.1.5.48a.23.14,ושחט את הכבש במקום אשר ישחט את החטאת ואת העולה ,ושחט אותו במקום אשר ישחט את העולה ,10,7,5272,5272.0,69,63.0,0.3404255319148936,0.2857142857142857,4080000050
