baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-y,baseOrder,grp-ref-m,dam-lev,jac,lcc_len,lcs_str,id,bRangeOriginal,cRangeOriginal
ref-m.1.1.1.5.1-ref-m.1.1.1.5.54,ref-y.1.1.1.5.22.68-ref-y.1.1.1.5.22.126,1261,1548,ref-m.1.1.1.5.1,ref-m.1.1.1.5.54,28207,28512,ref-y.1.1.1.5.22.68,ref-y.1.1.1.5.22.126,מזכירין יציאת מצרים בלילות אמר רבי אלעזר בן עזריה הרי אני כבן שבעים שנה ולא זכיתי שתאמר יציאת מצרים בלילות עד שדרשה בן זומא שנאמר למען תזכור את יום צאתך מארץ מצרים כל ימי חייך ימי חייך הימים כל ימי חייך הלילות וחכמים אומרים ימי חייך העולם הזה כל ימי חייך להביא לימות המשיח ,מזכירין יציאת מצרים בלילות אמר להן רבי אלעזר בן עזריה הרי אני בבן שבעים שנה ולא זכיתי שתאמר יציאת מצרים בלילו' עד שדרשה בן זומא שנאמר למען תזכור את יום צאתך מארץ מצרים כל ימי חייך ימי א חייך הימים כל ימי חייך הלילות וחכמים אומרים ימי חייך העולם הזה כל ימי חייך העולם הבא להביא את ימות המשיח ,51,54,30,30.0,14,14.0,0.0756013745704467,0.1142857142857143,46,מזכירין יציאת מצרים בלילות הרי אני שבעים שנה ולא זכיתי שתאמר יציאת מצרים עד שדרשה בן זומא שנאמר למען תזכור את יום צאתך מארץ מצרים כל ימי חייך ימי חייך הימים כל ימי חייך הלילות וחכמים אומרים ימי חייך העולם הזה כל ימי חייך להביא המשיח,1070000011,51,54
ref-m.1.1.1.5.26-ref-m.1.1.1.5.38,ref-y.1.1.3.1.3.4-ref-y.1.1.3.1.3.14,1398,1460,ref-m.1.1.1.5.26,ref-m.1.1.1.5.38,61491,61542,ref-y.1.1.3.1.3.4,ref-y.1.1.3.1.3.14,למען תזכור את יום צאתך מארץ מצרים כל ימי חייך ימים,למען תזכור את יום צאתך מארץ מצרים כל ימי חייך ימים,11,11,48,48.0,15,15.0,0.0,0.0,11,למען תזכור את יום צאתך מארץ מצרים כל ימי חייך ימים,1070000012,11,11
ref-m.1.1.2.1.15-ref-m.1.1.2.1.42,ref-y.1.1.2.1.17.93-ref-y.1.1.2.1.17.162,1615,1782,ref-m.1.1.2.1.15,ref-m.1.1.2.1.42,35762,36146,ref-y.1.1.2.1.17.93,ref-y.1.1.2.1.17.162,"ובפרקים שואל מפני הבבוד ומשיב מפני מה הוא משיב מפני היראה או מפני הכבוד נשמעינא מן הדא ובאמצע שואל מפני הירא' ומשיב מפני הככוד דברי ר""מ הא בקדמית' שואל מפני הכבוד ומשיב מפני הכבוד ובאמצ' שואל מפני היראה ומשיב דברי ר""מ מפני מה הו' משיב מפני היראה או מפני הכבוד נשמעינה מן הדא ר' יהודה או' באמצע","ובפרקים שואל מפני הבבוד ומשיב מפני מה הוא משיב מפני היראה או מפני הכבוד נשמעינא מן הדא ובאמצע שואל מפני הירא' ומשיב מפני הככוד דברי ר""מ הא בקדמית' שואל מפני הכבוד ומשיב מפני הכבוד ובאמצ' שואל מפני היראה ומשיב דברי ר""מ מפני מה הו' משיב מפני היראה או מפני הכבוד נשמעינה מן הדא ר' יהודה או' באמצע שואל מפני חיראה ומשיב מפני הכבוד הא קדמיתא שואל מפני היראה ומשיב מפני",53,66,33,32.0,17,17.0,0.1928374655647383,0.0833333333333333,53,"ובפרקים שואל מפני הבבוד ומשיב מפני מה הוא משיב מפני היראה או מפני הכבוד נשמעינא מן הדא ובאמצע שואל מפני הירא' ומשיב מפני הככוד דברי ר""מ הא בקדמית' שואל מפני הכבוד ומשיב מפני הכבוד ובאמצ' שואל מפני היראה ומשיב דברי ר""מ מפני מה הו' משיב מפני היראה או מפני הכבוד נשמעינה_מן_הדא ר'_יהודה_או' באמצע",1070000013,53,66
ref-m.1.1.2.2.1-ref-m.1.1.2.2.34,ref-y.1.1.2.1.19.27-ref-y.1.1.2.1.19.60,1797,1973,ref-m.1.1.2.2.1,ref-m.1.1.2.2.34,36285,36463,ref-y.1.1.2.1.19.27,ref-y.1.1.2.1.19.60,אלו הן בין הפרקים בין ברכה ראשונה לשניה בין שניה לשמע ובין שמע לוהיה אם שמוע בין והיה אם שמוע לויאמר בין ויאמר לאמת ויציב רבי יהודה אומר בין ויאמר לאמת ויציב לא יפסיק ,ואילו הן בין הפרקים בין ברכה ראשונה לשניה בין שניה לשמע בין שמע לוהיה אם שמוע בין והיה אם שמוע לויאמר בין ויאמר לאמת ויציב רבי יהודה אומר בין ויאמר לאמת ויציב לא יפסיק ,32,32,35,35.0,20,20.0,0.0178571428571428,0.0714285714285714,30,הן בין הפרקים בין ברכה ראשונה לשניה בין שניה לשמע שמע לוהיה אם שמוע בין והיה אם שמוע לויאמר בין ויאמר לאמת ויציב רבי_יהודה_אומר בין ויאמר לאמת ויציב לא יפסיק,1070000014,32,32
ref-m.1.1.2.2.40-ref-m.1.1.2.2.70,ref-y.1.1.2.1.19.79-ref-y.1.1.2.1.19.109,1996,2151,ref-m.1.1.2.2.40,ref-m.1.1.2.2.70,36552,36705,ref-y.1.1.2.1.19.79,ref-y.1.1.2.1.19.109,למה קדמה שמע לוהיה אם שמוע אלא כדי שיקבל עליו עול מלכות שמים תחלה ואחר כך יקבל עליו עול מצות והיה אם שמוע לויאמר שוהיה אם שמוע נוהג ביום ובלילה ויאמר ,למה קדמ' שמע לוהיה אם שמוע אלא שיקבל עליו מלכות שמים תחילה ואחר כך יקבל עליו עול מצות והיה אם שמוע לויאמר שוהיה אם שמוע נוהג בין ביום בין בלילה ויאמר ,31,26,36,36.0,21,21.0,0.14,0.4285714285714286,23,למה שמע לוהיה אם שמוע אלא שיקבל עליו מלכות שמים יקבל עליו עול מצות והיה אם שמוע לויאמר שוהיה אם שמוע נוהג ויאמר,1070000015,31,26
ref-m.1.1.2.2.48-ref-m.1.1.2.2.59,ref-y.1.1.2.1.19.184-ref-y.1.1.2.1.19.193,2031,2090,ref-m.1.1.2.2.48,ref-m.1.1.2.2.59,37072,37123,ref-y.1.1.2.1.19.184,ref-y.1.1.2.1.19.193,שיקבל עליו עול מלכות שמים תחלה ואחר כך יקבל עליו עול מצות ,"יקבל עליו מלכו' שמי' תחילה וא""חב יקבל עליו עול מצות ",12,10,37,37.0,22,21.0,0.2241379310344827,0.6666666666666667,5,עליו יקבל עליו עול מצות,1070000016,12,10
ref-m.1.1.2.2.49-ref-m.1.1.2.2.58,ref-y.3.7.1.2.30.46-ref-y.3.7.1.2.30.52,2038,2085,ref-m.1.1.2.2.49,ref-m.1.1.2.2.58,2847311,2847348,ref-y.3.7.1.2.30.46,ref-y.3.7.1.2.30.52,עליו עול מלכות שמים תחלה ואחר כך יקבל עליו עול ,מעליה עול מלכות שמים וקיבלה עליה עול ,10,7,6184,6184.0,23,21.0,0.3617021276595745,0.4285714285714286,4,עול מלכות שמים עול,1070000017,10,7
ref-m.1.1.2.3.4-ref-m.1.1.2.3.34,ref-y.1.1.2.3.17.103-ref-y.1.1.2.3.17.136,2186,2343,ref-m.1.1.2.3.4,ref-m.1.1.2.3.34,42975,43146,ref-y.1.1.2.3.17.103,ref-y.1.1.2.3.17.136,ולא השמיע לאזנו יצא רבי יוסי אומר לא יצא קרא ולא דקדק באותיותיה רבי יוסי אומר יצא רבי יהודה אומר לא יצא הקורא למפרע לא יצא קרא וטעה יחזור למקום שטעה ,ולא השמיע לאזנו רבי יודה אומר יצא רבי יוסי אומר לא יצא קרא ולא דיקדק באותיותיה ר' יוסי אומר יצא רבי יהודה אומר לא יצא הקורא למפרע לא יצא קרא וטעה יחזור למקום שטעה ,23,24,38,38.0,25,24.0,0.1042944785276073,0.0666666666666666,21,ולא השמיע לאזנו יצא רבי_יוסי_אומר_לא יצא קרא ולא באותיותיה יצא רבי_יהודה_אומר_לא יצא הקורא למפרע לא יצא קרא וטעה יחזור למקום שטעה,1070000018,23,24
ref-m.1.1.2.3.4-ref-m.1.1.2.3.12,ref-y.1.6.1.1.18.14-ref-y.1.6.1.1.18.22,2186,2228,ref-m.1.1.2.3.4,ref-m.1.1.2.3.12,535450,535492,ref-y.1.6.1.1.18.14,ref-y.1.6.1.1.18.22,ולא השמיע לאזנו יצא רבי יוסי אומר לא יצא ,ולא השמיע לאזנו יצא רבי יוסי אומר לא יצא ,6,6,870,870.0,24,24.0,0.0,0.0,6,ולא השמיע לאזנו יצא רבי_יוסי_אומר_לא יצא,1070000019,6,6
ref-m.1.1.2.4.1-ref-m.1.1.2.4.13,ref-y.1.1.2.4.15.89-ref-y.1.1.2.4.15.101,2344,2419,ref-m.1.1.2.4.1,ref-m.1.1.2.4.13,49213,49288,ref-y.1.1.2.4.15.89,ref-y.1.1.2.4.15.101,האומנין קורין בראש האילן או בראש הנדבך מה שאינן רשאין לעשות כן בתפלה ,האומני' קורין בראש האילן או בראש הנדבך מה שאין רשאין לעשו' כן בתפילה ,13,13,40,40.0,26,26.0,0.0579710144927536,0.4615384615384615,9,קורין בראש האילן או בראש הנדבך מה רשאין כן,1070000020,13,13
ref-m.1.1.2.5.1-ref-m.1.1.2.5.43,ref-y.1.1.2.5.8.61-ref-y.1.1.2.5.8.98,2420,2655,ref-m.1.1.2.5.1,ref-m.1.1.2.5.43,50821,51022,ref-y.1.1.2.5.8.61,ref-y.1.1.2.5.8.98,חתן פטור מקריאת שמע בלילה הראשון עד מוצאי שבת אם לא עשה מעשה מעשה ברבן גמליאל שקרא בלילה הראשון שנשא אמרו לו תלמידיו לא למדתנו רבינו שחתן פטור מקריאת שמע בלילה הראשון אמר להם איני שומע לכם לבטל ממני מלכות שמים אפילו שעה אחת ,חתן פטור מקרית שמע לילה הראשון עד מוצאי שבת אם לא עשה מעש' מעש' ברבן גמליאל שנשא וקר' לילה הראשון אמרו לו תלמידיו לימדתנו רבינו שחתן פטור אמ' להם איני שומע לכם לבטל ממני מלכות שמים אפילו שעה אחת ,44,37,41,41.0,27,27.0,0.2053571428571428,0.2727272727272727,27,חתן פטור שמע הראשון עד מוצאי שבת אם לא עשה ברבן גמליאל שנשא רבינו שחתן פטור להם איני שומע לכם לבטל ממני מלכות שמים אפילו שעה אחת,1070000021,44,37
ref-m.1.1.2.5.35-ref-m.1.1.2.5.40,ref-y.1.1.2.9.3.69-ref-y.1.1.2.9.3.74,2607,2641,ref-m.1.1.2.5.35,ref-m.1.1.2.5.40,60861,60895,ref-y.1.1.2.9.3.69,ref-y.1.1.2.9.3.74,איני שומע לכם לבטל ממני מלכות שמים ,איני שומע לכם לבטל ממני מלכות שמים ,7,7,47,47.0,28,27.0,0.0,0.0,7,איני שומע לכם לבטל ממני מלכות שמים,1070000022,7,7
ref-m.1.1.2.5.35-ref-m.1.1.2.5.43,ref-y.2.1.1.2.7.68-ref-y.2.1.1.2.7.75,2607,2655,ref-m.1.1.2.5.35,ref-m.1.1.2.5.43,899792,899834,ref-y.2.1.1.2.7.68,ref-y.2.1.1.2.7.75,איני שומע לכם לבטל ממני מלכות שמים אפילו שעה אחת ,איני שומע לכם לבטל ממני מלכו' שמים שעה אחת ,10,9,1877,1877.0,29,27.0,0.1428571428571428,0.2727272727272727,8,איני שומע לכם לבטל ממני שמים שעה אחת,1070000023,10,9
ref-m.1.1.2.6.1-ref-m.1.1.2.6.22,ref-y.1.1.2.6.4.141-ref-y.1.1.2.6.4.161,2656,2769,ref-m.1.1.2.6.1,ref-m.1.1.2.6.22,52611,52723,ref-y.1.1.2.6.4.141,ref-y.1.1.2.6.4.161,רחץ לילה הראשון שמתה אשתו אמרו לו תלמידיו לא למדתנו רבינו שאבל אסור לרחוץ אמר להם איני כשאר כל אדם אסטניס אני ,רחץ לילה הראשון שמתה אשתו אמרו לו תלמידיו לימדתנו רבינו שאבל אסו' לרחוץ אמ' להן איני כשאר כל אד' איסטניס אני ,22,19,43,43.0,30,30.0,0.0909090909090909,0.4499999999999999,12,רחץ לילה הראשון שמתה אשתו רבינו שאבל לרחוץ איני כשאר כל אני,1070000024,22,19
ref-m.1.1.2.7.1-ref-m.1.1.2.7.27,ref-y.1.1.2.7.6.127-ref-y.1.1.2.7.6.161,2770,2912,ref-m.1.1.2.7.1,ref-m.1.1.2.7.27,54503,54693,ref-y.1.1.2.7.6.127,ref-y.1.1.2.7.6.161,וכשמת טבי עבדו קיבל עליו תנחומין אמרו לו לא לימדתנו רבינו שאין מקבלין תנחומין על העבדים אמר ליה אין טבי עבדי כשאר העבדים כשר היה הא כני חורים אחרים מקבלין תנחומין עליהן ביני מתנייתה אין,וכשמת טבי עבדו קיבל עליו תנחומין אמרו לו לא לימדתנו רבינו שאין מקבלין תנחומין על העבדים אמר ליה אין טבי עבדי כשאר העבדים כשר היה הא כני חורים אחרים מקבלין תנחומין עליהן ביני מתנייתה אין,31,31,44,44.0,31,31.0,0.0,0.0,31,וכשמת טבי עבדו קיבל עליו תנחומין אמרו_לו_לא לימדתנו רבינו שאין מקבלין תנחומין על העבדים אמר_ליה_אין טבי עבדי כשאר העבדים כשר היה הא כני חורים אחרים מקבלין תנחומין עליהן ביני מתנייתה אין,1070000025,31,31
ref-m.1.1.2.8.1-ref-m.1.1.2.8.21,ref-y.1.1.2.8.10.134-ref-y.1.1.2.8.10.155,2913,3014,ref-m.1.1.2.8.1,ref-m.1.1.2.8.21,59658,59762,ref-y.1.1.2.8.10.134,ref-y.1.1.2.8.10.155,חתן אם רצה לקרות קריאת שמע לילה הראשון קורא רבן שמעון בן גמליאל אומר לא כל הרוצה ליטול את השם יטול ,חתן אם רוצה לקרות את שמע בלילה הראשון קורא רבן שמעון בן גמליאל אומ' לא כל הרוצ' ליטול לו את השם יטול ,16,18,46,46.0,33,33.0,0.1089108910891089,0.2666666666666667,11,חתן אם לקרות שמע הראשון קורא כל ליטול את השם יטול,1070000026,16,18
ref-m.1.1.3.1.12-ref-m.1.1.3.1.16,ref-y.3.4.9.3.5.30-ref-y.3.4.9.3.5.34,3076,3113,ref-m.1.1.3.1.12,ref-m.1.1.3.1.16,2817841,2817882,ref-y.3.4.9.3.5.30,ref-y.3.4.9.3.5.34,נושאי המטה וחלופיהן וחלופי חלופיהן ,נושאי המיטה וחילופיהן וחילופי חילופיהן ,5,5,6143,6143.0,34,34.0,0.1025641025641025,0.0,1,נושאי,1070000027,5,5
ref-m.1.1.3.2.1-ref-m.1.1.3.2.23,ref-y.1.1.3.1.26.25-ref-y.1.1.3.1.26.47,3233,3372,ref-m.1.1.3.2.1,ref-m.1.1.3.2.23,68397,68536,ref-y.1.1.3.1.26.25,ref-y.1.1.3.1.26.47,קברו את המת חזרו אם יכולין להתחיל ולגמור עד שלא יגיעו לשורה יתחילו ואם לאו לא יתחילו העומדים בשורה הפנימים פטורים והחיצונים חייבין ,קברו את המת וחזרו אם יכולין להתחיל ולגמור עד שלא יגיעו לשור' יתחילו ואם לאו לא יתחילו העומדי' בשור' הפנימי' פטורין החיצונים חייבין ,21,21,54,54.0,35,35.0,0.0534351145038167,0.3809523809523809,14,קברו את המת אם יכולין להתחיל ולגמור עד שלא יגיעו יתחילו ואם_לאו_לא יתחילו חייבין,1070000028,21,21
ref-m.1.1.3.3.1-ref-m.1.1.3.3.13,ref-y.1.1.3.2.4.98-ref-y.1.1.3.2.4.110,3373,3466,ref-m.1.1.3.3.1,ref-m.1.1.3.3.13,69836,69929,ref-y.1.1.3.2.4.98,ref-y.1.1.3.2.4.110,נשים ועבדים וקטנים פטורין מקריאת שמע ומן התפילין וחייבין בתפלה ובמזוזה ובברכת המזון ,נשים ועבדים וקטני' פטורין מקרית שמע ומן התפילין וחייבין בתפילה ובמזוזה ובברכת המזון ,13,13,56,56.0,37,35.0,0.0357142857142857,0.1428571428571429,10,נשים ועבדים פטורין שמע ומן התפילין וחייבין ובמזוזה ובברכת המזון,1070000029,13,13
ref-m.1.1.3.2.20-ref-m.1.1.3.3.1,ref-y.4.4.2.2.5.43-ref-y.4.4.2.2.5.47,3339,3377,ref-m.1.1.3.2.20,ref-m.1.1.3.3.1,3167166,3167206,ref-y.4.4.2.2.5.43,ref-y.4.4.2.2.5.47,הפנימים פטורים והחיצונים חייבין נשים ,הפנימין פטורין והחיצונין חייבין כמשנה ,5,5,6878,6878.0,36,35.0,0.1842105263157894,0.8888888888888888,1,חייבין,1070000030,5,5
ref-m.1.1.3.4.6-ref-m.1.1.3.4.17,ref-y.1.1.1.4.3.105-ref-y.1.1.1.4.3.113,3494,3563,ref-m.1.1.3.4.6,ref-m.1.1.3.4.17,20767,20819,ref-y.1.1.1.4.3.105,ref-y.1.1.1.4.3.113,מברך לא לפניה ולא לאחריה ועל המזון מברך לאחריו ואינו מברך לפניו ,מברך שתים לפניה ואחת לאחריה ובערב מברך שתים לפניה ,7,9,26,23.0,42,38.0,0.5,0.7,4,מברך לפניה לאחריה מברך,1070000031,12,9
ref-m.1.1.3.4.1-ref-m.1.1.3.4.22,ref-y.1.1.3.3.10.60-ref-y.1.1.3.3.10.81,3467,3590,ref-m.1.1.3.4.1,ref-m.1.1.3.4.22,71730,71853,ref-y.1.1.3.3.10.60,ref-y.1.1.3.3.10.81,בעל קרי מהרהר בלבו ואינו מברך לא לפניה ולא לאחריה ועל המזון מברך לאחריו ואינו מברך לפניו רבי יהודה אומר מברך לפניהם ,בעל קרי מהרהר בלבו ואינו מברך לא לפניה ולא לאחריה ועל המזון מברך לאחריה ואינו מברך לפניה רבי יהוד' אומ' מברך לפניהן ,15,17,63,63.0,38,38.0,0.0603448275862069,0.375,16,בעל קרי מהרהר בלבו ואינו מברך לא לפניה ולא לאחריה ועל המזון מברך ואינו מברך מברך,1070000032,20,22
ref-m.1.1.3.4.15-ref-m.1.1.3.4.23,ref-y.1.1.3.4.2.29-ref-y.1.1.3.4.2.46,3546,3600,ref-m.1.1.3.4.15,ref-m.1.1.3.4.23,72019,72119,ref-y.1.1.3.4.2.29,ref-y.1.1.3.4.2.46,ואינו מברך לפניו רבי יהודה אומר מברך לפניהם ולאחריהם ,ואינו מברך לא לפניה ולא לאחריה דברי רבי מאיר וחכמים אומ' קורא את שמע ומשמיע לאזניו ומברך לפניה ,7,13,66,65.0,50,38.0,0.6210526315789474,0.7857142857142857,2,ואינו מברך,1070000033,7,13
