baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-bible,baseOrder,grp-ref-sifre-n,dam-lev,jac,lcc_len,lcs_str,id,bRangeOriginal,cRangeOriginal
ref-sifre-n.1.4.53-ref-sifre-n.1.4.89,ref-bible.0103.5.2.19-ref-bible.0103.5.3.9,2092,2265,ref-sifre-n.1.4.53,ref-sifre-n.1.4.89,197975,198047,ref-bible.0103.5.2.19,ref-bible.0103.5.3.9,טמא ונעלם ממנו והוא טמא ואשם או כי יגע בטמאת אדם לכל טמאתו אשר יטמא,טמא ונעלם ממנו והוא טמא ואשם או כי יגע בטמאת אדם לכל טמאתו אשר יטמא,15,15,152,152.0,11,11.0,0.0,0.0,15,טמא ונעלם ממנו והוא טמא ואשם או כי יגע בטמאת אדם לכל טמאתו אשר יטמא,5090000011,15,15
ref-sifre-n.1.4.54-ref-sifre-n.1.4.67,ref-bible.0103.15.30.14-ref-bible.103.15.31.9,2095,2166,ref-sifre-n.1.4.54,ref-sifre-n.1.4.67,224584,224649,ref-bible.0103.15.30.14,ref-bible.0103.15.31.9,שהזב מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב מטמא ,מזוב טמאתה והזרתם את בני ישראל מטמאתם ולא ימתו בטמאתם בטמאם ,14,9,204,204.0,12,11.0,0.6470588235294118,0.875,0,,5090000012,14,9
ref-sifre-n.1.5.237-ref-sifre-n.1.5.242,ref-bible.0103.22.5.4-ref-bible.103.22.6.3,3525,3565,ref-sifre-n.1.5.237,ref-sifre-n.1.5.242,236729,236797,ref-bible.0103.22.5.4,ref-bible.0103.22.6.3,ואדם מטמא בנגעים וכלים מטמאים בנגעים ,יגע בכל שרץ אשר יטמא לו או באדם אשר יטמא לו לכל טמאתו נפש אשר תגע ,6,16,227,227.0,15,15.0,0.7575757575757576,0.8333333333333334,0,,5090000013,6,16
ref-sifre-n.1.7.65-ref-sifre-n.1.7.73,ref-bible.0104.5.3.12-ref-bible.104.5.4.4,4551,4596,ref-sifre-n.1.7.65,ref-sifre-n.1.7.73,264069,264113,ref-bible.0104.5.3.12,ref-bible.0104.5.4.4,מחנה שכינה אשר אני שוכן בתוכם חביבים הם ישראל ,מחניהם אשר אני שכן בתוכם ויעשו כן בני ישראל ,9,7,264,261.0,16,16.0,0.4130434782608695,0.5,4,אשר אני בתוכם ישראל,5090000014,9,7
ref-sifre-n.1.7.173-ref-sifre-n.1.7.186,ref-bible.0102.34.29.14-ref-bible.0102.34.30.14,5101,5169,ref-sifre-n.1.7.173,ref-sifre-n.1.7.186,176714,176823,ref-bible.0102.34.29.14,ref-bible.0102.34.30.14,פניו בדברו אתו וירא אהרן וכל בני ישראל את משה והנה קרן עור פניו וייראו מגשת אליו,ומשה לא ידע כי קרן עור פניו בדברו אתו וירא אהרן וכל בני ישראל את משה והנה קרן עור פניו וייראו מגשת אליו,15,19,126,126.0,17,17.0,0.2233009708737864,0.1333333333333333,15,פניו בדברו אתו וירא אהרן וכל בני_ישראל_את משה והנה קרן עור פניו וייראו מגשת אליו,5090000015,15,19
ref-sifre-n.1.8.10-ref-sifre-n.1.8.24,ref-bible.0202.15.11.22-ref-bible.202.15.12.2,5216,5276,ref-sifre-n.1.8.10,ref-sifre-n.1.8.24,500312,500358,ref-bible.0202.15.11.22,ref-bible.0202.15.12.2,שאמר להם משה כן עשו מה תלמוד לומר כאשר דבר ה' אל משה כן עשו ,ויאמר להם כאשר עשו לי כן עשיתי להם ויאמרו לו ,11,10,977,977.0,19,19.0,0.6666666666666666,0.6363636363636364,3,להם כאשר עשו,5090000016,11,10
ref-sifre-n.2.1.13-ref-sifre-n.2.1.29,ref-bible.0104.5.6.8-ref-bible.104.5.6.14,5363,5442,ref-sifre-n.2.1.13,ref-sifre-n.2.1.29,264230,264262,ref-bible.0104.5.6.8,ref-bible.0104.5.6.14,כי יעשו מכל חטאת האדם למה נאמרה פרשה זאת לפי שהוא אומר נפש כי תחטא ומעלה מעל ,כי יעשו מכל חטאת האדם למעל מעל ,13,7,265,265.0,20,20.0,0.5974025974025974,0.4545454545454546,6,כי יעשו מכל חטאת האדם מעל,5090000017,13,7
ref-sifre-n.2.1.32-ref-sifre-n.2.1.39,ref-bible.0103.5.22.1-ref-bible.103.5.22.8,5454,5488,ref-sifre-n.2.1.32,ref-sifre-n.2.1.39,199541,199575,ref-bible.0103.5.22.1,ref-bible.0103.5.22.8,או מצא אבדה וכחש בה ונשבע על שקר ,או מצא אבדה וכחש בה ונשבע על שקר ,8,8,166,166.0,21,21.0,0.0,0.0,8,או מצא אבדה וכחש בה ונשבע על שקר,5090000018,8,8
ref-sifre-n.2.1.124-ref-sifre-n.2.1.132,ref-bible.0102.21.33.1-ref-bible.102.21.33.9,5892,5928,ref-sifre-n.2.1.124,ref-sifre-n.2.1.132,148111,148146,ref-bible.0102.21.33.1,ref-bible.0102.21.33.9,וכי יפתח איש בור או כי יכרה איש בור ,וכי יפתח איש בור או כי יכרה איש בר ,9,9,77,77.0,22,22.0,0.0277777777777777,0.0,8,וכי יפתח איש בור או כי יכרה איש,5090000019,9,9
ref-sifre-n.2.1.176-ref-sifre-n.2.1.189,ref-bible.0104.5.6.8-ref-bible.104.5.6.14,6141,6207,ref-sifre-n.2.1.176,ref-sifre-n.2.1.189,264230,264262,ref-bible.0104.5.6.8,ref-bible.0104.5.6.14,כי יעשו מכל חטאת האדם למה נאמר לפי שנאמר נפש כי תחטא ומעלה מעל ,כי יעשו מכל חטאת האדם למעל מעל ,12,7,266,265.0,23,23.0,0.5079365079365079,0.4,6,כי יעשו מכל חטאת האדם מעל,5090000020,12,7
ref-sifre-n.2.1.207-ref-sifre-n.2.1.213,ref-bible.0104.5.6.8-ref-bible.104.5.6.14,6291,6323,ref-sifre-n.2.1.207,ref-sifre-n.2.1.213,264230,264262,ref-bible.0104.5.6.8,ref-bible.0104.5.6.14,כי יעשו מכל חטאת האדם למעל מעל ,כי יעשו מכל חטאת האדם למעל מעל ,7,7,267,265.0,24,24.0,0.0,0.0,7,כי יעשו מכל חטאת האדם למעל מעל,5090000021,7,7
ref-sifre-n.2.1.233-ref-sifre-n.2.1.237,ref-bible.0312.10.13.1-ref-bible.312.10.13.5,6434,6459,ref-sifre-n.2.1.233,ref-sifre-n.2.1.237,1478348,1478373,ref-bible.0312.10.13.1,ref-bible.0312.10.13.5,וימת שאול במעלו אשר מעל ,וימת שאול במעלו אשר מעל ,5,5,1254,1254.0,25,25.0,0.0,0.0,5,וימת שאול במעלו אשר מעל,5090000022,5,5
ref-sifre-n.3.1.38-ref-sifre-n.3.1.49,ref-bible.0104.5.7.3-ref-bible.104.5.7.9,7610,7667,ref-sifre-n.3.1.38,ref-sifre-n.3.1.49,264300,264335,ref-bible.0104.5.7.3,ref-bible.0104.5.7.9,חטאתם אשר עשו ולא על מה שעשה אביו והשיב את אשמו בראשו ,חטאתם אשר עשו והשיב את אשמו בראשו ,12,7,268,268.0,26,26.0,0.3703703703703703,0.3636363636363636,7,חטאתם אשר עשו והשיב את אשמו בראשו,5090000023,12,7
ref-sifre-n.3.1.71-ref-sifre-n.3.1.75,ref-bible.0104.5.7.8-ref-bible.104.5.7.12,7770,7800,ref-sifre-n.3.1.71,ref-sifre-n.3.1.75,264324,264353,ref-bible.0104.5.7.8,ref-bible.0104.5.7.12,אשמו בראשו וחמישתו יוסף עליו ,אשמו בראשו וחמישתו יסף עליו ,5,5,269,268.0,27,27.0,0.0344827586206896,0.0,4,אשמו בראשו וחמישתו עליו,5090000024,5,5
ref-sifre-n.3.1.151-ref-sifre-n.4.1.4,ref-bible.0104.5.7.13-ref-bible.104.5.8.4,8182,8230,ref-sifre-n.3.1.151,ref-sifre-n.4.1.4,264354,264391,ref-bible.0104.5.7.13,ref-bible.0104.5.8.4,ונתן לאשר אשם לו מכל מקום ואם אין לאיש גואל ,ונתן לאשר אשם לו ואם אין לאיש גאל ,10,8,270,270.0,28,28.0,0.2272727272727272,0.2222222222222222,7,ונתן לאשר אשם לו ואם אין לאיש,5090000025,10,8
ref-sifre-n.4.1.36-ref-sifre-n.4.1.104,ref-bible.0104.5.7.15-ref-bible.0104.5.8.18,8389,8742,ref-sifre-n.4.1.36,ref-sifre-n.4.1.104,264366,264468,ref-bible.0104.5.7.15,ref-bible.0104.5.8.18,אשם לו ואם אין לאיש גאל להשיב האשם אליו,אשם לו ואם אין לאיש גאל להשיב האשם אליו,9,9,271,271.0,29,29.0,0.0,0.0,9,אשם לו ואם אין לאיש גאל להשיב האשם אליו,5090000026,9,9
ref-sifre-n.4.1.101-ref-sifre-n.4.1.122,ref-bible.0209.35.12.9-ref-bible.209.35.12.18,8726,8834,ref-sifre-n.4.1.101,ref-sifre-n.4.1.122,1048229,1048274,ref-bible.0209.35.12.9,ref-bible.0209.35.12.18,אשר יכפר בו עליו הרי אשם אמור הא מה תלמוד לומר האשם המושב לה' בכסף הכתוב מדבר לה' לכהן קנאו השם ונתנו ,אשר אמרת על הרי ישראל לאמר שממה שממו לנו נתנו ,19,10,1121,1121.0,32,29.0,0.6470588235294118,0.8,2,אשר הרי,5090000027,19,10
ref-sifre-n.4.1.133-ref-sifre-n.4.1.143,ref-bible.0104.5.8.11-ref-bible.104.5.8.18,8889,8945,ref-sifre-n.4.1.133,ref-sifre-n.4.1.143,264429,264468,ref-bible.0104.5.8.11,ref-bible.0104.5.8.18,כהן שירצה תלמוד לומר מלבד איל הכפורים אשר יכפר בו עליו ,לכהן מלבד איל הכפרים אשר יכפר בו עליו ,5,8,274,270.0,33,33.0,0.3454545454545454,0.4545454545454546,6,מלבד איל אשר יכפר בו עליו,5090000028,11,8
ref-sifre-n.4.3.1-ref-sifre-n.4.3.7,ref-bible.0104.5.8.12-ref-bible.104.5.8.18,9374,9408,ref-sifre-n.4.3.1,ref-sifre-n.4.3.7,264435,264468,ref-bible.0104.5.8.12,ref-bible.0104.5.8.18,מלבד איל הכפורים אשר יכפר בו עליו ,מלבד איל הכפרים אשר יכפר בו עליו ,1,7,275,270.0,34,34.0,0.0294117647058823,0.0,6,מלבד איל אשר יכפר בו עליו,5090000029,7,7
ref-sifre-n.4.3.31-ref-sifre-n.4.3.37,ref-bible.0104.5.8.12-ref-bible.104.5.8.18,9532,9566,ref-sifre-n.4.3.31,ref-sifre-n.4.3.37,264435,264468,ref-bible.0104.5.8.12,ref-bible.0104.5.8.18,מלבד איל הכפורים אשר יכפר בו עליו ,מלבד איל הכפרים אשר יכפר בו עליו ,1,7,276,270.0,35,35.0,0.0294117647058823,0.0,6,מלבד איל אשר יכפר בו עליו,5090000030,7,7
ref-sifre-n.5.1.149-ref-sifre-n.5.1.153,ref-bible.0102.23.19.1-ref-bible.102.23.19.5,10908,10934,ref-sifre-n.5.1.149,ref-sifre-n.5.1.153,151201,151227,ref-bible.0102.23.19.1,ref-bible.0102.23.19.5,ראשית בכורי אדמתך תביא בית ,ראשית בכורי אדמתך תביא בית ,5,5,80,80.0,36,36.0,0.0,0.0,5,ראשית בכורי אדמתך תביא בית,5090000031,5,5
ref-sifre-n.5.1.149-ref-sifre-n.5.1.153,ref-bible.0102.34.26.1-ref-bible.102.34.26.5,10908,10934,ref-sifre-n.5.1.149,ref-sifre-n.5.1.153,176394,176420,ref-bible.0102.34.26.1,ref-bible.0102.34.26.5,ראשית בכורי אדמתך תביא בית ,ראשית בכורי אדמתך תביא בית ,5,5,125,125.0,37,36.0,0.0,0.0,5,ראשית בכורי אדמתך תביא בית,5090000032,5,5
ref-sifre-n.6.1.67-ref-sifre-n.6.1.73,ref-bible.0103.19.24.1-ref-bible.103.19.24.7,11389,11428,ref-sifre-n.6.1.67,ref-sifre-n.6.1.73,232006,232044,ref-bible.0103.19.24.1,ref-bible.0103.19.24.7,ובשנה הרביעית יהיה כל פריו קדש הלולים ,ובשנה הרביעת יהיה כל פריו קדש הלולים ,7,7,219,219.0,38,38.0,0.0263157894736842,0.0,6,ובשנה יהיה כל פריו קדש הלולים,5090000033,7,7
ref-sifre-n.6.1.358-ref-sifre-n.6.1.368,ref-bible.0103.19.24.6-ref-bible.103.19.25.8,12841,12904,ref-sifre-n.6.1.358,ref-sifre-n.6.1.368,232034,232098,ref-bible.0103.19.24.6,ref-bible.0103.19.25.8,"קדש לכהנים ת""ל ובשנה החמישית תאכלו את פריו להוסיף לכם תבואתו ",קדש הלולים ליהוה ובשנה החמישת תאכלו את פריו להוסיף לכם תבואתו ,11,11,220,219.0,39,39.0,0.1612903225806451,0.25,8,קדש ובשנה תאכלו את פריו להוסיף לכם תבואתו,5090000034,11,11
ref-sifre-n.6.1.374-ref-sifre-n.6.2.16,ref-bible.0104.18.18.8-ref-bible.104.18.19.6,12935,13021,ref-sifre-n.6.1.374,ref-sifre-n.6.2.16,296755,296799,ref-bible.0104.18.18.8,ref-bible.0104.18.19.6,לו ואיש את קדשיו לו יהיו למה נאמר לפי שהוא אומר כל תרומות הקדשים אשר ירימו בני ישראל ,לך יהיה כל תרומת הקדשים אשר ירימו בני ישראל ,10,9,564,564.0,40,40.0,0.4941176470588235,0.3,6,כל הקדשים אשר ירימו בני ישראל,5090000035,10,9
ref-sifre-n.7.1.4-ref-sifre-n.7.1.21,ref-bible.0201.2.4.1-ref-bible.201.2.4.11,13619,13699,ref-sifre-n.7.1.4,ref-sifre-n.7.1.21,412742,412802,ref-bible.0201.2.4.1,ref-bible.0201.2.4.11,ואמרת אליהם איש איש כי תשטה אשתו למה נאמרה פרשה זו לפי שהוא אומר כי יקח איש אשה ,ותקח האשה את שני האנשים ותצפנו ותאמר כן באו אלי האנשים ,13,11,925,925.0,41,41.0,0.6875,0.9375,0,,5090000036,13,11
ref-sifre-n.7.1.64-ref-sifre-n.7.1.77,ref-bible.0104.5.18.22-ref-bible.104.5.19.10,13895,13966,ref-sifre-n.7.1.64,ref-sifre-n.7.1.77,265227,265297,ref-bible.0104.5.18.22,ref-bible.0104.5.19.10,ואמרת אליהם איש איש כי תשטה אשתו הרי הכתוב זקקה שתהא שותה מים המרים ,יהיו מי המרים המאררים והשביע אתה הכהן ואמר אל האשה אם לא שכב איש ,14,14,288,285.0,43,42.0,0.7352941176470589,0.8235294117647058,1,המרים,5090000037,14,14
ref-sifre-n.7.1.54-ref-sifre-n.7.1.66,ref-bible.0202.8.1.1-ref-bible.202.8.1.9,13853,13911,ref-sifre-n.7.1.54,ref-sifre-n.7.1.66,482071,482116,ref-bible.0202.8.1.1,ref-bible.0202.8.1.9,"לא שמענו מה יעשה לה תלמוד לומר דבר אל ב""י ואמרת אליהם איש ",ויאמרו אליו איש אפרים מה הדבר הזה עשית לנו ,13,9,968,968.0,42,42.0,0.7241379310344828,0.7142857142857143,1,איש,5090000038,13,9
ref-sifre-n.7.1.136-ref-sifre-n.7.1.151,ref-bible.0104.5.12.12-ref-bible.104.5.13.4,14305,14382,ref-sifre-n.7.1.136,ref-sifre-n.7.1.151,264647,264683,ref-bible.0104.5.12.12,ref-bible.0104.5.13.4,ומעלה בו מעל על דבר ערווה או על דבר ממון כשהוא אומר ושכב איש אותה שכבת זרע ,ומעלה בו מעל ושכב איש אתה שכבת זרע ,17,8,277,277.0,44,44.0,0.5333333333333333,0.3636363636363636,7,ומעלה בו מעל ושכב איש שכבת זרע,5090000039,17,8
ref-sifre-n.7.1.186-ref-sifre-n.7.1.190,ref-bible.0312.10.13.1-ref-bible.312.10.13.5,14553,14578,ref-sifre-n.7.1.186,ref-sifre-n.7.1.190,1478348,1478373,ref-bible.0312.10.13.1,ref-bible.0312.10.13.5,וימת שאול במעלו אשר מעל ,וימת שאול במעלו אשר מעל ,5,5,1255,1254.0,45,45.0,0.0,0.0,5,וימת שאול במעלו אשר מעל,5090000040,5,5
ref-sifre-n.7.3.134-ref-sifre-n.7.3.142,ref-bible.0105.19.15.1-ref-bible.105.19.15.9,15888,15928,ref-sifre-n.7.3.134,ref-sifre-n.7.3.142,378996,379036,ref-bible.0105.19.15.1,ref-bible.0105.19.15.9,לא יקום עד אחד באיש לכל עון ולכל חטאת ,לא יקום עד אחד באיש לכל עון ולכל חטאת ,9,9,898,898.0,46,46.0,0.0,0.0,9,לא יקום עד אחד באיש לכל עון ולכל חטאת,5090000041,9,9
ref-sifre-n.7.3.191-ref-sifre-n.7.3.197,ref-bible.0104.5.14.1-ref-bible.104.5.14.7,16171,16204,ref-sifre-n.7.3.191,ref-sifre-n.7.3.197,264749,264782,ref-bible.0104.5.14.1,ref-bible.0104.5.14.7,ועבר עליו רוח קנאה וקנא את אשתו ,ועבר עליו רוח קנאה וקנא את אשתו ,7,7,279,279.0,47,47.0,0.0,0.0,7,ועבר עליו רוח קנאה וקנא את אשתו,5090000042,7,7
ref-sifre-n.7.3.191-ref-sifre-n.7.3.197,ref-bible.0104.5.14.11-ref-bible.104.5.14.17,16171,16204,ref-sifre-n.7.3.191,ref-sifre-n.7.3.197,264798,264829,ref-bible.0104.5.14.11,ref-bible.0104.5.14.17,ועבר עליו רוח קנאה וקנא את אשתו ,עבר עליו רוח קנאה וקנא את אשתו ,7,7,280,280.0,48,47.0,0.03125,0.0,6,עליו רוח קנאה וקנא את אשתו,5090000043,7,7
ref-sifre-n.7.3.191-ref-sifre-n.7.3.197,ref-bible.0104.5.30.4-ref-bible.104.5.30.10,16171,16204,ref-sifre-n.7.3.191,ref-sifre-n.7.3.197,266156,266188,ref-bible.0104.5.30.4,ref-bible.0104.5.30.10,ועבר עליו רוח קנאה וקנא את אשתו ,תעבר עליו רוח קנאה וקנא את אשתו ,7,7,304,301.0,49,47.0,0.03125,0.2857142857142857,6,עליו רוח קנאה וקנא את אשתו,5090000044,7,7
ref-sifre-n.7.3.250-ref-sifre-n.7.3.260,ref-bible.0103.15.26.18-ref-bible.103.15.28.2,16488,16541,ref-sifre-n.7.3.250,ref-sifre-n.7.3.260,224307,224392,ref-bible.0103.15.26.18,ref-bible.0103.15.28.2,נטמאה והיא לא נטמאה אם היא נטמאה למה שותה ואם טהורה ,טמא יהיה כטמאת נדתה וכל הנוגע בם יטמא וכבס בגדיו ורחץ במים וטמא עד הערב ואם טהרה ,11,12,202,202.0,50,50.0,0.654320987654321,0.7,1,ואם,5090000045,11,12
ref-sifre-n.7.3.347-ref-sifre-n.7.3.363,ref-bible.0104.5.13.10-ref-bible.104.5.14.20,16965,17043,ref-sifre-n.7.3.347,ref-sifre-n.7.3.363,264711,264844,ref-bible.0104.5.13.10,ref-bible.0104.5.14.20,"והוא נטמאה או עבר עליו וגו' הי' ר ישמעאל אומר מה ת""ל היא נטמאה והיא לא נטמאה ",והיא נטמאה ועד אין בה והוא לא נתפשה ועבר עליו רוח קנאה וקנא את אשתו והוא נטמאה או עבר עליו רוח קנאה וקנא את אשתו והיא לא נטמאה ,17,28,278,278.0,51,51.0,0.5748031496062992,0.8125,8,והוא נטמאה או עבר עליו והיא לא נטמאה,5090000046,17,28
ref-sifre-n.8.1.2-ref-sifre-n.8.1.18,ref-bible.0202.13.10.5-ref-bible.202.13.11.10,17515,17594,ref-sifre-n.8.1.2,ref-sifre-n.8.1.18,496403,496509,ref-bible.0202.13.10.5,ref-bible.0202.13.11.10,האיש את אשתו אל הכהן מן התורה האיש מביא את אשתו אל הכהן אלא אמרו מוסרים לו ,לאישה ותאמר אליו הנה נראה אלי האיש אשר בא ביום אלי ויקם וילך מנוח אחרי אשתו ויבא אל האיש ויאמר לו ,17,21,974,974.0,52,52.0,0.6326530612244898,0.6666666666666667,5,האיש אשתו אל האיש לו,5090000047,17,21
ref-sifre-n.8.1.236-ref-sifre-n.8.1.245,ref-bible.0103.5.11.20-ref-bible.103.5.11.27,18683,18730,ref-sifre-n.8.1.236,ref-sifre-n.8.1.245,198760,198795,ref-bible.0103.5.11.20,ref-bible.0103.5.11.27,לא ישים עליה שמן מגיד שאם נתן עליה שמן ולבונה ,לא ישים עליה שמן ולא יתן עליה לבנה ,10,8,162,162.0,53,53.0,0.3043478260869565,0.5,5,לא ישים עליה שמן עליה,5090000048,10,8
ref-sifre-n.8.1.279-ref-sifre-n.8.1.304,ref-bible.0103.2.1.2-ref-bible.0103.2.1.15,18894,19014,ref-sifre-n.8.1.279,ref-sifre-n.8.1.304,192833,192904,ref-bible.0103.2.1.2,ref-bible.0103.2.1.15,כי תקריב קרבן מנחה ליהוה סלת יהיה קרבנו ויצק עליה שמן ונתן עליה לבנה,כי תקריב קרבן מנחה ליהוה סלת יהיה קרבנו ויצק עליה שמן ונתן עליה לבנה,14,14,146,146.0,57,57.0,0.0,0.0,14,כי תקריב קרבן מנחה ליהוה סלת יהיה קרבנו ויצק עליה שמן ונתן עליה לבנה,5090000049,14,14
ref-sifre-n.8.1.277-ref-sifre-n.8.1.285,ref-bible.0103.5.11.20-ref-bible.103.5.11.27,18886,18926,ref-sifre-n.8.1.277,ref-sifre-n.8.1.285,198760,198795,ref-bible.0103.5.11.20,ref-bible.0103.5.11.27,לא ישים יצק עליו שמן ולא יתן עליו לבונה ,לא ישים עליה שמן ולא יתן עליה לבנה ,9,8,163,162.0,54,54.0,0.175,0.1428571428571429,5,לא ישים שמן ולא יתן,5090000050,9,8
ref-sifre-n.8.1.277-ref-sifre-n.8.1.304,ref-bible.0104.5.15.15-ref-bible.0104.5.15.26,18886,19014,ref-sifre-n.8.1.277,ref-sifre-n.8.1.304,264919,264970,ref-bible.0104.5.15.15,ref-bible.0104.5.15.26,לא יצק עליו שמן ולא יתן עליו לבנה,לא יצק עליו שמן ולא יתן עליו לבנה,8,8,281,281.0,55,55.0,0.0,0.0,8,לא יצק עליו שמן ולא יתן עליו לבנה,5090000051,8,8
ref-sifre-n.8.1.502-ref-sifre-n.8.1.509,ref-bible.0311.4.24.1-ref-bible.311.4.24.6,19988,20022,ref-sifre-n.8.1.502,ref-sifre-n.8.1.509,1435076,1435103,ref-bible.0311.4.24.1,ref-bible.0311.4.24.6,להן מלכא מלכי ישפר עלך כלא מטא על ,להן מלכא מלכי ישפר עליך עלך ,8,6,1230,1230.0,60,60.0,0.2941176470588235,0.4285714285714286,5,להן מלכא מלכי ישפר עלך,5090000052,8,6
ref-sifre-n.8.1.507-ref-sifre-n.8.1.514,ref-bible.0311.4.25.1-ref-bible.311.4.26.4,20011,20046,ref-sifre-n.8.1.507,ref-sifre-n.8.1.514,1435169,1435214,ref-bible.0311.4.25.1,ref-bible.0311.4.26.4,"כלא מטא על נ""נ לקצת ירחין תרי עשר ",כלא מטא על נבוכדנצר מלכא לקצת ירחין תרי עשר ,8,9,1231,1231.0,61,60.0,0.25,0.3,7,כלא מטא על לקצת ירחין תרי עשר,5090000053,8,9
