,index,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,grp-ref-b,grp-ref-mek,dam-lev,jac,id
10,11,ref-b.2.1.6.63a.19.21-ref-b.2.1.6.63a.19.28,ref-mek.1.1.1.480-ref-mek.1.1.1.488,571219,571256,79839,79846,ref-b.2.1.6.63a.19.21,ref-b.2.1.6.63a.19.28,2455,2498,381,388,ref-mek.1.1.1.480,ref-mek.1.1.1.488,שנאמר אז נדברו יראי ה' וגו' אין דבור ,ואומר היה היה דבר ה' וגו' ויש אומרים נדבר ,7,7,254.0,11.0,0.5952380952380952,0.625,3050000011
11,12,ref-b.4.3.1.16a.3.18-ref-b.4.3.1.16a.3.29,ref-mek.1.1.1.561-ref-mek.1.1.1.566,5561979,5562037,773026,773033,ref-b.4.3.1.16a.3.18,ref-b.4.3.1.16a.3.29,2858,2889,454,459,ref-mek.1.1.1.561,ref-mek.1.1.1.566,ה' ויאמר משט בארץ וגו' אמר לפניו רבונו של עולם שטתי בכל ,וגו' עיני ה' משוטטות בכל הארץ ,7,5,2108.0,12.0,0.7857142857142857,0.6923076923076923,3050000012
12,13,ref-b.4.4.4.38a.18.16-ref-b.4.4.4.38a.18.22,ref-mek.1.1.1.562-ref-mek.1.1.1.566,6078252,6078289,845640,845646,ref-b.4.4.4.38a.18.16,ref-b.4.4.4.38a.18.22,2863,2889,455,459,ref-mek.1.1.1.562,ref-mek.1.1.1.566,עיניך כי ה' עיניו משוטטות בכל הארץ א,עיני ה' משוטטות בכל הארץ ,6,4,2239.0,12.0,0.3055555555555556,0.16666666666666663,3050000013
13,14,ref-b.4.1.10.114b.12.28-ref-b.4.1.10.114b.13.8,ref-mek.1.1.1.671-ref-mek.1.1.1.688,5067883,5067932,701196,701205,ref-b.4.1.10.114b.12.28,ref-b.4.1.10.114b.13.8,3422,3513,556,573,ref-mek.1.1.1.671,ref-mek.1.1.1.688,כבוד אביהן טעמא מפני כבוד אביהן הא לאו כבוד אביהן ,כבוד האב וכבוד הבן ואחד תבע כבוד האב ולא כבוד הבן ואחד תבע כבוד הבן ולא כבוד האב ,9,17,1971.0,14.0,0.5925925925925926,0.7777777777777778,3050000014
14,15,ref-b.2.5.7.73a.18.14-ref-b.2.5.7.73a.18.22,ref-mek.1.1.1.760-ref-mek.1.1.1.767,1895766,1895814,259890,261681,ref-b.2.5.7.73a.18.14,ref-b.2.5.7.73a.18.22,3896,3933,640,649,ref-mek.1.1.1.760,ref-mek.1.1.1.767,ה' אלא כדרך שאמרה חנה בתפלתה שנאמר וחנה היא מדברת שנאמר ושאל לו לפני ה' אלא כדרך שאמרה חנה בתפלתה שנאמר וחנה היא,שנאמר ויהי שנאמר ויהי דבר ה' אל יונה שנית לאמר,112,46,682.0,15.0,0.6875,0.7857142857142857,3050000015
15,17,ref-b.2.1.6.63a.19.21-ref-b.2.1.6.63a.19.33,ref-mek.1.1.1.760-ref-mek.1.1.1.770,571219,571281,79839,79851,ref-b.2.1.6.63a.19.21,ref-b.2.1.6.63a.19.33,3896,3947,642,652,ref-mek.1.1.1.760,ref-mek.1.1.1.770,שנאמר אז נדברו יראי ה' וגו' אין דבור אלא נחת שנאמר ידבר עמים ,שנאמר ויהי דבר ה' אל יונה שנית לאמר שנית נדבר עמו ,12,10,254.0,15.0,0.5573770491803278,0.5833333333333333,3050000016
16,18,ref-b.3.1.11.98a.6.41-ref-b.3.1.11.98a.6.53,ref-mek.1.1.1.764-ref-mek.1.1.1.783,3168287,3168350,436668,436713,ref-b.3.1.11.98a.6.41,ref-b.3.1.11.98a.6.53,3916,4011,644,661,ref-mek.1.1.1.764,ref-mek.1.1.1.783,ואמר ויהי דבר ה' אל יונה שנית לאמר שנית דברה עמו שכינה שלישית לא אל יונה שנית לאמר שנית דברה עמו שכינה שלישית,אל יונה אל יונה שנית לאמר שנית נדבר עמו ולא שלישית אומר לא הלך יונה אלא לאבד עצמו,109,81,1180.0,15.0,0.5045871559633027,0.41666666666666663,3050000017
17,19,ref-b.3.1.11.98a.10.1-ref-b.3.1.11.98a.10.14,ref-mek.1.1.1.764-ref-mek.1.1.1.783,3168760,3168824,436735,436781,ref-b.3.1.11.98a.10.1,ref-b.3.1.11.98a.10.14,3916,4011,644,661,ref-mek.1.1.1.764,ref-mek.1.1.1.783,אמר מר ויהי דבר ה' אל יונה שנית לאמר שנית דברה עמו שכינה שלישית לא אל יונה שנית לאמר שנית דברה עמו שכינה שלישית,אל יונה אל יונה שנית לאמר שנית נדבר עמו ולא שלישית אומר לא הלך יונה אלא לאבד עצמו,111,81,1182.0,15.0,0.5135135135135135,0.46153846153846156,3050000018
18,22,ref-b.2.8.1.16b.14.7-ref-b.2.8.1.16b.14.13,ref-mek.1.1.1.805-ref-mek.1.1.1.813,2291841,2291873,313768,315937,ref-b.2.8.1.16b.14.7,ref-b.2.8.1.16b.14.13,4127,4170,680,689,ref-mek.1.1.1.805,ref-mek.1.1.1.813,ואם אין מחני נא מספרך אשר כתבת מחני נא ואם אין מחני נא מספרך אשר,תשא חטאתם ואם אין מחני נא מספרך אשר כתבת א,64,42,864.0,22.0,0.625,0.2857142857142857,3050000019
19,23,ref-b.1.1.5.32a.20.9-ref-b.1.1.5.32a.20.13,ref-mek.1.1.1.807-ref-mek.1.1.1.811,173555,173578,24254,24257,ref-b.1.1.5.32a.20.9,ref-b.1.1.5.32a.20.13,4137,4160,684,687,ref-mek.1.1.1.807,ref-mek.1.1.1.811,ואם אין מחני נא מספרך ,ואם אין מחני נא מספרך ,3,3,116.0,22.0,0.0,0.0,3050000020
20,25,ref-b.2.1.18.127a.13.50-ref-b.2.1.18.127a.13.55,ref-mek.1.1.1.820-ref-mek.1.1.1.826,802771,802796,111979,111984,ref-b.2.1.18.127a.13.50,ref-b.2.1.18.127a.13.55,4194,4226,695,701,ref-mek.1.1.1.820,ref-mek.1.1.1.826,אם נא מצאתי חן בעיניך אל ,נא הרוג אם מצאתי חן בעיניך ואל ,5,6,347.0,25.0,0.2903225806451613,0.16666666666666663,3050000021
21,26,ref-b.3.3.1.8a.5.14-ref-b.3.3.1.8a.5.25,ref-mek.1.1.1.856-ref-mek.1.1.1.872,3624518,3624576,499012,499023,ref-b.3.3.1.8a.5.14,ref-b.3.3.1.8a.5.25,4375,4465,728,740,ref-mek.1.1.1.856,ref-mek.1.1.1.872,שנאמר ויאמר אלי קום צא אל הבקעה ושם אדבר אותך ואצא אל ,לאמר צא ואמור אליהם מיד דברי ר' ישמעאל שנאמר ויצא ודבר ר' אליעזר אומר צא ואמור אליהם ,11,12,1299.0,26.0,0.6235294117647059,0.7142857142857143,3050000022
22,27,ref-b.3.2.13.110b.15.2-ref-b.3.2.13.110b.15.22,ref-mek.1.1.1.856-ref-mek.1.1.1.874,3599528,3599634,495333,495351,ref-b.3.2.13.110b.15.2,ref-b.3.2.13.110b.15.22,4375,4478,728,742,ref-mek.1.1.1.856,ref-mek.1.1.1.874,אומרת לצאת והוא אומר שלא לצאת כופין אותה שלא לצאת ואם לאו תצא בלא כתובה הוא אומר לצאת והיא אומרת שלא ,לאמר צא ואמור אליהם מיד דברי ר' ישמעאל שנאמר ויצא ודבר ר' אליעזר אומר צא ואמור אליהם והשיבני דבר ,18,14,1295.0,26.0,0.693069306930693,0.9473684210526316,3050000023
23,28,ref-b.2.9.3.25a.20.24-ref-b.2.9.3.25a.20.30,ref-mek.1.1.1.856-ref-mek.1.1.1.875,2468171,2468203,341597,341603,ref-b.2.9.3.25a.20.24,ref-b.2.9.3.25a.20.30,4375,4485,728,743,ref-mek.1.1.1.856,ref-mek.1.1.1.875,נאמר תמר אילו נאמר תמר ולא נאמר ,לאמר צא ואמור אליהם מיד דברי ר' ישמעאל שנאמר ויצא ודבר ר' אליעזר אומר צא ואמור אליהם והשיבני דבר שנאמר ,6,15,953.0,26.0,0.7475728155339806,0.9166666666666666,3050000024
24,29,ref-b.3.7.1.30a.15.13-ref-b.3.7.1.30a.15.22,ref-mek.1.1.1.856-ref-mek.1.1.1.881,4488939,4488985,619278,619286,ref-b.3.7.1.30a.15.13,ref-b.3.7.1.30a.15.22,4375,4511,726,746,ref-mek.1.1.1.856,ref-mek.1.1.1.881,דבר אל תגמגם ותאמר לו אלא אמור לו מיד שנאמר ,לאמר צא ואמור אליהם מיד דברי ר' ישמעאל שנאמר ויצא ודבר ר' אליעזר אומר צא ואמור אליהם והשיבני דבר שנאמר וישב משה את דברי העם אל ,8,20,1730.0,26.0,0.7401574803149606,0.7058823529411764,3050000025
25,30,ref-b.3.5.1.10b.6.3-ref-b.3.5.1.10b.6.12,ref-mek.1.1.1.871-ref-mek.1.1.1.887,3935530,3935575,542873,542882,ref-b.3.5.1.10b.6.3,ref-b.3.5.1.10b.6.12,4453,4543,737,752,ref-mek.1.1.1.871,ref-mek.1.1.1.887,אל חמיה לאמר לאיש אשר אלה לו אנכי הרה ותימא ,ואמור אליהם והשיבני דבר שנאמר וישב משה את דברי העם אל ה' ואומר האיש לבוש הבדים אשר ,9,15,1376.0,26.0,0.6867469879518072,0.7777777777777778,3050000026
26,31,ref-b.2.5.8.77a.4.3-ref-b.2.5.8.77a.4.11,ref-mek.1.1.1.873-ref-mek.1.1.1.892,1912244,1912293,262345,264149,ref-b.2.5.8.77a.4.3,ref-b.2.5.8.77a.4.11,4466,4573,739,759,ref-mek.1.1.1.873,ref-mek.1.1.1.892,האיש לבוש הבדים אשר הקסת במתניו משיב דבר לאמר האיש לבוש הבדים אשר הקסת במתניו משיב דבר לאמר,והשיבני דבר שנאמר וישב משה את דברי העם אל ה' ואומר האיש לבוש הבדים אשר קסת הסופר במתניו הסופר במתניו וגו,91,104,709.0,26.0,0.5576923076923077,0.47058823529411764,3050000027
27,33,ref-b.2.5.8.86b.6.11-ref-b.2.5.8.86b.6.18,ref-mek.1.1.1.874-ref-mek.1.1.1.882,1951709,1951751,269681,269688,ref-b.2.5.8.86b.6.11,ref-b.2.5.8.86b.6.18,4475,4514,742,749,ref-mek.1.1.1.874,ref-mek.1.1.1.882,בדברים שנאמר קחו עמכם דברים ושובו אל ה' ,דבר שנאמר וישב משה את דברי העם אל ה' ,7,7,753.0,26.0,0.475,0.5,3050000028
28,34,ref-b.2.1.9.87a.7.4-ref-b.2.1.9.87a.7.10,ref-mek.1.1.1.876-ref-mek.1.1.1.882,646941,646969,90403,90408,ref-b.2.1.9.87a.7.4,ref-b.2.1.9.87a.7.10,4486,4514,744,749,ref-mek.1.1.1.876,ref-mek.1.1.1.882,וישב משה את דברי העם אל ה' ,וישב משה את דברי העם אל ה' ,5,5,291.0,26.0,0.0,0.0,3050000029
29,35,ref-b.2.1.5.55a.9.60-ref-b.2.1.5.55a.9.67,ref-mek.1.1.1.884-ref-mek.1.1.1.890,538409,538456,75144,75151,ref-b.2.1.5.55a.9.60,ref-b.2.1.5.55a.9.67,4522,4562,751,757,ref-mek.1.1.1.884,ref-mek.1.1.1.890,ואיש אחד בתוכם לבש הבדים וקסת הסופר במתניו ,האיש לבוש הבדים אשר קסת הסופר במתניו ,7,6,248.0,26.0,0.3488372093023256,0.33333333333333337,3050000030
30,36,ref-b.4.3.2.25a.8.17-ref-b.4.3.2.25a.8.57,ref-mek.1.1.1.892-ref-mek.1.1.1.933,5594822,5595077,777588,777924,ref-b.4.3.2.25a.8.17,ref-b.4.3.2.25a.8.57,4567,4808,757,791,ref-mek.1.1.1.892,ref-mek.1.1.1.933,עשית את השמים וגו' שלוחיך לא כשלוחי בשר ודם שלוחי בשר ודם ממקום שמשתלחים לשם מחזירים שליחותן אבל שלוחיך למקום שמשתלחין שנאמר התשלח ברקים וילכו ויאמרו לך הננו ויאמרו לך הננו יבואו ויאמרו לא נאמר אלא וילכו ויאמרו מלמד שהשכינה בכל מקום שלוחיך לא כשלוחי בשר ודם שלוחי בשר ודם ממקום שמשתלחים לשם מחזירים שליחותן אבל שלוחיך למקום שמשתלחין משם מחזירין שליחותן שנאמר התשלח ברקים וילכו ויאמרו לך הננו יבואו ויאמרו לא נאמר אלא וילכו,"ואומר התשלח ברקים וילכו ויאמרו לך הננו לך הננו שלוחי הקב""ה לא כשלוחי בשר ודם ששלוחי בשר ודם צריכים לחזור אצל שולחיהם אבל לפניך אינו כן אלא התשלח ברקים וילכו וישובו לא נאמר אלא וילכו",422,181,2113.0,26.0,0.6398104265402843,0.6470588235294117,3050000031
31,39,ref-b.2.4.6.66b.7.29-ref-b.2.4.6.66b.7.40,ref-mek.1.1.1.961-ref-mek.1.1.1.970,1490064,1490130,204443,204454,ref-b.2.4.6.66b.7.29,ref-b.2.4.6.66b.7.40,4958,5015,816,825,ref-mek.1.1.1.961,ref-mek.1.1.1.970,על פקודי החיל וגו' וכתיב ויאמר אלעזר הכהן אל אנשי הצבא הבאים ,שנאמר והנה ששה אנשים באים מדרך שער העליון וגו' וכתוב ,11,9,495.0,39.0,0.7704918032786885,0.8333333333333334,3050000032
32,40,ref-b.2.1.5.55a.9.46-ref-b.2.1.5.55a.9.52,ref-mek.1.1.1.962-ref-mek.1.1.1.968,538334,538372,75130,75136,ref-b.2.1.5.55a.9.46,ref-b.2.1.5.55a.9.52,4965,5003,817,823,ref-mek.1.1.1.962,ref-mek.1.1.1.968,והנה ששה אנשים באים מדרך שער העליון ,והנה ששה אנשים באים מדרך שער העליון ,6,6,247.0,39.0,0.0,0.0,3050000033
33,41,ref-b.2.9.1.13a.1.12-ref-b.2.9.1.13a.1.18,ref-mek.1.1.1.968-ref-mek.1.1.1.974,2407442,2407478,330275,332534,ref-b.2.9.1.13a.1.12,ref-b.2.9.1.13a.1.18,4996,5035,821,829,ref-mek.1.1.1.968,ref-mek.1.1.1.974,אלהי ישראל על מעל הגולה וגו' וכתיב אלהי ישראל על מעל הגולה וגו' וכתיב,העליון וגו' וכתוב אלהי ישראל נעלה מעל נעלה מעל,69,46,944.0,39.0,0.5072463768115942,0.2857142857142857,3050000034
34,43,ref-b.2.8.4.31a.15.20-ref-b.2.8.4.31a.15.26,ref-mek.1.1.1.970-ref-mek.1.1.1.975,2344677,2344717,323609,323615,ref-b.2.8.4.31a.15.20,ref-b.2.8.4.31a.15.26,5009,5044,825,830,ref-mek.1.1.1.970,ref-mek.1.1.1.975,וכתיב וכבוד אלהי ישראל נעלה מעל הכרוב ,וכתוב אלהי ישראל נעלה מעל הכרובים ,6,5,890.0,39.0,0.21052631578947367,0.16666666666666663,3050000035
35,44,ref-b.2.1.6.67a.4.11-ref-b.2.1.6.67a.4.28,ref-mek.1.1.1.983-ref-mek.1.1.1.994,585325,585413,81294,81878,ref-b.2.1.6.67a.4.11,ref-b.2.1.6.67a.4.28,5082,5154,834,847,ref-mek.1.1.1.983,ref-mek.1.1.1.994,אל תקרב הלם וגו' אלא ליומא קמא לימא וירא מלאך ה' אליו וגו' ויאמר משה וגו' ולמחר לימא וגו' אמר ליה רב אחא בריה דרבא לרב אשי ולימא ויאמר אל תקרב הלם וגו' אלא ליומא קמא לימא וירא מלאך ה',וגו' ולאלה וגו' ולאלה אמר באזני ונאמר זקן ובחור ובתולה וטף ונשים וגו' ויאמר,183,75,262.0,44.0,0.726775956284153,0.9130434782608696,3050000036
36,45,ref-b.1.1.9.54b.16.11-ref-b.1.1.9.54b.16.24,ref-mek.1.1.1.983-ref-mek.1.1.1.995,286389,286461,39708,39721,ref-b.1.1.9.54b.16.11,ref-b.1.1.9.54b.16.24,5082,5159,836,848,ref-mek.1.1.1.983,ref-mek.1.1.1.995,וגו' כי המרו אמרי אל וגו' ואומר ויכנע בעמל לבם וגו' ואומר ויזעקו אל ,וגו' ולאלה אמר באזני ונאמר זקן ובחור ובתולה וטף ונשים וגו' ויאמר אלים ,13,12,180.0,44.0,0.6428571428571429,0.8,3050000037
37,47,ref-b.2.1.5.55a.9.3-ref-b.2.1.5.55a.9.7,ref-mek.1.1.1.988-ref-mek.1.1.1.992,538109,538135,75092,75096,ref-b.2.1.5.55a.9.3,ref-b.2.1.5.55a.9.7,5112,5142,841,845,ref-mek.1.1.1.988,ref-mek.1.1.1.992,זקן בחור ובתולה טף ונשים ,זקן ובחור ובתולה וטף ונשים ,4,4,246.0,44.0,0.07407407407407407,0.33333333333333337,3050000038
38,48,ref-b.2.9.4.30b.12.21-ref-b.2.9.4.30b.12.32,ref-mek.1.1.1.1056-ref-mek.1.1.1.1072,2491273,2491329,342616,344934,ref-b.2.9.4.30b.12.21,ref-b.2.9.4.30b.12.32,5475,5556,902,916,ref-mek.1.1.1.1056,ref-mek.1.1.1.1072,לא היה דבור עם משה שנאמר ויהי כאשר תמו כל אנשי המלחמה למות מתי מדבר דאמר מר עד שלא כלו מתי מדבר לא היה דבור עם משה שנאמר ויהי כאשר תמו כל,לא היה מדבר עמו שנאמר ויהי כאשר תמו כל אנשי המלחמה למות למות ויאמר ה',137,69,959.0,48.0,0.5401459854014599,0.47058823529411764,3050000039
39,49,ref-b.4.3.8.121b.1.1-ref-b.4.3.8.121b.1.12,ref-mek.1.1.1.1056-ref-mek.1.1.1.1072,5799779,5799836,806143,806466,ref-b.4.3.8.121b.1.1,ref-b.4.3.8.121b.1.12,5475,5556,902,916,ref-mek.1.1.1.1056,ref-mek.1.1.1.1072,לא היה דיבור עם משה שנאמר ויהי כאשר תמו כל אנשי המלחמה למות מתי מדבר דאמר מר עד שלא כלו מתי מדבר לא היה דיבור עם משה שנאמר ויהי כאשר תמו כל,לא היה מדבר עמו שנאמר ויהי כאשר תמו כל אנשי המלחמה למות למות ויאמר ה',139,69,2160.0,48.0,0.5467625899280576,0.47058823529411764,3050000040
40,52,ref-b.2.1.6.63a.19.23-ref-b.2.1.6.63a.19.29,ref-mek.1.1.1.1115-ref-mek.1.1.1.1121,571229,571260,79841,79847,ref-b.2.1.6.63a.19.23,ref-b.2.1.6.63a.19.29,5770,5797,955,961,ref-mek.1.1.1.1115,ref-mek.1.1.1.1121,נדברו יראי ה' וגו' אין דבור אלא ,דבר ה' וגו' ויהי דבר ה' אל ,6,6,254.0,52.0,0.46875,0.19999999999999996,3050000041
41,53,ref-b.4.4.11.93b.6.3-ref-b.4.4.11.93b.6.7,ref-mek.1.1.1.1179-ref-mek.1.1.1.1184,6303114,6303135,878641,878645,ref-b.4.4.11.93b.6.3,ref-b.4.4.11.93b.6.7,6108,6136,1014,1019,ref-mek.1.1.1.1179,ref-mek.1.1.1.1184,ונחה עליו רוח ה' רוח ,ותנח עליהם הרוח נחה רוח ה' ,4,5,2519.0,53.0,0.4074074074074074,0.7142857142857143,3050000042
42,54,ref-b.5.2.3.29a.14.19-ref-b.5.2.3.29a.15.12,ref-mek.1.2.1.26-ref-mek.1.2.1.43,7228579,7228654,1014870,1014917,ref-b.5.2.3.29a.14.19,ref-b.5.2.3.29a.15.12,6696,6796,1123,1136,ref-mek.1.2.1.26,ref-mek.1.2.1.43,וזה מעשה המנורה תנא דבי רבי ישמעאל שלשה דברים היו קשין לו למשה עד שהראה לו למשה מעשה מנורה דכתיב וזה מעשה המנורה תנא דבי רבי ישמעאל שלשה דברים היו קשין לו,דברים שנתקשה משה והראהו המקום את כלן באצבע כיוצא בדבר אתה אומר וזה לכם,154,70,2908.0,54.0,0.7467532467532467,0.92,3050000043
43,56,ref-b.2.8.1.13a.2.5-ref-b.2.8.1.13a.2.10,ref-mek.1.2.1.110-ref-mek.1.2.1.115,2279046,2279078,314159,314164,ref-b.2.8.1.13a.2.5,ref-b.2.8.1.13a.2.10,7140,7173,1199,1204,ref-mek.1.2.1.110,ref-mek.1.2.1.115,וחג האסיף בצאת השנה מאי אסיף ,חג האסיף בצאת השנה וחג האסיף ,5,5,860.0,56.0,0.1724137931034483,0.0,3050000044
44,57,ref-b.2.12.2.18a.3.6-ref-b.2.12.2.18a.3.13,ref-mek.1.2.1.110-ref-mek.1.2.1.126,2822263,2822295,392095,392101,ref-b.2.12.2.18a.3.6,ref-b.2.12.2.18a.3.13,7140,7222,1199,1214,ref-mek.1.2.1.110,ref-mek.1.2.1.126,חג האסיף אי זהו חג שיש בו אסיפה ,חג האסיף בצאת השנה וחג האסיף תקופת השנה אמרת צא וראה אי זה חדש שיש בו אסיף ,6,15,1079.0,56.0,0.64,0.6363636363636364,3050000045
45,58,ref-b.2.4.1.6b.6.28-ref-b.2.4.1.6b.7.7,ref-mek.1.2.1.153-ref-mek.1.2.1.164,1284660,1284732,176864,176876,ref-b.2.4.1.6b.6.28,ref-b.2.4.1.6b.7.7,7358,7422,1235,1246,ref-mek.1.2.1.153,ref-mek.1.2.1.164,בראש חדש אף כאן בראש חדש וניכתוב ברישא דחדש ראשון והדר ניכתוב דחדש ,הראשון הוא חדש ניסן ראש חדשים מגיד שניסן ראש לחדשים ומנין אף ,12,11,416.0,58.0,0.6716417910447762,0.6923076923076923,3050000046
46,59,ref-b.2.8.1.2b.7.27-ref-b.2.8.1.2b.7.32,ref-mek.1.2.1.168-ref-mek.1.2.1.173,2246230,2246265,309497,309502,ref-b.2.8.1.2b.7.27,ref-b.2.8.1.2b.7.32,7442,7477,1249,1254,ref-mek.1.2.1.168,ref-mek.1.2.1.173,הוא החדש השני למלך שלמה על ישראל ,הוא החדש השני למלוך שלמה על ישראל ,5,5,826.0,59.0,0.029411764705882353,0.0,3050000047
47,60,ref-b.2.8.1.4b.11.37-ref-b.2.8.1.4b.11.51,ref-mek.1.2.1.178-ref-mek.1.2.1.186,2254070,2254151,310693,310701,ref-b.2.8.1.4b.11.37,ref-b.2.8.1.4b.11.51,7496,7549,1258,1265,ref-mek.1.2.1.178,ref-mek.1.2.1.186,תלמוד לומר בחג המצות ובחג השבועות ובחג הסוכות מקיש חג השבועות לחג המצות מה חג ,תלמוד לומר חג המצות וחג השבועות וחג הסכות נמצינו ,8,7,830.0,60.0,0.4230769230769231,0.33333333333333337,3050000048
