baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-t,baseOrder,grp-ref-m,dam-lev,jac,id
ref-m.1.1.3.4.6-ref-m.1.1.3.4.17,ref-t.1.1.6.24.65-ref-t.1.1.6.24.71,3494,3563,ref-m.1.1.3.4.6,ref-m.1.1.3.4.17,34051,34094,ref-t.1.1.6.24.65,ref-t.1.1.6.24.71,מברך לא לפניה ולא לאחריה ועל המזון מברך לאחריו ואינו מברך לפניו ,ומברך לפניה ולאחריה אוכל פתו ומברך לפניה ,12,7,93,93.0,10,9.0,0.484375,0.9090909090909091,1020000011
ref-m.1.1.3.4.6-ref-m.1.1.3.4.23,ref-t.2.10.2.5.44-ref-t.2.10.2.5.58,3494,3600,ref-m.1.1.3.4.6,ref-m.1.1.3.4.23,477106,477193,ref-t.2.10.2.5.44,ref-t.2.10.2.5.58,שבירך לאחריה לאחריה ולא בירך לפניה לא בירך לא לפניה ולא לאחריה,שבירך לפניה ובין שבירך לאחריה לאחריה ולא בירך לפניה לא בירך לא לפניה ולא לאחריה,12,15,2608,2608.0,11,11.0,0.21518987341772153,0.16666666666666663,1020000012
ref-m.1.1.4.1.3-ref-m.1.1.4.1.14,ref-t.1.1.3.1.28-ref-t.1.1.3.1.37,3962,4018,ref-m.1.1.4.1.3,ref-m.1.1.4.1.14,9453,9499,ref-t.1.1.3.1.28,ref-t.1.1.3.1.37,עד חצות רבי יהודה אומר עד ארבע שעות תפלת המנחה עד הערב ,עד ארבע שעות מפני מה אמרו תפלת המנחה עד הערב ,12,10,14,14.0,15,15.0,0.41818181818181815,0.36363636363636365,1020000013
ref-m.1.1.4.1.10-ref-m.1.1.4.1.25,ref-t.1.1.3.1.49-ref-t.1.1.3.2.5,3993,4069,ref-m.1.1.4.1.10,ref-m.1.1.4.1.25,9548,9624,ref-t.1.1.3.1.49,ref-t.1.1.3.2.5,שעות תפלת המנחה עד הערב רבי יהודה אומר עד פלג המנחה תפלת הערב אין לה קבע ,עד פלג המנחה כמה הוא פלג המנחה אחת עשרה שעה חסר רביע תפלת הערב אין לה קבע ,16,17,15,15.0,16,15.0,0.4594594594594595,0.5333333333333333,1020000014
ref-m.1.1.4.4.13-ref-m.1.1.4.4.18,ref-t.1.1.3.7.2-ref-t.1.1.3.7.8,4518,4551,ref-m.1.1.4.4.13,ref-m.1.1.4.4.18,10981,11020,ref-t.1.1.3.7.2,ref-t.1.1.3.7.8,המהלך במקום סכנה מתפלל תפלה קצרה ,מהלך במקום סכנה ולסטין מתפלל תפלה קצרה ,6,7,19,19.0,17,17.0,0.20512820512820512,0.375,1020000015
ref-m.1.1.4.5.19-ref-m.1.1.4.5.25,ref-t.1.1.3.16.16-ref-t.1.1.3.16.22,4733,4766,ref-m.1.1.4.5.19,ref-m.1.1.4.5.25,13390,13426,ref-t.1.1.3.16.16,ref-t.1.1.3.16.22,יכוין את לבו כנגד בית קדש הקדשים ,מכוונין את לבם כנגד בית קדשי הקדשים ,7,7,21,21.0,18,18.0,0.1388888888888889,0.5714285714285714,1020000016
ref-m.1.1.4.6.8-ref-m.1.1.4.6.14,ref-t.1.1.3.16.16-ref-t.1.1.3.16.22,4803,4836,ref-m.1.1.4.6.8,ref-m.1.1.4.6.14,13390,13426,ref-t.1.1.3.16.16,ref-t.1.1.3.16.22,יכוין את לבו כנגד בית קדש הקדשים ,מכוונין את לבם כנגד בית קדשי הקדשים ,7,7,22,21.0,19,19.0,0.1388888888888889,0.5714285714285714,1020000017
ref-m.1.1.5.1.20-ref-m.1.1.5.1.25,ref-t.1.1.3.22.4-ref-t.1.1.3.22.9,5110,5144,ref-m.1.1.5.1.20,ref-m.1.1.5.1.25,14573,14606,ref-t.1.1.3.22.4,ref-t.1.1.3.22.9,אפילו המלך שואל בשלומו לא ישיבנו ,אפי' המלך שואל בשלומו לא ישיבנו ,6,6,26,26.0,20,20.0,0.06060606060606061,0.33333333333333337,1020000018
ref-m.1.1.5.2.2-ref-m.1.1.5.2.16,ref-t.1.1.3.9.3-ref-t.1.1.3.9.20,5187,5287,ref-m.1.1.5.2.2,ref-m.1.1.5.2.16,11894,12000,ref-t.1.1.3.9.3,ref-t.1.1.3.9.20,גבורות גשמים בתחיית המתים ושואלין הגשמים בברכת השנים והבדלה בחונן הדעת רבי עקיבא אומר אומרה ,גבורות גשמים בתחיית המתים ולא שאל את הגשמים בברכת השנים מחזירין אותו לא אמר הבדלה בחונן הדעת אומרה ,15,18,20,20.0,21,21.0,0.37373737373737376,0.3125,1020000019
ref-m.1.1.5.5.30-ref-m.1.1.5.5.39,ref-t.3.5.13.8.29-ref-t.3.5.13.8.37,5803,5846,ref-m.1.1.5.5.30,ref-m.1.1.5.5.39,676343,676383,ref-t.3.5.13.8.29,ref-t.3.5.13.8.37,זה חי וזה מת אמרו לו מנין אתה יודע אמר להם ,זו אני מת אמרו לו מניין אתה יודע אמ' להם ,11,10,4187,4187.0,22,22.0,0.20930232558139536,0.25,1020000020
ref-m.1.1.6.1.39-ref-m.1.1.6.2.2,ref-t.1.1.4.4.3-ref-t.1.1.4.4.25,6110,6181,ref-m.1.1.6.1.39,ref-m.1.1.6.2.2,15684,15817,ref-t.1.1.4.4.3,ref-t.1.1.4.4.25,בורא מיני זרעים ועל הדשאים או' בורא מיני דשאים ועל ירקות או' בורא פרי האדמה,מיני תרגומה מברך עליהן בורא מיני כסנין על הזרעים או' בורא מיני זרעים ועל הדשאים או' בורא מיני דשאים ועל ירקות או' בורא פרי האדמה,12,25,35,35.0,23,23.0,0.4140625,0.3076923076923077,1020000021
ref-m.1.1.6.3.30-ref-m.1.1.6.5.12,ref-t.1.1.4.2.10-ref-t.1.1.4.3.16,6440,6634,ref-m.1.1.6.3.30,ref-m.1.1.6.5.12,15434,15539,ref-t.1.1.4.2.10,ref-t.1.1.4.3.16,שמברכין על המוריס יין חי מברכין עליהן בורא פרי העץ ונטלין הימנו לידים ואם נתן לתוכו מים מברכין עליו,שמברכין על המוריס יין חי מברכין עליהן בורא פרי העץ ונטלין הימנו לידים ואם נתן לתוכו מים מברכין עליו,38,19,33,33.0,25,25.0,0.0,0.0,1020000022
ref-m.1.1.6.5.1-ref-m.1.1.6.5.22,ref-t.1.1.4.8.62-ref-t.1.1.4.8.70,6574,6692,ref-m.1.1.6.5.1,ref-m.1.1.6.5.22,16846,16895,ref-t.1.1.4.8.62,ref-t.1.1.4.8.70,מברך על השיני הביאו לפניהם פרפראות אע'פ שברך על,מברך על השיני הביאו לפניהם פרפראות אע'פ שברך על,22,9,37,37.0,27,27.0,0.0,0.0,1020000023
ref-m.1.1.6.6.4-ref-m.1.1.6.6.21,ref-t.1.1.4.12.8-ref-t.1.1.4.12.17,6788,6873,ref-m.1.1.6.6.4,ref-m.1.1.6.6.21,17440,17486,ref-t.1.1.4.12.8,ref-t.1.1.4.12.17,בא להן יין בתוך המזון כל אחד ואחד מברך לעצמו,בא להן יין בתוך המזון כל אחד ואחד מברך לעצמו,14,10,41,41.0,32,32.0,0.0,0.0,1020000024
ref-m.1.1.6.6.3-ref-m.1.1.6.6.12,ref-t.1.1.5.23.7-ref-t.1.1.5.23.25,6782,6833,ref-m.1.1.6.6.3,ref-m.1.1.6.6.12,24453,24550,ref-t.1.1.5.23.7,ref-t.1.1.5.23.25,לאכול כל אחד ואחד מברך לעצמו הסיבו אחד מברך לכולן ,אוכלין מככר אחד כל אחד ואחד מברך לעצמו ישבו לאכל אע'פ שכל אחד ואחד אוכל מככרו אחד מברך לכולן ,10,19,55,55.0,29,29.0,0.5376344086021505,0.4545454545454546,1020000025
ref-m.1.1.6.6.18-ref-m.1.1.6.6.27,ref-t.1.1.5.23.10-ref-t.1.1.5.23.25,6857,6908,ref-m.1.1.6.6.18,ref-m.1.1.6.6.27,24470,24550,ref-t.1.1.5.23.10,ref-t.1.1.5.23.25,כל אחד ואחד מברך לעצמו לאחר המזון אחד מברך לכולם ,כל אחד ואחד מברך לעצמו ישבו לאכל אע'פ שכל אחד ואחד אוכל מככרו אחד מברך לכולן ,10,16,56,55.0,34,34.0,0.44155844155844154,0.6923076923076923,1020000026
ref-m.1.1.6.6.4-ref-m.1.1.6.6.12,ref-t.1.1.5.30.102-ref-t.1.1.5.30.112,6788,6833,ref-m.1.1.6.6.4,ref-m.1.1.6.6.12,26516,26569,ref-t.1.1.5.30.102,ref-t.1.1.5.30.112,כל אחד ואחד מברך לעצמו הסיבו אחד מברך לכולן ,אחד מברך לכולן ובית הלל או' כל אחד ואחד מברך לעצמו ,9,11,71,71.0,30,30.0,0.6078431372549019,0.4444444444444444,1020000027
ref-m.1.1.6.6.18-ref-m.1.1.6.6.27,ref-t.1.1.5.30.102-ref-t.1.1.5.30.112,6857,6908,ref-m.1.1.6.6.18,ref-m.1.1.6.6.27,26516,26569,ref-t.1.1.5.30.102,ref-t.1.1.5.30.112,כל אחד ואחד מברך לעצמו לאחר המזון אחד מברך לכולם ,אחד מברך לכולן ובית הלל או' כל אחד ואחד מברך לעצמו ,10,11,72,71.0,35,35.0,0.6274509803921569,0.6363636363636364,1020000028
ref-m.1.1.6.6.4-ref-m.1.1.6.6.12,ref-t.1.1.6.15.6-ref-t.1.1.6.15.18,6788,6833,ref-m.1.1.6.6.4,ref-m.1.1.6.6.12,31411,31474,ref-t.1.1.6.15.6,ref-t.1.1.6.15.18,כל אחד ואחד מברך לעצמו הסיבו אחד מברך לכולן ,כל אחד ואחד מברך לעצמו היו עושין כולן מצוה אחת אחד מברך לכולן ,9,13,80,80.0,31,31.0,0.3225806451612903,0.5,1020000029
ref-m.1.1.6.6.18-ref-m.1.1.6.6.27,ref-t.1.1.6.15.6-ref-t.1.1.6.15.18,6857,6908,ref-m.1.1.6.6.18,ref-m.1.1.6.6.27,31411,31474,ref-t.1.1.6.15.6,ref-t.1.1.6.15.18,כל אחד ואחד מברך לעצמו לאחר המזון אחד מברך לכולם ,כל אחד ואחד מברך לעצמו היו עושין כולן מצוה אחת אחד מברך לכולן ,10,13,81,80.0,36,36.0,0.3387096774193548,0.6666666666666667,1020000030
ref-m.1.1.6.7.1-ref-m.1.1.6.7.10,ref-t.1.1.4.13.5-ref-t.1.1.4.14.22,6980,7034,ref-m.1.1.6.7.1,ref-m.1.1.6.7.10,17545,17743,ref-t.1.1.4.13.5,ref-t.1.1.4.14.22,מברך על האורז ופוטר את היין צנון ונובלות מברך על הצנון ופוטר את הנובלות מליח ופרוסה מברך על המליח ופוטר את הפרוסה ר' חנינה בן גמליאל או' מליח הבא כתחילה לפני המזון ופת הבאה עם המליח,מברך על האורז ופוטר את היין צנון ונובלות מברך על הצנון ופוטר את הנובלות מליח ופרוסה מברך על המליח ופוטר את הפרוסה ר' חנינה בן גמליאל או' מליח הבא כתחילה לפני המזון ופת הבאה עם המליח,10,35,43,43.0,37,37.0,0.0,0.0,1020000031
ref-m.1.1.7.1.36-ref-m.1.1.7.2.4,ref-t.1.1.5.18.3-ref-t.1.1.5.18.16,7555,7622,ref-m.1.1.7.1.36,ref-m.1.1.7.2.4,23711,23793,ref-t.1.1.5.18.3,ref-t.1.1.5.18.16,שאכל פחות מכזית והנכרי אין מזמנין עליהם נשים ועבדים וקטנים אין ,לאכול כזית מזמנין עליו שאין יכול לאכול כזית אין מזמנין עליו ואין מדקדקין בקטן ,11,14,52,51.0,39,39.0,0.6153846153846154,0.7692307692307692,1020000032
ref-m.1.1.7.3.3-ref-m.1.1.7.3.20,ref-t.1.1.3.23.4-ref-t.1.1.3.23.14,7695,7798,ref-m.1.1.7.3.3,ref-m.1.1.7.3.20,14682,14732,ref-t.1.1.3.23.4,ref-t.1.1.3.23.14,בשלשה אומר נברך בשלשה והוא אומר ברכו בעשרה אומר נברך לאלהינו בעשרה והוא אומר ברכו אחד עשרה ואחד ,ברכת אבלים שלש או' שלש שתים אומ' שתים אחת אומ' אחת ,18,11,27,27.0,40,40.0,0.7083333333333334,0.9230769230769231,1020000033
ref-m.1.1.7.5.30-ref-m.1.1.8.2.5,ref-t.1.1.4.2.10-ref-t.1.1.4.3.15,8596,8827,ref-m.1.1.7.5.30,ref-m.1.1.8.2.5,15434,15534,ref-t.1.1.4.2.10,ref-t.1.1.4.3.15,שמברכין על המוריס יין חי מברכין עליהן בורא פרי העץ ונטלין הימנו לידים ואם נתן לתוכו מים מברכין,שמברכין על המוריס יין חי מברכין עליהן בורא פרי העץ ונטלין הימנו לידים ואם נתן לתוכו מים מברכין,44,18,32,31.0,41,41.0,0.0,0.0,1020000034
ref-m.1.1.8.1.14-ref-m.1.1.8.2.10,ref-t.1.1.5.25.11-ref-t.1.1.5.26.10,8715,8852,ref-m.1.1.8.1.14,ref-m.1.1.8.2.10,24791,25093,ref-t.1.1.5.25.11,ref-t.1.1.5.26.10,היום ואחר כך מברך על היין שהיום גורם ליין שיבא וכבר קדש היום ועדיין יין לא בא ובית הלל אומ' מברך על היין ואחר כך,מברך על היום ואחר כך מברך על היין שהיום גורם ליין שיבא וכבר קדש היום ועדיין יין לא בא ובית הלל אומ' מברך על היין ואחר כך מברך על היום שהיין גורם לקדושת היום שתאמר דבר אחר ברכת היין תדירה וברכת היום אינה תדירה והלכה כדברי בית הלל בית שמיי או' נוטלין לידים ואחר כך מוזגין את הכוס,16,58,58,58.0,42,42.0,0.5956678700361011,0.5172413793103448,1020000035
ref-m.1.1.8.1.17-ref-m.1.1.8.1.29,ref-t.1.1.5.29.10-ref-t.1.1.5.29.29,8730,8791,ref-m.1.1.8.1.17,ref-m.1.1.8.1.29,25777,25874,ref-t.1.1.5.29.10,ref-t.1.1.5.29.29,מברך על היין ובית הלל אומרים מברך על היין ואחר כך מברך על ,מברך על היין ואחר כך מברך על השמן ובית הלל או' אוחז שמן ערב בימינו וכוס יין בשמאלו מברך על ,13,20,68,67.0,47,41.0,0.5494505494505495,0.5714285714285714,1020000036
ref-m.1.1.8.1.14-ref-m.1.1.8.1.30,ref-t.2.3.10.2.8-ref-t.2.3.10.2.41,8715,8797,ref-m.1.1.8.1.14,ref-m.1.1.8.1.30,371128,371300,ref-t.2.3.10.2.8,ref-t.2.3.10.2.41,היום ואחר כך מברך על היין שהיום גורם ליין שיבא וכבר קדש היום ועדיין יין לא בא ובית הלל אומ' מברך על היין ואחר כך,מברך על היום ואחר כך מברך על היין שהיום גורם ליין שיבא וכבר קדש היום ועדיין יין לא בא ובית הלל אומ' מברך על היין ואחר כך מברך על היום שהיין גורם לקדושת היום ואחר כך מברך על היין שהיום גורם ליין שיבא וכבר קדש היום ועדיין יין לא בא ובית הלל אומ' מברך על היין ואחר כך,16,34,2050,2050.0,43,43.0,0.5757575757575758,0.125,1020000037
ref-m.1.1.8.2.14-ref-m.1.1.8.3.9,ref-t.1.1.5.26.37-ref-t.1.1.5.27.9,8870,8958,ref-m.1.1.8.2.14,ref-m.1.1.8.3.9,25239,25323,ref-t.1.1.5.26.37,ref-t.1.1.5.27.9,מוזגין את הכוס ואחר כך נוטלין לידים בית שמאי אומרים מקנח ידיו במפה ומניחה על השלחן ,מוזגין את הכוס ואחר כך נוטלין לידים בית שמאי או' מקנח ידו במפה ומניחה על השלחן ,16,16,64,64.0,49,49.0,0.060240963855421686,0.1333333333333333,1020000038
ref-m.1.1.8.2.19-ref-m.1.1.8.3.8,ref-t.1.1.5.27.30-ref-t.1.1.5.27.38,8895,8951,ref-m.1.1.8.2.19,ref-m.1.1.8.3.8,25431,25480,ref-t.1.1.5.27.30,ref-t.1.1.5.27.38,נוטלין לידים בית שמאי אומרים מקנח ידיו במפה ומניחה על ,נטילת ידים לחולין אלא מקנח ידיו במפה ומניחה על ,10,9,65,65.0,50,49.0,0.3148148148148148,0.5833333333333333,1020000039
ref-m.1.1.8.4.7-ref-m.1.1.8.4.20,ref-t.1.1.5.28.11-ref-t.1.1.5.28.32,9017,9095,ref-m.1.1.8.4.7,ref-m.1.1.8.4.20,25601,25715,ref-t.1.1.5.28.11,ref-t.1.1.5.28.32,ואחר כך נוטלים לידים ובית הלל אומרים נוטלין לידים ואחר כך מכבדין את הבית ,ואחר כך נוטלין לידים בית הלל או' אם היה שמש תלמיד חכם מלקט פרורין שיש בהן כזית ונוטלין לידים ואחר כך מכבדין ,14,22,66,66.0,51,51.0,0.5092592592592593,0.65,1020000040
ref-m.1.1.8.8.34-ref-m.1.1.8.8.47,ref-t.1.1.1.9.7-ref-t.1.1.1.9.20,9729,9803,ref-m.1.1.8.8.34,ref-m.1.1.8.8.47,2294,2382,ref-t.1.1.1.9.7,ref-t.1.1.1.9.20,אמן אחר ישראל המברך ואין עונין אמן אחר הכותי המברך עד שישמע כל הברכה ,מברכה לשמע הסמוכה לשמע וברכה הסמוכה לברכה אחרת שאין פותחין בהן בברוך ואין עונין ,14,14,5,5.0,60,52.0,0.775,0.875,1020000041
ref-m.1.1.8.8.30-ref-m.1.1.8.8.47,ref-t.1.1.3.26.1-ref-t.1.1.3.26.16,9709,9803,ref-m.1.1.8.8.30,ref-m.1.1.8.8.47,15111,15192,ref-t.1.1.3.26.1,ref-t.1.1.3.26.16,אחר ישראל המברך ואין עונין אמן אחר כותי המברך עד שישמע את כל הברכה,עונין אמן אחר ישראל המברך ואין עונין אמן אחר כותי המברך עד שישמע את כל הברכה,18,16,28,28.0,55,55.0,0.13157894736842105,0.0,1020000042
ref-m.1.1.8.8.30-ref-m.1.1.8.8.47,ref-t.1.1.5.21.2-ref-t.1.1.5.21.17,9709,9803,ref-m.1.1.8.8.30,ref-m.1.1.8.8.47,24027,24104,ref-t.1.1.5.21.2,ref-t.1.1.5.21.17,המברך בשם עונין אחריו אמן את השם אין עונין אחריו אמן עד שישמע את כל הברכה,המברך בשם עונין אחריו אמן את השם אין עונין אחריו אמן עד שישמע את כל הברכה,18,16,53,53.0,56,56.0,0.0,0.0,1020000043
ref-m.1.1.8.8.10-ref-m.1.1.8.8.32,ref-t.1.1.5.29.10-ref-t.1.1.5.29.28,9608,9722,ref-m.1.1.8.8.10,ref-m.1.1.8.8.32,25777,25871,ref-t.1.1.5.29.10,ref-t.1.1.5.29.28,מברך על היין ואחר כך מברך על השמן ובית הלל או' אוחז שמן ערב בימינו וכוס יין בשמאלו מברך,מברך על היין ואחר כך מברך על השמן ובית הלל או' אוחז שמן ערב בימינו וכוס יין בשמאלו מברך,23,17,67,67.0,52,52.0,0.0,0.0,1020000044
ref-m.1.1.8.8.31-ref-m.1.1.8.8.40,ref-t.2.9.1.11.12-ref-t.2.9.1.11.20,9714,9765,ref-m.1.1.8.8.31,ref-m.1.1.8.8.40,461187,461237,ref-t.2.9.1.11.12,ref-t.2.9.1.11.20,על היין עונין אמן אחר ישראל המברך ואין עונין אמן ,העולם ואין עונין אמן במקדש מנין שאין עונין אמן ,10,9,2498,2498.0,57,52.0,0.3673469387755102,0.8,1020000045
ref-m.1.1.8.8.30-ref-m.1.1.8.8.40,ref-t.2.10.3.27.7-ref-t.2.10.3.27.24,9709,9765,ref-m.1.1.8.8.30,ref-m.1.1.8.8.40,485678,485755,ref-t.2.10.3.27.7,ref-t.2.10.3.27.24,ועל המצות הרי זה לא יענה אחר עצמו אמן אם ענה הרי זה דרך בורות אין עונין אמן,ועל המצות הרי זה לא יענה אחר עצמו אמן אם ענה הרי זה דרך בורות אין עונין אמן,10,18,2644,2644.0,54,54.0,0.0,0.0,1020000046
ref-m.1.1.9.1.14-ref-m.1.1.9.1.24,ref-t.1.1.6.2.2-ref-t.1.1.6.2.14,9883,9950,ref-m.1.1.9.1.14,ref-m.1.1.9.1.24,27777,27843,ref-t.1.1.6.2.2,ref-t.1.1.6.2.14,או' ברוך ארך אפים מקום שנעקרה ממנו ע'ז או' ברוך שעקר ע'ז מארצנו,או' ברוך ארך אפים מקום שנעקרה ממנו ע'ז או' ברוך שעקר ע'ז מארצנו,11,13,73,73.0,62,62.0,0.0,0.0,1020000047
ref-m.1.1.9.3.21-ref-m.1.1.9.4.3,ref-t.1.1.6.7.67-ref-t.1.1.6.7.91,10436,10626,ref-m.1.1.9.3.21,ref-m.1.1.9.4.3,29703,29823,ref-t.1.1.6.7.67,ref-t.1.1.6.7.91,אמ' יהי רצון שיהיו מאתים כנס מאה חביות אמ' יהי רצון שיהיו מאתים הרי זו תפלת שוא אבל מתפלל הוא,תיפלה כיצד כנס מאה כורין אמ' יהי רצון שיהיו מאתים כנס מאה חביות אמ' יהי רצון שיהיו מאתים הרי זו תפלת שוא אבל מתפלל,11,24,77,77.0,64,64.0,0.2543859649122807,0.15384615384615385,1020000048
ref-m.1.1.9.4.1-ref-m.1.1.9.4.16,ref-t.1.1.6.16.1-ref-t.1.1.6.16.16,10608,10707,ref-m.1.1.9.4.1,ref-m.1.1.9.4.16,31614,31713,ref-t.1.1.6.16.1,ref-t.1.1.6.16.16,הנכנס לכרך מתפלל שתים אחת בכניסתו ואחת ביציאתו בן עזאי אומר ארבע שתים בכניסתו ושתים ביציאתו ,הנכנס לכרך מתפלל שתים אחת בכניסתו ואחת ביציאתו ר' שמעון או' ארבע שתים בכניסתו ושתים ביציאתו ,16,16,82,82.0,68,64.0,0.09782608695652174,0.4285714285714286,1020000049
ref-m.1.1.9.4.1-ref-m.1.1.9.4.8,ref-t.1.1.6.17.1-ref-t.1.1.6.17.8,10608,10659,ref-m.1.1.9.4.1,ref-m.1.1.9.4.8,31976,32027,ref-t.1.1.6.17.1,ref-t.1.1.6.17.8,הנכנס לכרך מתפלל שתים אחת בכניסתו ואחת ביציאתו ,הנכנס למרחץ מברך שתים אחת בכניסתו ואחת ביציאתו ,8,8,85,85.0,67,64.0,0.14893617021276595,0.4444444444444444,1020000050
