,index,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,grp-ref-y,grp-ref-sifre-n,dam-lev,jac,id
15,19,ref-y.1.9.4.4.14.4-ref-y.1.9.4.4.14.18,ref-sifre-n.4.1.119-ref-sifre-n.4.1.133,803716,803805,120925,120939,ref-y.1.9.4.4.14.4,ref-y.1.9.4.4.14.18,8812,8892,1291,1300,ref-sifre-n.4.1.119,ref-sifre-n.4.1.133,לאנשי משמר ויש מהן נותנין לכל כהן הבכורות והביכורים לאנשי משמר ושאר כולהן לכל כהן ,לכהן קנאו השם ונתנו לכהנים באנשי משמר הכתוב מדבר או אינו מדבר אלא בכל כהן ,14,9,236.0,19.0,0.6829268292682927,0.75,4070000016
16,20,ref-y.4.1.9.9.1.176-ref-y.4.1.9.9.1.183,ref-sifre-n.4.4.7-ref-sifre-n.4.4.29,3014453,3014500,452544,452550,ref-y.4.1.9.9.1.176,ref-y.4.1.9.9.1.183,9893,10017,1468,1481,ref-sifre-n.4.4.7,ref-sifre-n.4.4.29,נתן את הכסף ליהויריב במשמר ידעיה אשם,נתן הכסף ליהויריב ואשם לידעיה יצא וקורא אני עליו איש אשר יתן לכהן לו,7,14,1554.0,20.0,0.6470588235294118,0.6428571428571428,4070000017
17,21,ref-y.4.1.9.9.1.118-ref-y.4.1.9.9.1.128,ref-sifre-n.4.4.7-ref-sifre-n.4.4.29,3014135,3014203,452490,452499,ref-y.4.1.9.9.1.118,ref-y.4.1.9.9.1.128,9893,10017,1468,1481,ref-sifre-n.4.4.7,ref-sifre-n.4.4.29,נתן את הכסף ליהויריב במשמר ידעיה ואשם לידעיה במשמר יהויריב,נתן הכסף ליהויריב ואשם לידעיה יצא וקורא אני עליו איש אשר יתן לכהן לו,10,14,1552.0,20.0,0.5294117647058824,0.6428571428571428,4070000018
18,24,ref-y.1.2.1.1.1.97-ref-y.1.2.1.1.1.109,ref-sifre-n.5.1.42-ref-sifre-n.5.1.52,201636,201704,31676,31688,ref-y.1.2.1.1.1.97,ref-y.1.2.1.1.1.109,10371,10431,1529,1539,ref-sifre-n.5.1.42,ref-sifre-n.5.1.52,לעשו' כל כריו תרומ' אינו עושה דתנינן תמן האומר כל גורני תרומה וכל ,לעשות כל גרנו תרומה רשאי ובלבד שישייר מקצת וכל תרומה לכל ,12,10,62.0,24.0,0.48484848484848486,0.6875,4070000019
19,25,ref-y.1.2.5.5.3.45-ref-y.1.2.5.5.3.51,ref-sifre-n.5.1.149-ref-sifre-n.5.1.155,261195,261230,40823,40829,ref-y.1.2.5.5.3.45,ref-y.1.2.5.5.3.51,10908,10943,1594,1600,ref-sifre-n.5.1.149,ref-sifre-n.5.1.155,ראשית בכורי אדמתך תביא בית ה' אלהיך ,ראשית בכורי אדמתך תביא בית ה' אלהיך ,6,6,77.0,25.0,0.0,0.0,4070000020
20,26,ref-y.2.1.16.3.4.15-ref-y.2.1.16.3.4.24,ref-sifre-n.5.1.174-ref-sifre-n.6.1.22,1074845,1074896,160495,160504,ref-y.2.1.16.3.4.15,ref-y.2.1.16.3.4.24,11032,11161,1612,1627,ref-sifre-n.5.1.174,ref-sifre-n.6.1.22,כתבי הקודש תני אף מטמאין להציל והתני בכל קודש לא ,נתונים לכהנים ואיש את קדשיו לו יהיו כל הקדשים היו בכלל שנאמר ואיש את קדשיו לו יהיו משך הכתוב כל הקדשים ונתנם לכהנים ולא ,9,15,318.0,26.0,0.75,0.875,4070000021
21,27,ref-y.3.5.3.7.3.22-ref-y.3.5.3.7.4.13,ref-sifre-n.5.1.175-ref-sifre-n.6.1.25,2290363,2290563,342731,342761,ref-y.3.5.3.7.3.22,ref-y.3.5.3.7.4.13,11039,11174,1613,1630,ref-sifre-n.5.1.175,ref-sifre-n.6.1.25,לא אל הכוהנת דלכן מה אנן אמרין הואיל והיא ותהא בכלל גזירה ולא תצא אם אומר את כן נמצאת מדחה פרשת טמאות כהן אוכל בקדשי הקדשים אין כהנת אוכלת בקדשי הקדשים,לכהנים ואיש את קדשיו לו יהיו כל הקדשים היו בכלל שנאמר ואיש את קדשיו לו יהיו משך הכתוב,31,18,1080.0,26.0,0.7152317880794702,0.8333333333333334,4070000022
22,29,ref-y.3.5.8.5.4.22-ref-y.3.5.8.5.4.28,ref-sifre-n.6.1.67-ref-sifre-n.6.1.73,2338134,2338175,350041,350047,ref-y.3.5.8.5.4.22,ref-y.3.5.8.5.4.28,11389,11428,1654,1660,ref-sifre-n.6.1.67,ref-sifre-n.6.1.73,ובשנה הרביעית יהיה כל פריו קודש הילולים ,ובשנה הרביעית יהיה כל פריו קדש הלולים ,6,6,1179.0,29.0,0.05,0.0,4070000023
23,30,ref-y.1.2.7.5.9.2-ref-y.1.2.7.5.9.13,ref-sifre-n.6.1.361-ref-sifre-n.6.1.366,280939,281004,43800,43806,ref-y.1.2.7.5.9.2,ref-y.1.2.7.5.9.13,12857,12893,1905,1909,ref-sifre-n.6.1.361,ref-sifre-n.6.1.366,ובשנה החמישית תאכלו את פריו רבי יוסי הגלילי אומר הרי את כמוסיף ,ובשנה החמישית תאכלו את פריו להוסיף ,6,4,80.0,30.0,0.4444444444444444,0.5833333333333333,4070000024
24,31,ref-y.1.8.5.2.17.2-ref-y.1.8.5.2.17.8,ref-sifre-n.6.1.361-ref-sifre-n.6.1.367,745965,746005,112559,112564,ref-y.1.8.5.2.17.2,ref-y.1.8.5.2.17.8,12857,12897,1905,1910,ref-sifre-n.6.1.361,ref-sifre-n.6.1.367,ובשנה החמישית תאכלו את פריו להוסיף לכם ,ובשנה החמישית תאכלו את פריו להוסיף לכם ,5,5,174.0,30.0,0.0,0.0,4070000025
25,32,ref-y.1.10.1.1.2.43-ref-y.1.10.1.1.2.50,ref-sifre-n.6.1.361-ref-sifre-n.6.1.368,808086,808133,121571,121577,ref-y.1.10.1.1.2.43,ref-y.1.10.1.1.2.50,12857,12904,1905,1911,ref-sifre-n.6.1.361,ref-sifre-n.6.1.368,ובשנה החמישית תאכלו את פריו להוסיף לכם תבואתו ,ובשנה החמישית תאכלו את פריו להוסיף לכם תבואתו ,6,6,240.0,30.0,0.0,0.0,4070000026
26,33,ref-y.2.4.4.4.6.11-ref-y.2.4.4.4.6.23,ref-sifre-n.7.1.1-ref-sifre-n.7.1.7,1531459,1531519,227991,228002,ref-y.2.4.4.4.6.11,ref-y.2.4.4.4.6.23,13608,13639,1981,1987,ref-sifre-n.7.1.1,ref-sifre-n.7.1.7,דבר אל אהרן ואל בניו ואל כל בני ישראל ואמרת אליהם איש,"דבר אל ב""י ואמרת אליהם איש איש",12,7,511.0,33.0,0.5849056603773585,0.4444444444444444,4070000027
27,35,ref-y.4.5.2.6.6.21-ref-y.4.5.2.6.6.34,ref-sifre-n.7.1.40-ref-sifre-n.7.1.51,3327229,3327302,501282,501294,ref-y.4.5.2.6.6.21,ref-y.4.5.2.6.6.34,13789,13842,2013,2023,ref-sifre-n.7.1.40,ref-sifre-n.7.1.51,לא התירו בה אלא בעילה ראשונה בלבד ואני אומר ולא בעילה ראשונה ולא בעילה ,ולא התרו בה נבעלה בפני עד אחד ספק נבעלה ספק לא נבעלה ,12,10,1928.0,35.0,0.5070422535211268,0.8333333333333334,4070000028
28,36,ref-y.2.4.4.4.6.11-ref-y.2.4.4.4.6.23,ref-sifre-n.7.1.61-ref-sifre-n.7.1.67,1531459,1531519,227991,228002,ref-y.2.4.4.4.6.11,ref-y.2.4.4.4.6.23,13884,13915,2032,2038,ref-sifre-n.7.1.61,ref-sifre-n.7.1.67,דבר אל אהרן ואל בניו ואל כל בני ישראל ואמרת אליהם איש,"דבר אל ב""י ואמרת אליהם איש איש",12,7,511.0,36.0,0.5849056603773585,0.4444444444444444,4070000029
29,38,ref-y.2.11.3.1.9.29-ref-y.2.11.3.1.9.35,ref-sifre-n.7.1.128-ref-sifre-n.7.1.135,2012578,2012619,301062,301067,ref-y.2.11.3.1.9.29,ref-y.2.11.3.1.9.35,14260,14304,2096,2101,ref-sifre-n.7.1.128,ref-sifre-n.7.1.135,נידוהו ומת בנידויו וסקלו בית דין ארונו ,ונדוהו ומת בנדויו וסקלו בית דין את ארונו ,5,5,886.0,38.0,0.14634146341463414,0.0,4070000030
30,39,ref-y.3.1.10.6.3.83-ref-y.3.1.10.6.3.107,ref-sifre-n.7.2.12-ref-sifre-n.7.2.26,2176633,2176765,325409,325430,ref-y.3.1.10.6.3.83,ref-y.3.1.10.6.3.107,14750,14826,2175,2187,ref-sifre-n.7.2.12,ref-sifre-n.7.2.26,שבא איסור הקל על איסורה הקלה אסר את אוסריו כיון שבא איסור החמור על איסורה החמור' אינו דין שנאסור את אוסריו והיי,שהיה בדין אם כשבא איסור הקל על איסור הקלה אסר את אוסרו כשבא,22,13,977.0,39.0,0.5945945945945946,0.5,4070000031
31,42,ref-y.3.1.10.6.4.120-ref-y.3.1.10.6.4.130,ref-sifre-n.7.2.21-ref-sifre-n.7.2.35,2177434,2177502,325527,325537,ref-y.3.1.10.6.4.120,ref-y.3.1.10.6.4.130,14797,14870,2183,2192,ref-sifre-n.7.2.21,ref-sifre-n.7.2.35,אסרה והיא אסרתו מרובה איסור שאסרה מאיסור שהיא אוסרתו שהוא אוסר' ,אסר את אוסרו כשבא איסור חמור על איסור חמורה אינו דין שהוא אוסר את אוסרו ,10,9,982.0,39.0,0.5,0.8333333333333334,4070000032
32,43,ref-y.4.8.5.1.3.19-ref-y.4.8.5.1.3.43,ref-sifre-n.7.2.61-ref-sifre-n.7.2.78,3492963,3493072,526288,526303,ref-y.4.8.5.1.3.19,ref-y.4.8.5.1.3.43,14989,15081,2202,2217,ref-sifre-n.7.2.61,ref-sifre-n.7.2.78,אין קרקע נאסר וכא נאסר נתן לו בהמה בשכרו בכל אתר את אמר אין דבר שיש בו רוח חיים נאסר ובא נאסר נתן לו הכל ,שאין האוסר אוסר כל ימיו כשבא איסור הקל על איסור הקלה אסר את אוסריו מקום שהאוסר אוסר כל ,15,15,2022.0,43.0,0.6476190476190476,0.8636363636363636,4070000033
33,44,ref-y.3.1.10.6.3.83-ref-y.3.1.10.6.3.106,ref-sifre-n.7.2.62-ref-sifre-n.7.2.82,2176633,2176762,325409,325429,ref-y.3.1.10.6.3.83,ref-y.3.1.10.6.3.106,14995,15103,2203,2221,ref-sifre-n.7.2.62,ref-sifre-n.7.2.82,שבא איסור הקל על איסורה הקלה אסר את אוסריו כיון שבא איסור החמור על איסורה החמור' אינו דין שנאסור את אוסריו,האוסר אוסר כל ימיו כשבא איסור הקל על איסור הקלה אסר את אוסריו מקום שהאוסר אוסר כל ימיו כשבא,21,19,977.0,43.0,0.6226415094339622,0.6428571428571428,4070000034
34,46,ref-y.3.1.10.6.4.119-ref-y.3.1.10.6.4.128,ref-sifre-n.7.2.72-ref-sifre-n.7.2.91,2177430,2177490,325526,325535,ref-y.3.1.10.6.4.119,ref-y.3.1.10.6.4.128,15047,15149,2212,2226,ref-sifre-n.7.2.72,ref-sifre-n.7.2.91,היא אסרה והיא אסרתו מרובה איסור שאסרה מאיסור שהיא אוסרתו ,אסר את אוסריו מקום שהאוסר אוסר כל ימיו כשבא איסור חמור על איסור חמורה אינו דין שיהיה אוסר את אוסריו ,9,14,982.0,43.0,0.58,0.7857142857142857,4070000035
35,47,ref-y.3.5.1.2.5.77-ref-y.3.5.1.2.5.90,ref-sifre-n.7.3.69-ref-sifre-n.7.3.79,2249263,2249339,336287,336300,ref-y.3.5.1.2.5.77,ref-y.3.5.1.2.5.90,15566,15628,2289,2298,ref-sifre-n.7.3.69,ref-sifre-n.7.3.79,לשעורין כהדא דתני ונסתרה והיא נטמאה כמה היא סתירה כדי טומאה כמה היא כדי ,שיעור סתירה תלמוד לומר ונסתרה והיא נטמאה סתירה כדי טומאה כדי ,13,9,1021.0,47.0,0.4444444444444444,0.4444444444444444,4070000036
36,48,ref-y.3.5.4.3.4.115-ref-y.3.5.4.3.4.123,ref-sifre-n.7.3.175-ref-sifre-n.7.3.183,2295192,2295237,343452,343459,ref-y.3.5.4.3.4.115,ref-y.3.5.4.3.4.123,16086,16129,2373,2381,ref-sifre-n.7.3.175,ref-sifre-n.7.3.183,אם שרצים הקלים עשה בהן את האונס ברצון סוטה ,אם המטמא טומאה קלה עשה בה אונס כרצון סוטה ,7,8,1084.0,48.0,0.4186046511627907,0.4545454545454546,4070000037
37,49,ref-y.2.12.3.4.7.25-ref-y.2.12.3.4.8.7,ref-sifre-n.7.3.249-ref-sifre-n.7.3.261,1982669,1982850,296607,296631,ref-y.2.12.3.4.7.25,ref-y.2.12.3.4.8.7,16482,16545,2429,2440,ref-sifre-n.7.3.249,ref-sifre-n.7.3.261,טמאין בין לו בין לאחרים ר' עקיבה אומר אם טהורין לו יהיו טהורין לאחרים אם טמאין לאחרי' יהיו טמאין לו ר' יוחנן אמ' חמרין טמאין,והיא נטמאה והיא לא נטמאה אם היא נטמאה למה שותה ואם טהורה,25,12,882.0,49.0,0.7338709677419355,0.75,4070000038
38,51,ref-y.2.2.3.4.1.10-ref-y.2.2.3.4.1.23,ref-sifre-n.7.3.322-ref-sifre-n.7.3.339,1142494,1142566,170111,170121,ref-y.2.2.3.4.1.10,ref-y.2.2.3.4.1.23,16836,16929,2485,2496,ref-sifre-n.7.3.322,ref-sifre-n.7.3.339,ספק ניטמאת מבעוד יום ספק ניטמאת משחשיכה אבל אם היתה ספק טהורה ספק טמאה ,ספק טומאה ברשות היחיד טמא ספק טומאה ברשות הרבים ספיקו טהור את שיש בו דעת לישאל ספיקו טמא ,10,11,322.0,51.0,0.6292134831460674,0.7333333333333334,4070000039
39,52,ref-y.3.4.8.2.1.24-ref-y.3.4.8.2.1.42,ref-sifre-n.7.3.322-ref-sifre-n.7.3.339,2806402,2806487,420536,420550,ref-y.3.4.8.2.1.24,ref-y.3.4.8.2.1.42,16836,16929,2485,2496,ref-sifre-n.7.3.322,ref-sifre-n.7.3.339,בספק הדא היא דתני ר' חייה ספק נזיר טמא ספק נזיר טהור אבל נזיר ודאי היה ספק מצורע טמא ,ספק טומאה ברשות היחיד טמא ספק טומאה ברשות הרבים ספיקו טהור את שיש בו דעת לישאל ספיקו טמא ,14,11,1458.0,51.0,0.6292134831460674,0.8235294117647058,4070000040
40,53,ref-y.2.12.3.4.7.33-ref-y.2.12.3.4.8.7,ref-sifre-n.7.3.359-ref-sifre-n.7.3.373,1982707,1982850,296610,296631,ref-y.2.12.3.4.7.33,ref-y.2.12.3.4.8.7,17019,17089,2513,2526,ref-sifre-n.7.3.359,ref-sifre-n.7.3.373,אם טהורין לו יהיו טהורין לאחרים אם טמאין לאחרי' יהיו טמאין לו ר' יוחנן אמ' חמרין טמאין בין לו בין לאחרי' עם הארץ דתני עם הארץ שנתמנה להיות ,היא נטמאה והיא לא נטמאה אם היא טמאה למה אינה משקה שותה ואם טהורה היא ,21,13,882.0,53.0,0.697841726618705,0.8125,4070000041
41,54,ref-y.2.2.3.4.1.10-ref-y.2.2.3.4.1.23,ref-sifre-n.7.3.434-ref-sifre-n.7.3.451,1142494,1142566,170111,170121,ref-y.2.2.3.4.1.10,ref-y.2.2.3.4.1.23,17381,17474,2571,2582,ref-sifre-n.7.3.434,ref-sifre-n.7.3.451,ספק ניטמאת מבעוד יום ספק ניטמאת משחשיכה אבל אם היתה ספק טהורה ספק טמאה ,ספק טומאה ברשות היחיד טמא ספק טומאה ברשות הרבים םפיקו טהור את שיש בו דעת לישאל ספיקו טמא ,10,11,322.0,54.0,0.6292134831460674,0.75,4070000042
42,55,ref-y.3.2.2.9.5.23-ref-y.3.2.2.9.5.30,ref-sifre-n.8.1.17-ref-sifre-n.8.1.25,2395357,2395397,358656,358662,ref-y.3.2.2.9.5.23,ref-y.3.2.2.9.5.30,17585,17631,2600,2607,ref-sifre-n.8.1.17,ref-sifre-n.8.1.25,מוסרין לו שני תלמידי חכמים שמא יבוא עליה ,מוסרים לו שני תלמידי חכמים בדרך שלא יבא עליה ,6,7,1200.0,55.0,0.17777777777777778,0.33333333333333337,4070000043
43,56,ref-y.3.5.1.3.4.5-ref-y.3.5.1.3.4.35,ref-sifre-n.8.1.29-ref-sifre-n.8.1.54,2252526,2252674,336764,336783,ref-y.3.5.1.3.4.5,ref-y.3.5.1.3.4.35,17648,17775,2611,2632,ref-sifre-n.8.1.29,ref-sifre-n.8.1.54,בעלה נאמן עליה מקל וחומר ומה אם חנדה שחייבין עליה כרת הרי הוא נאמן עליה זו שאין חייבין עליה ברת,בעלה נאמן עליה מקל וחומר ומה נדה שחיבים על ביאתה כרת בעלה נאמן עליה סוטה שאין חיבים על ביאתה כרת אינו דין,20,22,1022.0,56.0,0.3333333333333333,0.4375,4070000044
44,58,ref-y.4.4.7.5.7.40-ref-y.4.4.7.5.7.61,ref-sifre-n.8.1.228-ref-sifre-n.8.1.252,3231837,3231935,486331,486348,ref-y.4.4.7.5.7.40,ref-y.4.4.7.5.7.61,18642,18761,2773,2796,ref-sifre-n.8.1.228,ref-sifre-n.8.1.252,בלא תעשה בגין דכתיב שם תעלה ושם תעשה והא אילו לא כתיב שם תעלה ושם תעשה אין עשה מלמד על לא תעש' ,כשם שמעשיה מעשה בהמה כך קרבנה מאכל בהמה לא ישים עליה שמן מגיד שאם נתן עליה שמן ולבונה עובר בלא תעשה או כשם שעובר על ,17,23,1816.0,58.0,0.6810344827586207,0.782608695652174,4070000045
45,59,ref-y.2.1.7.2.16.116-ref-y.2.1.7.2.16.137,ref-sifre-n.8.1.228-ref-sifre-n.8.1.253,1000260,1000359,149715,149732,ref-y.2.1.7.2.16.116,ref-y.2.1.7.2.16.137,18642,18766,2773,2797,ref-sifre-n.8.1.228,ref-sifre-n.8.1.253,בלא תעשה כגין דכתיב שם תעלה ושם תעשה הא אילולא הוה כתיב שם תעלה ושם תעשה אין עשה מלמד על לא תעשה ,כשם שמעשיה מעשה בהמה כך קרבנה מאכל בהמה לא ישים עליה שמן מגיד שאם נתן עליה שמן ולבונה עובר בלא תעשה או כשם שעובר על שמנו ,17,24,313.0,58.0,0.6611570247933884,0.782608695652174,4070000046
46,60,ref-y.3.5.3.4.3.39-ref-y.3.5.3.4.3.59,ref-sifre-n.8.1.319-ref-sifre-n.8.1.333,2282475,2282581,341522,341538,ref-y.3.5.3.4.3.39,ref-y.3.5.3.4.3.59,19087,19172,2856,2869,ref-sifre-n.8.1.319,ref-sifre-n.8.1.333,מנחת זכרון יש לה זכות מזכרת עון אין לה זכות תני רבי טרפון אומר כל הזכרונות שנאמרו בתורה לטובה חוץ מזו ,מנחת זכרון שומע אני זכות וחובה תלמוד לומר מזכרת עון כל הזכרונות שבתורה לטובה וזו ,16,13,1067.0,60.0,0.45098039215686275,0.5714285714285714,4070000047
