,index,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,grp-ref-y,grp-ref-mek,dam-lev,jac,id
15,16,ref-y.2.3.10.5.3.15-ref-y.2.3.10.5.3.20,ref-mek.1.2.1.180-ref-mek.1.2.1.185,1381941,1381980,205252,205257,ref-y.2.3.10.5.3.15,ref-y.2.3.10.5.3.20,7507,7542,1257,1262,ref-mek.1.2.1.180,ref-mek.1.2.1.185,בחג המצות ובחג השבועות ובחג הסכות ,חג המצות וחג השבועות וחג הסכות ,5,5,465.0,16.0,0.08823529411764706,0.19999999999999996,4050000016
16,17,ref-y.4.6.1.4.3.11-ref-y.4.6.1.4.3.16,ref-mek.1.2.1.180-ref-mek.1.2.1.185,3339722,3339758,503187,503192,ref-y.4.6.1.4.3.11,ref-y.4.6.1.4.3.16,7507,7542,1257,1262,ref-mek.1.2.1.180,ref-mek.1.2.1.185,חג המצות וחג השבועות וחג הסוכות ,חג המצות וחג השבועות וחג הסכות ,5,5,1433.0,16.0,0.03125,0.0,4050000017
17,18,ref-y.2.8.1.1.1.18-ref-y.2.8.1.1.1.34,ref-mek.1.2.1.189-ref-mek.1.2.1.210,1631545,1631641,243086,243102,ref-y.2.8.1.1.1.18,ref-y.2.8.1.1.1.34,7564,7697,1266,1285,ref-mek.1.2.1.189,ref-mek.1.2.1.210,ולא לירקות ואימר לכם הוא ראש ואינו ראש לא למלכים ולא לרגלים רבי לשני' ולא לשמיטי' ולא,ראש לחדשים למלכים ולרגלים ר' נתן ור' יצחק אומר אף לשכירות בתים ולא לשנים ולא לשמטין ויובלות ולא לנטיעה ולא,17,20,556.0,18.0,0.6132075471698113,0.8260869565217391,4050000018
18,20,ref-y.1.5.10.1.14.88-ref-y.1.5.10.1.14.104,ref-mek.1.2.1.201-ref-mek.1.2.1.213,522180,522258,79981,79991,ref-y.1.5.10.1.14.88,ref-y.1.5.10.1.14.104,7631,7711,1276,1288,ref-mek.1.2.1.201,ref-mek.1.2.1.213,לא היא שנת שבע ולא היא שנת השמיטה מה תלמוד לומר קרבה שנת השבע שנת השמיטה שלא ,ולא לשנים ולא לשמטין ויובלות ולא לנטיעה ולא לירקות שנאמר מקץ שבע שנים ,10,12,218.0,18.0,0.7272727272727273,0.7857142857142857,4050000019
19,21,ref-y.1.8.5.3.2.117-ref-y.1.8.5.3.2.124,ref-mek.1.2.1.210-ref-mek.1.2.1.216,747738,747782,112801,112808,ref-y.1.8.5.3.2.117,ref-y.1.8.5.3.2.124,7691,7729,1285,1291,ref-mek.1.2.1.210,ref-mek.1.2.1.216,ונאמר להלן מקצה שבע שני' במועד שנת השמיטה ,שנאמר מקץ שבע שנים במועד שנת השמטה ,7,6,234.0,18.0,0.23809523809523808,0.5,4050000020
20,22,ref-y.4.8.1.1.3.19-ref-y.4.8.1.1.3.24,ref-mek.1.2.1.211-ref-mek.1.2.1.216,3411589,3411620,513965,513970,ref-y.4.8.1.1.3.19,ref-y.4.8.1.1.3.24,7698,7729,1286,1291,ref-mek.1.2.1.211,ref-mek.1.2.1.216,מקץ שבע שנים במועד שנת השמיטה ,מקץ שבע שנים במועד שנת השמטה ,5,5,1505.0,18.0,0.03333333333333333,0.0,4050000021
21,23,ref-y.2.12.2.2.4.544-ref-y.2.12.2.2.4.585,ref-mek.1.2.1.240-ref-mek.1.2.1.262,1956811,1957024,292814,292854,ref-y.2.12.2.2.4.544,ref-y.2.12.2.2.4.585,7861,7968,1313,1333,ref-mek.1.2.1.240,ref-mek.1.2.1.262,אמר' מה דהיא אמר' ומייתיא פיתא וחדא אמרה מה דהיא אמרה ומייתי' קופד אמרה מה דהיא אמרה ומייתיא תבשילין אמרה מה דהיא אמרה ומייתיא חמר אמרון ליה את מה אית בך עבד אמר לון אית בי צפר תרין צפרין ומייתי לכון,לכם לא מנה בו אדם הראשון אתה אומר לכם ולא מנה בו אדם הראשון או אינו אלא לכם ולא לגוים אמור,41,21,713.0,23.0,0.7537688442211056,0.8695652173913043,4050000022
22,25,ref-y.1.6.7.2.2.8-ref-y.1.6.7.2.2.22,ref-mek.1.4.2.107-ref-mek.1.4.2.123,594960,595038,90398,90410,ref-y.1.6.7.2.2.8,ref-y.1.6.7.2.2.22,11756,11855,1916,1932,ref-mek.1.4.2.107,ref-mek.1.4.2.123,בית אביה את שאינה ראויה לחזור לבית אביה יצאת זו שהיא ראויה לחזור לבית אביה ,לבית אבות אין לבית אבות אלא למשפחות שנאמר למשפחותם לבית אבותם והרי שהיו עשר משפחות לבית אב ,12,16,226.0,25.0,0.5934065934065934,0.75,4050000023
23,26,ref-y.2.3.5.3.1.20-ref-y.2.3.5.3.1.31,ref-mek.1.4.3.191-ref-mek.1.4.3.200,1298058,1298116,192562,192571,ref-y.2.3.5.3.1.20,ref-y.2.3.5.3.1.31,12918,12967,2090,2098,ref-mek.1.4.3.191,ref-mek.1.4.3.200,לשון סורסי הוא זה כאדם שהוא אומר לחבירו כוס לי את הטלה ,לשון סורסי הוא זה כאדם שאומר לחבירו כוס לי טלה ,9,8,407.0,26.0,0.14545454545454545,0.36363636363636365,4050000024
24,27,ref-y.2.3.6.1.8.4-ref-y.2.3.6.1.9.2,ref-mek.1.5.2.9-ref-mek.1.5.2.40,1312552,1312673,194723,194745,ref-y.2.3.6.1.8.4,ref-y.2.3.6.1.9.2,13770,13928,2210,2229,ref-mek.1.5.2.9,ref-mek.1.5.2.40,וזבחת פסח ליי' אלהיך צאן ובקר וכת' אחד או' מן הכבשי' ומן העזים תקחו הא כיצד צאן לפסח וצאן ובקר לחגיגה כתוב אחד ,מן הכשבים ומן העזים דברי ר' אליעזר ר' יאשיה אומר תקחו למה נאמר לפי שנאמר וזבחת פסח לה' אלהיך צאן ובקר צאן לפסח ובקר לחגיגה אתה אומר כן או אינו אלא אחד ,22,19,411.0,27.0,0.6688741721854304,0.5555555555555556,4050000025
25,28,ref-y.2.3.6.1.8.3-ref-y.2.3.6.1.9.3,ref-mek.1.5.2.117-ref-mek.1.5.2.152,1312547,1312678,194722,194746,ref-y.2.3.6.1.8.3,ref-y.2.3.6.1.9.3,14312,14494,2290,2318,ref-mek.1.5.2.117,ref-mek.1.5.2.152,אומ' וזבחת פסח ליי' אלהיך צאן ובקר וכת' אחד או' מן הכבשי' ומן העזים תקחו הא כיצד צאן לפסח וצאן ובקר לחגיגה כתוב אחד אומ',אמור אם כן מה תלמוד לומר וזבחת פסח לה' אלהיך צאן ובקר צאן לפסח ובשר לחגיגה ר' עקיבא אומר כתוב אחד אומר וזבחת פסח לה' אלהיך צאן ובקר וכתוב,25,29,411.0,28.0,0.6715328467153284,0.5833333333333333,4050000026
26,32,ref-y.3.7.3.12.12.20-ref-y.3.7.3.12.12.24,ref-mek.1.6.1.243-ref-mek.1.6.1.247,2930619,2930651,439416,439420,ref-y.3.7.3.12.12.20,ref-y.3.7.3.12.12.24,16289,16320,2621,2625,ref-mek.1.6.1.243,ref-mek.1.6.1.247,ויתיילדו על משפחותם לבית אבותם ,ויתילדו על משפחותם לבית אבותם ,4,4,1081.0,32.0,0.03225806451612903,0.0,4050000027
27,33,ref-y.1.2.1.1.53.52-ref-y.1.2.1.1.53.57,ref-mek.1.6.1.348-ref-mek.1.6.1.353,222450,222485,34998,35003,ref-y.1.2.1.1.53.52,ref-y.1.2.1.1.53.57,16861,16892,2713,2718,ref-mek.1.6.1.348,ref-mek.1.6.1.353,הפורק עול והמפר ברית והמגלה פנים ,פורק עול ומפר ברית ומגלה פנים ,5,5,165.0,33.0,0.09090909090909091,0.0,4050000028
28,34,ref-y.1.2.1.1.52.40-ref-y.1.2.1.1.52.46,ref-mek.1.6.1.348-ref-mek.1.6.1.354,221852,221895,34914,34920,ref-y.1.2.1.1.52.40,ref-y.1.2.1.1.52.46,16861,16899,2713,2719,ref-mek.1.6.1.348,ref-mek.1.6.1.354,הפורק עול והמיפר ברית והמגלה פנים בתורה ,פורק עול ומפר ברית ומגלה פנים בתורה ,6,6,163.0,33.0,0.1,0.0,4050000029
29,35,ref-y.2.5.8.7.2.12-ref-y.2.5.8.7.2.18,ref-mek.1.6.1.348-ref-mek.1.6.1.354,1489389,1489432,221829,221835,ref-y.2.5.8.7.2.12,ref-y.2.5.8.7.2.18,16861,16899,2713,2719,ref-mek.1.6.1.348,ref-mek.1.6.1.354,הפורק עול והמיפר ברית והמגלה פנים בתורה ,פורק עול ומפר ברית ומגלה פנים בתורה ,6,6,491.0,33.0,0.1,0.0,4050000030
30,36,ref-y.4.4.10.1.1.10-ref-y.4.4.10.1.1.16,ref-mek.1.6.1.348-ref-mek.1.6.1.354,3270414,3270457,492226,492232,ref-y.4.4.10.1.1.10,ref-y.4.4.10.1.1.16,16861,16899,2713,2719,ref-mek.1.6.1.348,ref-mek.1.6.1.354,הפורק עול והמיפר ברית והמגלה פנים בתורה ,פורק עול ומפר ברית ומגלה פנים בתורה ,6,6,1380.0,33.0,0.1,0.0,4050000031
31,37,ref-y.4.6.1.6.6.11-ref-y.4.6.1.6.6.17,ref-mek.1.6.1.348-ref-mek.1.6.1.354,3343618,3343658,503763,503769,ref-y.4.6.1.6.6.11,ref-y.4.6.1.6.6.17,16861,16899,2713,2719,ref-mek.1.6.1.348,ref-mek.1.6.1.354,מפורק עול ומיפר ברית ומגלה פני' בתורה ,פורק עול ומפר ברית ומגלה פנים בתורה ,6,6,1435.0,33.0,0.07894736842105263,0.25,4050000032
32,38,ref-y.1.1.5.1.21.263-ref-y.1.1.5.1.21.268,ref-mek.1.6.1.355-ref-mek.1.6.1.368,116851,116876,18645,18650,ref-y.1.1.5.1.21.263,ref-y.1.1.5.1.21.268,16900,16976,2720,2733,ref-mek.1.6.1.355,ref-mek.1.6.1.368,אל ה' ויאמר ה' אלהי וגו' ,שנאמר לעברך בברית ה' אלהיך ואין ברית אלא תורה שנאמר אלה דברי הברית וגו' ,5,13,100.0,38.0,0.6944444444444444,0.7272727272727273,4050000033
33,39,ref-y.4.4.3.9.4.45-ref-y.4.4.3.9.5.15,ref-mek.1.6.1.726-ref-mek.1.6.1.734,3187599,3187828,479370,479408,ref-y.4.4.3.9.4.45,ref-y.4.4.3.9.5.15,18854,18906,3027,3035,ref-mek.1.6.1.726,ref-mek.1.6.1.734,להקיש ולדון ממנו גזירה שוה נאמר כאן שני ונאמר להלן דנה ולא מעידה רבי יוסי בי רבי בון בשם רב יוסף,להקיש ולדון נאמר כאן במועדו ונאמר להלן במועדו מה,39,9,1220.0,39.0,0.6354166666666666,0.6666666666666667,4050000034
34,41,ref-y.2.6.2.7.1.6-ref-y.2.6.2.7.1.18,ref-mek.1.6.1.728-ref-mek.1.6.1.739,1595673,1595740,237661,237671,ref-y.2.6.2.7.1.6,ref-y.2.6.2.7.1.18,18867,18927,3029,3040,ref-mek.1.6.1.728,ref-mek.1.6.1.739,נאמר כאן תשבו ונאמר להלן ופתח אוהר' מועד ישבו יומם ולילה,נאמר כאן במועדו ונאמר להלן במועדו מה כאן דוחה שבת אף להלן,11,12,536.0,39.0,0.49122807017543857,0.7333333333333334,4050000035
35,43,ref-y.2.3.7.5.1.15-ref-y.2.3.7.5.4.13,ref-mek.1.6.1.742-ref-mek.1.6.1.759,1330192,1330277,197410,197424,ref-y.2.3.7.5.1.15,ref-y.2.3.7.5.4.13,18937,19026,3043,3057,ref-mek.1.6.1.742,ref-mek.1.6.1.759,"ושחטו אותו כל קהל עדת ישראל בין הערבים אותו אע""פ שאין שם אלא פסח אחד כולהון יוצאין ",ושחטו אותו כל קהל עדת ישראל מנין אתה אומר שאם אין להם לישראל אלא פסח אחד שכולן יוצאים ,14,14,427.0,43.0,0.32558139534883723,0.4444444444444444,4050000036
36,44,ref-y.2.3.7.5.1.15-ref-y.2.3.7.5.4.4,ref-mek.1.6.1.771-ref-mek.1.6.1.778,1330192,1330232,197410,197417,ref-y.2.3.7.5.1.15,ref-y.2.3.7.5.4.4,19084,19129,3067,3074,ref-mek.1.6.1.771,ref-mek.1.6.1.778,ושחטו אותו כל קהל עדת ישראל בין הערבים ,נשחט בשלש כתות קהל ועדה וישראל בין הערבים ,7,7,427.0,44.0,0.2857142857142857,0.4444444444444444,4050000037
37,45,ref-y.2.3.5.1.2.53-ref-y.2.3.5.1.2.58,ref-mek.1.6.1.786-ref-mek.1.6.1.791,1290969,1291007,191546,191551,ref-y.2.3.5.1.2.53,ref-y.2.3.5.1.2.58,19164,19202,3080,3085,ref-mek.1.6.1.786,ref-mek.1.6.1.791,בערב אי בערב יכול משתחשך תלמוד לומר ,בערב אי בערב יכול משתחשך תלמוד לומר ,5,5,405.0,45.0,0.0,0.0,4050000038
38,46,ref-y.2.3.5.1.6.35-ref-y.2.3.5.1.6.61,ref-mek.1.6.1.788-ref-mek.1.6.1.826,1292133,1292263,191732,191755,ref-y.2.3.5.1.6.35,ref-y.2.3.5.1.6.61,19173,19387,3082,3113,ref-mek.1.6.1.788,ref-mek.1.6.1.826,שם תזבח את הפסח בערב בערב אתה זובח כבוא השמש אתה אוכל מועד צאתך מארץ מצרים אתה צולה אית תניי תני בערב מ אתה אוכל כבא השמש ,בערב יכול משתחשך תלמוד לומר כבא השמש אי כבא השמש ובשלת ואכלת תלמוד לומר מועד צאתך הפסיק הענין ובשלת ואכלת משחשכה ר' אומר הרי הוא אומר שם תזבח את הפסח בערב שומע אני כשמועו תלמוד לומר מועד צאתך ממצרים ,23,31,406.0,45.0,0.6884422110552764,0.6428571428571428,4050000039
39,47,ref-y.2.3.5.1.1.62-ref-y.2.3.5.1.1.83,ref-mek.1.6.1.848-ref-mek.1.6.1.874,1290343,1290442,191446,191462,ref-y.2.3.5.1.1.62,ref-y.2.3.5.1.1.83,19496,19635,3133,3154,ref-mek.1.6.1.848,ref-mek.1.6.1.874,בין הערבים ממש שעות ולמעלן אף על פי שאין ראיה לדבר זכר לדבר אוי לנו כי פנה היום כי ינטו צללי ערב ,"לבין הערבים שהוא משש שעות ולמעלה אע""פ שאין ראיה לדבר זכר לדבר קדשו עליה מלחמה קומו ונעלה בצהרים אוי לנו כי פנה היום כי ינטו צללי ערב ",16,21,404.0,47.0,0.3533834586466165,0.5,4050000040
40,48,ref-y.2.3.9.4.2.200-ref-y.2.3.9.4.2.220,ref-mek.1.7.1.25-ref-mek.1.7.1.48,1369911,1370021,203403,203419,ref-y.2.3.9.4.2.200,ref-y.2.3.9.4.2.220,19957,20093,3202,3219,ref-mek.1.7.1.25,ref-mek.1.7.1.48,סף כלי ואת הסיפים ואת המזמרות ואת המזרקות מאן דאמר סף אסקופה בתתם ספם את סיפיי מאן,אסקופה שנאמר בתתם ספם את ספי וכתיב וינועו אמות הספים דברי ר' ישמעאל ר' עקיבא אומר אין סף,17,18,450.0,48.0,0.75,0.736842105263158,4050000041
41,50,ref-y.2.3.9.4.2.166-ref-y.2.3.9.4.2.181,ref-mek.1.7.1.113-ref-mek.1.7.1.128,1369736,1369830,203376,203389,ref-y.2.3.9.4.2.166,ref-y.2.3.9.4.2.181,20440,20533,3274,3287,ref-mek.1.7.1.113,ref-mek.1.7.1.128,שלש מזבחות היו לאבותינו במצרים משקוף ושתי מזזות אית תניי תני ארבעה סף ומשקוף,שלש מזבחות היו להם במצרים המשקוף ושתי המזוזות ר' שמעון אומר ארבעה היו הסף,14,14,448.0,50.0,0.3815789473684211,0.5882352941176471,4050000042
42,52,ref-y.1.8.1.1.12.45-ref-y.1.8.1.1.12.54,ref-mek.1.7.2.5-ref-mek.1.7.2.12,697053,697111,105375,105384,ref-y.1.8.1.1.12.45,ref-y.1.8.1.1.12.54,20697,20738,3310,3317,ref-mek.1.7.2.5,ref-mek.1.7.2.12,לא יקדשו לא בגידיו ולא בעצמיו ולא בקרניו ולא בטלפיו ,לא גידים ולא עצמות ולא קרבים ולא טלפים ,9,7,233.0,52.0,0.36538461538461536,0.4285714285714286,4050000043
43,53,ref-y.2.1.2.1.10.63-ref-y.2.1.2.1.10.81,ref-mek.1.7.2.22-ref-mek.1.7.2.44,922259,922354,138241,138259,ref-y.2.1.2.1.10.63,ref-y.2.1.2.1.10.81,20784,20891,3323,3341,ref-mek.1.7.2.22,ref-mek.1.7.2.44,"תותירו ממנו עד בוקר והנותר ממנו עד בוקר באש תשרופו אחר שני בקרים אחר בוקרו של ט""ו ואחר בוקרו ",תותירו ממנו אני אקרא והנותר ממנו עד בקר באש תשרופו עד בקר למה נאמר לא בא הכתוב אלא ליתן תחום לבקרו של בקר ,18,18,291.0,53.0,0.44339622641509435,0.5789473684210527,4050000044
44,54,ref-y.2.3.7.10.2.13-ref-y.2.3.7.10.2.24,ref-mek.1.7.2.30-ref-mek.1.7.2.44,1344222,1344282,199573,199583,ref-y.2.3.7.10.2.13,ref-y.2.3.7.10.2.24,20825,20891,3329,3341,ref-mek.1.7.2.30,ref-mek.1.7.2.44,באש תשרופו אחר שני בקרים אחר בוקרו של ארבעה עשר ואחר בוקרו ,באש תשרופו עד בקר למה נאמר לא בא הכתוב אלא ליתן תחום לבקרו של בקר ,10,12,433.0,53.0,0.6060606060606061,0.75,4050000045
45,55,ref-y.1.1.1.1.35.49-ref-y.1.1.1.1.35.79,ref-mek.1.7.2.48-ref-mek.1.7.2.77,13830,13998,2185,2215,ref-y.1.1.1.1.35.49,ref-y.1.1.1.1.35.79,20903,21070,3343,3372,ref-mek.1.7.2.48,ref-mek.1.7.2.77,שאמרו חכמ' עד חצו' מצותן עד שיעלה עמוד השחר הקטר חלבים ואיברים ואכילת פסחים מצותן עד שיעלה עמוד השחר אנן תנינן אכילת פסחים אית דלא תני אכילת פסחים מאן תנא אכילת,עמוד השחר מכאן אמרו אכילת פסחים ואכילת זבחים והקטר חלבים ואיברין מצותן עד שיעלה עמוד השחר כל הנאכלין ליום אחד מצותן עד שיעלה עמוד השחר ומפני מה אמרו עד חצות,31,30,5.0,55.0,0.65,0.6428571428571428,4050000046
46,56,ref-y.1.1.1.1.35.124-ref-y.1.1.1.1.35.172,ref-mek.1.7.2.48-ref-mek.1.7.2.82,14229,14469,2253,2294,ref-y.1.1.1.1.35.124,ref-y.1.1.1.1.35.172,20903,21096,3343,3377,ref-mek.1.7.2.48,ref-mek.1.7.2.82,כל הנאכלין ליום אחד מצותן עד שיעלה עמוד השחר אם כן למה אמרו חכמים עד חצות כדי להרחיק אדם מן העבירה כל הנאכלין ליום אחד קדשים קלים ואם כן למה אמרו חכמים וכו' אם את הוא אומר עד השחר הוא סבור שלא,עמוד השחר מכאן אמרו אכילת פסחים ואכילת זבחים והקטר חלבים ואיברין מצותן עד שיעלה עמוד השחר כל הנאכלין ליום אחד מצותן עד שיעלה עמוד השחר ומפני מה אמרו עד חצות כדי להרחיק אדם מן העבירה,42,35,21.0,55.0,0.7083333333333334,0.4838709677419355,4050000047
