baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-b,baseOrder,grp-ref-mek,dam-lev,jac,lcc_len,lcs_str,id,bRangeOriginal,cRangeOriginal
ref-mek.1.1.1.480-ref-mek.1.1.1.488,ref-b.2.1.6.63a.19.21-ref-b.2.1.6.63a.19.28,2455,2498,ref-mek.1.1.1.480,ref-mek.1.1.1.488,571219,571256,ref-b.2.1.6.63a.19.21,ref-b.2.1.6.63a.19.28,ואומר היה היה דבר ה' וגו' ויש אומרים נדבר ,שנאמר אז נדברו יראי ה' וגו' אין דבור ,9,8,255,254.0,11,11.0,0.5952380952380952,0.7,2,ה' וגו',3080000011,9,8
ref-mek.1.1.1.561-ref-mek.1.1.1.566,ref-b.4.3.1.16a.3.18-ref-b.4.3.1.16a.3.29,2858,2889,ref-mek.1.1.1.561,ref-mek.1.1.1.566,5561979,5562037,ref-b.4.3.1.16a.3.18,ref-b.4.3.1.16a.3.29,וגו' עיני ה' משוטטות בכל הארץ ,ה' ויאמר משט בארץ וגו' אמר לפניו רבונו של עולם שטתי בכל ,6,12,2109,2108.0,12,12.0,0.8035714285714286,0.6,2,ה' בכל,3080000012,6,12
ref-mek.1.1.1.562-ref-mek.1.1.1.566,ref-b.4.4.4.38a.18.16-ref-b.4.4.4.38a.18.22,2863,2889,ref-mek.1.1.1.562,ref-mek.1.1.1.566,6078252,6078289,ref-b.4.4.4.38a.18.16,ref-b.4.4.4.38a.18.22,עיני ה' משוטטות בכל הארץ ,עיניך כי ה' עיניו משוטטות בכל הארץ א,5,8,2239,2239.0,13,12.0,0.3055555555555556,0.1666666666666666,4,ה' משוטטות בכל הארץ,3080000013,5,8
ref-mek.1.1.1.671-ref-mek.1.1.1.688,ref-b.4.1.10.114b.12.28-ref-b.4.1.10.114b.13.8,3422,3513,ref-mek.1.1.1.671,ref-mek.1.1.1.688,5067883,5067932,ref-b.4.1.10.114b.12.28,ref-b.4.1.10.114b.13.8,כבוד האב וכבוד הבן ואחד תבע כבוד האב ולא כבוד הבן ואחד תבע כבוד הבן ולא כבוד האב ,כבוד אביהן טעמא מפני כבוד אביהן הא לאו כבוד אביהן ,18,10,1971,1971.0,14,14.0,0.5925925925925926,0.7777777777777778,3,כבוד כבוד כבוד,3080000014,18,10
ref-mek.1.1.1.760-ref-mek.1.1.1.770,ref-b.2.1.6.63a.19.21-ref-b.2.1.6.63a.19.33,3896,3947,ref-mek.1.1.1.760,ref-mek.1.1.1.770,571219,571281,ref-b.2.1.6.63a.19.21,ref-b.2.1.6.63a.19.33,שנאמר ויהי דבר ה' אל יונה שנית לאמר שנית נדבר עמו ,שנאמר אז נדברו יראי ה' וגו' אין דבור אלא נחת שנאמר ידבר עמים ,11,13,257,254.0,17,15.0,0.5573770491803278,0.6153846153846154,2,שנאמר ה',3080000015,11,13
ref-mek.1.1.1.760-ref-mek.1.1.1.767,ref-b.2.5.7.73a.18.10-ref-b.2.5.7.73a.18.23,3896,3933,ref-mek.1.1.1.760,ref-mek.1.1.1.767,1895745,1895820,ref-b.2.5.7.73a.18.10,ref-b.2.5.7.73a.18.23,שנאמר ושאל לו לפני ה' אלא כדרך שאמרה חנה בתפלתה שנאמר וחנה היא מדברת,שנאמר ושאל לו לפני ה' אלא כדרך שאמרה חנה בתפלתה שנאמר וחנה היא מדברת,14,14,682,682.0,15,15.0,0.0,0.0,14,שנאמר ושאל לו לפני ה' אלא כדרך שאמרה חנה בתפלתה שנאמר וחנה היא מדברת,3080000016,14,14
ref-mek.1.1.1.764-ref-mek.1.1.1.783,ref-b.3.1.11.98a.6.41-ref-b.3.1.11.98a.6.54,3916,4011,ref-mek.1.1.1.764,ref-mek.1.1.1.783,3168287,3168353,ref-b.3.1.11.98a.6.41,ref-b.3.1.11.98a.6.54,אל יונה שנית לאמר שנית דברה עמו שכינה שלישית,ואמר ויהי דבר ה' אל יונה שנית לאמר שנית דברה עמו שכינה שלישית לא,9,14,1180,1180.0,18,18.0,0.3125,0.1111111111111111,9,אל יונה שנית לאמר שנית דברה עמו שכינה שלישית,3080000017,9,14
ref-mek.1.1.1.764-ref-mek.1.1.1.783,ref-b.3.1.11.98a.10.1-ref-b.3.1.11.98a.10.15,3916,4011,ref-mek.1.1.1.764,ref-mek.1.1.1.783,3168760,3168827,ref-b.3.1.11.98a.10.1,ref-b.3.1.11.98a.10.15,אל יונה שנית לאמר שנית דברה עמו שכינה שלישית,אמר מר ויהי דבר ה' אל יונה שנית לאמר שנית דברה עמו שכינה שלישית לא,9,15,1182,1182.0,19,19.0,0.3333333333333333,0.1999999999999999,9,אל יונה שנית לאמר שנית דברה עמו שכינה שלישית,3080000018,9,15
ref-mek.1.1.1.807-ref-mek.1.1.1.811,ref-b.1.1.5.32a.20.9-ref-b.1.1.5.32a.20.13,4137,4160,ref-mek.1.1.1.807,ref-mek.1.1.1.811,173555,173578,ref-b.1.1.5.32a.20.9,ref-b.1.1.5.32a.20.13,ואם אין מחני נא מספרך ,ואם אין מחני נא מספרך ,5,5,116,116.0,23,22.0,0.0,0.0,5,ואם אין מחני נא מספרך,3080000019,5,5
ref-mek.1.1.1.805-ref-mek.1.1.1.813,ref-b.2.8.1.16b.14.7-ref-b.2.8.1.16b.14.15,4127,4170,ref-mek.1.1.1.805,ref-mek.1.1.1.813,2291841,2291881,ref-b.2.8.1.16b.14.7,ref-b.2.8.1.16b.14.15,ואם אין מחני נא מספרך אשר כתבת מחני נא,ואם אין מחני נא מספרך אשר כתבת מחני נא,9,9,865,864.0,22,22.0,0.0,0.0,9,ואם אין מחני נא מספרך אשר כתבת מחני נא,3080000020,9,9
ref-mek.1.1.1.820-ref-mek.1.1.1.826,ref-b.2.1.18.127a.13.50-ref-b.2.1.18.127a.13.55,4194,4226,ref-mek.1.1.1.820,ref-mek.1.1.1.826,802771,802796,ref-b.2.1.18.127a.13.50,ref-b.2.1.18.127a.13.55,נא הרוג אם מצאתי חן בעיניך ואל ,אם נא מצאתי חן בעיניך אל ,7,6,347,347.0,25,25.0,0.2903225806451613,0.1666666666666666,4,אם מצאתי חן בעיניך,3080000021,7,6
ref-mek.1.1.1.884-ref-mek.1.1.1.890,ref-b.2.1.5.55a.9.60-ref-b.2.1.5.55a.9.67,4522,4562,ref-mek.1.1.1.884,ref-mek.1.1.1.890,538409,538456,ref-b.2.1.5.55a.9.60,ref-b.2.1.5.55a.9.67,האיש לבוש הבדים אשר קסת הסופר במתניו ,ואיש אחד בתוכם לבש הבדים וקסת הסופר במתניו ,7,8,248,248.0,35,26.0,0.3488372093023256,0.3333333333333333,3,הבדים הסופר במתניו,3080000022,7,8
ref-mek.1.1.1.876-ref-mek.1.1.1.882,ref-b.2.1.9.87a.7.4-ref-b.2.1.9.87a.7.10,4486,4514,ref-mek.1.1.1.876,ref-mek.1.1.1.882,646941,646969,ref-b.2.1.9.87a.7.4,ref-b.2.1.9.87a.7.10,וישב משה את דברי העם אל ה' ,וישב משה את דברי העם אל ה' ,7,7,291,291.0,34,26.0,0.0,0.0,7,וישב משה את דברי העם אל ה',3080000023,7,7
ref-mek.1.1.1.873-ref-mek.1.1.1.892,ref-b.2.5.8.77a.4.3-ref-b.2.5.8.77a.4.11,4466,4573,ref-mek.1.1.1.873,ref-mek.1.1.1.892,1912244,1912293,ref-b.2.5.8.77a.4.3,ref-b.2.5.8.77a.4.11,האיש לבוש הבדים אשר הקסת במתניו משיב דבר לאמר,האיש לבוש הבדים אשר הקסת במתניו משיב דבר לאמר,9,9,709,709.0,31,31.0,0.0,0.0,9,האיש לבוש הבדים אשר הקסת במתניו משיב דבר לאמר,3080000024,9,9
ref-mek.1.1.1.874-ref-mek.1.1.1.882,ref-b.2.5.8.86b.6.11-ref-b.2.5.8.86b.6.18,4475,4514,ref-mek.1.1.1.874,ref-mek.1.1.1.882,1951709,1951751,ref-b.2.5.8.86b.6.11,ref-b.2.5.8.86b.6.18,דבר שנאמר וישב משה את דברי העם אל ה' ,בדברים שנאמר קחו עמכם דברים ושובו אל ה' ,9,8,753,753.0,33,26.0,0.475,0.6363636363636364,3,שנאמר אל ה',3080000025,9,8
ref-mek.1.1.1.856-ref-mek.1.1.1.875,ref-b.2.9.3.25a.20.24-ref-b.2.9.3.25a.20.30,4375,4485,ref-mek.1.1.1.856,ref-mek.1.1.1.875,2468171,2468203,ref-b.2.9.3.25a.20.24,ref-b.2.9.3.25a.20.30,לאמר צא ואמור אליהם מיד דברי ר' ישמעאל שנאמר ויצא ודבר ר' אליעזר אומר צא ואמור אליהם והשיבני דבר שנאמר ,נאמר תמר אילו נאמר תמר ולא נאמר ,20,7,953,953.0,28,26.0,0.7475728155339806,0.9090909090909092,0,,3080000026,20,7
ref-mek.1.1.1.856-ref-mek.1.1.1.874,ref-b.3.2.13.110b.15.2-ref-b.3.2.13.110b.15.22,4375,4478,ref-mek.1.1.1.856,ref-mek.1.1.1.874,3599528,3599634,ref-b.3.2.13.110b.15.2,ref-b.3.2.13.110b.15.22,לאמר צא ואמור אליהם מיד דברי ר' ישמעאל שנאמר ויצא ודבר ר' אליעזר אומר צא ואמור אליהם והשיבני דבר ,אומרת לצאת והוא אומר שלא לצאת כופין אותה שלא לצאת ואם לאו תצא בלא כתובה הוא אומר לצאת והיא אומרת שלא ,19,21,1295,1295.0,27,26.0,0.7128712871287128,0.9444444444444444,0,,3080000027,19,21
ref-mek.1.1.1.856-ref-mek.1.1.1.872,ref-b.3.3.1.8a.5.14-ref-b.3.3.1.8a.5.25,4375,4465,ref-mek.1.1.1.856,ref-mek.1.1.1.872,3624518,3624576,ref-b.3.3.1.8a.5.14,ref-b.3.3.1.8a.5.25,לאמר צא ואמור אליהם מיד דברי ר' ישמעאל שנאמר ויצא ודבר ר' אליעזר אומר צא ואמור אליהם ,שנאמר ויאמר אלי קום צא אל הבקעה ושם אדבר אותך ואצא אל ,17,12,1299,1299.0,26,26.0,0.6352941176470588,0.6923076923076923,2,שנאמר צא,3080000028,17,12
ref-mek.1.1.1.871-ref-mek.1.1.1.887,ref-b.3.5.1.10b.6.3-ref-b.3.5.1.10b.6.12,4453,4543,ref-mek.1.1.1.871,ref-mek.1.1.1.887,3935530,3935575,ref-b.3.5.1.10b.6.3,ref-b.3.5.1.10b.6.12,ואמור אליהם והשיבני דבר שנאמר וישב משה את דברי העם אל ה' ואומר האיש לבוש הבדים אשר ,אל חמיה לאמר לאיש אשר אלה לו אנכי הרה ותימא ,17,10,1376,1376.0,30,26.0,0.6867469879518072,0.7777777777777778,2,אל אשר,3080000029,17,10
ref-mek.1.1.1.856-ref-mek.1.1.1.881,ref-b.3.7.1.30a.15.13-ref-b.3.7.1.30a.15.22,4375,4511,ref-mek.1.1.1.856,ref-mek.1.1.1.881,4488939,4488985,ref-b.3.7.1.30a.15.13,ref-b.3.7.1.30a.15.22,לאמר צא ואמור אליהם מיד דברי ר' ישמעאל שנאמר ויצא ודבר ר' אליעזר אומר צא ואמור אליהם והשיבני דבר שנאמר וישב משה את דברי העם אל ,דבר אל תגמגם ותאמר לו אלא אמור לו מיד שנאמר ,26,10,1730,1730.0,29,26.0,0.7401574803149606,0.6875,2,דבר אל,3080000030,26,10
ref-mek.1.1.1.892-ref-mek.1.1.1.933,ref-b.4.3.2.25a.8.17-ref-b.4.3.2.25a.8.57,4567,4808,ref-mek.1.1.1.892,ref-mek.1.1.1.933,5594822,5595077,ref-b.4.3.2.25a.8.17,ref-b.4.3.2.25a.8.57,שנאמר התשלח ברקים וילכו ויאמרו לך הננו,עשית את השמים וגו' שלוחיך לא כשלוחי בשר ודם שלוחי בשר ודם ממקום שמשתלחים לשם מחזירים שליחותן אבל שלוחיך למקום שמשתלחין משם מחזירין שליחותן שנאמר התשלח ברקים וילכו ויאמרו לך הננו יבואו ויאמרו לא נאמר אלא וילכו ויאמרו מלמד שהשכינה בכל מקום,7,42,2113,2113.0,36,36.0,0.8396624472573839,0.7586206896551724,7,שנאמר התשלח ברקים וילכו ויאמרו לך הננו,3080000031,7,42
ref-mek.1.1.1.962-ref-mek.1.1.1.968,ref-b.2.1.5.55a.9.46-ref-b.2.1.5.55a.9.52,4965,5003,ref-mek.1.1.1.962,ref-mek.1.1.1.968,538334,538372,ref-b.2.1.5.55a.9.46,ref-b.2.1.5.55a.9.52,והנה ששה אנשים באים מדרך שער העליון ,והנה ששה אנשים באים מדרך שער העליון ,7,7,247,247.0,40,39.0,0.0,0.0,7,והנה ששה אנשים באים מדרך שער העליון,3080000032,7,7
ref-mek.1.1.1.961-ref-mek.1.1.1.970,ref-b.2.4.6.66b.7.29-ref-b.2.4.6.66b.7.40,4958,5015,ref-mek.1.1.1.961,ref-mek.1.1.1.970,1490064,1490130,ref-b.2.4.6.66b.7.29,ref-b.2.4.6.66b.7.40,שנאמר והנה ששה אנשים באים מדרך שער העליון וגו' וכתוב ,על פקודי החיל וגו' וכתיב ויאמר אלעזר הכהן אל אנשי הצבא הבאים ,10,12,495,495.0,39,39.0,0.7704918032786885,0.9,1,וגו',3080000033,10,12
ref-mek.1.1.1.970-ref-mek.1.1.1.975,ref-b.2.8.4.31a.15.20-ref-b.2.8.4.31a.15.26,5009,5044,ref-mek.1.1.1.970,ref-mek.1.1.1.975,2344677,2344717,ref-b.2.8.4.31a.15.20,ref-b.2.8.4.31a.15.26,וכתוב אלהי ישראל נעלה מעל הכרובים ,וכתיב וכבוד אלהי ישראל נעלה מעל הכרוב ,6,7,890,890.0,43,39.0,0.2105263157894736,0.4285714285714286,4,אלהי ישראל נעלה מעל,3080000034,6,7
ref-mek.1.1.1.968-ref-mek.1.1.1.974,ref-b.2.9.1.13a.1.12-ref-b.2.9.1.13a.1.18,4996,5035,ref-mek.1.1.1.968,ref-mek.1.1.1.974,2407442,2407478,ref-b.2.9.1.13a.1.12,ref-b.2.9.1.13a.1.18,אלהי ישראל על מעל הגולה וגו' וכתיב,אלהי ישראל על מעל הגולה וגו' וכתיב,7,7,944,944.0,41,41.0,0.0,0.0,7,אלהי ישראל על מעל הגולה וגו' וכתיב,3080000035,7,7
ref-mek.1.1.1.983-ref-mek.1.1.1.995,ref-b.1.1.9.54b.16.11-ref-b.1.1.9.54b.16.24,5082,5159,ref-mek.1.1.1.983,ref-mek.1.1.1.995,286389,286461,ref-b.1.1.9.54b.16.11,ref-b.1.1.9.54b.16.24,וגו' ולאלה אמר באזני ונאמר זקן ובחור ובתולה וטף ונשים וגו' ויאמר אלים ,וגו' כי המרו אמרי אל וגו' ואומר ויכנע בעמל לבם וגו' ואומר ויזעקו אל ,13,14,180,180.0,45,44.0,0.6428571428571429,0.875,2,וגו' וגו',3080000036,13,14
ref-mek.1.1.1.988-ref-mek.1.1.1.992,ref-b.2.1.5.55a.9.3-ref-b.2.1.5.55a.9.7,5112,5142,ref-mek.1.1.1.988,ref-mek.1.1.1.992,538109,538135,ref-b.2.1.5.55a.9.3,ref-b.2.1.5.55a.9.7,זקן ובחור ובתולה וטף ונשים ,זקן בחור ובתולה טף ונשים ,5,5,246,246.0,47,44.0,0.074074074074074,0.3333333333333333,3,זקן ובתולה ונשים,3080000037,5,5
ref-mek.1.1.1.983-ref-mek.1.1.1.995,ref-b.2.1.6.67a.3.32-ref-b.2.1.6.67a.4.28,5082,5159,ref-mek.1.1.1.983,ref-mek.1.1.1.995,585273,585413,ref-b.2.1.6.67a.3.32,ref-b.2.1.6.67a.4.28,וגו' אמר ליה רב אחא בריה דרבא לרב אשי ולימא ויאמר אל תקרב הלם וגו' אלא ליומא קמא לימא וירא מלאך ה' אליו וגו' ויאמר משה וגו' ולמחר לימא,וגו' אמר ליה רב אחא בריה דרבא לרב אשי ולימא ויאמר אל תקרב הלם וגו' אלא ליומא קמא לימא וירא מלאך ה' אליו וגו' ויאמר משה וגו' ולמחר לימא,29,29,265,265.0,44,44.0,0.0,0.0,22,וגו' אמר_ליה_רב_אחא_בריה_דרבא_לרב_אשי ולימא ויאמר אל תקרב הלם וגו' אלא ליומא קמא לימא וירא מלאך ה' אליו וגו' ויאמר משה וגו' ולמחר לימא,3080000038,29,29
ref-mek.1.1.1.1056-ref-mek.1.1.1.1072,ref-b.2.9.4.30b.12.12-ref-b.2.9.4.30b.12.33,5475,5556,ref-mek.1.1.1.1056,ref-mek.1.1.1.1072,2491234,2491334,ref-b.2.9.4.30b.12.12,ref-b.2.9.4.30b.12.33,לא היה דבור עם משה שנאמר ויהי כאשר תמו כל אנשי המלחמה למות,מתי מדבר דאמר מר עד שלא כלו מתי מדבר לא היה דבור עם משה שנאמר ויהי כאשר תמו כל אנשי המלחמה למות,7,16,959,959.0,48,48.0,0.3894736842105263,0.3333333333333333,13,לא היה דבור עם משה שנאמר ויהי כאשר תמו כל אנשי המלחמה למות,3080000039,13,22
ref-mek.1.1.1.1056-ref-mek.1.1.1.1072,ref-b.4.3.8.121a.9.11-ref-b.4.3.8.121b.1.13,5475,5556,ref-mek.1.1.1.1056,ref-mek.1.1.1.1072,5799740,5799841,ref-b.4.3.8.121a.9.11,ref-b.4.3.8.121b.1.13,לא היה דיבור עם משה שנאמר ויהי כאשר תמו כל אנשי המלחמה למות,מתי מדבר דאמר מר עד שלא כלו מתי מדבר לא היה דיבור עם משה שנאמר ויהי כאשר תמו כל אנשי המלחמה למות,7,16,2160,2160.0,49,49.0,0.3854166666666667,0.3333333333333333,13,לא היה דיבור עם משה שנאמר ויהי כאשר תמו כל אנשי המלחמה למות,3080000040,13,22
ref-mek.1.1.1.1115-ref-mek.1.1.1.1121,ref-b.2.1.6.63a.19.23-ref-b.2.1.6.63a.19.29,5770,5797,ref-mek.1.1.1.1115,ref-mek.1.1.1.1121,571229,571260,ref-b.2.1.6.63a.19.23,ref-b.2.1.6.63a.19.29,דבר ה' וגו' ויהי דבר ה' אל ,נדברו יראי ה' וגו' אין דבור אלא ,7,7,258,254.0,52,52.0,0.46875,0.3333333333333333,2,ה' וגו',3080000041,7,7
ref-mek.1.1.1.1179-ref-mek.1.1.1.1184,ref-b.4.4.11.93b.6.3-ref-b.4.4.11.93b.6.7,6108,6136,ref-mek.1.1.1.1179,ref-mek.1.1.1.1184,6303114,6303135,ref-b.4.4.11.93b.6.3,ref-b.4.4.11.93b.6.7,ותנח עליהם הרוח נחה רוח ה' ,ונחה עליו רוח ה' רוח ,6,5,2519,2519.0,53,53.0,0.4074074074074074,0.7142857142857143,2,רוח ה',3080000042,6,5
ref-mek.1.2.1.26-ref-mek.1.2.1.43,ref-b.5.2.3.29a.14.14-ref-b.5.2.3.29a.15.12,6696,6796,ref-mek.1.2.1.26,ref-mek.1.2.1.43,7228552,7228654,ref-b.5.2.3.29a.14.14,ref-b.5.2.3.29a.15.12,וזה מעשה המנורה תנא דבי רבי ישמעאל שלשה דברים היו קשין לו למשה עד שהראה,לו למשה מעשה מנורה דכתיב וזה מעשה המנורה תנא דבי רבי ישמעאל שלשה דברים היו קשין לו למשה עד שהראה,15,20,2908,2908.0,54,54.0,0.2604166666666667,0.1666666666666666,12,וזה מעשה המנורה תנא_דבי_רבי_ישמעאל שלשה דברים היו קשין לו למשה עד שהראה,3080000043,15,20
ref-mek.1.2.1.110-ref-mek.1.2.1.115,ref-b.2.8.1.13a.2.5-ref-b.2.8.1.13a.2.10,7140,7173,ref-mek.1.2.1.110,ref-mek.1.2.1.115,2279046,2279078,ref-b.2.8.1.13a.2.5,ref-b.2.8.1.13a.2.10,חג האסיף בצאת השנה וחג האסיף ,וחג האסיף בצאת השנה מאי אסיף ,6,6,860,860.0,56,56.0,0.1724137931034483,0.0,3,האסיף בצאת השנה,3080000044,6,6
ref-mek.1.2.1.110-ref-mek.1.2.1.126,ref-b.2.12.2.18a.3.6-ref-b.2.12.2.18a.3.13,7140,7222,ref-mek.1.2.1.110,ref-mek.1.2.1.126,2822263,2822295,ref-b.2.12.2.18a.3.6,ref-b.2.12.2.18a.3.13,חג האסיף בצאת השנה וחג האסיף תקופת השנה אמרת צא וראה אי זה חדש שיש בו אסיף ,חג האסיף אי זהו חג שיש בו אסיפה ,17,8,1079,1079.0,57,56.0,0.64,0.6363636363636364,5,חג האסיף אי שיש בו,3080000045,17,8
ref-mek.1.2.1.153-ref-mek.1.2.1.164,ref-b.2.4.1.6b.6.28-ref-b.2.4.1.6b.7.7,7358,7422,ref-mek.1.2.1.153,ref-mek.1.2.1.164,1284660,1284732,ref-b.2.4.1.6b.6.28,ref-b.2.4.1.6b.7.7,הראשון הוא חדש ניסן ראש חדשים מגיד שניסן ראש לחדשים ומנין אף ,בראש חדש אף כאן בראש חדש וניכתוב ברישא דחדש ראשון והדר ניכתוב דחדש ,12,13,416,416.0,58,58.0,0.6716417910447762,0.7142857142857143,2,חדש אף,3080000046,12,13
ref-mek.1.2.1.168-ref-mek.1.2.1.173,ref-b.2.8.1.2b.7.27-ref-b.2.8.1.2b.7.32,7442,7477,ref-mek.1.2.1.168,ref-mek.1.2.1.173,2246230,2246265,ref-b.2.8.1.2b.7.27,ref-b.2.8.1.2b.7.32,הוא החדש השני למלוך שלמה על ישראל ,הוא החדש השני למלך שלמה על ישראל ,7,7,826,826.0,59,59.0,0.0294117647058823,0.0,6,הוא החדש השני שלמה על ישראל,3080000047,7,7
