baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-bible,baseOrder,grp-ref-m,dam-lev,jac,id
ref-m.1.2.8.9.98-ref-m.1.2.8.9.104,ref-bible.0102.23.8.1-ref-bible.102.23.8.7,24728,24762,ref-m.1.2.8.9.98,ref-m.1.2.8.9.104,150498,150530,ref-bible.0102.23.8.1,ref-bible.0102.23.8.7,ושוחד לא תקח כי השוחד יעור פקחים ,ושחד לא תקח כי השחד יעור פקחים ,7,7,54,54.0,15,15.0,0.06060606060606061,0.0,1090000014
ref-m.1.6.1.5.64-ref-m.1.6.1.6.6,ref-bible.0104.15.19.4-ref-bible.104.15.20.6,69039,69103,ref-m.1.6.1.5.64,ref-m.1.6.1.6.6,289160,289221,ref-bible.0104.15.19.4,ref-bible.0104.15.20.6,הארץ ואם תרמו אין תרומתן תרומה חמשה לא יתרומו ואם תרמו תרומתן ,הארץ תרימו תרומה ליהוה ראשית ערסתכם חלה תרימו תרומה כתרומת ,12,10,234,234.0,16,16.0,0.5806451612903226,0.7777777777777778,1090000015
ref-m.1.6.3.6.21-ref-m.1.6.3.7.3,ref-bible.0102.22.28.1-ref-bible.102.22.28.5,72579,72623,ref-m.1.6.3.6.21,ref-m.1.6.3.7.3,150030,150055,ref-bible.0102.22.28.1,ref-bible.0102.22.28.5,מלאתך ודמעך לא תאחר ומנין שיקדמו הבכורים ,מלאתך ודמעך לא תאחר בכור ,7,5,52,52.0,17,17.0,0.3902439024390244,0.5714285714285714,1090000016
ref-m.1.6.3.7.12-ref-m.1.6.3.7.23,ref-bible.0209.44.30.1-ref-bible.209.44.30.12,72670,72744,ref-m.1.6.3.7.12,ref-m.1.6.3.7.23,1070967,1071036,ref-bible.0209.44.30.1,ref-bible.0209.44.30.12,וראשית אלא יקדמו בכורים לכל שהן בכורים לכל ותרומה לראשון שהיא ראשית ,וראשית כל בכורי כל וכל תרומת כל מכל תרומותיכם לכהנים יהיה וראשית ,12,12,488,488.0,18,18.0,0.5147058823529411,0.6666666666666667,1090000017
ref-m.1.8.5.11.1-ref-m.1.8.5.11.24,ref-bible.0105.26.13.15-ref-bible.105.26.14.7,107414,107538,ref-m.1.8.5.11.1,ref-m.1.8.5.11.24,390836,390921,ref-bible.0105.26.13.15,ref-bible.0105.26.14.7,ככל מצותך אשר צויתני הא אם הקדים מעשר שני לראשון אינו יכול להתודות לא עברתי ממצותך לא הפרשתי ממין על שאינו מינו ולא מן ,ככל מצותך אשר צויתני לא עברתי ממצותיך ולא שכחתי לא אכלתי באני ממנו ולא בערתי ממנו ,24,16,333,333.0,19,19.0,0.5630252100840336,0.6,1090000018
ref-m.1.8.5.11.43-ref-m.1.8.5.13.4,ref-bible.0105.26.13.18-ref-bible.0105.26.15.4,107629,107983,ref-m.1.8.5.11.43,ref-m.1.8.5.13.4,390851,391020,ref-bible.0105.26.13.18,ref-bible.0105.26.15.4,לא עברתי ממצותיך ולא שכחתי לא אכלתי באני ממנו ולא בערתי ממנו בטמא ולא נתתי ממנו למת,צויתני לא עברתי ממצותיך ולא שכחתי לא אכלתי באני ממנו ולא בערתי ממנו בטמא ולא נתתי ממנו למת שמעתי בקול יהוה אלהי עשיתי ככל אשר צויתני השקיפה ממעון קדשך מן השמים,34,31,334,334.0,20,20.0,0.4779874213836478,0.47619047619047616,1090000019
ref-m.1.8.5.12.37-ref-m.1.8.5.12.47,ref-bible.0208.7.23.9-ref-bible.208.7.23.22,107875,107937,ref-m.1.8.5.12.37,ref-m.1.8.5.12.47,880817,880895,ref-bible.0208.7.23.9,ref-bible.0208.7.23.22,שמעתי בקול ה' אלהי הבאתיו לבית הבחירה עשיתי ככל אשר צויתני ,שמעו בקולי והייתי לכם לאלהים ואתם תהיו לי לעם והלכתם בכל הדרך אשר אצוה ,11,14,436,436.0,23,20.0,0.6056338028169014,0.7777777777777778,1090000020
ref-m.1.8.5.13.15-ref-m.1.8.5.13.38,ref-bible.0105.26.15.1-ref-bible.105.26.15.18,108030,108166,ref-m.1.8.5.13.15,ref-m.1.8.5.13.38,390992,391087,ref-bible.0105.26.15.1,ref-bible.0105.26.15.18,השקיפה ממעון קדשך מן השמים וברך את עמך את ישראל בבנים ובבנות ואת האדמה אשר נתתה לנו בטל ובמטר ובולדות בהמה כאשר נשבעת לאבותינו ,השקיפה ממעון קדשך מן השמים וברך את עמך את ישראל ואת האדמה אשר נתתה לנו כאשר נשבעת לאבתינו ,24,18,341,333.0,24,24.0,0.29133858267716534,0.30000000000000004,1090000021
ref-m.1.8.5.13.18-ref-m.1.8.5.13.31,ref-bible.0313.6.25.3-ref-bible.313.6.25.14,108049,108120,ref-m.1.8.5.13.18,ref-m.1.8.5.13.31,1525207,1525273,ref-bible.0313.6.25.3,ref-bible.0313.6.25.14,מן השמים וברך את עמך את ישראל בבנים ובבנות ואת האדמה אשר נתתה לנו ,מן השמים וסלחת לחטאת עמך ישראל והשיבותם אל האדמה אשר נתתה להם ,14,12,663,663.0,25,24.0,0.3484848484848485,0.5625,1090000022
ref-m.1.9.4.10.28-ref-m.1.9.4.10.37,ref-bible.0102.23.15.20-ref-bible.102.23.16.7,115174,115232,ref-m.1.9.4.10.28,ref-m.1.9.4.10.37,151010,151057,ref-bible.0102.23.15.20,ref-bible.0102.23.16.7,מפני הכתוב שבתורה וחג הקציר בכורי מעשיך אשר תזרע בשדה ,פני ריקם וחג הקציר בכורי מעשיך אשר תזרע בשדה ,10,9,55,55.0,26,26.0,0.24074074074074073,0.2727272727272727,1090000023
ref-m.1.11.1.3.34-ref-m.1.11.1.3.43,ref-bible.0102.23.15.20-ref-bible.102.23.16.7,121775,121833,ref-m.1.11.1.3.34,ref-m.1.11.1.3.43,151010,151057,ref-bible.0102.23.15.20,ref-bible.0102.23.16.7,מפני הכתוב שבתורה וחג הקציר בכורי מעשיך אשר תזרע בשדה ,פני ריקם וחג הקציר בכורי מעשיך אשר תזרע בשדה ,10,9,56,55.0,27,27.0,0.24074074074074073,0.2727272727272727,1090000024
ref-m.1.11.1.4.36-ref-m.1.11.1.5.10,ref-bible.0220.2.4.1-ref-bible.220.2.4.17,122030,122131,ref-m.1.11.1.4.36,ref-m.1.11.1.5.10,1132695,1132774,ref-bible.0220.2.4.1,ref-bible.0220.2.4.17,אומר אלהי אבותיכם ואם היתה אמו מישראל אומר אלהי אבותינו רבי אליעזר בן יעקב אומר אשה בת גרים לא תנשא ,ואמר מה אלה באים לעשות ויאמר לאמר אלה הקרנות אשר זרו את יהודה כפי איש לא נשא ,20,17,506,506.0,28,28.0,0.58,0.8,1090000025
ref-m.1.11.1.9.10-ref-m.1.11.1.9.14,ref-bible.0102.23.19.1-ref-bible.102.23.19.5,122913,122939,ref-m.1.11.1.9.10,ref-m.1.11.1.9.14,151201,151227,ref-bible.0102.23.19.1,ref-bible.0102.23.19.5,ראשית בכורי אדמתך תביא בית ,ראשית בכורי אדמתך תביא בית ,5,5,57,57.0,30,29.0,0.0,0.0,1090000026
ref-m.1.11.1.9.10-ref-m.1.11.1.9.14,ref-bible.0102.34.26.1-ref-bible.102.34.26.5,122913,122939,ref-m.1.11.1.9.10,ref-m.1.11.1.9.14,176394,176420,ref-bible.0102.34.26.1,ref-bible.0102.34.26.5,ראשית בכורי אדמתך תביא בית ,ראשית בכורי אדמתך תביא בית ,5,5,83,83.0,31,29.0,0.0,0.0,1090000027
ref-m.1.11.1.9.6-ref-m.1.11.1.9.16,ref-bible.0301.43.3.6-ref-bible.301.43.4.4,122888,122948,ref-m.1.11.1.9.6,ref-m.1.11.1.9.16,1180644,1180698,ref-bible.0301.43.3.6,ref-bible.0301.43.4.4,שיביא להר הבית שנאמר ראשית בכורי אדמתך תביא בית ה' אלהיך ,יביאוני אל הר קדשך ואל משכנותיך ואבואה אל מזבח אלהים ,11,10,525,525.0,29,29.0,0.6842105263157895,0.9411764705882353,1090000028
ref-m.1.11.1.10.16-ref-m.1.11.1.10.26,ref-bible.0104.32.19.5-ref-bible.104.32.19.13,123152,123214,ref-m.1.11.1.10.16,ref-m.1.11.1.10.26,327915,327965,ref-bible.0104.32.19.5,ref-bible.0104.32.19.13,מעבר הירדן רבי יוסי הגלילי אומר אין מביאין בכורים מעבר הירדן ,מעבר לירדן והלאה כי באה נחלתנו אלינו מעבר הירדן ,11,9,260,260.0,32,32.0,0.5245901639344263,0.8181818181818181,1090000029
ref-m.1.11.3.4.27-ref-m.1.11.3.4.34,ref-bible.0301.30.2.1-ref-bible.301.30.2.8,126240,126278,ref-m.1.11.3.4.27,ref-m.1.11.3.4.34,1169437,1169476,ref-bible.0301.30.2.1,ref-bible.0301.30.2.8,ארוממך ה' כי דליתני ולא שמחת אויבי לי ,ארוממך יהוה כי דליתני ולא שמחת איבי לי ,8,8,521,521.0,33,33.0,0.10256410256410256,0.16666666666666663,1090000030
ref-m.1.11.4.3.38-ref-m.1.11.4.4.11,ref-bible.0102.40.17.9-ref-bible.102.40.19.10,128036,128109,ref-m.1.11.4.3.38,ref-m.1.11.4.4.11,190232,190371,ref-bible.0102.40.17.9,ref-bible.0102.40.19.10,כנשים כיצד שוה לאנשים ולנשים חייבים על מכתו ועל קללתו כאנשים וכנשים ,המשכן ויקם משה את המשכן ויתן את אדניו וישם את קרשיו ויתן את בריחיו ויקם את עמודיו ויפרש את האהל על המשכן וישם את מכסה האהל עליו ,12,27,86,86.0,34,34.0,0.71875,0.9047619047619048,1090000031
ref-m.2.1.6.4.30-ref-m.2.1.6.4.44,ref-bible.0207.2.4.7-ref-bible.207.2.4.21,135811,135895,ref-m.2.1.6.4.30,ref-m.2.1.6.4.44,779613,779697,ref-bible.0207.2.4.7,ref-bible.0207.2.4.21,וכתתו חרבותם לאתים וחניתותיהם למזמרות לא ישא גוי אל גוי חרב ולא ילמדו עוד מלחמה ,וכתתו חרבותם לאתים וחניתותיהם למזמרות לא ישא גוי אל גוי חרב ולא ילמדו עוד מלחמה ,15,15,412,412.0,35,35.0,0.0,0.0,1090000032
ref-m.2.1.6.4.30-ref-m.2.1.6.4.44,ref-bible.0215.4.3.10-ref-bible.215.4.3.24,135811,135895,ref-m.2.1.6.4.30,ref-m.2.1.6.4.44,1116766,1116852,ref-bible.0215.4.3.10,ref-bible.0215.4.3.24,וכתתו חרבותם לאתים וחניתותיהם למזמרות לא ישא גוי אל גוי חרב ולא ילמדו עוד מלחמה ,וכתתו חרבתיהם לאתים וחניתתיהם למזמרות לא ישאו גוי אל גוי חרב ולא ילמדון עוד מלחמה ,15,15,503,503.0,36,35.0,0.07317073170731707,0.15384615384615385,1090000033
ref-m.2.1.7.1.21-ref-m.2.1.7.1.36,ref-bible.0102.31.15.3-ref-bible.0102.31.16.8,137047,137132,ref-m.2.1.7.1.21,ref-m.2.1.7.1.36,169686,169809,ref-bible.0102.31.15.3,ref-bible.0102.31.16.8,שבת שבתון קדש ליהוה כל העשה מלאכה ביום השבת מות יומת ושמרו בני ישראל את השבת לעשות את השבת,יעשה מלאכה וביום השביעי שבת שבתון קדש ליהוה כל העשה מלאכה ביום השבת מות יומת ושמרו בני ישראל את השבת לעשות את השבת,15,20,74,74.0,37,37.0,0.21052631578947367,0.1428571428571429,1090000034
ref-m.2.1.8.7.36-ref-m.2.1.8.7.51,ref-bible.0207.30.14.6-ref-bible.207.30.14.17,139687,139768,ref-m.2.1.8.7.36,ref-m.2.1.8.7.51,815385,815447,ref-bible.0207.30.14.6,ref-bible.0207.30.14.17,ולא ימצא במכתתו חרס לחתות אש מיקוד אמר לו רבי יוסי משם ראיה ולחשוף מים מגבא ,לא יחמל ולא ימצא במכתתו חרש לחתות אש מיקוד ולחשף מים מגבא ,16,12,421,421.0,39,39.0,0.4605263157894737,0.5,1090000035
ref-m.2.1.9.1.11-ref-m.2.1.9.1.15,ref-bible.0207.30.22.10-ref-bible.207.30.22.14,139830,139850,ref-m.2.1.9.1.11,ref-m.2.1.9.1.15,816040,816060,ref-bible.0207.30.22.10,ref-bible.0207.30.22.14,תזרם כמו דוה צא תאמר ,תזרם כמו דוה צא תאמר ,5,5,422,422.0,40,40.0,0.0,0.0,1090000036
ref-m.2.1.9.2.28-ref-m.2.1.9.2.34,ref-bible.0207.61.11.1-ref-bible.207.61.11.7,140061,140100,ref-m.2.1.9.2.28,ref-m.2.1.9.2.34,859443,859482,ref-bible.0207.61.11.1,ref-bible.0207.61.11.7,כי כארץ תוציא צמחה וכגנה זרועיה תצמיח ,כי כארץ תוציא צמחה וכגנה זרועיה תצמיח ,7,7,432,432.0,41,41.0,0.0,0.0,1090000037
ref-m.2.1.9.3.39-ref-m.2.1.9.3.43,ref-bible.0207.1.18.7-ref-bible.207.1.18.11,140356,140387,ref-m.2.1.9.3.39,ref-m.2.1.9.3.43,778554,778585,ref-bible.0207.1.18.7,ref-bible.0207.1.18.11,יהיו חטאיכם כשנים כשלג ילבינו ,יהיו חטאיכם כשנים כשלג ילבינו ,5,5,410,410.0,42,42.0,0.0,0.0,1090000038
ref-m.2.1.9.4.16-ref-m.2.1.9.4.20,ref-bible.0301.109.18.4-ref-bible.301.109.18.8,140468,140502,ref-m.2.1.9.4.16,ref-m.2.1.9.4.20,1231737,1231771,ref-bible.0301.109.18.4,ref-bible.0301.109.18.8,ותבא כמים בקרבו וכשמן בעצמותיו ,ותבא כמים בקרבו וכשמן בעצמותיו ,5,5,536,536.0,43,43.0,0.0,0.0,1090000039
ref-m.2.1.9.6.37-ref-m.2.1.9.6.42,ref-bible.0105.13.18.1-ref-bible.105.13.18.6,140955,140983,ref-m.2.1.9.6.37,ref-m.2.1.9.6.42,368987,369017,ref-bible.0105.13.18.1,ref-bible.0105.13.18.6,לא ידבק בידך מאומה מן החרם ,ולא ידבק בידך מאומה מן החרם ,6,6,288,288.0,44,44.0,0.03571428571428571,0.16666666666666663,1090000040
ref-m.2.1.19.4.6-ref-m.2.1.19.4.25,ref-bible.0201.12.9.1-ref-bible.201.12.10.4,152507,152605,ref-m.2.1.19.4.6,ref-m.2.1.19.4.25,437357,437418,ref-bible.0201.12.9.1,ref-bible.0201.12.10.4,אחד למול אחר השבת ואחד למול בשבת ושכח ומל את של אחר השבת בשבת חייב אחד למול בערב שבת ואחד ,מלך יריחו אחד מלך העי אשר מצד בית אל אחד מלך ירושלם אחד מלך ,20,14,351,351.0,45,45.0,0.6666666666666666,0.875,1090000041
ref-m.2.1.19.5.4-ref-m.2.1.19.5.9,ref-bible.0312.24.16.2-ref-bible.312.24.17.6,152703,152740,ref-m.2.1.19.5.4,ref-m.2.1.19.5.9,1503604,1503666,ref-bible.0312.24.16.2,ref-bible.0312.24.17.6,לתשעה ולעשרה ולאחד עשר ולשנים עשר ,תשעה עשר ליחזקאל העשרים ליכין אחד ועשרים לגמול שנים ועשרים ,6,10,642,640.0,46,46.0,0.5254237288135594,0.8,1090000042
ref-m.2.1.19.5.4-ref-m.2.1.19.5.9,ref-bible.0312.25.26.1-ref-bible.312.25.29.2,152703,152740,ref-m.2.1.19.5.4,ref-m.2.1.19.5.9,1505773,1505903,ref-bible.0312.25.26.1,ref-bible.0312.25.29.2,לתשעה ולעשרה ולאחד עשר ולשנים עשר ,לתשעה עשר למלותי בניו ואחיו שנים עשר לעשרים לאליתה בניו ואחיו שנים עשר לאחד ועשרים להותיר בניו ואחיו שנים עשר לשנים ועשרים ,6,22,648,648.0,47,46.0,0.7235772357723578,0.8333333333333334,1090000043
ref-m.2.3.5.3.2-ref-m.2.3.5.3.14,ref-bible.0105.26.14.1-ref-bible.0105.26.14.8,186241,186339,ref-m.2.3.5.3.2,ref-m.2.3.5.3.14,390887,390927,ref-bible.0105.26.14.1,ref-bible.0105.26.14.8,לא אכלתי באני ממנו ולא בערתי ממנו בטמא,לא אכלתי באני ממנו ולא בערתי ממנו בטמא,11,8,336,336.0,48,48.0,0.0,0.0,1090000044
ref-m.2.3.5.7.22-ref-m.2.3.5.7.31,ref-bible.0205.18.34.12-ref-bible.205.18.35.2,187353,187395,ref-m.2.3.5.7.22,ref-m.2.3.5.7.31,699226,699269,ref-bible.0205.18.34.12,ref-bible.0205.18.35.2,שנו ואם שנו שלשו אף על פי שלא שלשו מימיהם ,שנו וישנו ויאמר שלשו וישלשו וילכו המים ,10,7,398,398.0,50,50.0,0.5238095238095238,0.6666666666666667,1090000045
ref-m.2.3.6.4.2-ref-m.2.3.6.4.13,ref-bible.0103.1.9.14-ref-bible.103.1.10.11,189281,189341,ref-m.2.3.6.4.2,ref-m.2.3.6.4.13,192166,192226,ref-bible.0103.1.9.14,ref-bible.0103.1.10.11,היתה באה מן הצאן מן הבקר מן הכבשים ומן העזים מן הזכרים ,ליהוה ואם מן הצאן קרבנו מן הכשבים או מן העזים לעלה זכר ,12,12,90,90.0,51,51.0,0.36363636363636365,0.6666666666666667,1090000046
ref-m.2.3.6.6.2-ref-m.2.3.6.6.14,ref-bible.0105.26.14.1-ref-bible.0105.26.14.8,189951,190049,ref-m.2.3.6.6.2,ref-m.2.3.6.6.14,390887,390927,ref-bible.0105.26.14.1,ref-bible.0105.26.14.8,לא אכלתי באני ממנו ולא בערתי ממנו בטמא,לא אכלתי באני ממנו ולא בערתי ממנו בטמא,11,8,338,338.0,52,52.0,0.0,0.0,1090000047
ref-m.2.3.9.5.15-ref-m.2.3.9.5.20,ref-bible.0102.12.7.5-ref-bible.102.12.7.13,195010,195043,ref-m.2.3.9.5.15,ref-m.2.3.9.5.20,127587,127634,ref-bible.0102.12.7.5,ref-bible.0102.12.7.13,על המשקוף ועל שתי מזוזות ונאכל ,על שתי המזוזת ועל המשקוף על הבתים אשר יאכלו ,6,9,34,34.0,54,54.0,0.5909090909090909,0.6666666666666667,1090000048
ref-m.2.3.10.5.54-ref-m.2.3.10.5.68,ref-bible.0102.13.8.6-ref-bible.102.13.8.12,198170,198249,ref-m.2.3.10.5.54,ref-m.2.3.10.5.68,131494,131530,ref-bible.0102.13.8.6,ref-bible.0102.13.8.12,הוא יצא ממצרים שנאמר והגדת לבנך ביום ההוא לאמר בעבור זה עשה ה' לי בצאתי ,בעבור זה עשה יהוה לי בצאתי ממצרים ,15,7,35,35.0,55,55.0,0.7916666666666666,0.5833333333333333,1090000049
ref-m.2.4.1.4.33-ref-m.2.4.1.4.38,ref-bible.0103.6.15.10-ref-bible.0103.6.16.6,200037,200066,ref-m.2.4.1.4.33,ref-m.2.4.1.4.38,201034,201075,ref-bible.0103.6.15.10,ref-bible.0103.6.16.6,כליל תקטר וכל מנחת כהן כליל תהיה לא תאכל,כליל תקטר וכל מנחת כהן כליל תהיה לא תאכל,7,9,110,110.0,56,56.0,0.0,0.0,1090000050
ref-m.2.4.1.5.33-ref-m.2.4.1.5.47,ref-bible.0105.12.17.12-ref-bible.105.12.17.18,200310,200395,ref-m.2.4.1.5.33,ref-m.2.4.1.5.47,366229,366268,ref-bible.0105.12.17.12,ref-bible.0105.12.17.18,נדרים ונדבות מקבלין מידן זה הכלל כל שנידר ונידב מקבלין מידן כל שאין נידר ונידב ,וכל נדריך אשר תדר ונדבתיך ותרומת ידך ,15,7,278,278.0,58,58.0,0.759493670886076,1.0,1090000051
ref-m.2.4.2.1.43-ref-m.2.4.2.2.18,ref-bible.0103.27.3.14-ref-bible.103.27.5.4,201221,201349,ref-m.2.4.2.1.43,ref-m.2.4.2.2.18,250031,250104,ref-bible.0103.27.3.14,ref-bible.0103.27.5.4,שקלים ואין עולין להן לשנה הבאה הנותן שקלו לחברו לשקול על ידו ושקלו על ידי עצמו אם נתרמה תרומה מעל השוקל שקלו ממעות הקדש ,שקל כסף בשקל הקדש ואם נקבה הוא והיה ערכך שלשים שקל ואם מבן חמש שנים ,24,15,198,198.0,59,59.0,0.725,0.7894736842105263,1090000052
ref-m.2.4.3.2.62-ref-m.2.4.3.2.72,ref-bible.0203.1.17.3-ref-bible.203.1.18.5,203117,203183,ref-m.2.4.3.2.62,ref-m.2.4.3.2.72,518228,518314,ref-bible.0203.1.17.3,ref-bible.0203.1.18.5,שנאמר והייתם נקיים מה' ומישראל ואומר ומצא חן ושכל טוב בעיני ,ויאמר לכי לשלום ואלהי ישראל יתן את שלתך אשר שאלת מעמו ותאמר תמצא שפחתך חן בעיניך ,11,16,358,358.0,60,60.0,0.6296296296296297,0.92,1090000053
ref-m.2.4.3.2.68-ref-m.2.4.3.2.74,ref-bible.0302.3.4.1-ref-bible.302.3.4.7,203158,203195,ref-m.2.4.3.2.68,ref-m.2.4.3.2.74,1258072,1258109,ref-bible.0302.3.4.1,ref-bible.0302.3.4.7,ומצא חן ושכל טוב בעיני אלהים ואדם ,ומצא חן ושכל טוב בעיני אלהים ואדם ,7,7,544,544.0,61,60.0,0.0,0.0,1090000054
