baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-y,baseOrder,grp-ref-sifre-d,dam-lev,jac,lcc_len,lcs_str,id,bRangeOriginal,cRangeOriginal
ref-sifre-d.2.8.16-ref-sifre-d.2.8.20,ref-y.2.5.8.5.7.122-ref-y.2.5.8.5.7.126,8718,8760,ref-sifre-d.2.8.16,ref-sifre-d.2.8.20,1487906,1487942,ref-y.2.5.8.5.7.122,ref-y.2.5.8.5.7.126,שבתורה הקלות והחמורות הזדונות והשגגות ,שבתורה קלות וחמורות זדונות ושגגות ,5,5,845,845.0,12,12.0,0.1052631578947368,0.0,1,שבתורה,6070000011,5,5
ref-sifre-d.3.1.19-ref-sifre-d.3.1.49,ref-y.1.8.1.1.8.10-ref-y.1.8.1.1.8.29,8929,9075,ref-sifre-d.3.1.19,ref-sifre-d.3.1.49,695486,695560,ref-y.1.8.1.1.8.10,ref-y.1.8.1.1.8.29,תן לנו את גלוסקאות חמות אמר להם אני נותן לכם שוב אמרו לו תן לנו גלוסקאות חמות אמר להם האיפרכיס שלו בשביל שהמלך כשר אם לאו מאין לו רחיים מאין לו ,ותן לי שמן הא לך שמן ותן לי יין אבל אומר לו הא לך יין שאין לך יין הא לך ,31,20,421,421.0,13,13.0,0.6597222222222222,0.8421052631578947,1,לו,6070000012,31,20
ref-sifre-d.3.1.20-ref-sifre-d.3.1.33,ref-y.4.3.3.5.1.65-ref-y.4.3.3.5.1.75,8932,8992,ref-sifre-d.3.1.20,ref-sifre-d.3.1.33,3089850,3089897,ref-y.4.3.3.5.1.65,ref-y.4.3.3.5.1.75,לנו את גלוסקאות חמות אמר להם אני נותן לכם שוב אמרו לו תן לנו ,לי כיליי אמר לו אתה נתתו לי במתנה אתה מכרתו לי ,14,11,2285,2284.0,14,13.0,0.639344262295082,0.8461538461538461,2,אמר לו,6070000013,14,11
ref-sifre-d.5.2.21-ref-sifre-d.5.2.28,ref-y.4.4.1.4.4.8-ref-y.4.4.1.4.4.24,10326,10369,ref-sifre-d.5.2.21,ref-sifre-d.5.2.28,3159788,3159865,ref-y.4.4.1.4.4.8,ref-y.4.4.1.4.4.24,"שרי אלפי' שש מאות שרי מאות ששת אלפי' שרי נ' ב""י אלף שרי עשרות","אלפים ושש מאות שרי אלפי' שש מאות שרי מאות ששת אלפי' שרי נ' ב""י אלף שרי עשרות",14,17,2412,2412.0,15,15.0,0.1973684210526315,0.0999999999999999,14,"שרי אלפי' שש מאות שרי מאות ששת אלפי' שרי נ' ב""י אלף שרי עשרות",6070000014,14,17
ref-sifre-d.6.1.25-ref-sifre-d.6.1.32,ref-y.1.5.9.2.4.14-ref-y.1.5.9.2.4.22,10548,10587,ref-sifre-d.6.1.25,ref-sifre-d.6.1.32,513051,513094,ref-y.1.5.9.2.4.14,ref-y.1.5.9.2.4.22,בהר זה הר המלך בשפלה זה שפילות דרום ,הר שביהודה זה הר המלך ושפלתנ זו שפלת דרום ,8,9,324,324.0,17,17.0,0.3333333333333333,0.375,4,זה הר המלך דרום,6070000015,8,9
ref-sifre-d.6.2.23-ref-sifre-d.6.2.40,ref-y.3.5.8.3.11.112-ref-y.3.5.8.3.11.123,10832,10925,ref-sifre-d.6.2.23,ref-sifre-d.6.2.40,2335968,2336014,ref-y.3.5.8.3.11.112,ref-y.3.5.8.3.11.123,אשר בנה בית אין לי אלא אשר בנה לקח ירש ניתן לו,אשר בנה בית אין לי אלא אשר בנה לקח ירש ניתן לו,12,12,1841,1841.0,18,18.0,0.0,0.0,10,אשר בנה בית אין_לי_אלא אשר בנה לקח ירש ניתן לו,6070000016,12,12
ref-sifre-d.6.3.17-ref-sifre-d.6.4.5,ref-y.1.9.2.1.6.32-ref-y.1.9.2.1.6.38,11165,11195,ref-sifre-d.6.3.17,ref-sifre-d.6.4.5,777520,777558,ref-y.1.9.2.1.6.32,ref-y.1.9.2.1.6.38,ילבינו עד הנהר הגדול נהר פרת ,והלבנון הזה ועד הנהר הגדול נהר פרת ,6,7,475,473.0,24,20.0,0.2571428571428571,0.375,4,הנהר הגדול נהר פרת,6070000017,6,7
ref-sifre-d.6.3.12-ref-sifre-d.6.3.17,ref-y.2.1.9.3.6.30-ref-y.2.1.9.3.6.50,11137,11171,ref-sifre-d.6.3.12,ref-sifre-d.6.3.17,1034538,1034646,ref-y.2.1.9.3.6.30,ref-y.2.1.9.3.6.50,אם יחיו חטאיכם כשנים כשני אבות בשלג ילבינו יותר מיכן כצמר יהיו אמר רבי יודן בר פזי אם יהיו חטאיכם כשנים,אם יחיו חטאיכם כשנים כשני אבות בשלג ילבינו יותר מיכן כצמר יהיו אמר רבי יודן בר פזי אם יהיו חטאיכם כשנים,21,21,659,659.0,21,21.0,0.0,0.0,18,אם יחיו חטאיכם כשנים כשני אבות בשלג ילבינו יותר מיכן כצמר יהיו אמר_רבי_יודן_בר פזי אם יהיו חטאיכם כשנים,6070000018,21,21
ref-sifre-d.6.3.11-ref-sifre-d.6.3.17,ref-y.2.1.9.3.6.61-ref-y.2.1.9.3.6.70,11130,11171,ref-sifre-d.6.3.11,ref-sifre-d.6.3.17,1034711,1034759,ref-y.2.1.9.3.6.61,ref-y.2.1.9.3.6.70,שנאמר אם יהיו חטאיכם כשנים כשלג ילבינו ,אמרי אם יהיו חטאיו של אדם כפי שניו כשלג ולבינו ,2,10,663,663.0,20,20.0,0.3191489361702128,0.75,3,אם יהיו כשלג,6070000019,7,10
ref-sifre-d.6.3.12-ref-sifre-d.6.3.17,ref-y.2.5.6.5.2.26-ref-y.2.5.6.5.2.34,11137,11171,ref-sifre-d.6.3.12,ref-sifre-d.6.3.17,1466318,1466373,ref-y.2.5.6.5.2.26,ref-y.2.5.6.5.2.34,אם יהיו חטאיכם כשנים כשלג ילבינו ,אם יהיו חטאיכם כשנים כשני אבות הראשונים כשלג ילבינו ,1,9,807,807.0,23,20.0,0.3653846153846153,0.375,6,אם יהיו חטאיכם כשנים כשלג ילבינו,6070000020,6,9
ref-sifre-d.8.1.57-ref-sifre-d.8.1.73,ref-y.3.4.3.6.1.24-ref-y.3.4.3.6.1.44,12128,12204,ref-sifre-d.8.1.57,ref-sifre-d.8.1.73,2745265,2745360,ref-y.3.4.3.6.1.24,ref-y.3.4.3.6.1.44,ואמר מה בידי לא נתנה לי אלא כמות שהיא חזר ונטעה כרם אמר מה בידי לא נתנה ,"אמ' סבר ר' יודה שלא נטמאה כל עיקר אין תימר ר' יודה כב""ש ותני שלשי' יום ויד שנה לא תנינן מתני ",17,21,2028,2028.0,25,25.0,0.6451612903225806,0.8636363636363636,1,לא,6070000021,17,21
ref-sifre-d.8.1.92-ref-sifre-d.8.1.99,ref-y.3.7.1.3.4.39-ref-y.3.7.1.3.4.46,12295,12334,ref-sifre-d.8.1.92,ref-sifre-d.8.1.99,2848875,2848917,ref-y.3.7.1.3.4.39,ref-y.3.7.1.3.4.46,קום לך בארץ לארכה ולרחבה כי לך אתננה ,קום התהלך בארץ לאורכה ולרחבה כי לך אתננה ,8,8,2105,2105.0,26,26.0,0.0975609756097561,0.1428571428571429,6,קום בארץ ולרחבה כי לך אתננה,6070000022,8,8
ref-sifre-d.8.2.17-ref-sifre-d.8.2.26,ref-y.1.9.2.1.7.31-ref-y.1.9.2.1.7.39,12688,12734,ref-sifre-d.8.2.17,ref-sifre-d.8.2.26,777998,778040,ref-y.1.9.2.1.7.31,ref-y.1.9.2.1.7.39,השיב את גבול ארץ ישראל מלבוא חמת עד ים הערבה ,השיב את גבול ישראל מלבוא חמת עד ים הערבה ,10,9,480,480.0,27,27.0,0.0888888888888888,0.0999999999999999,9,השיב את גבול ישראל מלבוא חמת עד ים הערבה,6070000023,10,9
ref-sifre-d.9.2.85-ref-sifre-d.9.2.98,ref-y.2.4.3.3.3.38-ref-y.2.4.3.3.3.51,13558,13628,ref-sifre-d.9.2.85,ref-sifre-d.9.2.98,1520779,1520847,ref-y.2.4.3.3.3.38,ref-y.2.4.3.3.3.51,נוטל מן השנייה נטל מן השנייה אף על פי שיש בשנייה נוטל מן השלישית,נוטל מן השנייה נטל מן השנייה אף על פי שיש בשנייה נוטל מן השלישית,14,14,877,877.0,28,28.0,0.0,0.0,11,נוטל מן השנייה נטל מן השנייה אף_על_פי_שיש בשנייה נוטל מן השלישית,6070000024,14,14
ref-sifre-d.10.1.22-ref-sifre-d.10.1.29,ref-y.1.1.5.1.7.28-ref-y.1.1.5.1.7.35,13877,13916,ref-sifre-d.10.1.22,ref-sifre-d.10.1.29,111475,111513,ref-y.1.1.5.1.7.28,ref-y.1.1.5.1.7.35,אך צדיקים יודו לשמך ישבו ישרים את פניך ,אך צדיקים יודו לשמך ישבו ישרים את פניך ,8,8,94,94.0,30,30.0,0.0,0.0,8,אך צדיקים יודו לשמך ישבו ישרים את פניך,6070000025,8,8
ref-sifre-d.10.2.6-ref-sifre-d.10.2.13,ref-y.2.12.2.1.6.231-ref-y.2.12.2.1.6.240,14150,14196,ref-sifre-d.10.2.6,ref-sifre-d.10.2.13,1942891,1942941,ref-y.2.12.2.1.6.231,ref-y.2.12.2.1.6.240,לשבע שמחות פניהם של צדיקים ראויים לעתיד לבוא ,שובע שמחו' את פניך שבע ביתו' של צדיקי' לעתיד לבוא ,8,10,1366,1364.0,31,31.0,0.42,0.6923076923076923,3,של לעתיד לבוא,6070000026,8,10
ref-sifre-d.10.2.23-ref-sifre-d.10.2.31,ref-y.4.3.8.1.5.37-ref-y.4.3.8.1.5.45,14265,14315,ref-sifre-d.10.2.23,ref-sifre-d.10.2.31,3108795,3108838,ref-y.4.3.8.1.5.37,ref-y.4.3.8.1.5.45,לחמה וללבנה מנין יפה כלבנה ברה כחמה לרקיע מנין ,אחים בני אחים בנות אחים בני בנות אחים מניין ,9,9,2305,2294.0,32,32.0,0.6382978723404256,0.7777777777777778,0,,6070000027,9,9
ref-sifre-d.11.1.73-ref-sifre-d.11.1.97,ref-y.3.5.2.2.4.42-ref-y.3.5.2.2.4.55,14901,15016,ref-sifre-d.11.1.73,ref-sifre-d.11.1.97,2269851,2269915,ref-y.3.5.2.2.4.42,ref-y.3.5.2.2.4.55,אמר לי יהודה בני תן לי סנדלי ונתתי לו ופשט ידו לחלון ונתן לי,אמר לי יהודה בני תן לי סנדלי ונתתי לו ופשט ידו לחלון ונתן לי,14,14,1681,1681.0,34,34.0,0.0,0.0,14,אמר לי יהודה בני תן לי סנדלי ונתתי לו ופשט ידו לחלון ונתן לי,6070000028,14,14
ref-sifre-d.11.1.72-ref-sifre-d.11.1.98,ref-y.3.6.5.3.3.38-ref-y.3.6.5.3.3.51,14895,15019,ref-sifre-d.11.1.72,ref-sifre-d.11.1.98,2663804,2663879,ref-y.3.6.5.3.3.38,ref-y.3.6.5.3.3.51,ההוא אמר לו לאפוטרופא תן לי הכסף וזהב שהניח לי אבא בידך עמד ונתן לו משלו כדי פרנסתו אמר לו כל מה שנתתי לך לא נתתי לך ,הוינא מיתן ליה וישלם לי טיבו ראובן גזל שדה משמעון ונתנה מתנה ללוי והלך ,27,14,2000,2000.0,33,33.0,0.6752136752136753,0.88,1,לי,6070000029,27,14
ref-sifre-d.13.1.1-ref-sifre-d.13.1.10,ref-y.1.8.3.1.3.32-ref-y.1.8.3.1.3.42,15855,15897,ref-sifre-d.13.1.1,ref-sifre-d.13.1.10,714946,714989,ref-y.1.8.3.1.3.32,ref-y.1.8.3.1.3.42,הבו לכם אין הבו אלא עצה שנאמר הבו לכם דבר ,הב לי דברי הכל אסור הב לי ואנא יהב לך דברי ,10,11,430,430.0,36,36.0,0.6511627906976745,0.6666666666666667,0,,6070000030,10,11
ref-sifre-d.13.5.5-ref-sifre-d.13.5.34,ref-y.3.1.3.12.2.50-ref-y.3.1.3.12.2.61,16677,16826,ref-sifre-d.13.5.5,ref-sifre-d.13.5.34,2091713,2091780,ref-y.3.1.3.12.2.50,ref-y.3.1.3.12.2.61,תמני וההין תמני הן קטנים והן גדולות פטורין וכולן הן גדולין,ההין תמני וההין תמני הן קטנים והן גדולות פטורין וכולן הן גדולין,11,12,1474,1474.0,38,38.0,0.0793650793650793,0.0,11,תמני וההין תמני הן קטנים והן גדולות פטורין וכולן הן גדולין,6070000031,11,12
ref-sifre-d.13.5.5-ref-sifre-d.13.5.14,ref-y.3.7.1.2.8.43-ref-y.3.7.1.2.8.62,16677,16726,ref-sifre-d.13.5.5,ref-sifre-d.13.5.14,2836919,2837029,ref-y.3.7.1.2.8.43,ref-y.3.7.1.2.8.62,"מניתם אתם אותם הם ממונים ואם לאו אינן ממונים ת""ל ",מניין אתה אומר נמבר ממנה מנה והשביח והרי הוא יפה ממאתים מאתים מניין שאינו מחשב עמו אלא ממנה מנה תלמוד לומר ,10,21,2091,2091.0,37,37.0,0.6822429906542056,0.9,0,,6070000032,10,21
ref-sifre-d.14.1.45-ref-sifre-d.14.1.64,ref-y.3.1.15.1.4.24-ref-y.3.1.15.1.4.43,17307,17413,ref-sifre-d.14.1.45,ref-sifre-d.14.1.64,2224608,2224715,ref-y.3.1.15.1.4.24,ref-y.3.1.15.1.4.43,הייתם אומרים עכשיו הוא ממנה עלינו דיינים שהם מונים אלף חסר פרוטרוט אם אינו שומע אנו מביאים לו דורון והוא ,ובאת מן הדרום היתה מלחמה בצפון ובאת מן הדרום והיא אומרת מן הצפון באתי ואני אומר מן הדרום באת והיא ,20,20,1630,1630.0,40,40.0,0.7333333333333333,0.9565217391304348,0,,6070000033,20,20
ref-sifre-d.15.4.13-ref-sifre-d.15.4.21,ref-y.4.4.10.2.16.56-ref-y.4.4.10.2.16.70,18012,18053,ref-sifre-d.15.4.13,ref-sifre-d.15.4.21,3293103,3293172,ref-y.4.4.10.2.16.56,ref-y.4.4.10.2.16.70,שר משרי מאות וכמו כן שרי חמשים שרי עשרות ,שרי אלפים שש מאות שרי מאות ששת אלפים שרי חמשים שנים עשר אלף שרי עשרות ,9,15,2697,2697.0,41,41.0,0.5142857142857142,0.6666666666666667,5,מאות שרי חמשים שרי עשרות,6070000034,9,15
ref-sifre-d.16.5.47-ref-sifre-d.16.7.13,ref-y.2.4.4.4.5.83-ref-y.2.4.4.4.5.90,19658,19779,ref-sifre-d.16.5.47,ref-sifre-d.16.7.13,1530896,1530926,ref-y.2.4.4.4.5.83,ref-y.2.4.4.4.5.90,ומביא ראיות בין איש להוציא את הקטן מכאן אמרו אין דנים יתומים בין איש ובין אחיו ובין גרו אין לי אלא בין איש לאשתו בין ,אשם בן שנה הביא בן שתים יצא בן ,25,8,883,883.0,42,42.0,0.7948717948717948,0.8947368421052632,0,,6070000035,25,8
ref-sifre-d.16.7.1-ref-sifre-d.16.7.14,ref-y.3.1.1.1.6.9-ref-y.3.1.1.1.6.33,19721,19783,ref-sifre-d.16.7.1,ref-sifre-d.16.7.14,2049539,2049660,ref-y.3.1.1.1.6.9,ref-y.3.1.1.1.6.33,בין איש ובין אחיו ובין גרו אין לי אלא בין איש לאשתו בין אשה ,בין אשת אחיו מאביו בין אשת אחיו מאמו בין אשת אחיו שהיה בעולמו בין אשת אחיו שלא היה בעולמו בין לחיים בין לאחר מיתה בין ,14,25,1389,1389.0,45,42.0,0.6271186440677966,0.6923076923076923,4,בין אחיו בין בין,6070000036,14,25
ref-sifre-d.16.6.1-ref-sifre-d.16.7.16,ref-y.3.5.3.8.1.4-ref-y.3.5.3.8.1.26,19671,19793,ref-sifre-d.16.6.1,ref-sifre-d.16.7.16,2290582,2290686,ref-y.3.5.3.8.1.4,ref-y.3.5.3.8.1.26,האיש פורע ופורם כו' איש אין לי אלא איש אשה מניין תלמוד לומר צרוע בין איש בין אשה בין קטן,בין איש לאשה האיש פורע ופורם כו' איש אין לי אלא איש אשה מניין תלמוד לומר צרוע בין איש בין אשה בין קטן,15,18,1693,1693.0,43,43.0,0.1287128712871287,0.0,16,האיש פורע ופורם כו' איש אין_לי_אלא איש אשה מניין_תלמוד_לומר צרוע בין איש בין אשה בין קטן,6070000037,20,23
ref-sifre-d.16.7.5-ref-sifre-d.16.7.25,ref-y.3.5.8.3.11.99-ref-y.3.5.8.3.11.129,19740,19842,ref-sifre-d.16.7.5,ref-sifre-d.16.7.25,2335903,2336043,ref-y.3.5.8.3.11.99,ref-y.3.5.8.3.11.129,אש ומובללת באש חצובה מאש נתונה מאש מימינו אש דת למו הלכה ד' אשר בנה בית אין לי אלא אשר בנה לקח ירש ניתן לו ב מתנה מניין תלמוד לו' האיש,אש ומובללת באש חצובה מאש נתונה מאש מימינו אש דת למו הלכה ד' אשר בנה בית אין לי אלא אשר בנה לקח ירש ניתן לו ב מתנה מניין תלמוד לו' האיש,31,31,1837,1837.0,50,50.0,0.0,0.0,29,אש ומובללת באש חצובה מאש נתונה מאש מימינו אש דת למו הלכה ד' אשר בנה בית אין_לי_אלא אשר בנה לקח ירש ניתן לו ב מתנה מניין תלמוד לו' האיש,6070000038,31,31
ref-sifre-d.16.6.1-ref-sifre-d.16.7.19,ref-y.3.4.4.6.1.3-ref-y.3.4.4.6.1.23,19671,19810,ref-sifre-d.16.6.1,ref-sifre-d.16.7.19,2754525,2754614,ref-y.3.4.4.6.1.3,ref-y.3.4.4.6.1.23,אין לי אלא איש אשה מניין תלמוד לומר צרוע בין איש בין אשה בין קטן אם בן,האיש מדיר כו' איש אין לי אלא איש אשה מניין תלמוד לומר צרוע בין איש בין אשה בין קטן אם בן,17,16,2035,2035.0,44,44.0,0.2045454545454545,0.2222222222222222,13,אין_לי_אלא איש אשה מניין_תלמוד_לומר צרוע בין איש בין אשה בין קטן אם בן,6070000039,17,21
ref-sifre-d.16.7.1-ref-sifre-d.16.7.23,ref-y.4.3.8.1.5.22-ref-y.4.3.8.1.5.46,19721,19834,ref-sifre-d.16.7.1,ref-sifre-d.16.7.23,3108734,3108842,ref-y.4.3.8.1.5.22,ref-y.4.3.8.1.5.46,"בן בת בת בן בן מניין תלמוד לומר בת מכל מקום אחים אין לי אלא אחים בני אחים בנות אחים בני בנות אחים מניין ת""ל","בן בת בת בן בן מניין תלמוד לומר בת מכל מקום אחים אין לי אלא אחים בני אחים בנות אחים בני בנות אחים מניין ת""ל",8,8,2300,2300.0,46,46.0,0.0,0.0,21,"בן בת בת בן בן מניין_תלמוד_לומר בת מכל מקום אחים אין_לי_אלא אחים בני אחים בנות אחים בני בנות אחים מניין ת""ל",6070000040,25,25
ref-sifre-d.17.4.6-ref-sifre-d.17.4.14,ref-y.4.4.1.1.24.71-ref-y.4.4.1.1.24.78,20711,20755,ref-sifre-d.17.4.6,ref-sifre-d.17.4.14,3136984,3137023,ref-y.4.4.1.1.24.71,ref-y.4.4.1.1.24.78,באים שנים לדין לפניך עד שלא תשמע את דבריהם ,שנים שבאו אל הדיין עד שלא שמע דבריהן ,9,8,2319,2319.0,53,52.0,0.4186046511627907,0.6923076923076923,3,שנים עד שלא,6070000041,9,8
ref-sifre-d.17.4.1-ref-sifre-d.17.4.16,ref-y.4.4.1.1.26.30-ref-y.4.4.1.1.26.43,20688,20764,ref-sifre-d.17.4.1,ref-sifre-d.17.4.16,3137453,3137523,ref-y.4.4.1.1.26.30,ref-y.4.4.1.1.26.43,לא תגורו מפני איש שאם באים שנים לדין לפניך עד שלא תשמע את דבריהם אתה רשאי ,מששמע דבריהן אין רשאי לומר להן איני נזקק לכם שנאמר לא תגורו מפני איש ,16,14,2320,2320.0,52,52.0,0.7297297297297297,0.8095238095238095,4,לא תגורו מפני איש,6070000042,16,14
ref-sifre-d.17.4.49-ref-sifre-d.17.4.59,ref-y.4.4.1.1.23.9-ref-y.4.4.1.1.23.34,20939,20988,ref-sifre-d.17.4.49,ref-sifre-d.17.4.59,3136501,3136615,ref-y.4.4.1.1.23.9,ref-y.4.4.1.1.23.34,אמת ומשפט שלום שיש בו משפט אמת הוי אומר זה ביצוע ,אמת ומשפט שלום כל מקום שיש אמת אין משפט שלום יש שלום אין משפט אמת ואי זהו אמת שיש בו משפט שלום הוי אומר זה ביצוע ,11,26,2318,2318.0,54,54.0,0.5752212389380531,0.2727272727272727,10,אמת ומשפט שלום שיש בו משפט הוי אומר זה ביצוע,6070000043,11,26
ref-sifre-d.17.4.83-ref-sifre-d.17.4.86,ref-y.1.9.1.5.7.11-ref-y.1.9.1.5.7.14,21112,21129,ref-sifre-d.17.4.83,ref-sifre-d.17.4.86,774450,774467,ref-y.1.9.1.5.7.11,ref-y.1.9.1.5.7.14,ובוצע ברך נאץ ה' ,ובוצע ברך נאץ ה' ,4,4,469,469.0,57,55.0,0.0,0.0,4,ובוצע ברך נאץ ה',6070000044,4,4
ref-sifre-d.17.4.78-ref-sifre-d.17.4.85,ref-y.4.4.1.1.20.13-ref-y.4.4.1.1.20.22,21088,21126,ref-sifre-d.17.4.78,ref-sifre-d.17.4.85,3136049,3136101,ref-y.4.4.1.1.20.13,ref-y.4.4.1.1.20.22,המבצע הרי זה מנאץ שנא' ובוצע ברך נאץ ,המבצע הרי זה כמנאץ לפני המקו' שנאמ' ובוצע ברך נאץ ,8,10,2316,2316.0,55,55.0,0.26,0.5,6,המבצע הרי זה ובוצע ברך נאץ,6070000045,8,10
ref-sifre-d.17.4.81-ref-sifre-d.17.4.85,ref-y.4.4.1.1.21.33-ref-y.4.4.1.1.21.42,21102,21126,ref-sifre-d.17.4.81,ref-sifre-d.17.4.85,3136362,3136407,ref-y.4.4.1.1.21.33,ref-y.4.4.1.1.21.42,מנאץ שנא' ובוצע ברך נאץ ,מנאץ רבי מאיר אומר מה תלמוד לומ' בוצע ברך נאץ ,5,10,2317,2317.0,56,55.0,0.5434782608695652,0.625,3,מנאץ ברך נאץ,6070000046,5,10
