baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-y,baseOrder,grp-ref-t,dam-lev,jac,id
ref-t.1.1.1.5.47-ref-t.1.1.1.8.1,ref-y.1.1.1.5.9.1-ref-y.1.1.1.5.9.41,1766,2161,ref-t.1.1.1.5.47,ref-t.1.1.1.8.1,23920,24146,ref-y.1.1.1.5.9.1,ref-y.1.1.1.5.9.41,בור הוא אלו ברכות שמקצרין בהן המברך,"אלו ברכות שמאריכין בהן ברכות ר""ה ויה' וברכות תענית ציבור מברכותיו אדם ניכר אם ת""ח הוא אם בור הוא אלו ברכות שמקצרין בהן המברך על המצות ועל הפירות וברכת הזימון וברכה אחרונה של ברכת המזון אחר המזון הא כל שאר הברכות",6,41,47,47.0,18,18.0,0.8341232227488151,0.7777777777777778,2070000011
ref-t.1.1.1.8.1-ref-t.1.1.1.8.18,ref-y.1.1.1.5.9.94-ref-y.1.1.1.5.9.111,2157,2252,ref-t.1.1.1.8.1,ref-t.1.1.1.8.18,24407,24510,ref-y.1.1.1.5.9.94,ref-y.1.1.1.5.9.111,אילו ברכות ששוחין בהן ברכה ראשונה תחלה וסוף מודים תחלה וסוף השח על כל ברכה מלמדין אותו שלא ,אלו ברכות ששוחחין בהן בראשו' תחילה וסוף ובמודים תחילה וסוף השוחה על כל ברכה וברכה מלמדין אותו שלא ,18,18,50,50.0,23,15.0,0.20408163265306123,0.4117647058823529,2070000012
ref-t.1.1.1.9.1-ref-t.1.1.1.9.22,ref-y.1.1.1.5.16.1-ref-y.1.1.1.5.16.19,2259,2392,ref-t.1.1.1.9.1,ref-t.1.1.1.9.22,26992,27101,ref-y.1.1.1.5.16.1,ref-y.1.1.1.5.16.19,"אלו ברכות שפותחין בהן בברוך כל הברכות פותחין בהן בברוך ואם היתה ברכה סמוכה לחבירתה כגון ק""ש ותפילה אין","אלו ברכות שפותחין בהן בברוך כל הברכות פותחין בהן בברוך ואם היתה ברכה סמוכה לחבירתה כגון ק""ש ותפילה אין",17,14,53,53.0,25,25.0,0.0,0.0,2070000013
ref-t.1.1.1.5.34-ref-t.1.1.1.5.47,ref-y.1.1.1.5.21.31-ref-y.1.1.1.5.21.44,1690,1772,ref-t.1.1.1.5.34,ref-t.1.1.1.5.47,27763,27840,ref-y.1.1.1.5.21.31,ref-y.1.1.1.5.21.44,פותח בהן בברוך ואינו חותם בהן בברוך מטבע ארוך פותח בו בברוך וחותם בברוך,פותח בהן בברוך ואינו חותם בהן בברוך מטבע ארוך פותח בו בברוך וחותם בברוך,10,14,55,55.0,15,15.0,0.0,0.0,2070000014
ref-t.1.1.1.7.3-ref-t.1.1.1.7.27,ref-y.1.1.1.5.21.34-ref-y.1.1.1.5.22.2,2002,2156,ref-t.1.1.1.7.3,ref-t.1.1.1.7.27,27779,27851,ref-y.1.1.1.5.21.34,ref-y.1.1.1.5.22.2,ואינו חותם בהן בברוך מטבע ארוך פותח בו בברוך וחותם בברוך כל הברכות,ואינו חותם בהן בברוך מטבע ארוך פותח בו בברוך וחותם בברוך כל הברכות,19,13,59,59.0,21,21.0,0.0,0.0,2070000015
ref-t.1.1.1.9.3-ref-t.1.1.1.9.18,ref-y.1.1.1.5.21.31-ref-y.1.1.1.5.22.3,2270,2370,ref-t.1.1.1.9.3,ref-t.1.1.1.9.18,27763,27855,ref-y.1.1.1.5.21.31,ref-y.1.1.1.5.22.3,פותח בהן בברוך ואינו חותם בהן בברוך מטבע ארוך פותח בו בברוך וחותם בברוך כל הברכות אחר,פותח בהן בברוך ואינו חותם בהן בברוך מטבע ארוך פותח בו בברוך וחותם בברוך כל הברכות אחר,12,17,57,57.0,27,27.0,0.0,0.0,2070000016
ref-t.1.1.1.5.38-ref-t.1.1.1.6.4,ref-y.1.1.5.2.11.68-ref-y.1.1.5.2.11.74,1713,1795,ref-t.1.1.1.5.38,ref-t.1.1.1.6.4,120735,120783,ref-y.1.1.5.2.11.68,ref-y.1.1.5.2.11.74,שלא לפתוח בברוך ושלא לפתוח בברוך אינו רשאי לפתוח בברוך אלו ברכות שמקצרין בהן ,ולא מברכות שפותחין בהן בברוך וחותמין בברוך ,14,7,212,212.0,17,17.0,0.6623376623376623,0.7,2070000017
ref-t.1.1.1.8.18-ref-t.1.1.1.9.7,ref-y.1.1.5.2.11.68-ref-y.1.1.5.2.11.74,2248,2300,ref-t.1.1.1.8.18,ref-t.1.1.1.9.7,120735,120783,ref-y.1.1.5.2.11.68,ref-y.1.1.5.2.11.74,שלא לשחות אילו ברכות שפותחין בהן בברוך חוץ מברכה ,ולא מברכות שפותחין בהן בברוך וחותמין בברוך ,9,7,213,212.0,24,24.0,0.40816326530612246,0.5555555555555556,2070000018
ref-t.1.1.1.9.42-ref-t.1.1.1.10.56,ref-y.1.1.1.5.22.65-ref-y.1.1.1.5.22.126,2476,2776,ref-t.1.1.1.9.42,ref-t.1.1.1.10.56,28191,28512,ref-y.1.1.1.5.22.65,ref-y.1.1.1.5.22.126,המברך מזכירין יציאת מצרים בלילות אמ' ר' לעזר בן עזריה הרי אני כבן שבעים שנה ולא זכיתי שאשמע שתאמר יציאת מצרים בלילות עד שדרשה בן זומא שנ' למען תזכור את יום צאתך מארץ מצרים כל ימי חייך ימי חייך הימים כל ימי חייך הלילות וחכמים או' ימי חייך העולם הזה כל להביא ימי חייך להביא לימות המשיח ,ברכה פסוק מתני' מזכירין יציאת מצרים בלילות אמר להן רבי אלעזר בן עזריה הרי אני בבן שבעים שנה ולא זכיתי שתאמר יציאת מצרים בלילו' עד שדרשה בן זומא שנאמר למען תזכור את יום צאתך מארץ מצרים כל ימי חייך ימי א חייך הימים כל ימי חייך הלילות וחכמים אומרים ימי חייך העולם הזה כל ימי חייך העולם הבא להביא את ימות המשיח ,57,62,61,61.0,29,29.0,0.18566775244299674,0.33333333333333337,2070000019
ref-t.1.1.1.10.62-ref-t.1.1.1.11.85,ref-y.1.1.1.6.10.8-ref-y.1.1.1.6.10.163,2799,3668,ref-t.1.1.1.10.62,ref-t.1.1.1.11.85,30529,31306,ref-y.1.1.1.6.10.8,ref-y.1.1.1.6.10.163,מזכירין יציאת מצרים לימות המשיח והלא כבר נאמ' לכן הנה ימים נאם ייי ולא יאמר עוד חי ייי אשר העלה את בני ישראל מארץ מצרים כי אם חי ייי אשר העלה ואשר הביא את זרע בית ישראל מארץ צפון אמרו לו לא שתעקר יציאת מצרים ממקומה אלא שתהא יציאת מצרים מוסף על מלכיות מלכיות עיקר ויציאת מצרים טפילה כיוצא בו לא יקרא עוד שמך יעקב כי אם ישראל וגו' לא שיעקר שם יעקב ממנו אלא שיהא יעקב מוסף על ישראל ישראל עיקר ויעקב טפילה כיוצא בו אל תזכרו ראשונות וקדמוניות אל תתבוננו אל תזכרו ראשונות אילו של מלכיות וקדמוניות אל תתבוננו אלו של מצרים הנני עשה חדשה עתה תצמח זו מלחמת גוג ומגוג של גוג משלו משל למה הדבר דומה לאחד שהיה מהלך בדרך ופגע בו זאב וניצל ממנו והיה מספר והולך מעשה הזאב פגע בו ארי וניצל מידו שכח מעשה הזאב והיה מספר במעשה הארי אחר כך פגע בו נחש וניצל מידו שכח מעשה שניהם והיה מספר והולך מעשה הנחש אף כך ישראל צרות האחרונות משכחות את הראשונות ,להזכיר יציאת מצרים לעתיד לבוא ומה טעם לכן הנה ימים באים נאם ה' לא יאמר עוד חי ה' אשר העלה את בני יש' מארץ מצרים כי אם חי ה' אשר העלה ואשר הביא את זרע בית ישר' מארץ צפון אמרו לו לא שיעקר יציאת מצרים אלא מצרים מוסף על המלכיות מלכיות עיקר ומצרים טפילה וכן הוא או' לא יקרא עוד שמך יעקב כי אם ישראל יהיה שמך אמרו לא שיעקר שם יעקב אלא יעקב מוסף על ישר' ישר' עיקר ויעקב טפל וכן הוא אומר אל תזכרו ראשונות אילו המצריי' וקדמוניות אל תתבוננו אילו המלכיו' חנני עושה חדשה עתה תצמח זו של גוג משלו משל למה הדבר דומה לאחד שהיה מחלך בדרך ופגע בו זאב וניצל ממנו התחיל מספר מעשה הזאב ואחר כך פנע בו הארי וניצל מידו שכח מעשה הזאב התחיל מספר מעשה הארי ואחר כך פנע בו נחש וניצל מידו שכח מעשה שניהם והתחיל לספר מעשה חנחש כך חיו יש' הצרות האחרונות משכחות את הראשונות ,169,156,65,65.0,33,29.0,0.26811594202898553,0.33333333333333337,2070000020
ref-t.1.1.1.10.27-ref-t.1.1.1.10.39,ref-y.1.1.3.1.3.4-ref-y.1.1.3.1.3.14,2623,2685,ref-t.1.1.1.10.27,ref-t.1.1.1.10.39,61491,61542,ref-y.1.1.3.1.3.4,ref-y.1.1.3.1.3.14,למען תזכור את יום צאתך מארץ מצרים כל ימי חייך ימים,למען תזכור את יום צאתך מארץ מצרים כל ימי חייך ימים,11,11,107,107.0,30,30.0,0.0,0.0,2070000021
ref-t.1.1.1.10.52-ref-t.1.1.1.10.65,ref-y.1.1.3.1.3.5-ref-y.1.1.3.1.3.24,2748,2825,ref-t.1.1.1.10.52,ref-t.1.1.1.10.65,61496,61593,ref-y.1.1.3.1.3.5,ref-y.1.1.3.1.3.24,ימי חייך להביא לימות המשיח אמ' להם בן זומא וכי מזכירין יציאת מצרים לימות ,תזכור את יום צאתך מארץ מצרים כל ימי חייך ימים שאת עוסק בהן בחיים ולא ימים שאת עוסק בחן במתים ,14,20,109,107.0,32,32.0,0.7311827956989247,0.8095238095238095,2070000022
ref-t.1.1.1.11.79-ref-t.1.1.1.11.85,ref-y.3.5.9.12.3.114-ref-y.3.5.9.12.3.119,3625,3668,ref-t.1.1.1.11.79,ref-t.1.1.1.11.85,2356074,2356111,ref-y.3.5.9.12.3.114,ref-y.3.5.9.12.3.119,כך ישראל צרות האחרונות משכחות את הראשונות ,כך צרות האחרונו' משכחות את הראשונות ,7,6,6539,6536.0,34,29.0,0.16666666666666666,0.375,2070000023
ref-t.1.1.1.12.4-ref-t.1.1.1.12.11,ref-y.1.1.1.6.7.19-ref-y.1.1.1.6.7.30,3683,3719,ref-t.1.1.1.12.4,ref-t.1.1.1.12.11,29823,29878,ref-y.1.1.1.6.7.19,ref-y.1.1.1.6.7.30,יקרא עוד את שמך אברם והיה שמך אברהם ,יקרא וקרא עוד את שמך אברם הרי בלא תעשה והיה שמך אברה' ,8,12,63,63.0,35,35.0,0.35185185185185186,0.4444444444444444,2070000024
ref-t.1.1.1.14.56-ref-t.1.1.1.14.69,ref-y.3.1.3.12.2.50-ref-y.3.1.3.12.2.61,4213,4286,ref-t.1.1.1.14.56,ref-t.1.1.1.14.69,2091713,2091780,ref-y.3.1.3.12.2.50,ref-y.3.1.3.12.2.61,והן הן משנדבר עמהן הן הן עד שלא נכנסו לגדולה והן הן משנכנסו לגדול' ,ההין תמני וההין תמני הן קטנים והן גדולות פטורין וכולן הן גדולין ,14,12,5578,5577.0,36,36.0,0.6865671641791045,0.8461538461538461,2070000025
ref-t.1.1.1.15.75-ref-t.1.1.1.15.90,ref-y.2.12.2.1.13.39-ref-y.2.12.2.1.13.57,4671,4750,ref-t.1.1.1.15.75,ref-t.1.1.1.15.90,1950280,1950382,ref-y.2.12.2.1.13.39,ref-y.2.12.2.1.13.57,והוא מראה להן בנקודה ואומר זה שלמעלן או מה שמו והוא מראה להן בנקודה שלאחריו ואומר יי' שמו אדון,והוא מראה להן בנקודה ואומר זה שלמעלן או מה שמו והוא מראה להן בנקודה שלאחריו ואומר יי' שמו אדון,16,19,5105,5105.0,37,37.0,0.0,0.0,2070000026
ref-t.1.1.1.15.98-ref-t.1.1.1.15.103,ref-y.2.5.1.1.19.157-ref-y.2.5.1.1.19.162,4794,4822,ref-t.1.1.1.15.98,ref-t.1.1.1.15.103,1393985,1394014,ref-y.2.5.1.1.19.157,ref-y.2.5.1.1.19.162,האמרים ערו ערו עד היסוד בה ,האומרים ערו ערו עד היסוד בה ,6,6,3631,3631.0,39,39.0,0.03571428571428571,0.0,2070000027
ref-t.1.1.2.1.4-ref-t.1.1.2.1.25,ref-y.1.1.1.6.5.6-ref-y.1.1.1.6.5.25,4837,4951,ref-t.1.1.2.1.4,ref-t.1.1.2.1.25,29267,29372,ref-y.1.1.1.6.5.6,ref-y.1.1.1.6.5.25,צריך להזכיר יציאת מצרים באמת ויציב ר' או' צריך להזכיר בה מלכות אחרים או' צריך להזכיר בה מכת בכורים וקריעת ים סוף ,צריך להזכיר יציאת מצרים באמת ויציב ר' אומ' צריך להזכיר בה מלכות אחרי' אומרי' צריך להזכיר בה קריעת ים סוף ,22,20,62,62.0,40,40.0,0.1504424778761062,0.4117647058823529,2070000028
ref-t.1.1.2.2.4-ref-t.1.1.2.2.22,ref-y.1.1.2.1.1.39-ref-y.1.1.2.1.1.60,4966,5055,ref-t.1.1.2.2.4,ref-t.1.1.2.2.22,31526,31628,ref-y.1.1.2.1.1.39,ref-y.1.1.2.1.1.60,צריך שיכוין את לבו ר' אחאי אומ' משם ר' יהודה אם כיון את לבו בפרק הראשון אע'פ שלא כיון ,"צריך לכוין את לבו בכולן נישמעינה מן הדא ר' אחי אמר משום ר' יהודה אם כיון לבו בפ' ראשון אע""פ שלא כיון ",19,22,66,66.0,41,41.0,0.3465346534653465,0.47619047619047616,2070000029
ref-t.1.1.2.5.4-ref-t.1.1.2.5.20,ref-y.1.1.2.4.14.2-ref-y.1.1.2.4.14.19,5438,5532,ref-t.1.1.2.5.4,ref-t.1.1.2.5.20,48410,48519,ref-y.1.1.2.4.14.2,ref-y.1.1.2.4.14.19,וטעה יחזור למקום שטעה טעה בין כתיבת הראשונה לשנייה חוזר לכתיבת הראשונ' טעה ואינו יודע היכן טעה יחזור,וטעה יחזור למקום שטעה טעה בין כתיבת הראשונה לשנייה חוזר לכתיבת הראשונ' טעה ואינו יודע היכן טעה יחזור,17,16,89,89.0,42,42.0,0.0,0.0,2070000030
ref-t.1.1.2.6.3-ref-t.1.1.2.6.33,ref-y.1.1.1.2.6.71-ref-y.1.1.1.2.6.81,5581,5760,ref-t.1.1.2.6.3,ref-t.1.1.2.6.33,16480,16541,ref-y.1.1.1.2.6.71,ref-y.1.1.1.2.6.81,מפסיקין לקרית שמע ואין מפסיקין לתפילה אמר רבי אחא קרית שמע,מפסיקין לקרית שמע ואין מפסיקין לתפילה,27,11,27,24.0,48,48.0,0.3620689655172414,0.4285714285714286,2070000031
ref-t.1.1.2.5.24-ref-t.1.1.2.6.33,ref-y.1.1.1.2.8.127-ref-y.1.1.1.2.8.146,5554,5760,ref-t.1.1.2.5.24,ref-t.1.1.2.6.33,17460,17582,ref-y.1.1.1.2.8.127,ref-y.1.1.1.2.8.146,לכתיבה ראשונה כותבי ספרים תפלין ומזוזות מפסיקי' לקרית שמע ואין מפסיקין לתפלה ר' או' כשם שאין מפסיקין לתפילה כך אין מפסיקין לקרית שמע ר' חנניה בן עקביא או' כשם שמפסיקין לקרית שמע כך מפסיקין לתפלה ,"כותבי ספרים תפילין ומזוזות מפסיקין לק""ש ואין מפסיקין לתפילה ר' חנינ' בן עקביה או' בשם שמפסיקין לק""ש כך מפסיקין לתפילה ",35,20,28,28.0,44,44.0,0.4512820512820513,0.4285714285714286,2070000032
ref-t.1.1.2.6.5-ref-t.1.1.2.6.39,ref-y.1.1.3.2.2.6-ref-y.1.1.3.2.2.17,5596,5789,ref-t.1.1.2.6.5,ref-t.1.1.2.6.39,68761,68840,ref-y.1.1.3.2.2.6,ref-y.1.1.3.2.2.17,"מפסיקין לק""ש ואם מפסיקין לתפילה מעש' היה והפסיקו רבותינו לקרית שמע","מפסיקין לק""ש ואם מפסיקין לתפילה מעש' היה והפסיקו רבותינו לקרית שמע",15,11,125,125.0,51,51.0,0.0,0.0,2070000033
ref-t.1.1.2.5.24-ref-t.1.1.2.6.33,ref-y.1.11.3.3.11.13-ref-y.1.11.3.3.11.34,5554,5760,ref-t.1.1.2.5.24,ref-t.1.1.2.6.33,879158,879294,ref-y.1.11.3.3.11.13,ref-y.1.11.3.3.11.34,לכתיבה ראשונה כותבי ספרים תפלין ומזוזות מפסיקי' לקרית שמע ואין מפסיקין לתפלה ר' או' כשם שאין מפסיקין לתפילה כך אין מפסיקין לקרית שמע ר' חנניה בן עקביא או' כשם שמפסיקין לקרית שמע כך מפסיקין לתפלה ,כותבי ספרים תפילין ומזהיות מפסיקין לקרית שמע ואין מפסיקין לתפילה רבי חנניה בן עקביה אומר כשם שמפסיקין לקרית שמע כך מפסיקין לתפילה ,35,22,2422,2422.0,45,44.0,0.4,0.4545454545454546,2070000034
ref-t.1.1.2.6.3-ref-t.1.1.2.6.29,ref-y.2.1.1.2.9.5-ref-y.2.1.1.2.9.51,5581,5738,ref-t.1.1.2.6.3,ref-t.1.1.2.6.29,899938,900186,ref-y.2.1.1.2.9.5,ref-y.2.1.1.2.9.51,ומפסיקין לקרית שמע ואין מפסיקין לתפילה אמר רבי אחא קרית שמע דבר תורה ותפילה אינה דבר תורה אמר רבי בא קרית שמע זמנה קבוע תפילה אין זמנה קבוע אמר רבי יוסה קרית שמע אינה צריכה כוונה ותפילה צריבה כוונה אמר רבי מנא קשייתה קומי דרבייוסה ואפי' תימא,ומפסיקין לקרית שמע ואין מפסיקין לתפילה אמר רבי אחא קרית שמע דבר תורה ותפילה אינה דבר תורה אמר רבי בא קרית שמע זמנה קבוע תפילה אין זמנה קבוע אמר רבי יוסה קרית שמע אינה צריכה כוונה ותפילה צריבה כוונה אמר רבי מנא קשייתה קומי דרבייוסה ואפי' תימא,24,47,2455,2454.0,47,47.0,0.0,0.0,2070000035
ref-t.1.1.2.5.24-ref-t.1.1.2.6.33,ref-y.2.1.1.2.10.128-ref-y.2.1.1.2.10.149,5554,5760,ref-t.1.1.2.5.24,ref-t.1.1.2.6.33,900957,901093,ref-y.2.1.1.2.10.128,ref-y.2.1.1.2.10.149,לכתיבה ראשונה כותבי ספרים תפלין ומזוזות מפסיקי' לקרית שמע ואין מפסיקין לתפלה ר' או' כשם שאין מפסיקין לתפילה כך אין מפסיקין לקרית שמע ר' חנניה בן עקביא או' כשם שמפסיקין לקרית שמע כך מפסיקין לתפלה ,כותבי ספרים תפילין ומזוזות מפסיקין לקרית שמע ואין מפסיקין לתפילה רבי חנניה בן עקיבה אומר כשם שמפסיקין לקרית שמע כך מפסיקין לתפילה ,35,22,2457,2457.0,46,44.0,0.39487179487179486,0.38095238095238093,2070000036
ref-t.1.1.2.6.13-ref-t.1.1.2.6.32,ref-y.3.2.5.1.2.2-ref-y.3.2.5.1.2.9,5644,5753,ref-t.1.1.2.6.13,ref-t.1.1.2.6.32,2433219,2433258,ref-y.3.2.5.1.2.2,ref-y.3.2.5.1.2.9,כשם שהבעל פוסק כך האב פוסק אלא שהבעל,כשם שהבעל פוסק כך האב פוסק אלא שהבעל,17,8,6763,6763.0,53,53.0,0.0,0.0,2070000037
ref-t.1.1.2.7.1-ref-t.1.1.2.7.13,ref-y.1.1.2.5.2.36-ref-y.1.1.2.5.2.53,5876,5941,ref-t.1.1.2.7.1,ref-t.1.1.2.7.13,49557,49639,ref-y.1.1.2.5.2.36,ref-y.1.1.2.5.2.53,הכתף אע'פ שמשאו על כתיפו הרי זה קורא אבל בשעה שפורק וטוען לא ,"הכתף אע""פ שמשאו על כתיפו חרי זה קור' את שמ' אבל לא יתחיל לא בשע' שהו' פורק ולא ",13,18,93,93.0,57,57.0,0.379746835443038,0.7272727272727273,2070000038
ref-t.1.1.2.8.1-ref-t.1.1.2.8.24,ref-y.1.1.2.4.15.90-ref-y.1.1.2.5.2.20,6004,6140,ref-t.1.1.2.8.1,ref-t.1.1.2.8.24,49222,49468,ref-y.1.1.2.4.15.90,ref-y.1.1.2.5.2.20,קורין בראש האילן או בראש הנדבך מה שאין רשאין לעשו' כן בתפילה מני מתניתה הפועלי' קורין בראש האילן והאומנין בראש הנדבך ותני כן מתפללי' בראש הזית ובראש התאנ' הא בשאר כל האילנו יורד ומתפלל למטן ובעל הבית לעולם יורד ומתפלר למטן,קורין בראש האילן או בראש הנדבך מה שאין רשאין לעשו' כן בתפילה מני מתניתה הפועלי' קורין בראש האילן והאומנין בראש הנדבך ותני כן מתפללי' בראש הזית ובראש התאנ' הא בשאר כל האילנו יורד ומתפלל למטן ובעל הבית לעולם יורד ומתפלר למטן,24,41,91,91.0,58,58.0,0.0,0.0,2070000039
