baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-sifre-d,baseOrder,grp-ref-mek,dam-lev,jac,lcc_len_char,lcs_str_cahr,id
ref-mek.1.7.2.108-ref-mek.1.7.3.3,ref-sifre-d.244.4.44-ref-sifre-d.245.1.3,21247,21306,ref-mek.1.7.2.108,ref-mek.1.7.3.3,243497,243631,ref-sifre-d.244.4.44,ref-sifre-d.245.1.3,ונאמר להלן לילה מה להלן עד חצות אף כאן עד חצות צלי אש ולא ,ונאמר להלן אשר_לא_אורשה מה כאן חמשים אף להלן חמשים ומה להלן שקלים אף כאן שקלים ושכב עמה על כל שכיבה ונמצאו בעדים ונתן האיש ולא ,14,25,709,686.0,40,40.0,0.6535433070866141,0.6666666666666667,46,ונאמר להלן לה מה להלן חו אף כאן ע צו י אש ולא ,3060000031
ref-mek.1.8.1.27-ref-mek.1.8.1.44,ref-sifre-d.130.6.5-ref-sifre-d.130.6.18,24115,24202,ref-mek.1.8.1.27,ref-mek.1.8.1.44,165863,165941,ref-sifre-d.130.6.5,ref-sifre-d.130.6.18,מצרים אתה_אומר_כן_או_אינו_אלא חפזון ישראל כשהוא אומר ולכל בני ישראל לא יחרץ כלב לשונו ,מצרים יכול חפזון לישראל ולמצרים תלמוד לומר ולכל בני ישראל לא יחרץ כלב לשונו ,13,14,499,499.0,41,41.0,0.38372093023255816,0.47058823529411764,61,מצרים יול חפזון ישראל ו ומר ולכל בני ישראל לא יחרץ כלב לשונו ,3060000032
ref-mek.1.8.1.206-ref-mek.1.8.1.236,ref-sifre-d.301.18.22-ref-sifre-d.301.18.31,25008,25145,ref-mek.1.8.1.206,ref-mek.1.8.1.236,286011,286061,ref-sifre-d.301.18.22,ref-sifre-d.301.18.31,בארץ מצרים אני ולא מלאך והכיתי כל בכור אני ולא,בארץ מצרים אני ולא מלאך והכיתי כל בכור אני ולא,25,10,842,841.0,42,42.0,0.0,0.0,46,בארץ מצרים אני ולא מלאך והכיתי כל בכור אני ולא,3060000033
ref-mek.1.8.1.371-ref-mek.1.8.1.376,ref-sifre-d.301.18.33-ref-sifre-d.301.18.38,25892,25923,ref-mek.1.8.1.371,ref-mek.1.8.1.376,286066,286097,ref-sifre-d.301.18.33,ref-sifre-d.301.18.38,ובכל אלהי מצרים אעשה שפטים אני ,ובכל אלהי מצרים אעשה שפטים אני ,6,6,844,841.0,44,44.0,0.0,0.0,31,ובכל אלהי מצרים אעשה שפטים אני ,3060000034
ref-mek.1.8.1.376-ref-mek.1.8.1.388,ref-sifre-d.306.3.124-ref-sifre-d.306.4.10,25920,25977,ref-mek.1.8.1.376,ref-mek.1.8.1.388,297659,297725,ref-sifre-d.306.3.124,ref-sifre-d.306.4.10,אני ה' שפטים משונים זה מזה של אבן היתה נמסת ושל עץ היתה ,"אני ה' לא שניתי ד""א_האזינו_השמים היה ר'_יהודה_אומר משל למלך שהיו ",13,10,879,879.0,45,44.0,0.6461538461538462,0.8888888888888888,30,אני ה'  שני הזהש היה מ של  הי ,3060000035
ref-mek.1.8.1.399-ref-mek.1.8.1.407,ref-sifre-d.301.18.27-ref-sifre-d.301.18.37,26035,26076,ref-mek.1.8.1.399,ref-mek.1.8.1.407,286037,286093,ref-sifre-d.301.18.27,ref-sifre-d.301.18.37,הכה ה' בהם כל בכור ובאלהיהם עשה ה' שפטים ,והכיתי כל בכור אני ולא שרף ובכל אלהי מצרים אעשה שפטים ,9,11,843,841.0,46,46.0,0.5555555555555556,0.7142857142857143,29,הכ כל בכור ובאלהים עשה שפטים ,3060000036
ref-mek.1.8.2.1-ref-mek.1.8.2.14,ref-sifre-d.35.6.21-ref-sifre-d.35.6.30,26422,26495,ref-mek.1.8.2.1,ref-mek.1.8.2.14,49546,49595,ref-sifre-d.35.6.21,ref-sifre-d.35.6.30,והיו לך לאות על ידך לך לאות ולא לאחרים לאות,והיו לך לאות על ידך לך לאות ולא לאחרים לאות,13,10,96,96.0,47,47.0,0.0,0.0,43,והיו לך לאות על ידך לך לאות ולא לאחרים לאות,3060000037
ref-mek.1.8.2.30-ref-mek.1.8.2.37,ref-sifre-d.171.2.2-ref-sifre-d.171.2.9,26563,26599,ref-mek.1.8.2.30,ref-mek.1.8.2.37,190510,190545,ref-sifre-d.171.2.2,ref-sifre-d.171.2.9,בהם אין_לי_אלא בתים שיאכלו בהם בתים ,בנו ובתו באש אין_לי_אלא בנו ובתו ,6,6,552,551.0,49,49.0,0.6666666666666666,0.8571428571428572,19,ב אין_לי_אלא בו בת ,3060000038
ref-mek.1.8.2.122-ref-mek.1.8.2.128,ref-sifre-d.352.7.33-ref-sifre-d.352.7.39,27034,27069,ref-mek.1.8.2.122,ref-mek.1.8.2.128,368952,368987,ref-sifre-d.352.7.33,ref-sifre-d.352.7.39,ויקרא אברהם שם המקום ההוא ה' יראה ,ויקרא אברהם שם המקום ההוא ה' יראה ,7,7,1034,1034.0,50,50.0,0.0,0.0,34,ויקרא אברהם שם המקום ההוא ה' יראה ,3060000039
ref-mek.1.8.3.20-ref-mek.1.8.3.33,ref-sifre-d.130.7.26-ref-sifre-d.130.7.37,27761,27833,ref-mek.1.8.3.20,ref-mek.1.8.3.33,166107,166167,ref-sifre-d.130.7.26,ref-sifre-d.130.7.37,אומר ויאמר_משה_אל העם זכור את היום הזה אשר יצאתם ממצרים וגומר עדין ,עד שדרשה בן זומא שנאמר למען תזכור את יום צאתך מארץ מצרים ,12,12,504,502.0,51,51.0,0.6865671641791045,0.9090909090909091,32,ר ומשא ע זכור את יום צאת מר מרי ,3060000040
ref-mek.1.8.3.47-ref-mek.1.8.3.65,ref-sifre-d.128.5.8-ref-sifre-d.128.5.25,27914,28009,ref-mek.1.8.3.47,ref-mek.1.8.3.65,164532,164629,ref-sifre-d.128.5.8,ref-sifre-d.128.5.25,בלילה יצאו והלא לא יצאו אלא ביום שנאמר ממחרת הפסח יצאו בני ישראל ממצרים ביד רמה לעיני כל,בלילה יצאו והלא לא יצאו אלא ביום שנאמר ממחרת הפסח יצאו בני ישראל ממצרים ביד רמה לעיני כל,17,18,484,484.0,52,52.0,0.0,0.0,88,בלילה יצאו והלא לא יצאו אלא ביום שנאמר ממחרת הפסח יצאו בני ישראל ממצרים ביד רמה לעיני כל,3060000041
ref-mek.1.8.3.203-ref-mek.1.8.3.219,ref-sifre-d.140.1.13-ref-sifre-d.140.1.22,28713,28795,ref-mek.1.8.3.203,ref-mek.1.8.3.219,171051,171097,ref-sifre-d.140.1.13,ref-sifre-d.140.1.22,בחג כשהוא אומר וחגותם אותו חג לה' הרי חג אמור ומה_אני_מקיים שבעת ימים תחוג לה' ,חג למה_נאמר_לפי שנאמר חג הסכות שבעת ימים לה' ,15,8,524,522.0,54,54.0,0.6329113924050633,0.7333333333333334,30,חג האמרלי אמר ה שבעת ימים לה' ,3060000042
ref-mek.1.8.3.211-ref-mek.1.8.3.222,ref-sifre-d.142.1.1-ref-sifre-d.142.1.23,28754,28810,ref-mek.1.8.3.211,ref-mek.1.8.3.222,172485,172592,ref-sifre-d.142.1.1,ref-sifre-d.142.1.23,תחוג לה'_א_להיך במקום אשר_יבחר_ה' ולהלן_הוא_אומר חג הסכות שבעת ימים לה' מה_תלמוד_לומר שבעת ימים תחוג לה'_א_להיך במקום אשר_יבחר_ה' ולהלן_הוא_אומר חג הסכות שבעת ימים לה' מה_תלמוד_לומר שבעת ימים,שבעת ימים תחוג לה'_א_להיך במקום אשר_יבחר_ה' ולהלן_הוא_אומר חג הסכות שבעת ימים לה' מה_תלמוד_לומר שבעת ימים,9,15,526,526.0,56,56.0,0.450261780104712,0.0,105,שבעת ימים תחוג לה'_א_להיך במקום אשר_יבחר_ה' ולהלן_הוא_אומר חג הסכות שבעת ימים לה' מה_תלמוד_לומר שבעת ימים,3060000043
ref-mek.1.8.3.206-ref-mek.1.8.3.217,ref-sifre-d.142.1.38-ref-sifre-d.142.2.6,28730,28786,ref-mek.1.8.3.206,ref-mek.1.8.3.217,172668,172741,ref-sifre-d.142.1.38,ref-sifre-d.142.2.6,וחגותם אותו חג לה' הרי חג אמור ומה_אני_מקיים שבעת ימים ,וחגותם אותו אותו אתה חוגג ואי אתה חוגג כל שבעה אם_כן_למה_נאמר שבעת ימים ,10,13,528,528.0,55,54.0,0.5277777777777778,0.6923076923076923,38,וחגותם אותו חג  ה חג  מה_נמ שבעת ימים ,3060000044
ref-mek.1.9.1.228-ref-mek.1.9.1.246,ref-sifre-d.134.5.13-ref-sifre-d.135.1.2,30132,30225,ref-mek.1.9.1.228,ref-mek.1.9.1.246,168433,168555,ref-sifre-d.134.5.13,ref-sifre-d.135.1.2,ששה וכתוב_אחד_אומר שבעה כיצד_יתקיימו_שני_מקראות_הללו אלא ששה מן החדש שבעה מן הישן אך ביום ,ששת ימים_תאכל_מצות וכתוב_אחד_אומר שבעת ימים_תאכל_מצות מצה הנאכלת כל ו' אוכל ששה מן החדש וביום שבעה מן הישן קפג וביום ,13,19,508,508.0,58,58.0,0.46153846153846156,0.6111111111111112,68,שש וכתוב_אחד_אומר שבעתימי_אותהללו אל ששה מן החדש שבעה מן הישן  ביום ,3060000045
