baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-sifre-d,baseOrder,grp-ref-m,dam-lev,jac,lcc_len,lcs_str,id,bRangeOriginal,cRangeOriginal
ref-m.1.1.9.5.121-ref-m.1.1.9.5.128,ref-sifre-d.37.17.105-ref-sifre-d.37.17.113,11380,11424,ref-m.1.1.9.5.121,ref-m.1.1.9.5.128,57180,57220,ref-sifre-d.37.17.105,ref-sifre-d.37.17.113,מבית לחם ויאמר לקוצרים ה' עמכם ויאמרו לו ,עמים רבים ואמרו לכו ונעלה אל הר בית ה' ,8,9,59,57.0,20,19.0,0.6585365853658537,0.8461538461538461,1,ה',1060000016,8,9
ref-m.1.2.1.1.18-ref-m.1.2.1.1.23,ref-sifre-d.336.1.18-ref-sifre-d.336.1.23,11663,11701,ref-m.1.2.1.1.18,ref-m.1.2.1.1.23,347695,347733,ref-sifre-d.336.1.18,ref-sifre-d.336.1.23,בעולם הזה והקרן קיימת לו לעולם הבא ,בעולם הזה והקרן קיימת לו לעולם הבא ,1,1,946,945.0,22,21.0,0.0,0.0,7,בעולם הזה והקרן קיימת לו לעולם הבא,1060000017,7,7
ref-m.1.2.1.1.16-ref-m.1.2.1.1.27,ref-sifre-d.336.2.11-ref-sifre-d.336.2.25,11649,11715,ref-m.1.2.1.1.16,ref-m.1.2.1.1.27,348164,348254,ref-sifre-d.336.2.11,ref-sifre-d.336.2.25,אוכל פירותיהן בעולם הזה והקרן קיימת לו לעולם הבא כיבוד אב ואם ,אוכל פירותיהם בעולם הזה ואריכות ימים לעולם הבא ומפורש כן בתלמוד תורה וכיבוד אב ואם ,5,15,947,947.0,21,21.0,0.4216867469879518,0.7058823529411764,7,אוכל בעולם הזה לעולם הבא אב ואם,1060000018,12,15
ref-m.1.2.2.7.2-ref-m.1.2.2.7.15,ref-sifre-d.282.1.2-ref-sifre-d.282.2.3,13718,13798,ref-m.1.2.2.7.2,ref-m.1.2.2.7.15,265105,265188,ref-sifre-d.282.1.2,ref-sifre-d.282.2.3,שקצרוה כותים קצרוה לסטים קרסמוה נמלים שברתה הרוח או בהמה פטורה קצר חציה וקצרו ,תקצור פרט לשקצרוהו ליסטים וכרסמוהו נמלים ושברתו הרוח או בהמה קצירך פרט לשקצרהו ,14,13,743,743.0,23,23.0,0.379746835443038,0.6,4,נמלים הרוח או בהמה,1060000019,14,13
ref-m.1.2.4.6.1-ref-m.1.2.4.6.23,ref-sifre-d.282.2.10-ref-sifre-d.282.2.29,16269,16393,ref-m.1.2.4.6.1,ref-m.1.2.4.6.23,265223,265332,ref-sifre-d.282.2.10,ref-sifre-d.282.2.29,עובד כוכבים שקצר את שדהו ואחר כך נתגייר פטור מן הלקט ומן השכחה ומן הפאה רבי יהודה מחייב בשכחה שאין השכחה אלא בשעת ,"עכו""ם שקצר את שדהו ואח""כ נתגייר פטור מן הלקט ומן השכחה והפאה ר' יהודה מחייב בשכחה שאין שכחה אלא בשעת ",18,20,744,744.0,24,24.0,0.1578947368421052,0.4347826086956522,13,שקצר את שדהו נתגייר פטור מן הלקט ומן השכחה בשכחה שאין אלא בשעת,1060000020,23,20
ref-m.1.2.5.2.1-ref-m.1.2.5.2.20,ref-sifre-d.283.5.8-ref-sifre-d.283.5.28,17426,17520,ref-m.1.2.5.2.1,ref-m.1.2.5.2.20,267139,267233,ref-sifre-d.283.5.8,ref-sifre-d.283.5.28,שבולת שבקציר וראשה מגיע לקמה אם נקצרה עם הקמה הרי היא של בעל הבית ואם לאו הרי היא של עניים ,שבולת של קציר וראשה מגיע לקמה אם נקצרת עם הקמה הרי היא של בעל הבית ואם לאו הרי היא של עניים ,20,21,767,767.0,25,25.0,0.0543478260869565,0.2142857142857143,13,שבולת וראשה מגיע לקמה אם עם הקמה הרי היא של_בעל_הבית היא של עניים,1060000021,20,21
ref-m.1.2.5.2.10-ref-m.1.2.5.2.20,ref-sifre-d.285.2.23-ref-sifre-d.285.2.33,17475,17520,ref-m.1.2.5.2.10,ref-m.1.2.5.2.20,268519,268563,ref-sifre-d.285.2.23,ref-sifre-d.285.2.33,הרי היא של בעל הבית ואם לאו הרי היא של עניים ,הרי היא של בעל הבית ואם לאו הרי הם של עניים ,11,11,784,784.0,26,25.0,0.0888888888888888,0.3333333333333333,5,הרי היא של_בעל_הבית של עניים,1060000022,11,11
ref-m.1.2.5.6.18-ref-m.1.2.5.6.48,ref-sifre-d.284.3.8-ref-sifre-d.284.3.33,18314,18453,ref-m.1.2.5.6.18,ref-m.1.2.5.6.48,267895,268018,ref-sifre-d.284.3.8,ref-sifre-d.284.3.33,מי שאינו מניח את העניים ללקוט או שהוא מניח את אחד ואחד לא או שהוא מסייע את אחד מהן הרי זה גוזל את העניים על זה נאמר אל תסג גבול עולים ,מי שאינו מניח את העניים ללקוט או מניח האחד ואחד לא או שמסייע לאחד מהם הרי זה גוזל העניים על זה נאמר אל תסג גבול עולם ,31,26,773,773.0,27,27.0,0.1641791044776119,0.3809523809523809,18,מי שאינו מניח את העניים ללקוט או מניח ואחד לא או הרי זה גוזל העניים אל תסג גבול,1060000023,31,26
ref-m.1.2.5.7.1-ref-m.1.2.5.7.23,ref-sifre-d.282.4.14-ref-sifre-d.282.4.36,18454,18580,ref-m.1.2.5.7.1,ref-m.1.2.5.7.23,265773,265901,ref-sifre-d.282.4.14,ref-sifre-d.282.4.36,העומר ששכחוהו פועלים ולא שכחו בעל הבית שכחו בעל הבית ולא שכחוהו פועלים עמדו עניים בפניו או שחיפוהו בקש הרי זה אינו שכחה ,העומר ששכחוהו פועלים ולא שכחו בעל הבית שכחו בעל הבית ולא שכחוהו פועלים עמדו העניים בפיו או שחיפוהו בקש הרי זה אינו שכחה ,23,23,748,748.0,28,28.0,0.0166666666666666,0.1428571428571429,19,העומר ששכחוהו פועלים ולא שכחו בעל הבית שכחו בעל הבית ולא שכחוהו פועלים עמדו או שחיפוהו בקש הרי_זה_אינו שכחה,1060000024,23,23
ref-m.1.2.5.7.1-ref-m.1.2.5.7.23,ref-sifre-d.283.3.22-ref-sifre-d.283.3.44,18454,18580,ref-m.1.2.5.7.1,ref-m.1.2.5.7.23,266516,266645,ref-sifre-d.283.3.22,ref-sifre-d.283.3.44,שכחה העומר ששכחוהו פועלים ולא שכחו בעל הבית שכחו הבית ולא שכחוהו פועלים עמדו העניים בפניו או שחיפוהו בקש הרי זה אינו שכחה,שכחה העומר ששכחוהו פועלים ולא שכחו בעל הבית שכחו הבית ולא שכחוהו פועלים עמדו העניים בפניו או שחיפוהו בקש הרי זה אינו שכחה,23,23,760,760.0,29,29.0,0.0,0.0,21,שכחה העומר ששכחוהו פועלים ולא שכחו בעל הבית שכחו הבית ולא שכחוהו פועלים עמדו העניים בפניו או שחיפוהו בקש הרי_זה_אינו שכחה,1060000025,23,23
ref-m.1.2.5.8.5-ref-m.1.2.5.8.18,ref-sifre-d.282.3.18-ref-sifre-d.282.3.36,18615,18684,ref-m.1.2.5.8.5,ref-m.1.2.5.8.18,265528,265615,ref-sifre-d.282.3.18,ref-sifre-d.282.3.36,ולעמרים אין לו שכחה ממנו ולגורן יש לו שכחה המעמר לגדיש יש לו שכחה ,יש לו עומר ויש לו שכחה יש לו שכחה בעומרין וכל זמן שאין לו קציר אין לו עומר ואין לו ,14,20,747,745.0,31,31.0,0.6506024096385542,0.7857142857142857,6,יש לו שכחה יש לו שכחה,1060000026,14,20
ref-m.1.2.6.1.32-ref-m.1.2.6.2.8,ref-sifre-d.282.4.36-ref-sifre-d.283.1.8,19012,19090,ref-m.1.2.6.1.32,ref-m.1.2.6.2.8,265897,265944,ref-sifre-d.282.4.36,ref-sifre-d.283.1.8,שכחה ובית הלל אומרים שכחה העומר שהוא סמוך לגפה ולגדיש לבקר ולכלים ושכחו ,שכחה ושכחת עומר בשדה ולא הגדיש יכול אף שכחו ,13,9,749,748.0,32,32.0,0.5555555555555556,0.8666666666666667,1,שכחה,1060000027,13,9
ref-m.1.2.6.3.1-ref-m.1.2.6.3.15,ref-sifre-d.283.3.9-ref-sifre-d.283.3.22,19139,19230,ref-m.1.2.6.3.1,ref-m.1.2.6.3.15,266431,266520,ref-sifre-d.283.3.9,ref-sifre-d.283.3.22,ראשי שורות העומר שכנגדו מוכיח העומר שהחזיק בו להוליכו אל העיר ושכחו מודים שאינו שכחה ,ראשי שורות העומר שכנגדו יוכיח והעומר שהחזיקו בו להוליכו לעיר ושכחו מודים שאין שכחה ,15,14,757,757.0,33,33.0,0.0941176470588235,0.0833333333333333,9,ראשי שורות העומר שכנגדו בו להוליכו ושכחו מודים שכחה,1060000028,15,14
ref-m.1.2.6.4.51-ref-m.1.2.6.5.27,ref-sifre-d.283.1.19-ref-sifre-d.283.1.38,19523,19680,ref-m.1.2.6.4.51,ref-m.1.2.6.5.27,266002,266100,ref-sifre-d.283.1.19,ref-sifre-d.283.1.38,עומרים שכחה ג' אינם שכחה שני צבורי זיתים וחרובין שכחה ג' אינם שכחה שני גרגרים פרט ג' אינן פרט,שני עומרים שכחה ג' אינם שכחה שני צבורי זיתים וחרובין שכחה ג' אינם שכחה שני גרגרים פרט ג' אינן פרט,19,20,753,753.0,35,35.0,0.0412371134020618,0.0,19,עומרים שכחה ג' אינם שכחה שני צבורי זיתים וחרובין שכחה ג' אינם שכחה שני גרגרים פרט ג' אינן פרט,1060000029,19,20
ref-m.1.2.6.4.51-ref-m.1.2.6.5.11,ref-sifre-d.283.3.19-ref-sifre-d.283.3.27,19523,19595,ref-m.1.2.6.4.51,ref-m.1.2.6.5.11,266497,266553,ref-sifre-d.283.3.19,ref-sifre-d.283.3.27,אינו שכחה שני עומרים שכחה ושלשה אינן שכחה שני צבורי זיתים וחרובין שכחה ,ושכחו מודים שאין שכחה העומר ששכחוהו פועלים ולא שכחו ,13,9,758,757.0,34,34.0,0.6197183098591549,0.8571428571428572,1,שכחה,1060000030,13,9
ref-m.1.2.6.5.1-ref-m.1.2.6.5.24,ref-sifre-d.284.1.23-ref-sifre-d.284.2.2,19533,19664,ref-m.1.2.6.5.1,ref-m.1.2.6.5.24,267803,267838,ref-sifre-d.284.1.23,ref-sifre-d.284.2.2,שני עומרים שכחה ושלשה אינן שכחה שני צבורי זיתים וחרובין שכחה ושלשה אינן שכחה שני הוצני פשתן שכחה ושלשה אינן שכחה שני גרגרים פרט ,שני מלבנין נשכחו אינן שכחה זיתך פרט ,24,7,772,770.0,38,34.0,0.75,0.7142857142857143,4,שני אינן שכחה פרט,1060000031,24,7
ref-m.1.2.6.5.1-ref-m.1.2.6.5.14,ref-sifre-d.284.6.30-ref-sifre-d.284.6.48,19533,19612,ref-m.1.2.6.5.1,ref-m.1.2.6.5.14,268219,268312,ref-sifre-d.284.6.30,ref-sifre-d.284.6.48,זית שיש בו סאתים ושכחו אינו שכחה זית שהוא עומד בין ג' שורות של שני מלבנין ושכחו אינו שכחה זית שהוא עומד בין ג' שורות של שני מלבנין ושכחו אינו שכחה,זית שיש בו סאתים ושכחו אינו שכחה זית שהוא עומד בין ג' שורות של שני מלבנין ושכחו אינו שכחה זית שהוא עומד בין ג' שורות של שני מלבנין ושכחו אינו שכחה,31,31,777,777.0,36,36.0,0.0,0.0,31,זית שיש בו סאתים ושכחו אינו שכחה זית שהוא עומד בין ג' שורות של שני מלבנין ושכחו אינו שכחה זית שהוא עומד בין ג' שורות של שני מלבנין ושכחו אינו שכחה,1060000032,31,31
ref-m.1.2.6.6.69-ref-m.1.2.6.7.7,ref-sifre-d.283.1.18-ref-sifre-d.283.1.24,20135,20199,ref-m.1.2.6.6.69,ref-m.1.2.6.7.7,265997,266030,ref-sifre-d.283.1.18,ref-sifre-d.283.1.24,תאמר בשני עמרים שהן ככריכות קמה שיש בה סאתים ושכחה אינה שכחה ,אמרו שני עומרים שכחה ג' אינם שכחה ,12,7,751,751.0,43,40.0,0.5737704918032787,0.75,1,שכחה,1060000033,12,7
ref-m.1.2.6.6.1-ref-m.1.2.6.7.4,ref-sifre-d.283.4.16-ref-sifre-d.283.4.85,19789,20182,ref-m.1.2.6.6.1,ref-m.1.2.6.7.4,266726,267083,ref-sifre-d.283.4.16,ref-sifre-d.283.4.85,"העומר שיש בו סאתים ושכחו אין שכחה שני עומרים ובהם סאתים רבן גמליאל אומר לבעל הבית וחכ""א לעניים אמר להם רבן גמליאל וכי מרוב העומרים יופי כחו של בעל הבית או הורע כחו אמרו לו יופי כחו אמר להם אם בזמן שהוא עומר אחר ובו סאתים ושכחו אינו שכחה שני עומרים ובהם סאתים אינו דין שלא יהו שכחה אמרו לו אם אמרת בעומר אחד שהוא כגדיש תאמר בשני עמרין שהן","העומר שיש בו סאתים ושכחו אין שכחה שני עומרים ובהם סאתים רבן גמליאל אומר לבעל הבית וחכ""א לעניים אמר להם רבן גמליאל וכי מרוב העומרים יופי כחו של בעל הבית או הורע כחו אמרו לו יופי כחו אמר להם אם בזמן שהוא עומר אחר ובו סאתים ושכחו אינו שכחה שני עומרים ובהם סאתים אינו דין שלא יהו שכחה אמרו לו אם אמרת בעומר אחד שהוא כגדיש תאמר בשני עמרין שהן",70,70,762,762.0,40,40.0,0.0,0.0,64,"העומר שיש בו סאתים ושכחו אין שכחה שני עומרים ובהם סאתים רבן_גמליאל_אומר לבעל הבית וחכ""א לעניים אמר להם רבן גמליאל וכי מרוב העומרים יופי כחו של_בעל_הבית או הורע כחו אמרו לו יופי כחו אמר להם אם בזמן שהוא עומר אחר ובו סאתים ושכחו אינו שכחה שני עומרים ובהם סאתים אינו_דין_שלא יהו שכחה אמרו לו אם אמרת בעומר אחד שהוא כגדיש תאמר בשני עמרין שהן",1060000034,70,70
ref-m.1.2.6.6.2-ref-m.1.2.6.6.7,ref-sifre-d.284.6.31-ref-sifre-d.284.6.36,19796,19825,ref-m.1.2.6.6.2,ref-m.1.2.6.6.7,268223,268253,ref-sifre-d.284.6.31,ref-sifre-d.284.6.36,שיש בו סאתים ושכחו אינו שכחה ,שיש בו סאתים ושכחו אינו שכחה ,6,6,780,775.0,42,40.0,0.0,0.0,6,שיש בו סאתים ושכחו אינו שכחה,1060000035,6,6
ref-m.1.2.6.8.1-ref-m.1.2.6.8.22,ref-sifre-d.283.2.39-ref-sifre-d.283.2.55,20293,20400,ref-m.1.2.6.8.1,ref-m.1.2.6.8.22,266279,266365,ref-sifre-d.283.2.39,ref-sifre-d.283.2.55,מציל לא את העומר ולא את הקמה תאמר בקמה שהיא מצלת את העומר ואת הקמה,בעומר שאינו מציל לא את העומר ולא את הקמה תאמר בקמה שהיא מצלת את העומר ואת הקמה,15,17,755,755.0,44,44.0,0.1538461538461538,0.1111111111111111,15,מציל לא את העומר ולא את הקמה תאמר בקמה שהיא מצלת את העומר ואת הקמה,1060000036,15,17
ref-m.1.2.7.2.8-ref-m.1.2.7.2.18,ref-sifre-d.283.1.19-ref-sifre-d.283.1.31,21257,21314,ref-m.1.2.7.2.8,ref-m.1.2.7.2.18,266002,266068,ref-sifre-d.283.1.19,ref-sifre-d.283.1.31,שני מלבנים ושכחו אינו שכחה זית שיש בו סאתים ושכחו אינו ,שני עומרים שכחה ג' אינם שכחה שני צבורי זיתים וחרובין שכחה ג' אינם ,11,13,752,751.0,50,46.0,0.5,0.8461538461538461,2,שני שכחה,1060000037,11,13
ref-m.1.2.7.2.10-ref-m.1.2.7.2.24,ref-sifre-d.283.3.19-ref-sifre-d.283.3.27,21268,21347,ref-m.1.2.7.2.10,ref-m.1.2.7.2.24,266497,266553,ref-sifre-d.283.3.19,ref-sifre-d.283.3.27,ושכחו אינו שכחה זית שיש בו סאתים ושכחו אינו שכחה במה דברים אמורים בזמן שלא ,ושכחו מודים שאין שכחה העומר ששכחוהו פועלים ולא שכחו ,15,9,759,757.0,52,46.0,0.68,0.9230769230769232,2,ושכחו שכחה,1060000038,15,9
ref-m.1.2.7.2.10-ref-m.1.2.7.2.18,ref-sifre-d.283.4.17-ref-sifre-d.283.4.22,21268,21314,ref-m.1.2.7.2.10,ref-m.1.2.7.2.18,266733,266762,ref-sifre-d.283.4.17,ref-sifre-d.283.4.22,שיש בו סאתים ושכחו אין שכחה,שיש בו סאתים ושכחו אין שכחה,6,6,764,764.0,51,51.0,0.0,0.0,6,שיש בו סאתים ושכחו אין שכחה,1060000039,6,6
ref-m.1.2.7.1.40-ref-m.1.2.7.2.11,ref-sifre-d.284.1.19-ref-sifre-d.284.2.4,21166,21279,ref-m.1.2.7.1.40,ref-m.1.2.7.2.11,267786,267851,ref-sifre-d.284.1.19,ref-sifre-d.284.2.4,בין שלש שורות של שני מלבנין נשכחו אינן שכחה זיתך פרט לאחרים זיתך,בין שלש שורות של שני מלבנין נשכחו אינן שכחה זיתך פרט לאחרים זיתך,13,13,770,770.0,47,47.0,0.0,0.0,13,בין שלש שורות של שני מלבנין נשכחו אינן שכחה זיתך פרט לאחרים זיתך,1060000040,13,13
