baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-bible,baseOrder,grp-ref-t,dam-lev,jac,lcc_len,lcs_str,id,bRangeOriginal,cRangeOriginal
ref-t.1.1.3.6.47-ref-t.1.1.3.6.51,ref-bible.0301.55.18.1-ref-bible.301.55.18.5,10664,10694,ref-t.1.1.3.6.47,ref-t.1.1.3.6.51,1188660,1188690,ref-bible.0301.55.18.1,ref-bible.0301.55.18.5,ערב ובקר וצהרים אשיחה ואהמה ,ערב ובקר וצהרים אשיחה ואהמה ,5,5,958,958.0,24,24.0,0.0,0.0,5,ערב ובקר וצהרים אשיחה ואהמה,2090000018,5,5
ref-t.1.1.3.6.82-ref-t.1.1.3.6.87,ref-bible.0301.33.1.1-ref-bible.301.33.1.6,10843,10877,ref-t.1.1.3.6.82,ref-t.1.1.3.6.87,1171667,1171703,ref-bible.0301.33.1.1,ref-bible.0301.33.1.6,רננו צדיקים בייי לישרים נאוה תהלה ,רננו צדיקים ביהוה לישרים נאוה תהלה ,6,6,946,946.0,25,25.0,0.0857142857142857,0.0,5,רננו צדיקים לישרים נאוה תהלה,2090000019,6,6
ref-t.1.1.4.16.45-ref-t.1.1.4.16.50,ref-bible.0101.37.25.1-ref-bible.101.37.25.6,19125,19161,ref-t.1.1.4.16.45,ref-t.1.1.4.16.50,75121,75157,ref-bible.0101.37.25.1,ref-bible.0101.37.25.6,וישבו לאכל לחם וישאו עיניהם ויראו ,וישבו לאכל לחם וישאו עיניהם ויראו ,6,6,62,62.0,26,26.0,0.0,0.0,6,וישבו לאכל לחם וישאו עיניהם ויראו,2090000020,6,6
ref-t.1.1.4.17.28-ref-t.1.1.4.17.36,ref-bible.0205.13.28.8-ref-bible.0205.13.28.20,19505,19548,ref-t.1.1.4.17.28,ref-t.1.1.4.17.36,685763,685830,ref-bible.0205.13.28.8,ref-bible.0205.13.28.20,לא אכל האריה את הנבלה ולא שבר את החמור,והאריה עמדים אצל הנבלה לא אכל האריה את הנבלה ולא שבר את החמור,9,13,697,697.0,27,27.0,0.3770491803278688,0.2222222222222222,9,לא אכל האריה את הנבלה ולא שבר את החמור,2090000021,9,13
ref-t.1.1.4.18.40-ref-t.1.1.4.18.49,ref-bible.0303.15.18.1-ref-bible.303.15.19.4,19943,19995,ref-t.1.1.4.18.40,ref-t.1.1.4.18.49,1306259,1306312,ref-bible.0303.15.18.1,ref-bible.0303.15.19.4,אשר חכמים יגידו ולא כחדו מאבתם להם לבדם נתנה הארץ ,אשר חכמים יגידו ולא כחדו מאבותם להם לבדם נתנה הארץ ,10,5,1018,1018.0,29,29.0,0.0196078431372549,0.0,9,אשר חכמים יגידו ולא כחדו להם לבדם נתנה הארץ,2090000022,10,10
ref-t.1.1.4.18.96-ref-t.1.1.4.18.101,ref-bible.0101.44.33.1-ref-bible.101.44.33.6,20224,20251,ref-t.1.1.4.18.96,ref-t.1.1.4.18.101,93036,93063,ref-bible.0101.44.33.1,ref-bible.0101.44.33.6,ועתה ישב נא עבדך תחת הנער ,ועתה ישב נא עבדך תחת הנער ,6,6,67,67.0,30,30.0,0.0,0.0,6,ועתה ישב נא עבדך תחת הנער,2090000023,6,6
ref-t.1.1.4.18.112-ref-t.1.1.4.18.118,ref-bible.0203.9.5.12-ref-bible.203.9.5.18,20300,20333,ref-t.1.1.4.18.112,ref-t.1.1.4.18.118,532447,532479,ref-bible.0203.9.5.12,ref-bible.0203.9.5.18,פן יחדל אבי מן האתונות ודאג לנו ,פן יחדל אבי מן האתנות ודאג לנו ,7,7,608,608.0,31,31.0,0.03125,0.0,6,פן יחדל אבי מן ודאג לנו,2090000024,7,7
ref-t.1.1.4.18.130-ref-t.1.1.4.18.135,ref-bible.0203.9.5.14-ref-bible.203.9.6.1,20378,20409,ref-t.1.1.4.18.130,ref-t.1.1.4.18.135,532455,532486,ref-bible.0203.9.5.14,ref-bible.0203.9.6.1,אביך את האתונות ודאג לכם לאמר ,אבי מן האתנות ודאג לנו ויאמר ,6,6,609,608.0,34,34.0,0.2666666666666666,0.625,1,ודאג,2090000025,6,6
ref-t.1.1.4.18.114-ref-t.1.1.4.18.138,ref-bible.0203.10.2.20-ref-bible.0203.10.2.31,20308,20423,ref-t.1.1.4.18.114,ref-t.1.1.4.18.138,534781,534840,ref-bible.0203.10.2.20,ref-bible.0203.10.2.31,והנה נטש אביך את דברי האתנות ודאג לכם לאמר מה אעשה לבני,והנה נטש אביך את דברי האתנות ודאג לכם לאמר מה אעשה לבני,12,12,612,612.0,32,32.0,0.0,0.0,12,והנה נטש אביך את דברי האתנות ודאג לכם לאמר מה אעשה לבני,2090000026,12,12
ref-t.1.1.4.18.211-ref-t.1.1.4.18.222,ref-bible.0301.69.2.1-ref-bible.301.69.3.5,20769,20828,ref-t.1.1.4.18.211,ref-t.1.1.4.18.222,1197383,1197443,ref-bible.0301.69.2.1,ref-bible.0301.69.3.5,הושיעני אלים כי באו מים עד נפש טבעתי ביון מצולה ואין מעמד ,הושיעני אלהים כי באו מים עד נפש טבעתי ביון מצולה ואין מעמד ,12,12,964,964.0,35,35.0,0.0169491525423728,0.0,11,הושיעני כי באו מים עד נפש טבעתי ביון מצולה ואין מעמד,2090000027,12,12
ref-t.1.1.6.1.65-ref-t.1.1.6.1.77,ref-bible.0102.24.12.10-ref-bible.102.24.12.17,27548,27612,ref-t.1.1.6.1.65,ref-t.1.1.6.1.77,153064,153106,ref-bible.0102.24.12.10,ref-bible.0102.24.12.17,התורה ועל המצות ת'ל אשר נתן לך ואו' ואתנה לך את לוחות האבן ,ואתנה לך את לחת האבן והתורה והמצוה אשר ,13,8,116,116.0,36,36.0,0.711864406779661,0.4166666666666666,4,ואתנה לך את האבן,2090000028,13,8
ref-t.1.1.6.1.69-ref-t.1.1.6.1.85,ref-bible.0102.25.21.9-ref-bible.102.25.22.6,27571,27649,ref-t.1.1.6.1.69,ref-t.1.1.6.1.85,154655,154710,ref-bible.0102.25.21.9,ref-bible.0102.25.22.6,אשר נתן לך ואו' ואתנה לך את לוחות האבן ר' מאיר או' מנין שכשם שאתה מברך על ,תתן את העדת אשר אתן אליך ונועדתי לך שם ודברתי אתך מעל ,17,7,117,117.0,37,36.0,0.7162162162162162,0.75,2,אשר לך,2090000029,17,12
ref-t.1.1.6.7.48-ref-t.1.1.6.7.53,ref-bible.0301.35.10.1-ref-bible.301.35.10.6,29614,29642,ref-t.1.1.6.7.48,ref-t.1.1.6.7.53,1173729,1173758,ref-bible.0301.35.10.1,ref-bible.0301.35.10.6,כל עצמותי תאמרנה ייי מי כמוך ,כל עצמותי תאמרנה יהוה מי כמוך ,6,6,949,949.0,38,38.0,0.1,0.0,5,כל עצמותי תאמרנה מי כמוך,2090000030,6,6
ref-t.1.1.6.8.14-ref-t.1.1.6.8.20,ref-bible.0101.26.24.16-ref-bible.101.26.24.22,29918,29960,ref-t.1.1.6.8.14,ref-t.1.1.6.8.20,48476,48519,ref-bible.0101.26.24.16,ref-bible.0101.26.24.22,וברכתיך והרבתי את זרעך בעבור אברהם עבדי ,וברכתיך והרביתי את זרעך בעבור אברהם עבדי ,7,7,36,36.0,39,39.0,0.024390243902439,0.0,6,וברכתיך את זרעך בעבור אברהם עבדי,2090000031,7,7
ref-t.1.1.6.8.33-ref-t.1.1.6.8.43,ref-bible.0101.26.12.1-ref-bible.101.26.12.9,30020,30082,ref-t.1.1.6.8.33,ref-t.1.1.6.8.43,47646,47698,ref-bible.0101.26.12.1,ref-bible.0101.26.12.9,וזרע שנ' ויזרע יצחק בארץ ההיא וימצא בשנה ההיא מאה שערים ,ויזרע יצחק בארץ ההוא וימצא בשנה ההוא מאה שערים ,11,9,33,33.0,40,40.0,0.1964285714285714,0.1428571428571429,7,ויזרע יצחק בארץ וימצא בשנה מאה שערים,2090000032,11,9
ref-t.1.1.6.18.25-ref-t.1.1.6.18.32,ref-bible.0207.40.17.1-ref-bible.207.40.17.8,32426,32467,ref-t.1.1.6.18.25,ref-t.1.1.6.18.32,830164,830205,ref-bible.0207.40.17.1,ref-bible.0207.40.17.8,כל הגוים כאין נגדו כאפס ותהי נחשבו לו ,כל הגוים כאין נגדו מאפס ותהו נחשבו לו ,8,8,791,791.0,41,41.0,0.0526315789473684,0.0,6,כל הגוים כאין נגדו נחשבו לו,2090000033,8,8
ref-t.1.1.6.19.22-ref-t.1.1.6.19.40,ref-bible.0101.39.16.7-ref-bible.101.39.17.8,32846,32922,ref-t.1.1.6.19.22,ref-t.1.1.6.19.40,79309,79360,ref-bible.0101.39.16.7,ref-bible.0101.39.17.8,אל בית האלים ר' יוסה בי ר' יהודה או' הרי הוא ר' או' כי אין לבא אל שער המלך ,אל ביתו ותדבר אליו כדברים האלה לאמר בא אלי העבד ,19,10,64,64.0,42,42.0,0.6533333333333333,0.8571428571428572,1,אל,2090000034,19,10
ref-t.1.1.6.19.34-ref-t.1.1.6.19.42,ref-bible.0308.4.1.20-ref-bible.0308.4.2.13,32895,32932,ref-t.1.1.6.19.34,ref-t.1.1.6.19.42,1361612,1361677,ref-bible.0308.4.1.20,ref-bible.0308.4.2.13,ומרה ויבוא עד לפני שער המלך כי אין לבוא אל שער המלך בלבוש שק,ומרה ויבוא עד לפני שער המלך כי אין לבוא אל שער המלך בלבוש שק,14,14,1048,1048.0,43,43.0,0.0,0.0,14,ומרה ויבוא עד לפני שער המלך כי אין לבוא אל שער המלך בלבוש שק,2090000035,14,14
ref-t.1.1.6.22.19-ref-t.1.1.6.22.25,ref-bible.0310.9.5.19-ref-bible.310.9.5.24,33448,33493,ref-t.1.1.6.22.19,ref-t.1.1.6.22.25,1410030,1410072,ref-bible.0310.9.5.19,ref-bible.0310.9.5.24,העולם ויברכו את שם כבודך ומניין על כל ברכה ,העולם ויברכו שם כבודך ומרומם על כל ברכה ,9,8,1080,1080.0,45,45.0,0.2093023255813953,0.6363636363636364,4,העולם ויברכו שם כבודך,2090000036,9,8
ref-t.1.1.6.23.12-ref-t.1.1.6.23.20,ref-bible.0305.2.4.1-ref-bible.305.2.4.9,33641,33683,ref-t.1.1.6.23.12,ref-t.1.1.6.23.20,1342702,1342751,ref-bible.0305.2.4.1,ref-bible.0305.2.4.9,והנה בעז בא מבית לחם וגו' ואו' ייי עמך ,והנה בעז בא מבית לחם ויאמר לקוצרים יהוה עמכם ,9,9,1041,1041.0,46,46.0,0.3333333333333333,0.6,5,והנה בעז בא מבית לחם,2090000037,9,9
ref-t.1.1.6.25.41-ref-t.1.1.6.25.46,ref-bible.0301.34.8.1-ref-bible.301.34.8.6,34400,34435,ref-t.1.1.6.25.41,ref-t.1.1.6.25.46,1172764,1172798,ref-bible.0301.34.8.1,ref-bible.0301.34.8.6,חונה מלאך ייי סביב ליריאיו ויחלצם ,חנה מלאך יהוה סביב ליראיו ויחלצם ,6,6,948,948.0,47,47.0,0.1470588235294117,0.0,3,מלאך סביב ויחלצם,2090000038,6,6
ref-t.1.2.1.4.24-ref-t.1.2.1.4.33,ref-bible.0208.6.19.1-ref-bible.208.6.19.6,35044,35088,ref-t.1.2.1.4.24,ref-t.1.2.1.4.33,878200,878228,ref-bible.0208.6.19.1,ref-bible.0208.6.19.6,שמעו הארץ הא מה אני מקיים הנה אנכי מביא רעה ,שמעי הארץ הנה אנכי מביא רעה ,10,6,810,810.0,49,48.0,0.3863636363636363,0.1428571428571429,5,הארץ הנה אנכי מביא רעה,2090000039,10,6
ref-t.1.2.1.4.13-ref-t.1.2.1.4.24,ref-bible.0301.66.18.1-ref-bible.301.66.19.2,34997,35048,ref-t.1.2.1.4.13,ref-t.1.2.1.4.24,1195284,1195323,ref-bible.0301.66.18.1,ref-bible.0301.66.19.2,אם און ראיתי בלבי לא ישמע ייי הא מה אני מקיים שמעו ,און אם ראיתי בלבי לא ישמע אדני אכן שמע ,12,9,962,962.0,48,48.0,0.4117647058823529,0.375,5,און ראיתי בלבי לא ישמע,2090000040,12,9
ref-t.1.2.2.14.18-ref-t.1.2.2.14.24,ref-bible.0103.19.9.9-ref-bible.103.19.9.13,39798,39834,ref-t.1.2.2.14.18,ref-t.1.2.2.14.24,231053,231077,ref-bible.0103.19.9.9,ref-bible.0103.19.9.13,הקצירה בלבד שנ' ולקט קצירך לא תלקט ,לקצר ולקט קצירך לא תלקט ,7,5,281,281.0,50,50.0,0.3428571428571428,0.3333333333333333,4,ולקט קצירך לא תלקט,2090000041,7,5
ref-t.1.2.2.14.18-ref-t.1.2.2.14.24,ref-bible.0103.23.22.9-ref-bible.103.23.22.13,39798,39834,ref-t.1.2.2.14.18,ref-t.1.2.2.14.24,240071,240097,ref-bible.0103.23.22.9,ref-bible.0103.23.22.13,הקצירה בלבד שנ' ולקט קצירך לא תלקט ,בקצרך ולקט קצירך לא תלקט ,7,5,298,298.0,51,50.0,0.3428571428571428,0.5,4,ולקט קצירך לא תלקט,2090000042,7,5
ref-t.1.2.3.8.115-ref-t.1.2.3.8.122,ref-bible.0103.5.15.1-ref-bible.103.5.15.14,44133,44171,ref-t.1.2.3.8.115,ref-t.1.2.3.8.122,198998,199069,ref-bible.0103.5.15.1,ref-bible.0103.5.15.14,נפש כי תחטא ועשתה וג' והביא איל תמים ,נפש כי תמעל מעל וחטאה בשגגה מקדשי יהוה והביא את אשמו ליהוה איל תמים ,8,14,203,203.0,52,52.0,0.5588235294117647,0.7142857142857143,5,נפש כי והביא איל תמים,2090000043,8,14
ref-t.1.2.4.7.2-ref-t.1.2.4.7.19,ref-bible.0103.11.43.10-ref-bible.0103.11.44.9,46818,46930,ref-t.1.2.4.7.2,ref-t.1.2.4.7.19,212877,212942,ref-bible.0103.11.43.10,ref-bible.0103.11.44.9,בהם ונטמתם בם כי אני יהוה אלהיכם והתקדשתם והייתם קדשים כי קדוש,בהם ונטמתם בם כי אני יהוה אלהיכם והתקדשתם והייתם קדשים כי קדוש,12,12,232,232.0,53,53.0,0.0,0.0,9,בהם ונטמתם בם כי_אני_יהוה_אלהיכם והתקדשתם והייתם קדשים כי קדוש,2090000044,12,12
ref-t.1.2.4.12.9-ref-t.1.2.4.12.18,ref-bible.0205.13.7.7-ref-bible.205.13.8.8,48391,48450,ref-t.1.2.4.12.9,ref-t.1.2.4.12.18,683999,684067,ref-bible.0205.13.7.7,ref-bible.0205.13.8.8,אותו ונותנין לו לשום מלוה וחוזרין ונותנין לו לשום מתנה ,אתי הביתה וסעדה ואתנה לך מתת ויאמר איש האלהים אל המלך אם תתן לי ,10,14,691,691.0,55,55.0,0.75,0.8666666666666667,0,,2090000045,10,14
ref-t.1.2.4.17.35-ref-t.1.2.4.18.1,ref-bible.0105.15.10.7-ref-bible.0105.15.10.17,49341,49475,ref-t.1.2.4.17.35,ref-t.1.2.4.18.1,371759,371812,ref-bible.0105.15.10.7,ref-bible.0105.15.10.17,בתתך לו כי בגלל הדבר הזה יברכך יהוה אלהיך בכל מעשך,בתתך לו כי בגלל הדבר הזה יברכך יהוה אלהיך בכל מעשך,11,11,476,475.0,56,56.0,0.0,0.0,9,בתתך לו כי בגלל הדבר הזה יברכך יהוה_אלהיך_בכל מעשך,2090000046,11,11
ref-t.1.2.4.18.89-ref-t.1.2.4.18.94,ref-bible.0302.11.30.1-ref-bible.302.11.30.6,49959,49987,ref-t.1.2.4.18.89,ref-t.1.2.4.18.94,1267812,1267840,ref-bible.0302.11.30.1,ref-bible.0302.11.30.6,פרי צדיק עץ חיים ולוקח נפש' ,פרי צדיק עץ חיים ולקח נפשות ,6,6,992,992.0,58,58.0,0.1071428571428571,0.2857142857142857,4,פרי צדיק עץ חיים,2090000047,6,6
ref-t.1.2.4.20.18-ref-t.1.2.4.20.25,ref-bible.0105.15.8.13-ref-bible.105.15.9.9,50407,50440,ref-t.1.2.4.20.18,ref-t.1.2.4.20.25,371596,371637,ref-bible.0105.15.8.13,ref-bible.0105.15.9.9,לך פן יהיה דבר עם לבבך בליעל לאמר ,לו השמר לך פן יהיה דבר עם לבבך בליעל לאמר ,8,10,474,474.0,59,59.0,0.2142857142857142,0.375,6,יהיה דבר עם לבבך בליעל לאמר,2090000048,8,10
ref-t.1.3.2.8.29-ref-t.1.3.2.8.33,ref-bible.0221.1.10.1-ref-bible.221.1.10.5,57161,57183,ref-t.1.3.2.8.29,ref-t.1.3.2.8.33,1148472,1148494,ref-bible.0221.1.10.1,ref-bible.0221.1.10.5,מי גם בכם ויסגר דלתים ,מי גם בכם ויסגר דלתים ,5,5,928,928.0,60,60.0,0.0,0.0,5,מי גם בכם ויסגר דלתים,2090000049,5,5
ref-t.1.3.2.14.19-ref-t.1.3.2.15.10,ref-bible.0101.27.13.3-ref-bible.101.27.14.6,58104,58182,ref-t.1.3.2.14.19,ref-t.1.3.2.15.10,49993,50068,ref-bible.0101.27.13.3,ref-bible.0101.27.14.6,אין דומה חבר שקלקל לבן חבר שקלקל בן חבר שהיה הולך אחר אבי אמו עם הארץ אין ,אמו עלי קללתך בני אך שמע בקלי ולך קח לי וילך ויקח ויבא לאמו ותעש אמו ,17,16,38,38.0,61,61.0,0.7027027027027027,0.7894736842105263,1,אמו,2090000050,17,16
ref-t.1.3.5.16.6-ref-t.1.3.5.17.2,ref-bible.0101.30.31.3-ref-bible.101.30.31.18,73103,73170,ref-t.1.3.5.16.6,ref-t.1.3.5.17.2,58223,58295,ref-bible.0101.30.31.3,ref-bible.0101.30.31.18,ולא בכור צאנו לרועה צאנו אם נתן להן שכרן נותן להם לשם טובה לא יתן ,אתן לך ויאמר יעקב לא תתן לי מאומה אם תעשה לי הדבר הזה אשובה ארעה צאנך ,15,16,50,42.0,62,62.0,0.7571428571428571,0.8421052631578947,1,לא,2090000051,15,16
