baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-sifre-n,baseOrder,grp-ref-mek,dam-lev,jac,lcc_len,lcs_str,id,bRangeOriginal,cRangeOriginal
ref-mek.1.4.2.107-ref-mek.1.4.2.134,ref-sifre-n.153.4.254-ref-sifre-n.153.4.277,11756,11907,ref-mek.1.4.2.107,ref-mek.1.4.2.134,266664,266792,ref-sifre-n.153.4.254,ref-sifre-n.153.4.277,בית אביה ברשות אביה אתה אומר בית אביה ברשות אביה או בית אביה כמשמעו תלמוד לומר בנעוריה בית אביה שכל נעוריה בבית אביה אמרתי,בית אביה ברשות אביה אתה אומר בית אביה ברשות אביה או בית אביה כמשמעו תלמוד לומר בנעוריה בית אביה שכל נעוריה בבית אביה אמרתי,24,24,838,838.0,15,15.0,0.0,0.0,24,בית אביה ברשות אביה אתה אומר בית אביה ברשות אביה או בית אביה כמשמעו תלמוד לומר בנעוריה בית אביה שכל נעוריה בבית אביה אמרתי,3050000013,24,24
ref-mek.1.4.2.107-ref-mek.1.4.2.117,ref-sifre-n.156.3.19-ref-sifre-n.156.3.36,11756,11823,ref-mek.1.4.2.107,ref-mek.1.4.2.117,276242,276346,ref-sifre-n.156.3.19,ref-sifre-n.156.3.36,לבית אבות אין לבית אבות אלא למשפחות שנאמר למשפחותם לבית אבותם ,האב לבעל ואת הבעל לאב בכל מדות שאמרנו בנעוריה בית אביה נעוריה בבית אביה אמרתי ולא נעוריה בבית ,11,18,851,851.0,14,14.0,0.7127659574468085,0.875,0,,3050000014,11,18
ref-mek.1.5.1.38-ref-mek.1.5.1.51,ref-sifre-n.107.2.139-ref-sifre-n.107.2.150,13306,13373,ref-mek.1.5.1.38,ref-mek.1.5.1.51,148427,148483,ref-sifre-n.107.2.139,ref-sifre-n.107.2.150,עולה חמורה כשרה לבא כל שנתה כבת שנתה פסח שהוא קל אינו דין שיוכשר ,עולת חמורה כשרה לבא מין אחד פסח הקל אינו דין הוא שיכשר ,14,10,472,470.0,17,17.0,0.4153846153846154,0.5333333333333333,5,חמורה כשרה פסח אינו דין,3050000015,14,10
ref-mek.1.5.1.66-ref-mek.1.5.1.113,ref-sifre-n.107.2.117-ref-sifre-n.107.2.141,13444,13686,ref-mek.1.5.1.66,ref-mek.1.5.1.113,148311,148442,ref-sifre-n.107.2.117,ref-sifre-n.107.2.141,"מן הכבשים ומן העזים תקחו מזה בפ""ע ומזה בפ""ע או יביא משניהם כאחת ת""ל ואם מן הצאן קרבנו והרי דברים ק""ו ומה עולת חמורה כשרה","מן הכבשים ומן העזים תקחו מזה בפ""ע ומזה בפ""ע או יביא משניהם כאחת ת""ל ואם מן הצאן קרבנו והרי דברים ק""ו ומה עולת חמורה כשרה",25,25,470,470.0,18,18.0,0.0,0.0,25,"מן הכבשים ומן העזים תקחו מזה בפ""ע ומזה בפ""ע או יביא משניהם כאחת ת""ל ואם מן הצאן קרבנו והרי דברים ק""ו ומה עולת חמורה כשרה",3050000016,25,25
ref-mek.1.5.2.159-ref-mek.1.5.2.180,ref-sifre-n.58.1.48-ref-sifre-n.58.1.74,14531,14650,ref-mek.1.5.2.159,ref-mek.1.5.2.180,81986,82120,ref-sifre-n.58.1.48,ref-sifre-n.58.1.74,"כתובים זו מדה בתורה שני כתובים זה כנגד זה והרי הם סותרים זה את זה יתקימו במקומם עד שיבא כתוב אחר ויכריע ביניהם ומה ת""ל","יתקימו שני כתובים זו מדה בתורה שני כתובים זה כנגד זה והרי הם סותרים זה את זה יתקימו במקומם עד שיבא כתוב אחר ויכריע ביניהם ומה ת""ל",25,27,264,264.0,20,20.0,0.0852713178294573,0.0,25,"כתובים זו מדה בתורה שני כתובים זה כנגד זה והרי הם סותרים זה את זה יתקימו במקומם עד שיבא כתוב אחר ויכריע ביניהם ומה ת""ל",3050000017,25,27
ref-mek.1.6.1.296-ref-mek.1.6.1.337,ref-sifre-n.111.1.35-ref-sifre-n.111.1.68,16600,16812,ref-mek.1.6.1.296,ref-mek.1.6.1.337,159833,160013,ref-sifre-n.111.1.35,ref-sifre-n.111.1.68,מכל בכל מצוות האמורות בתורה תלמוד לומר והיה אם מעיני העדה נעשתה לשגגה,"תשגו ולא תעשו את כל המצות האלה בע""ג הכתוב מדבר אתה אומר בע""ג או אינו אלא באחד מכל בכל מצוות האמורות בתורה תלמוד לומר והיה אם מעיני העדה נעשתה לשגגה ייחד הכתוב מצוה זו",13,29,512,512.0,22,22.0,0.5843373493975904,0.5217391304347826,13,מכל בכל מצוות האמורות בתורה תלמוד לומר והיה אם מעיני העדה נעשתה לשגגה,3050000018,13,29
ref-mek.1.6.1.319-ref-mek.1.6.1.367,ref-sifre-n.111.1.78-ref-sifre-n.111.1.155,16717,16971,ref-mek.1.6.1.319,ref-mek.1.6.1.367,160055,160456,ref-sifre-n.111.1.78,ref-sifre-n.111.1.155,"או אינו אלא אחת מכל מצות האמורות בתורה תלמוד לומר וכי תשגו ולא תעשו את כל המצות באו כל המצות ללמד על מצויה אחת מה העובר על כל המצות פורק עול ומפר ברית ומגלה פנים בתורה אף מצוה אחת שעובר עליה פורק עול ומפר ברית ומגלה פנים בתורה ואיזה זה ע""ג שפורק עול ומפר ברית אף העובר על מצוה אחת פורק עול ומפר ברית ומגלה פנים בתורה שנאמר לעבור בריתו ואין ברית אלא תורה שנאמר אלה דברי הברית","או אינו אלא אחת מכל מצות האמורות בתורה תלמוד לומר וכי תשגו ולא תעשו את כל המצות באו כל המצות ללמד על מצויה אחת מה העובר על כל המצות פורק עול ומפר ברית ומגלה פנים בתורה אף מצוה אחת שעובר עליה פורק עול ומפר ברית ומגלה פנים בתורה ואיזה זה ע""ג שפורק עול ומפר ברית אף העובר על מצוה אחת פורק עול ומפר ברית ומגלה פנים בתורה שנאמר לעבור בריתו ואין ברית אלא תורה שנאמר אלה דברי הברית",76,76,521,521.0,26,26.0,0.0,0.0,76,"או_אינו_אלא אחת מכל מצות האמורות בתורה תלמוד לומר וכי תשגו ולא תעשו את כל המצות באו כל המצות ללמד על מצויה אחת מה העובר על כל המצות פורק עול ומפר ברית ומגלה פנים בתורה אף מצוה אחת שעובר עליה פורק עול ומפר ברית ומגלה פנים בתורה ואיזה זה ע""ג שפורק עול ומפר ברית אף העובר על מצוה אחת פורק עול ומפר ברית ומגלה פנים בתורה שנאמר לעבור בריתו ואין ברית אלא תורה שנאמר אלה דברי הברית",3050000019,76,76
ref-mek.1.6.1.296-ref-mek.1.6.1.309,ref-sifre-n.111.1.287-ref-sifre-n.111.2.11,16600,16677,ref-mek.1.6.1.296,ref-mek.1.6.1.309,161158,161229,ref-sifre-n.111.1.287,ref-sifre-n.111.2.11,כל המצות שנאמר והיה אם מעיני העדה נעשתה בשגגה יחד הכתוב מצוה זה ואמרה ,בכל התורה והיה אם מעיני העדה נעשתה לשגגה יחד הכתוב מצוה זו אמורה ,14,13,526,526.0,23,22.0,0.2,0.3333333333333333,8,והיה אם מעיני העדה נעשתה יחד הכתוב מצוה,3050000020,14,13
ref-mek.1.6.1.545-ref-mek.1.6.1.576,ref-sifre-n.142.2.69-ref-sifre-n.142.2.93,17904,18081,ref-mek.1.6.1.545,ref-mek.1.6.1.576,253128,253259,ref-sifre-n.142.2.69,ref-sifre-n.142.2.93,עליהם תשמרו נאמרה כאן שמירה ונאמר להלן שמות יב שמירה מה שמירה האמורה להלן מבקרו ד' ימים קודם שחיטתו אף שמירה האמורה כאן מבקרו ד',עליהם תשמרו נאמרה כאן שמירה ונאמר להלן שמות יב שמירה מה שמירה האמורה להלן מבקרו ד' ימים קודם שחיטתו אף שמירה האמורה כאן מבקרו ד',6,6,776,775.0,29,29.0,0.0,0.0,25,עליהם תשמרו נאמרה כאן שמירה ונאמר להלן שמות יב שמירה מה שמירה האמורה להלן מבקרו ד' ימים קודם שחיטתו אף שמירה האמורה כאן מבקרו ד',3050000021,25,25
ref-mek.1.6.1.699-ref-mek.1.6.1.705,ref-sifre-n.1.2.167-ref-sifre-n.1.2.174,18714,18748,ref-mek.1.6.1.699,ref-mek.1.6.1.705,1116,1154,ref-sifre-n.1.2.167,ref-sifre-n.1.2.174,ואמרת אליהם את קרבני לחמי וגו' אם ,ואמרת אלהם את קרבני לחמי לאשי הא אין ,7,8,0,0.0,35,31.0,0.2702702702702703,0.4444444444444444,4,ואמרת את קרבני לחמי,3050000022,7,8
ref-mek.1.6.1.659-ref-mek.1.6.1.670,ref-sifre-n.23.1.251-ref-sifre-n.23.1.265,18525,18583,ref-mek.1.6.1.659,ref-mek.1.6.1.670,35839,35911,ref-sifre-n.23.1.251,ref-sifre-n.23.1.265,בשאר כל הימים חוץ מן השבת או אף בשבת תלמוד לומר ויעשו ,בשאר כל אדם חוץ מן הנזיר או אף בנזיר תלמוד לומר מיין ושכר יזיר לעשות ,12,13,103,103.0,34,31.0,0.391304347826087,0.5,8,בשאר כל חוץ מן או אף תלמוד לומר,3050000023,12,13
ref-mek.1.6.1.726-ref-mek.1.6.1.734,ref-sifre-n.25.1.640-ref-sifre-n.25.1.649,18854,18906,ref-mek.1.6.1.726,ref-mek.1.6.1.734,42839,42889,ref-sifre-n.25.1.640,ref-sifre-n.25.1.649,להקיש ולדון נאמר כאן במועדו ונאמר להלן במועדו מה ,להקיש גזירה שווה נאמר כאן נזיר ונאמר להלן נזיר מה ,3,10,117,111.0,39,31.0,0.42,0.5,6,להקיש נאמר כאן ונאמר להלן מה,3050000024,9,10
ref-mek.1.6.1.726-ref-mek.1.6.1.734,ref-sifre-n.26.1.404-ref-sifre-n.26.1.413,18854,18906,ref-mek.1.6.1.726,ref-mek.1.6.1.734,45320,45368,ref-sifre-n.26.1.404,ref-sifre-n.26.1.413,להקיש ולדון נאמר כאן במועדו ונאמר להלן במועדו מה ,"להקיש ולדון ג""ש נאמר כאן אמו ונאמר להלן אמו מה ",3,10,129,124.0,40,31.0,0.2448979591836734,0.3333333333333333,7,להקיש ולדון נאמר כאן ונאמר להלן מה,3050000025,9,10
ref-mek.1.6.1.725-ref-mek.1.6.1.734,ref-sifre-n.30.1.827-ref-sifre-n.30.1.839,18850,18906,ref-mek.1.6.1.725,ref-mek.1.6.1.734,53438,53502,ref-sifre-n.30.1.827,ref-sifre-n.30.1.839,אלא להקיש ולדון נאמר כאן במועדו ונאמר להלן במועדו מה ,אלא מופנה להקיש לדון גזירה שוה נאמר כאן נזיר ונאמר להלן נזיר מה ,4,13,159,159.0,37,31.0,0.453125,0.5384615384615384,7,אלא להקיש נאמר כאן ונאמר להלן מה,3050000026,10,13
ref-mek.1.6.1.725-ref-mek.1.6.1.734,ref-sifre-n.31.3.317-ref-sifre-n.31.3.329,18850,18906,ref-mek.1.6.1.725,ref-mek.1.6.1.734,57180,57244,ref-sifre-n.31.3.317,ref-sifre-n.31.3.329,אלא להקיש ולדון נאמר כאן במועדו ונאמר להלן במועדו מה ,אלא מופנה להקיש לדון גזירה שוה נאמר כאן נזיר ונאמר להלן נזיר מה ,4,13,170,170.0,38,31.0,0.453125,0.5384615384615384,7,אלא להקיש נאמר כאן ונאמר להלן מה,3050000027,10,13
ref-mek.1.6.1.635-ref-mek.1.6.1.747,ref-sifre-n.65.1.12-ref-sifre-n.65.1.120,18401,18965,ref-mek.1.6.1.635,ref-mek.1.6.1.747,88867,89414,ref-sifre-n.65.1.12,ref-sifre-n.65.1.120,"בחול בין בשבת ומה אני מקים מחלליה מות יומת בשאר כל המלאכות חוץ משחיטת הפסח או אף בשחיטת הפסח ומה אני מקיים תשחטו אותו בשאר כל הימים חוץ מן השבת או אף בשבת ת""ל ויעשו במועדו דברי ר' יאשיה אמר לו ר' יונתן ממשמע הזה עדיין לא שמענו נם לו רבי יאשיה מפני שהוא אומר צו את בני ישראל את קרבני לחמי וכו' אם ללמד על התמיד שדוחה שבת אינו צריך שהרי כבר נאמר וביום השבת שני כבשים בני שנה ומה ת""ל במועדו אלא מופנה להקיש לדון הימנו גזרה שוה נאמר כאן במועדו ונאמר להלן במועדו מה מועדו האמור כאן","ושחטו אותו כל קהל עדת ישראל שומע אני בין בחול בין בשבת ומה אני מקים מחלליה מות יומת בשאר כל המלאכות חוץ משחיטת הפסח או אף בשחיטת הפסח ומה אני מקיים תשחטו אותו בשאר כל הימים חוץ מן השבת או אף בשבת ת""ל ויעשו במועדו דברי ר' יאשיה אמר לו ר' יונתן ממשמע הזה עדיין לא שמענו נם לו רבי יאשיה מפני שהוא אומר צו את בני ישראל את קרבני לחמי וכו' אם ללמד על התמיד שדוחה שבת אינו צריך שהרי כבר נאמר וביום השבת שני כבשים בני שנה ומה ת""ל במועדו אלא מופנה להקיש לדון הימנו גזרה שוה נאמר כאן במועדו ונאמר להלן במועדו מה מועדו האמור כאן",83,90,283,283.0,32,32.0,0.0793036750483558,0.0892857142857143,89,"בחול בין בשבת ומה אני מקים מחלליה מות יומת בשאר כל המלאכות חוץ משחיטת הפסח או אף בשחיטת הפסח ומה_אני_מקיים תשחטו אותו בשאר כל הימים חוץ מן השבת או אף בשבת ת""ל ויעשו במועדו דברי_ר'_יאשיה אמר לו ר' יונתן ממשמע הזה עדיין לא שמענו נם לו רבי יאשיה מפני שהוא אומר צו_את_בני_ישראל את קרבני לחמי וכו' אם ללמד על התמיד שדוחה שבת אינו_צריך_שהרי_כבר_נאמר וביום השבת שני כבשים בני שנה ומה ת""ל במועדו אלא מופנה להקיש לדון הימנו גזרה שוה נאמר כאן במועדו ונאמר להלן במועדו מה מועדו האמור כאן",3050000028,89,96
ref-mek.1.6.1.632-ref-mek.1.6.1.691,ref-sifre-n.142.2.108-ref-sifre-n.142.2.174,18385,18684,ref-mek.1.6.1.632,ref-mek.1.6.1.691,253332,253670,ref-sifre-n.142.2.108,ref-sifre-n.142.2.174,ושחטו אותו בין בחול בין בשבת ומה אני מקיים מחלליה מות יומת בשאר מלאכות חוץ משחיטת הפסח או אף בשחיטת פסח הא מה אני מקיים ושחטו אותו בשאר כל הימים חוץ מן השבת או אף בשבת תלמוד לומר ויעשו בני ישראל את הפסח במועדו ואפילו בשבת דברי ר' יאשיה אמר לו ר' נתן ועדיין לא שמענו נם לו ר' יאשיה ,"ושחטו אותו שומע אני בין בחול בין בשבת ומה אני מקיים שמות לא מחלליה מות יומת בשאר מלאכות חוץ משחיטת הפסח או אף בשחיטת הפסח ומה אני מקיים ושחטו אותו בשאר כל הימים חוץ מן השבת או אף בשבת ת""ל במדבר ט ויעשו בני ישראל את הפסח במועדו במועדו ואפילו בשבת דברי רבי יאשיה נאם לו ר' יונתן כמשמע זה עדין לא שמענו נאם לו ר' יאשיה ",50,61,781,781.0,31,31.0,0.2056962025316455,0.4883720930232558,35,ושחטו אותו בחול בין בשבת ומה_אני_מקיים בשאר מלאכות חוץ משחיטת הפסח או אף בשחיטת ושחטו אותו בשאר כל הימים חוץ מן השבת או אף בשבת ויעשו הפסח במועדו ואפילו בשבת לא שמענו לו ר' יאשיה,3050000029,50,61
ref-mek.1.6.1.705-ref-mek.1.6.1.734,ref-sifre-n.142.2.184-ref-sifre-n.142.2.218,18746,18906,ref-mek.1.6.1.705,ref-mek.1.6.1.734,253710,253889,ref-sifre-n.142.2.184,ref-sifre-n.142.2.218,אם ללמד על התמיד שתדחה את השבת והלא כבר נאמר וביום השבת שני כבשים בני שנה ומה תלמוד לומר במועדו אלא להקיש ולדון נאמר כאן במועדו ונאמר להלן במועדו מה ,"אם ללמד על התמיד שהוא דוחה את השבת אין צריך שהרי כבר נאמר וביום השבת שני כבשים בני שנה ומה ת""ל במועדו מופנה להקיש לדון הימנו גזירה שוה נאמר כאן במועדו ונא' להלן במועדו מה ",20,29,789,789.0,36,36.0,0.3040935672514619,0.5517241379310345,18,אם ללמד על התמיד וביום השבת שני כבשים בני שנה במועדו להקיש נאמר כאן במועדו להלן במועדו מה,3050000030,26,29
ref-mek.1.6.1.728-ref-mek.1.6.1.733,ref-sifre-n.142.2.219-ref-sifre-n.142.3.1,18867,18903,ref-mek.1.6.1.728,ref-mek.1.6.1.733,253890,253960,ref-sifre-n.142.2.219,ref-sifre-n.142.3.1,נאמר כאן במועדו ונאמר להלן במועדו ,מועדו האמור להלן דוחה את השבת אף מועדו האמור כאן דוחה את השבת ואמרת ,6,10,801,801.0,42,36.0,0.7058823529411765,0.6666666666666667,1,להלן,3050000031,6,10
ref-mek.1.6.1.726-ref-mek.1.6.1.734,ref-sifre-n.157.8.86-ref-sifre-n.157.8.96,18854,18906,ref-mek.1.6.1.726,ref-mek.1.6.1.734,281078,281132,ref-sifre-n.157.8.86,ref-sifre-n.157.8.96,להקיש ולדון נאמר כאן במועדו ונאמר להלן במועדו מה ,להקיש ולדון גזירה שוה נאמר כאן בגד ונאמר להלן בגד מה ,3,11,871,864.0,41,31.0,0.3396226415094339,0.4,7,להקיש ולדון נאמר כאן ונאמר להלן מה,3050000032,9,11
ref-mek.1.7.1.57-ref-mek.1.7.1.64,ref-sifre-n.116.1.340-ref-sifre-n.116.1.348,20143,20184,ref-mek.1.7.1.57,ref-mek.1.7.1.64,179484,179544,ref-sifre-n.116.1.340,ref-sifre-n.116.1.348,מבפנים אתה אומר מבפנים או אינו אלא מבחוץ ,מבפנים והלוים מבחוץ אתה אומר הכהנים מבפנים והלוים מבחוץ ,6,9,576,576.0,43,43.0,0.4821428571428571,0.4285714285714286,5,מבפנים אתה אומר מבפנים מבחוץ,3050000033,6,9
ref-mek.1.7.1.111-ref-mek.1.7.1.119,ref-sifre-n.73.2.168-ref-sifre-n.73.2.178,20426,20480,ref-mek.1.7.1.111,ref-mek.1.7.1.119,98615,98671,ref-sifre-n.73.2.168,ref-sifre-n.73.2.178,נמצינו למדין שלש מזבחות היו להם במצרים המשקוף ושתי ,"יהיה לכם שתי תקיעות לכל אחד ואחד נמצינו למדין לר""ה שלש ",9,9,337,337.0,44,44.0,0.7818181818181819,0.6666666666666667,3,נמצינו למדין שלש,3050000034,9,9
ref-mek.1.7.3.48-ref-mek.1.7.3.72,ref-sifre-n.69.2.200-ref-sifre-n.69.2.215,21512,21637,ref-mek.1.7.3.48,ref-mek.1.7.3.72,94580,94663,ref-sifre-n.69.2.200,ref-sifre-n.69.2.215,הוסיף בו הכתוב שתי מצות חוץ ממצוה האמורה בגופו ואי זה ועצם לא תשברו בו במצוה,הוסיף בו הכתוב שתי מצות חוץ ממצוה האמורה בגופו ואי זה ועצם לא תשברו בו במצוה,16,16,312,312.0,45,45.0,0.0,0.0,16,הוסיף בו הכתוב שתי מצות חוץ ממצוה האמורה בגופו ואי זה ועצם לא תשברו בו במצוה,3050000035,16,16
ref-mek.1.7.4.57-ref-mek.1.7.4.68,ref-sifre-n.30.1.18-ref-sifre-n.30.1.25,22378,22433,ref-mek.1.7.4.57,ref-mek.1.7.4.68,49229,49263,ref-sifre-n.30.1.18,ref-sifre-n.30.1.25,מנין היה ר' ישמעאל אומר אמרת קל וחומר הוא אם מים שאינן ,מנין אמרת קל וחומר הוא אם מי שאין ,7,6,156,156.0,47,47.0,0.3818181818181818,0.5,4,מנין אמרת_קל_וחומר הוא אם,3050000036,7,6
ref-mek.1.8.1.36-ref-mek.1.8.1.52,ref-sifre-n.157.6.18-ref-sifre-n.157.6.31,24157,24239,ref-mek.1.8.1.36,ref-mek.1.8.1.52,280057,280127,ref-sifre-n.157.6.18,ref-sifre-n.157.6.31,כשהוא אומר ולכל בני ישראל לא יחרץ כלב לשונו הרי חפזון ישראל אמור הא מה אני מקיים ,כשהוא אומר כל הטף בנשים הרי שאינה ראויה ליבעל אמור הא מה אני מקיים ,15,12,863,863.0,48,48.0,0.4444444444444444,0.5625,6,כשהוא אומר הרי אמור_הא_מה אני מקיים,3050000037,15,12
