baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-sifra,baseOrder,grp-ref-m,dam-lev,jac,lcc_len,lcs_str,id,bRangeOriginal,cRangeOriginal
ref-m.1.2.2.7.2-ref-m.1.2.2.7.15,ref-sifra.11.1-01.6.1-ref-sifra.11.1-01.6.13,13718,13798,ref-m.1.2.2.7.2,ref-m.1.2.2.7.15,486148,486234,ref-sifra.11.1-01.6.1,ref-sifra.11.1-01.6.13,שקצרוה כותים קצרוה לסטים קרסמוה נמלים שברתה הרוח או בהמה פטורה קצר חציה וקצרו ,ובקצרכם פרט לשקצרוהו הלסטים קירסמוה נמלים שברתה הרוח או בהמה ובקצרכם פרט לשקצרוה ,14,13,2730,2730.0,13,13.0,0.3333333333333333,0.5714285714285714,5,נמלים שברתה הרוח או בהמה,1040000011,14,13
ref-m.1.2.4.1.10-ref-m.1.2.4.2.12,ref-sifra.11.1-03.5.28-ref-sifra.11.1-03.6.6,15665,15853,ref-m.1.2.4.1.10,ref-m.1.2.4.2.12,489857,490117,ref-sifra.11.1-03.5.28,ref-sifra.11.1-03.6.6,אפילו תשעים ותשעה אומרים לחלק ואחד אומר לבזבז אפילו בריא אפילו ידיו יפות לזה שומעים שאמר כהלכה יכול בדלית ובדקל כן תלמוד לומר אותם אפילו תשעים ותשעה אומרים לבזבז ואחד אומר לחלק אפילו זקן או חולה לזה שומעים שאמר כהלכה מה ראית לומר בדלית ובדקל לחלק,אפילו תשעים ותשעה אומרים לחלק ואחד אומר לבזבז אפילו בריא אפילו ידיו יפות לזה שומעים שאמר כהלכה יכול בדלית ובדקל כן תלמוד לומר אותם אפילו תשעים ותשעה אומרים לבזבז ואחד אומר לחלק אפילו זקן או חולה לזה שומעים שאמר כהלכה מה ראית לומר בדלית ובדקל לחלק,44,44,2749,2748.0,14,14.0,0.0,0.0,44,אפילו תשעים ותשעה אומרים לחלק ואחד אומר לבזבז אפילו בריא אפילו ידיו יפות לזה שומעים שאמר כהלכה יכול בדלית ובדקל כן תלמוד_לומר_אותם אפילו תשעים ותשעה אומרים לבזבז ואחד אומר לחלק אפילו זקן או חולה לזה שומעים שאמר כהלכה מה ראית לומר בדלית ובדקל לחלק,1040000012,44,44
ref-m.1.2.4.6.5-ref-m.1.2.4.6.24,ref-sifra.11.1-01.6.20-ref-sifra.11.1-01.6.37,16290,16400,ref-m.1.2.4.6.5,ref-m.1.2.4.6.24,486278,486379,ref-sifra.11.1-01.6.20,ref-sifra.11.1-01.6.37,שדהו ואחר כך נתגייר פטור מן הלקט ומן השכחה ומן הפאה רבי יהודה מחייב בשכחה שאין השכחה אלא בשעת העמור ,שדהו ואחר כך נתגייר פטור מן הלקט והשכחה והפאה ור' יהודה מחייב בשכחה שאין שכחה אלא בשעת העימור ,13,18,2731,2731.0,16,16.0,0.13,0.2777777777777778,11,שדהו ואחר כך נתגייר פטור מן הלקט בשכחה שאין אלא בשעת,1040000013,18,18
ref-m.1.2.4.6.9-ref-m.1.2.4.6.15,ref-sifra.12.10-00.4.21-ref-sifra.12.10-00.4.27,16311,16347,ref-m.1.2.4.6.9,ref-m.1.2.4.6.15,577217,577255,ref-sifra.12.10-00.4.21,ref-sifra.12.10-00.4.27,פטור מן הלקט ומן השכחה ומן הפאה ,ופטור מן הלקט ומן השכחה ומן הפאה ,2,2,3087,3086.0,17,16.0,0.0303030303030303,0.0,6,מן הלקט ומן השכחה ומן הפאה,1040000014,7,7
ref-m.1.2.4.6.9-ref-m.1.2.4.6.15,ref-sifra.12.10-00.4.42-ref-sifra.12.10-00.4.48,16311,16347,ref-m.1.2.4.6.9,ref-m.1.2.4.6.15,577344,577382,ref-sifra.12.10-00.4.42,ref-sifra.12.10-00.4.48,פטור מן הלקט ומן השכחה ומן הפאה ,ופטור מן הלקט ומן השכחה ומן הפאה ,2,2,3093,3092.0,18,16.0,0.0303030303030303,0.0,6,מן הלקט ומן השכחה ומן הפאה,1040000015,7,7
ref-m.1.2.4.10.5-ref-m.1.2.4.10.15,ref-sifra.11.1-02.5.12-ref-sifra.11.1-02.5.24,16881,16931,ref-m.1.2.4.10.5,ref-m.1.2.4.10.15,488502,488562,ref-sifra.11.1-02.5.12,ref-sifra.11.1-02.5.24,הקצירה היה קוצר קצר מלא ידו תלש מלא קמצו הכהו קוץ ,הקציר מיכן אמרו היה קוצר קצר מלא ידו תלש מלא קומצו הכהו קוץ ,11,13,2737,2737.0,19,19.0,0.1833333333333333,0.2222222222222222,9,היה קוצר קצר מלא ידו תלש מלא הכהו קוץ,1040000016,11,13
ref-m.1.2.4.10.24-ref-m.1.2.4.10.38,ref-sifra.11.1-02.5.36-ref-sifra.11.1-02.5.50,16970,17052,ref-m.1.2.4.10.24,ref-m.1.2.4.10.38,488614,488696,ref-sifra.11.1-02.5.36,ref-sifra.11.1-02.5.50,תוך היד ותוך המגל לעניים אחר היד ואחר המגל לבעל הבית ראש המגל וראש היד,תוך היד ותוך המגל לעניים אחר היד ואחר המגל לבעל הבית ראש המגל וראש היד,15,15,2738,2738.0,20,20.0,0.0,0.0,15,תוך היד ותוך המגל לעניים אחר היד ואחר המגל לבעל הבית ראש המגל וראש היד,1040000017,15,15
ref-m.1.2.5.2.6-ref-m.1.2.5.2.20,ref-sifra.11.1-03.3.26-ref-sifra.11.1-03.3.38,17458,17520,ref-m.1.2.5.2.6,ref-m.1.2.5.2.20,489495,489553,ref-sifra.11.1-03.3.26,ref-sifra.11.1-03.3.38,אם נקצרה עם הקמה הרי היא של בעל הבית ואם לאו הרי היא של עניים ,אם נקצרת עם האשכול הרי של בעל הבית ואם לאו הרי של עניים ,11,13,2746,2745.0,22,22.0,0.2903225806451613,0.6153846153846154,5,אם עם הרי של עניים,1040000018,11,13
ref-m.1.2.7.3.5-ref-m.1.2.7.4.47,ref-sifra.11.1-03.2.7-ref-sifra.11.1-03.3.47,21502,21908,ref-m.1.2.7.3.5,ref-m.1.2.7.4.47,489191,489606,ref-sifra.11.1-03.2.7,ref-sifra.11.1-03.3.47,הבצירה היה בוצר עקץ את האשכול הוסבך בעלים נפל מידו לארץ ונפרט הרי הוא של בעל הבית המניח את הכלכלה תחת הגפן בשעה שהוא בוצר הרי זה גוזל את העניים על זה נאמר אל תסג גבול עולים איזוהי עוללת כל שאין לה לא כתף ולא נטף אם יש לה כתף או נטף של בעל הבית אם ספק לעניים עוללת שבארכובה אם נקרצת עם האשכול הרי היא של בעל הבית ואם לאו הרי היא של עניים גרגר יחידי רבי יהודה אומר אשכול וחכמים אומרים עוללת ,הבציר מיכן אמרו היה בוצר עקץ את האשכולות הוסבך בעלים ונפל בארץ ונפרט הרי זה של בעל הבית המניח כלכלה תחת הגפן בשעה שהוא בוצר הרי זה גוזל את העניים על זה נאמר לא תשיג גבול עולם איזהו עוללות כל שאין לה כתף ולא נטף יש לו כתף אבל לא נטף נטף אבל לא כתף לבעל הבית אם ספק לעניים עוללות שבארכובה אם נקצרת עם האשכול הרי של בעל הבית ואם לאו הרי של עניים גרגיר יחיד ר' יהודה אומר אשכול וחכמים אומרים עוללות ,68,82,2745,2745.0,23,23.0,0.220253164556962,0.4107142857142857,40,היה בוצר עקץ את הוסבך בעלים ונפרט המניח תחת הגפן בשעה שהוא בוצר הרי זה גוזל את העניים גבול כל שאין לה כתף ולא נטף כתף נטף אם ספק לעניים שבארכובה אם עם האשכול הרי של עניים אשכול וחכמים אומרים,1040000019,68,82
ref-m.1.2.7.6.22-ref-m.1.2.7.6.33,ref-sifra.11.3-00.7.34-ref-sifra.11.3-00.7.45,22130,22197,ref-m.1.2.7.6.22,ref-m.1.2.7.6.33,500228,500295,ref-sifra.11.3-00.7.34,ref-sifra.11.3-00.7.45,פרט ויש לו עוללות והעניים פודין לעצמם ובית הלל אומרים כולו לגת ,פרט ויש לו עוללות והעניים פודים לעצמם ובית הלל אומרים כולו לגת ,10,10,2781,2781.0,24,24.0,0.0158730158730158,0.1999999999999999,9,פרט ויש לו עוללות והעניים לעצמם ובית_הלל_אומרים כולו לגת,1040000020,10,10
ref-m.1.2.7.6.22-ref-m.1.2.7.6.33,ref-sifra.11.3-00.7.59-ref-sifra.11.3-00.7.70,22130,22197,ref-m.1.2.7.6.22,ref-m.1.2.7.6.33,500362,500429,ref-sifra.11.3-00.7.59,ref-sifra.11.3-00.7.70,פרט ויש לו עוללות והעניים פודין לעצמם ובית הלל אומרים כולו לגת ,פרט ויש לו עוללות והעניים פודים לעצמם ובית הלל אומרים כולו לגת ,10,10,2784,2784.0,25,24.0,0.0158730158730158,0.1999999999999999,9,פרט ויש לו עוללות והעניים לעצמם ובית_הלל_אומרים כולו לגת,1040000021,10,10
ref-m.1.2.7.7.1-ref-m.1.2.7.7.34,ref-sifra.11.1-03.1.1-ref-sifra.11.1-03.1.39,22198,22374,ref-m.1.2.7.7.1,ref-m.1.2.7.7.34,488807,489009,ref-sifra.11.1-03.1.1,ref-sifra.11.1-03.1.39,וכרמך לא תעולל מיכן אמרו כרם שכולו עוללות ר' אליעזר אומר לבעל הבית ר' עקיבא אומר לעניים אמר ר' אליעזר וכי תבצור לא תעולל ואם אין בציר מנין עוללות אמר לו ר' עקיבא וכרמך לא תעולל אפילו כולו עוללות,וכרמך לא תעולל מיכן אמרו כרם שכולו עוללות ר' אליעזר אומר לבעל הבית ר' עקיבא אומר לעניים אמר ר' אליעזר וכי תבצור לא תעולל ואם אין בציר מנין עוללות אמר לו ר' עקיבא וכרמך לא תעולל אפילו כולו עוללות,30,30,2741,2741.0,26,26.0,0.0,0.0,30,וכרמך לא תעולל מיכן אמרו כרם שכולו עוללות ר'_אליעזר_אומר לבעל הבית ר'_עקיבא_אומר לעניים אמר_ר'_אליעזר וכי תבצור לא תעולל ואם אין בציר מנין עוללות אמר_לו_ר'_עקיבא וכרמך לא תעולל אפילו כולו עוללות,1040000022,30,30
ref-m.1.2.7.7.30-ref-m.1.2.7.8.2,ref-sifra.11.1-03.1.51-ref-sifra.11.1-03.2.2,22348,22453,ref-m.1.2.7.7.30,ref-m.1.2.7.8.2,489081,489173,ref-sifra.11.1-03.1.51,ref-sifra.11.1-03.2.2,בכל שעה שירצו אם כן למה נאמר כי תבצור לא תעולל אין לעניים בעוללות קודם לבציר ופרט כרמך,בכל שעה שירצו אם כן למה נאמר כי תבצור לא תעולל אין לעניים בעוללות קודם לבציר ופרט כרמך,15,15,2743,2743.0,28,28.0,0.0,0.0,15,בכל שעה שירצו אם_כן_למה_נאמר כי תבצור לא תעולל אין לעניים בעוללות קודם לבציר ופרט כרמך,1040000023,15,15
ref-m.1.4.1.9.39-ref-m.1.4.1.9.48,ref-sifra.3.13-23.4.12-ref-sifra.3.13-23.4.23,36332,36387,ref-m.1.4.1.9.39,ref-m.1.4.1.9.48,160403,160472,ref-sifra.3.13-23.4.12,ref-sifra.3.13-23.4.23,"חטין ושעורין וכוסמין שיש לי בידך ""שבועה שאין לך בידי חטין ושעורין וכוסמין שיש לי בידך ""שבועה שאין לך בידי חטין ושעורין","חטין ושעורין וכוסמין שיש לי בידך ""שבועה שאין לך בידי חטין ושעורין וכוסמין שיש לי בידך ""שבועה שאין לך בידי חטין ושעורין",10,10,730,730.0,30,30.0,0.0,0.0,10,"חטין ושעורין וכוסמין שיש_לי_בידך_""שבועה_שאין_לך_בידי חטין ושעורין וכוסמין שיש_לי_בידך_""שבועה_שאין_לך_בידי חטין ושעורין",1040000024,10,10
ref-m.1.4.4.7.19-ref-m.1.4.4.7.27,ref-sifra.14.4-10.4.33-ref-sifra.14.4-10.4.40,42098,42149,ref-m.1.4.4.7.19,ref-m.1.4.4.7.27,676413,676454,ref-sifra.14.4-10.4.33,ref-sifra.14.4-10.4.40,מעשרה טפחים הרי אלו מצטרפות גבוה מעשרה טפחים אינן ,עשרה טפחים או סלעים גבוהים עשרה טפחים אין ,9,2,3419,3416.0,33,32.0,0.34,0.8,2,טפחים טפחים,1040000025,9,8
ref-m.1.4.4.7.18-ref-m.1.4.4.7.27,ref-sifra.14.4-10.6.27-ref-sifra.14.4-10.6.36,42093,42149,ref-m.1.4.4.7.18,ref-m.1.4.4.7.27,676931,676984,ref-sifra.14.4-10.6.27,ref-sifra.14.4-10.6.36,נמוך מעשרה טפחים הרי אלו מצטרפות גבוה מעשרה טפחים אינן ,נמוכים עשרה טפחים או סלעים גבוהים עשרה טפחים הרי אינם ,10,4,3425,3422.0,32,32.0,0.4363636363636363,0.75,2,טפחים טפחים,1040000026,10,10
ref-m.1.4.8.1.13-ref-m.1.4.8.1.29,ref-sifra.5.3-00.1.54-ref-sifra.5.3-00.1.63,47723,47825,ref-m.1.4.8.1.13,ref-m.1.4.8.1.29,267725,267774,ref-sifra.5.3-00.1.54,ref-sifra.5.3-00.1.63,התיר אלא בכלים אף לא נתיר בסתום אלא בכלים מנין,התיר אלא בכלים אף לא נתיר בסתום אלא בכלים מנין,10,10,1229,1229.0,34,34.0,0.0,0.0,10,התיר אלא בכלים אף לא נתיר בסתום אלא בכלים מנין,1040000027,10,10
ref-m.1.4.8.2.1-ref-m.1.4.8.2.10,ref-sifra.5.2-00.5.13-ref-sifra.5.2-00.5.35,47891,47934,ref-m.1.4.8.2.1,ref-m.1.4.8.2.10,261431,261538,ref-sifra.5.2-00.5.13,ref-sifra.5.2-00.5.35,ובהמה חיה מין חיה בהמה מין בהמה מנין בהמה מין חיה ובהמה' אין לי אלא חיה ובהמה חיה מין חיה בהמה מין בהמה מנין בהמה מין חיה וחיה מין בהמה תלמוד לומר חיה,חיה ובהמה' אין לי אלא חיה ובהמה חיה מין חיה בהמה מין בהמה מנין בהמה מין חיה וחיה מין בהמה תלמוד לומר חיה,29,19,1214,1214.0,36,36.0,0.3066666666666666,0.0,19,חיה ובהמה' אין_לי_אלא חיה ובהמה חיה מין חיה בהמה מין בהמה מנין בהמה מין חיה וחיה מין בהמה_תלמוד_לומר חיה,1040000028,29,19
ref-m.1.4.8.2.15-ref-m.1.4.8.2.23,ref-sifra.5.3-00.6.20-ref-sifra.5.3-00.6.40,47951,47997,ref-m.1.4.8.2.15,ref-m.1.4.8.2.23,270053,270168,ref-sifra.5.3-00.6.20,ref-sifra.5.3-00.6.40,הטמא טמא שבמעי הטהור טהור ודגים שבמעי הטהור טמא שבמעי הטמא טהור לפי שאין גדוליו לרבות את הטהור שנכבש עם,הטמא טמא שבמעי הטהור טהור ודגים שבמעי הטהור טמא שבמעי הטמא טהור לפי שאין גדוליו לרבות את הטהור שנכבש עם,20,20,1251,1251.0,39,39.0,0.0,0.0,20,הטמא טמא שבמעי הטהור טהור ודגים שבמעי הטהור טמא שבמעי הטמא טהור לפי שאין גדוליו לרבות את הטהור שנכבש עם,1040000029,20,20
ref-m.1.4.8.2.1-ref-m.1.4.8.2.18,ref-sifra.11.2-04.15.6-ref-sifra.11.2-04.15.17,47891,47972,ref-m.1.4.8.2.1,ref-m.1.4.8.2.18,495870,495925,ref-sifra.11.2-04.15.6,ref-sifra.11.2-04.15.17,בהמה עם בהמה וחיה עם חיה בהמה עם חיה וחיה עם בהמה טמאה עם טמאה וטהורה עם טהורה ,בהמה בהמה על חיה וחיה על בהמה מנין טמאה על טהורה טהורה ,18,12,2763,2763.0,38,36.0,0.430379746835443,0.4285714285714286,7,בהמה בהמה חיה וחיה בהמה טמאה טהורה,1040000030,18,12
ref-m.1.4.8.6.4-ref-m.1.4.8.6.20,ref-sifra.5.2-00.5.18-ref-sifra.5.2-00.5.27,48602,48679,ref-m.1.4.8.6.4,ref-m.1.4.8.6.20,261454,261500,ref-sifra.5.2-00.5.18,ref-sifra.5.2-00.5.27,בהמה ורבי יוסי אומר מין חיה כלב מין חיה רבי מאיר אומר מין בהמה חזיר מין בהמה ,חיה ובהמה חיה מין חיה בהמה מין בהמה מנין בהמה ,13,10,1215,1214.0,41,41.0,0.5064935064935064,0.6666666666666667,6,חיה חיה מין בהמה מין בהמה,1040000031,13,10
ref-m.1.4.9.2.18-ref-m.1.4.9.2.24,ref-sifra.2.4-00.2.11-ref-sifra.2.4-00.2.22,49117,49151,ref-m.1.4.9.2.18,ref-m.1.4.9.2.24,23969,24033,ref-sifra.2.4-00.2.11,ref-sifra.2.4-00.2.22,ובלבד שלא יהיה בשרו נוגע בהן אין ,ובלבד שלא יהיו טמאים נוגעים בבשר או אינו אלא בכהן וכי מאין ,7,10,44,43.0,42,42.0,0.5084745762711864,0.7272727272727273,2,ובלבד שלא,1040000032,7,10
ref-m.1.4.9.8.11-ref-m.1.4.9.8.28,ref-sifra.11.2-04.18.33-ref-sifra.11.2-04.18.49,49876,49967,ref-m.1.4.9.8.11,ref-m.1.4.9.8.28,496351,496438,ref-sifra.11.2-04.18.33,ref-sifra.11.2-04.18.49,שעטנז דבר שהוא שוע טווי ונוז רבי שמעון בן אלעזר אומר נלוז ומליז הוא את אביו שבשמים עליו ,שעטנז דבר שהוא שוע טווי ונוז ר' שמעון בן אלעזר אומר נלוז ומליז הוא אביו שבשמים עליו ,14,13,2764,2764.0,43,43.0,0.0568181818181818,0.2142857142857143,12,שעטנז דבר שהוא שוע טווי ונוז נלוז ומליז הוא אביו שבשמים עליו,1040000033,14,13
ref-m.1.5.2.7.1-ref-m.1.5.2.7.6,ref-sifra.13.1-00.7.2-ref-sifra.13.1-00.7.7,53039,53097,ref-m.1.5.2.7.1,ref-m.1.5.2.7.6,613508,613565,ref-sifra.13.1-00.7.2,ref-sifra.13.1-00.7.7,האורז והדוחן והפרגין והשומשמין שהשרישו לפני ראש השנה מ,לאורז ולדוחן ולפרגום ולשומשמין שהשרישו לפני ראש השנה כ,7,7,3206,3206.0,44,44.0,0.1296296296296296,0.6666666666666667,2,שהשרישו לפני_ראש_השנה,1040000034,7,7
ref-m.1.5.4.2.13-ref-m.1.5.4.2.46,ref-sifra.13.1-01.5.19-ref-sifra.13.1-01.5.51,56235,56437,ref-m.1.5.4.2.13,ref-m.1.5.4.2.46,615435,615630,ref-sifra.13.1-01.5.19,ref-sifra.13.1-01.5.51,שדה שנטייבה בית שמאי אומרים אין אוכלין פירותיה בשביעית ובית הלל אומרים אוכלין בית שמאי אומרים אין אוכלין פירות שביעית בטובה ובית הלל אומרים אוכלין בטובה ושלא בטובה רבי יהודה אומר חלוף הדברים זו ,שדה שנטייבה בית שמאי אומרים אין אוכלים פירותיה בשביעית ובית הלל אומרים אוכלים בית שמאי אומרים אין אוכלים פירות שביעית בטובה ובית הלל אומרים בטובה ושלא בטובה ר' יהודה אומר חילוף הדברים זה ,22,23,3212,3211.0,45,45.0,0.0824742268041237,0.4117647058823529,13,שדה שנטייבה פירותיה בשביעית ובית_הלל_אומרים פירות שביעית בטובה ובית_הלל_אומרים בטובה ושלא בטובה הדברים,1040000035,22,23
