,index,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,grp-ref-b,grp-ref-sifre-n,dam-lev,jac,id
10,10,ref-b.2.4.6.66b.13.13-ref-b.2.4.6.66b.13.23,ref-sifre-n.1.4.53-ref-sifre-n.1.4.66,1491192,1491244,204624,204634,ref-b.2.4.6.66b.13.13,ref-b.2.4.6.66b.13.23,2092,2161,281,294,ref-sifre-n.1.4.53,ref-sifre-n.1.4.66,וכל זב וכל טמא לנפש יאמר טמאי מתים ואל יאמר זבין ,כל שהזב מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב ,10,13,272.0,10.0,0.6363636363636364,0.6923076923076923,3070000011
11,11,ref-b.2.4.6.67a.12.14-ref-b.2.4.6.67a.12.25,ref-sifre-n.1.4.53-ref-sifre-n.1.4.66,1492707,1492760,204834,204845,ref-b.2.4.6.67a.12.14,ref-b.2.4.6.67a.12.25,2092,2161,281,294,ref-sifre-n.1.4.53,ref-sifre-n.1.4.66,וכל זב וכל טמא לנפש יאמר טמאי מת ואל יאמר טמאי זב ,כל שהזב מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב ,11,13,275.0,10.0,0.5606060606060606,0.6923076923076923,3070000012
12,12,ref-b.2.4.1.18a.10.41-ref-b.2.4.1.18a.12.11,ref-sifre-n.1.4.53-ref-sifre-n.1.4.67,1324300,1324448,182300,182319,ref-b.2.4.1.18a.10.41,ref-b.2.4.1.18a.12.11,2092,2166,281,295,ref-sifre-n.1.4.53,ref-sifre-n.1.4.67,בכל כלי יטמא תרי יטמא למה לי אלא יטמא דרישא לטמא טומאת משקין יטמא דסיפא לטמא טומאת אוכלין ואימא לטמא את הכלים ולאו קל וחומר הוא ומה כלי שמטמא ,כל שהזב מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב מטמא ,19,14,229.0,10.0,0.6901408450704225,0.7222222222222222,3070000013
13,13,ref-b.2.4.6.68a.4.5-ref-b.2.4.6.68a.4.14,ref-sifre-n.1.4.53-ref-sifre-n.1.4.68,1494605,1494648,205121,205130,ref-b.2.4.6.68a.4.5,ref-b.2.4.6.68a.4.14,2092,2171,281,296,ref-sifre-n.1.4.53,ref-sifre-n.1.4.68,מכלל זב ובא לכלל טמא מת דהא טמא מת חמור ,כל שהזב מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב מטמא חמור ,9,15,280.0,10.0,0.6447368421052632,0.5833333333333333,3070000014
14,14,ref-b.2.4.6.67a.14.5-ref-b.2.4.6.67a.15.11,ref-sifre-n.1.4.53-ref-sifre-n.1.4.84,1492997,1493121,203485,204902,ref-b.2.4.6.67a.14.5,ref-b.2.4.6.67a.15.11,2092,2242,281,312,ref-sifre-n.1.4.53,ref-sifre-n.1.4.84,מת שכן טומאה יוצאה עליו מגופו אדרבה טמא מת חמור שכן טעון הזאה שלישי ושביעי אמר קרא טמא וכל טמא לרבות טמא שרץ וזב חמור מטמא חומריה דזב מטמא מת שכן טומאה יוצאה עליו מגופו אדרבה טמא מת חמור שכן טעון הזאה שלישי ושביעי אמר קרא טמא וכל טמא לרבות טמא,כל שהזב מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב מטמא חמור הוב שהוא מטמא תחת אבן מסמא כל שטבול יום מטמא טמא מת מטמא חמור טמא מת,243,144,276.0,10.0,0.6460905349794238,0.8709677419354839,3070000015
15,15,ref-b.5.7.1.8b.8.17-ref-b.5.7.1.8b.9.5,ref-sifre-n.1.4.54-ref-sifre-n.1.4.60,8377000,8377077,1179001,1179012,ref-b.5.7.1.8b.8.17,ref-b.5.7.1.8b.9.5,2095,2134,282,288,ref-sifre-n.1.4.54,ref-sifre-n.1.4.60,וזבה מטמאה באונס ולא מטמאה בראיות כבימים מצורע ומצורעת נמי חלוקה טומאתן ,שהזב מטמא מצורע מטמא חמור מצורע שמטמא ,11,6,2732.0,10.0,0.5972222222222222,0.8571428571428572,3070000016
16,16,ref-b.2.1.9.84b.1.7-ref-b.2.1.9.84b.1.16,ref-sifre-n.1.4.54-ref-sifre-n.1.4.67,640542,640590,88835,89465,ref-b.2.1.9.84b.1.7,ref-b.2.1.9.84b.1.16,2095,2166,282,295,ref-sifre-n.1.4.54,ref-sifre-n.1.4.67,בזב טמאים במת מפץ שטמא בזב אינו דין שיהא טמא במת בזב טמאים במת מפץ שטמא בזב אינו דין,שהזב מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב מטמא,84,67,125.0,10.0,0.6071428571428571,0.8,3070000017
17,17,ref-b.4.1.2.25b.3.26-ref-b.4.1.2.25b.3.34,ref-sifre-n.1.4.54-ref-sifre-n.1.4.67,4755970,4756016,656176,656399,ref-b.4.1.2.25b.3.26,ref-b.4.1.2.25b.3.34,2095,2166,282,295,ref-sifre-n.1.4.54,ref-sifre-n.1.4.67,בזב מטמא במת מפץ שמטמא בזב אינו דין שיטמא במת בזב מטמא במת מפץ שמטמא בזב אינו דין,שהזב מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב מטמא,81,67,1607.0,10.0,0.5432098765432098,0.7142857142857143,3070000018
18,21,ref-b.5.1.5.55a.11.7-ref-b.5.1.5.55a.12.7,ref-sifre-n.1.4.55-ref-sifre-n.1.4.67,6965473,6965567,976501,976517,ref-b.5.1.5.55a.11.7,ref-b.5.1.5.55a.12.7,2101,2166,283,295,ref-sifre-n.1.4.55,ref-sifre-n.1.4.67,מטומאת מצורע וטמא מטומאת זב ואיזה זה זה מחנה ישראל ואימא טהור מטומאת זב וטמא מטומאת מת ,מטמא מצורע מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב מטמא ,16,12,2182.0,10.0,0.5402298850574713,0.7333333333333334,3070000019
19,22,ref-b.6.7.4.33a.4.4-ref-b.6.7.4.33a.4.19,ref-sifre-n.1.4.57-ref-sifre-n.1.4.67,8619126,8619206,1214258,1214270,ref-b.6.7.4.33a.4.4,ref-b.6.7.4.33a.4.19,2112,2166,285,295,ref-sifre-n.1.4.57,ref-sifre-n.1.4.67,מטומאה חמורה דלא מטמא אדם לטמא בגדים אבל אדם או בגדים ליטמא אמר קרא יטמא טומאה ,מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב מטמא ,12,10,2789.0,10.0,0.5949367088607594,0.8666666666666667,3070000020
20,23,ref-b.5.7.5.21a.18.14-ref-b.5.7.5.21a.19.15,ref-sifre-n.1.4.57-ref-sifre-n.1.4.86,8428028,8428118,1186143,1186360,ref-b.5.7.5.21a.18.14,ref-b.5.7.5.21a.19.15,2112,2253,285,314,ref-sifre-n.1.4.57,ref-sifre-n.1.4.86,הוא טומאה חמורה דכוותה גבי בהמה לאחר מיתה אי בשר מטמא טומאה חמורה ואם דם מטמא טומאה טמא הוא טומאה חמורה דכוותה גבי בהמה לאחר מיתה אי בשר מטמא טומאה חמורה ואם דם מטמא טומאה,מטמא חמור מצורע שמטמא בביאה כל שטמא מת מטמא זב מטמא חמור הוב שהוא מטמא מטמא טמא מת מטמא חמור טמא מת שהוא מטמא,171,109,2747.0,10.0,0.6081871345029239,0.8125,3070000021
21,25,ref-b.2.4.5.62a.8.9-ref-b.2.4.5.62a.8.21,ref-sifre-n.1.4.75-ref-sifre-n.1.4.89,1475343,1475420,202381,202393,ref-b.2.4.5.62a.8.9,ref-b.2.4.5.62a.8.21,2200,2265,303,316,ref-sifre-n.1.4.75,ref-sifre-n.1.4.89,טומאה ככל טומאה דאילו איטמי חד מאברים האי דאיטמי שרפינן ליה ואידך אכלינן ,כל שטבול יום מטמא טמא מת מטמא חמור טמא מת שהוא מטמא את האדם כל ,12,13,260.0,10.0,0.726027397260274,0.9375,3070000022
22,26,ref-b.2.5.1.6b.4.4-ref-b.2.5.1.6b.5.10,ref-sifre-n.1.4.78-ref-sifre-n.1.4.86,1693466,1693634,232894,232915,ref-b.2.5.1.6b.4.4,ref-b.2.5.1.6b.5.10,2214,2253,306,314,ref-sifre-n.1.4.78,ref-sifre-n.1.4.86,מטומאת ביתו הפרישהו מטומאת המת אמר רב תחליפא אבוה דרב הונא משמיה דרבא זאת אומרת טומאת המת הותרה היא בציבור רבינא אמר אפילו תימא טומאת המת דחויה היא בצבור טומאת ,מטמא טמא מת מטמא חמור טמא מת שהוא מטמא ,21,8,339.0,10.0,0.78125,0.9545454545454546,3070000023
23,28,ref-b.6.7.4.33a.10.7-ref-b.6.7.4.33a.10.25,ref-sifre-n.1.4.78-ref-sifre-n.1.4.88,8619741,8619846,1214359,1214375,ref-b.6.7.4.33a.10.7,ref-b.6.7.4.33a.10.25,2214,2262,306,315,ref-sifre-n.1.4.78,ref-sifre-n.1.4.88,מטומאה חמורה והביאו לטומאה קלה דלא ליטמא אדם לטמויי בגדים אבל אדם ובגדים ליטמא אמר רב אסי יטמא טומאה ,מטמא טמא מת מטמא חמור טמא מת שהוא מטמא את האדם ,16,9,2792.0,10.0,0.7128712871287128,0.7857142857142857,3070000024
24,29,ref-b.2.4.1.14a.15.13-ref-b.2.4.1.14a.15.27,ref-sifre-n.1.4.78-ref-sifre-n.1.4.94,1312845,1312920,179570,180799,ref-b.2.4.1.14a.15.13,ref-b.2.4.1.14a.15.27,2214,2294,306,321,ref-sifre-n.1.4.78,ref-sifre-n.1.4.94,שנפסל בטבול יום מאי הוי שלישי וכי מדליק ליה בנר שנטמא בטמא מת מאי הוי שנפסל בטבול יום מאי הוי שלישי וכי מדליק ליה בנר שנטמא בטמא מת מאי הוי,מטמא טמא מת מטמא חמור טמא מת שהוא מטמא את האדם כל שמחוסר כפורים פוסל טבול,139,73,220.0,10.0,0.7553956834532374,0.8235294117647058,3070000025
25,30,ref-b.2.4.1.15a.12.4-ref-b.2.4.1.15a.12.12,ref-sifre-n.1.4.78-ref-sifre-n.1.4.94,1315113,1315166,179874,181098,ref-b.2.4.1.15a.12.4,ref-b.2.4.1.15a.12.12,2214,2294,306,321,ref-sifre-n.1.4.78,ref-sifre-n.1.4.94,שנפסל בטבול יום שמדליקין אותו בנר שנטמא בטמא מת שנפסל בטבול יום שמדליקין אותו בנר שנטמא בטמא מת,מטמא טמא מת מטמא חמור טמא מת שהוא מטמא את האדם כל שמחוסר כפורים פוסל טבול,95,73,222.0,10.0,0.7263157894736842,0.8,3070000026
26,31,ref-b.2.4.1.20b.4.4-ref-b.2.4.1.20b.4.12,ref-sifre-n.1.4.78-ref-sifre-n.1.4.94,1330164,1330217,181844,183081,ref-b.2.4.1.20b.4.4,ref-b.2.4.1.20b.4.12,2214,2294,306,321,ref-sifre-n.1.4.78,ref-sifre-n.1.4.94,שנפסל בטבול יום שמדליקין אותו בנר שנטמא בטמא מת שנפסל בטבול יום שמדליקין אותו בנר שנטמא בטמא מת,מטמא טמא מת מטמא חמור טמא מת שהוא מטמא את האדם כל שמחוסר כפורים פוסל טבול,95,73,238.0,10.0,0.7263157894736842,0.8,3070000027
27,32,ref-b.5.1.4.44a.1.8-ref-b.5.1.4.44a.2.13,ref-sifre-n.1.4.79-ref-sifre-n.1.4.86,6934071,6934206,972214,972231,ref-b.5.1.4.44a.1.8,ref-b.5.1.4.44a.2.13,2219,2253,307,314,ref-sifre-n.1.4.79,ref-sifre-n.1.4.86,החמורות במיתה הא מטומאת שרץ קאתיא ודיו לבא מן הדין להיות כנדון אמר זעירי קלות טומאת שרץ חמורות טומאת מת והכי קאמר אילו נאמר טומאת ,טמא מת מטמא חמור טמא מת שהוא מטמא ,17,7,2162.0,10.0,0.7538461538461538,0.8888888888888888,3070000028
28,36,ref-b.3.4.9.61b.1.12-ref-b.3.4.9.61b.1.18,ref-sifre-n.1.5.98-ref-sifre-n.1.5.104,3889868,3889907,536470,536476,ref-b.3.4.9.61b.1.12,ref-b.3.4.9.61b.1.18,2820,2859,395,401,ref-sifre-n.1.5.98,ref-sifre-n.1.5.104,ואיש אשר יטמא ולא יתחטא ונכרתה הנפש ,ואיש אשר יטמא ולא יתחטא ונכרתה הנפש ,6,6,1218.0,36.0,0.0,0.0,3070000029
29,37,ref-b.2.10.1.8b.1.5-ref-b.2.10.1.8b.1.10,ref-sifre-n.1.5.278-ref-sifre-n.1.5.285,2524276,2524314,349398,349403,ref-b.2.10.1.8b.1.5,ref-b.2.10.1.8b.1.10,3743,3787,511,517,ref-sifre-n.1.5.278,ref-sifre-n.1.5.285,תוכיח שמטמאה משכב ומושב ואינה טעונה ,תוכיח שאינה מטמא על גבי מושב ומשכב וטעונה ,5,6,651.0,37.0,0.40476190476190477,0.8333333333333334,3070000030
30,38,ref-b.5.1.14.116b.14.17-ref-b.5.1.14.116b.15.5,ref-sifre-n.1.7.36-ref-sifre-n.1.7.54,7126578,7126668,1000010,1000053,ref-b.5.1.14.116b.14.17,ref-b.5.1.14.116b.15.5,4395,4496,608,625,ref-sifre-n.1.7.36,ref-sifre-n.1.7.54,מירושלים להר הבית מחנה ישראל מהר הבית לשער נקנור מחנה לויה מכאן ואילך מחנה שכינה והן מירושלים להר הבית מחנה ישראל מהר הבית לשער נקנור מחנה לויה מכאן ואילך מחנה שכינה והן,מחניהם מכאן אמרו ג' מחנות הם מחנה ישראל ומחנה לויה ומחנה שכינה מפתח ירושלים ועד הר הבית מחנה,169,92,2265.0,38.0,0.6745562130177515,0.6111111111111112,3070000031
31,40,ref-b.2.4.6.68a.7.14-ref-b.2.4.6.68a.7.27,ref-sifre-n.1.7.38-ref-sifre-n.1.7.47,1494990,1495055,205184,205195,ref-b.2.4.6.68a.7.14,ref-b.2.4.6.68a.7.27,4407,4459,613,622,ref-sifre-n.1.7.38,ref-sifre-n.1.7.47,אימא מחוץ למחנה זו מחנה לויה לא יבא אל תוך המחנה זו מחנה שכינה ,אמרו ג' מחנות הם מחנה ישראל ומחנה לויה ומחנה שכינה ,11,9,281.0,38.0,0.49206349206349204,0.6666666666666667,3070000032
32,41,ref-b.2.5.5.56b.15.25-ref-b.2.5.5.56b.15.33,ref-sifre-n.1.7.77-ref-sifre-n.1.7.87,1845460,1845511,254701,254709,ref-b.2.5.5.56b.15.25,ref-b.2.5.5.56b.15.33,4606,4666,649,657,ref-sifre-n.1.7.77,ref-sifre-n.1.7.87,השוכן אתם בתוך טומאתם אפילו בשעת שהן טמאים שכינה ,שהם טמאים שכינה ביניהם וכן הוא אומר השוכן אתם בתוך טומאתם ,8,8,417.0,41.0,0.7413793103448276,0.5833333333333333,3070000033
33,42,ref-b.2.5.5.57a.1.15-ref-b.2.5.5.57a.1.25,ref-sifre-n.1.7.77-ref-sifre-n.1.7.87,1845617,1845681,254723,254733,ref-b.2.5.5.57a.1.15,ref-b.2.5.5.57a.1.25,4606,4666,649,657,ref-sifre-n.1.7.77,ref-sifre-n.1.7.87,השוכן אתם בתוך טומאתם אפילו בזמן שהן טמאין שכינה שרויה ביניהן ,שהם טמאים שכינה ביניהם וכן הוא אומר השוכן אתם בתוך טומאתם ,10,8,419.0,41.0,0.7580645161290323,0.6428571428571428,3070000034
34,43,ref-b.2.1.2.33a.4.14-ref-b.2.1.2.33a.4.28,ref-sifre-n.1.7.84-ref-sifre-n.1.7.102,462826,462895,64847,64859,ref-b.2.1.2.33a.4.14,ref-b.2.1.2.33a.4.28,4644,4738,654,670,ref-sifre-n.1.7.84,ref-sifre-n.1.7.102,ולא תטמא את הארץ אשר אתם יושבים בה אשר אני שוכן בתוכה הא אתם מטמאים ,השוכן אתם בתוך טומאתם ואומר ולא יטמאו את מחניהם א אומר ולא תטמא את הארץ אשר אתם יושבים בה ,12,16,93.0,41.0,0.6555555555555556,0.2857142857142857,3070000035
35,44,ref-b.5.3.1.24b.13.1-ref-b.5.3.1.24b.13.22,ref-sifre-n.1.7.85-ref-sifre-n.1.7.90,7553376,7553480,1061140,1061155,ref-b.5.3.1.24b.13.1,ref-b.5.3.1.24b.13.22,4651,4684,650,655,ref-sifre-n.1.7.85,ref-sifre-n.1.7.90,"אתה אומר אע""פ שלא נגע או אינו אלא אם כן נגע רבי יונתן בן אבטולמוס אומר נאמר תוכו לטמא ונאמר תוכו ליטמא ",אתם בתוך טומאתם ואומר ולא יטמאו ,15,5,2542.0,41.0,0.7669902912621359,0.75,3070000036
36,45,ref-b.5.3.4.71a.24.13-ref-b.5.3.4.71a.24.18,ref-sifre-n.1.7.86-ref-sifre-n.1.7.98,7701234,7701269,1082552,1082557,ref-b.5.3.4.71a.24.13,ref-b.5.3.4.71a.24.18,4655,4720,651,661,ref-sifre-n.1.7.86,ref-sifre-n.1.7.98,שבתוכו מלטמא דאמר מר טומאה רצוצה ,בתוך טומאתם ואומר ולא יטמאו את מחניהם א אומר ולא תטמא את הארץ ,5,10,2577.0,41.0,0.6935483870967742,0.9285714285714286,3070000037
37,46,ref-b.3.2.4.42a.9.15-ref-b.3.2.4.42a.9.22,ref-sifre-n.2.1.32-ref-sifre-n.2.1.39,3378098,3378133,465073,465080,ref-b.3.2.4.42a.9.15,ref-b.3.2.4.42a.9.22,5454,5488,780,787,ref-sifre-n.2.1.32,ref-sifre-n.2.1.39,או מצא אבידה וכחש בה ונשבע על שקר ,או מצא אבדה וכחש בה ונשבע על שקר ,7,7,889.0,46.0,0.029411764705882353,0.0,3070000038
38,47,ref-b.4.1.9.104b.7.4-ref-b.4.1.9.104b.7.16,ref-sifre-n.2.1.66-ref-sifre-n.2.1.75,5029603,5029676,695634,695645,ref-b.4.1.9.104b.7.4,ref-b.4.1.9.104b.7.16,5611,5667,805,814,ref-sifre-n.2.1.66,ref-sifre-n.2.1.75,הגוזל את חבירו ונשבע לו ומת יורשין משלמים קרן וחומש ופטורין מן האשם ,גוזל הגר ונשבע לו ומת שישלם קרן וחומש לכהנים ואשם ,11,9,1637.0,47.0,0.38235294117647056,0.6,3070000039
39,48,ref-b.4.1.4.42b.14.22-ref-b.4.1.4.42b.15.7,ref-sifre-n.2.1.110-ref-sifre-n.2.1.149,4814406,4814466,664840,665078,ref-b.4.1.4.42b.14.22,ref-b.4.1.4.42b.15.7,5832,6009,843,868,ref-sifre-n.2.1.110,ref-sifre-n.2.1.149,כי יגח שור את איש או את אשה אלא להקיש אשה לאיש מה איש נזקיו כי יגח שור את איש או את אשה אלא להקיש אשה לאיש מה,איש או אישה ר' יאשיה אומר איש או אשה למה נאמר לפי שהוא אומר וכי יפתח איש בור או כי יכרה איש בור אין לי אלא,109,106,1619.0,48.0,0.6422018348623854,0.8666666666666667,3070000040
40,50,ref-b.4.1.6.55b.11.3-ref-b.4.1.6.55b.11.11,ref-sifre-n.2.1.124-ref-sifre-n.2.1.132,4860304,4860338,671695,671932,ref-b.4.1.6.55b.11.3,ref-b.4.1.6.55b.11.11,5892,5928,849,857,ref-sifre-n.2.1.124,ref-sifre-n.2.1.132,כי יפתח איש בור או כי יכרה איש בור בור דכתיב כי יפתח איש בור או כי יכרה איש בור,וכי יפתח איש בור או כי יכרה איש בור,79,35,1624.0,48.0,0.5569620253164557,0.33333333333333337,3070000041
41,52,ref-b.4.1.6.60b.13.18-ref-b.4.1.6.60b.13.24,ref-sifre-n.2.1.157-ref-sifre-n.2.1.166,4876787,4876822,674088,674322,ref-b.4.1.6.60b.13.18,ref-b.4.1.6.60b.13.24,6047,6099,872,880,ref-sifre-n.2.1.157,ref-sifre-n.2.1.166,"ישלם המבעיר את הבערה אמר הקב""ה עלי לשלם שלם ישלם המבעיר את הבערה אמר הקב""ה",נאמר בעל הבור ישלם ואומר שלם ישלם המבעיר את,74,43,1627.0,52.0,0.6216216216216216,0.375,3070000042
42,54,ref-b.3.1.12.102a.11.5-ref-b.3.1.12.102a.11.13,ref-sifre-n.2.1.212-ref-sifre-n.2.1.230,3181271,3181318,438453,438461,ref-b.3.1.12.102a.11.5,ref-b.3.1.12.102a.11.13,6315,6420,915,928,ref-sifre-n.2.1.212,ref-sifre-n.2.1.230,מעל וארקתא מעל דמעל והתורה אמרה מעל ולא מעל ,למעל מעל אין מעילה בכל מקום אלא שיקור וכן הוא אומר וימעלו באלהי אבותיהם ואומר וימעלו בני ישראל מעל ,8,13,853.0,54.0,0.6868686868686869,0.7857142857142857,3070000043
43,55,ref-b.5.8.4.18a.14.1-ref-b.5.8.5.18b.1.1,ref-sifre-n.2.1.212-ref-sifre-n.2.1.253,8486524,8486630,1194560,1194785,ref-b.5.8.4.18a.14.1,ref-b.5.8.5.18b.1.1,6315,6537,915,951,ref-sifre-n.2.1.212,ref-sifre-n.2.1.253,כי תמעל מעל אין מעל אלא שנוי וכן הוא אומר איש איש כי תשטה אשתו ומעלה בו מעל ואומר וימעלו באלהי אבתיהם כי תמעל מעל אין מעל אלא שנוי וכן הוא אומר איש איש כי תשטה אשתו ומעלה בו מעל,למעל מעל אין מעילה בכל מקום אלא שיקור וכן הוא אומר וימעלו באלהי אבותיהם ואומר וימעלו בני ישראל מעל בחרם ואומר וימת שאול במעלו אשר מעל בה' ואומר בעוזיה צא מן המקדש כי מעלת ואומר ומעלה בו,177,185,2763.0,54.0,0.572972972972973,0.76,3070000044
44,57,ref-b.5.8.5.19a.3.6-ref-b.5.8.5.19a.4.2,ref-sifre-n.2.1.227-ref-sifre-n.2.1.245,8487692,8487806,1194746,1194966,ref-b.5.8.5.19a.3.6,ref-b.5.8.5.19a.4.2,6399,6499,926,943,ref-sifre-n.2.1.227,ref-sifre-n.2.1.245,מן ההקדש כיון שהוציא מעל דברי רבי שמעון רבי יהודה אומר עד שיזרוק הדם מנין תלמוד לומר תמעל מעל מכל מקום אמר מר מן ההקדש כיון שהוציא מעל דברי רבי שמעון רבי יהודה אומר עד שיזרוק,וימעלו בני ישראל מעל בחרם ואומר וימת שאול במעלו אשר מעל בה' ואומר בעוזיה צא מן המקדש כי,174,87,2769.0,54.0,0.7183908045977011,0.8888888888888888,3070000045
45,59,ref-b.5.8.5.18b.11.21-ref-b.5.8.5.19a.1.4,ref-sifre-n.2.1.239-ref-sifre-n.2.1.251,8487534,8487595,1194925,1194936,ref-b.5.8.5.18b.11.21,ref-b.5.8.5.19a.1.4,6464,6527,937,949,ref-sifre-n.2.1.239,ref-sifre-n.2.1.251,תמעל מעל מכל מקום אי מה חטא האמור בתרומה עד שיצא מן הקדש ,ואומר בעוזיה צא מן המקדש כי מעלת ואומר ומעלה בו מעל הא אין ,11,12,2768.0,54.0,0.7288135593220338,0.8125,3070000046
