baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-y,baseOrder,grp-ref-sifre-n,dam-lev,jac,lcc_len,lcs_str,id,bRangeOriginal,cRangeOriginal
ref-sifre-n.6.1.361-ref-sifre-n.6.1.368,ref-y.1.10.1.1.2.43-ref-y.1.10.1.1.2.50,12857,12904,ref-sifre-n.6.1.361,ref-sifre-n.6.1.368,808086,808133,ref-y.1.10.1.1.2.43,ref-y.1.10.1.1.2.50,ובשנה החמישית תאכלו את פריו להוסיף לכם תבואתו ,ובשנה החמישית תאכלו את פריו להוסיף לכם תבואתו ,8,8,240,240.0,32,30.0,0.0,0.0,8,ובשנה החמישית תאכלו את פריו להוסיף לכם תבואתו,5070000026,8,8
ref-sifre-n.7.1.1-ref-sifre-n.7.1.7,ref-y.2.4.4.4.6.11-ref-y.2.4.4.4.6.23,13608,13639,ref-sifre-n.7.1.1,ref-sifre-n.7.1.7,1531459,1531519,ref-y.2.4.4.4.6.11,ref-y.2.4.4.4.6.23,דבר אל אהרן ואל בניו ואל כל בני ישראל ואמרת אליהם איש איש,דבר אל אהרן ואל בניו ואל כל בני ישראל ואמרת אליהם איש איש,13,13,511,511.0,33,33.0,0.0,0.0,13,דבר אל אהרן ואל בניו ואל כל בני ישראל ואמרת אליהם איש איש,5070000027,13,13
ref-sifre-n.7.1.40-ref-sifre-n.7.1.51,ref-y.4.5.2.6.6.21-ref-y.4.5.2.6.6.34,13789,13842,ref-sifre-n.7.1.40,ref-sifre-n.7.1.51,3327229,3327302,ref-y.4.5.2.6.6.21,ref-y.4.5.2.6.6.34,ולא התרו בה נבעלה בפני עד אחד ספק נבעלה ספק לא נבעלה ,לא התירו בה אלא בעילה ראשונה בלבד ואני אומר ולא בעילה ראשונה ולא בעילה ,12,14,1928,1928.0,35,35.0,0.5070422535211268,0.8333333333333334,1,לא,5070000028,12,14
ref-sifre-n.7.1.61-ref-sifre-n.7.1.67,ref-y.2.4.4.4.6.11-ref-y.2.4.4.4.6.23,13884,13915,ref-sifre-n.7.1.61,ref-sifre-n.7.1.67,1531459,1531519,ref-y.2.4.4.4.6.11,ref-y.2.4.4.4.6.23,דבר אל אהרן ואל בניו ואל כל בני ישראל ואמרת אליהם איש איש,דבר אל אהרן ואל בניו ואל כל בני ישראל ואמרת אליהם איש איש,13,13,512,512.0,36,36.0,0.0,0.0,13,דבר אל אהרן ואל בניו ואל כל בני ישראל ואמרת אליהם איש איש,5070000029,13,13
ref-sifre-n.7.1.128-ref-sifre-n.7.1.135,ref-y.2.11.3.1.9.29-ref-y.2.11.3.1.9.35,14260,14304,ref-sifre-n.7.1.128,ref-sifre-n.7.1.135,2012578,2012619,ref-y.2.11.3.1.9.29,ref-y.2.11.3.1.9.35,ונדוהו ומת בנדויו וסקלו בית דין את ארונו ,נידוהו ומת בנידויו וסקלו בית דין ארונו ,8,7,886,886.0,38,38.0,0.1463414634146341,0.1428571428571429,5,ומת וסקלו בית דין ארונו,5070000030,8,7
ref-sifre-n.7.2.12-ref-sifre-n.7.2.26,ref-y.3.1.10.6.3.83-ref-y.3.1.10.6.3.107,14750,14826,ref-sifre-n.7.2.12,ref-sifre-n.7.2.26,2176633,2176765,ref-y.3.1.10.6.3.83,ref-y.3.1.10.6.3.107,שבא איסור הקל על איסורה הקלה אסר את אוסריו כיון שבא איסור החמור על איסורה החמור' אינו דין שנאסור את אוסריו והיי,שבא איסור הקל על איסורה הקלה אסר את אוסריו,22,9,978,977.0,39,39.0,0.6216216216216216,0.5,9,שבא איסור הקל על איסורה הקלה אסר את אוסריו,5070000031,22,9
ref-sifre-n.7.2.21-ref-sifre-n.7.2.35,ref-y.3.1.10.6.4.120-ref-y.3.1.10.6.4.130,14797,14870,ref-sifre-n.7.2.21,ref-sifre-n.7.2.35,2177434,2177502,ref-y.3.1.10.6.4.120,ref-y.3.1.10.6.4.130,אסר את אוסרו כשבא איסור חמור על איסור חמורה אינו דין שהוא אוסר את אוסרו ,אסרה והיא אסרתו מרובה איסור שאסרה מאיסור שהיא אוסרתו שהוא אוסר' ,13,11,983,982.0,42,39.0,0.5138888888888888,0.8181818181818181,2,איסור שהוא,5070000032,13,11
ref-sifre-n.7.2.62-ref-sifre-n.7.2.82,ref-y.3.1.10.6.3.83-ref-y.3.1.10.6.3.106,14995,15103,ref-sifre-n.7.2.62,ref-sifre-n.7.2.82,2176633,2176762,ref-y.3.1.10.6.3.83,ref-y.3.1.10.6.3.106,הקל על איסורה הקלה אסר את אוסריו כיון שבא איסור החמור,שבא איסור הקל על איסורה הקלה אסר את אוסריו כיון שבא איסור החמור על איסורה החמור' אינו דין שנאסור את אוסריו והיי דין איסור,11,24,979,979.0,44,44.0,0.5619834710743802,0.3,11,הקל על איסורה הקלה אסר את אוסריו כיון שבא איסור החמור,5070000033,11,24
ref-sifre-n.7.2.72-ref-sifre-n.7.2.91,ref-y.3.1.10.6.4.119-ref-y.3.1.10.6.4.128,15047,15149,ref-sifre-n.7.2.72,ref-sifre-n.7.2.91,2177430,2177490,ref-y.3.1.10.6.4.119,ref-y.3.1.10.6.4.128,אסר את אוסריו מקום שהאוסר אוסר כל ימיו כשבא איסור חמור על איסור חמורה אינו דין שיהיה אוסר את אוסריו ,היא אסרה והיא אסרתו מרובה איסור שאסרה מאיסור שהיא אוסרתו ,18,10,982,982.0,46,43.0,0.58,0.7692307692307692,1,איסור,5070000034,18,10
ref-sifre-n.7.2.61-ref-sifre-n.7.2.78,ref-y.4.8.5.1.3.19-ref-y.4.8.5.1.3.43,14989,15081,ref-sifre-n.7.2.61,ref-sifre-n.7.2.78,3492963,3493072,ref-y.4.8.5.1.3.19,ref-y.4.8.5.1.3.43,שאין האוסר אוסר כל ימיו כשבא איסור הקל על איסור הקלה אסר את אוסריו מקום שהאוסר אוסר כל ,אין קרקע נאסר וכא נאסר נתן לו בהמה בשכרו בכל אתר את אמר אין דבר שיש בו רוח חיים נאסר ובא נאסר נתן לו הכל ,18,18,2022,2022.0,43,43.0,0.6952380952380952,0.8947368421052632,0,,5070000035,18,18
ref-sifre-n.7.3.69-ref-sifre-n.7.3.79,ref-y.3.5.1.2.5.77-ref-y.3.5.1.2.5.90,15566,15628,ref-sifre-n.7.3.69,ref-sifre-n.7.3.79,2249263,2249339,ref-y.3.5.1.2.5.77,ref-y.3.5.1.2.5.90,שיעור סתירה תלמוד לומר ונסתרה והיא נטמאה סתירה כדי טומאה כדי ,לשעורין כהדא דתני ונסתרה והיא נטמאה כמה היא סתירה כדי טומאה כמה היא כדי ,11,14,1021,1021.0,47,47.0,0.4444444444444444,0.6,7,ונסתרה והיא נטמאה סתירה כדי טומאה כדי,5070000036,11,14
ref-sifre-n.7.3.175-ref-sifre-n.7.3.183,ref-y.3.5.4.3.4.115-ref-y.3.5.4.3.4.123,16086,16129,ref-sifre-n.7.3.175,ref-sifre-n.7.3.183,2295192,2295237,ref-y.3.5.4.3.4.115,ref-y.3.5.4.3.4.123,אם המטמא טומאה קלה עשה בה אונס כרצון סוטה ,אם שרצים הקלים עשה בהן את האונס ברצון סוטה ,9,9,1084,1084.0,48,48.0,0.4186046511627907,0.5833333333333333,3,אם עשה סוטה,5070000037,9,9
ref-sifre-n.7.3.249-ref-sifre-n.7.3.261,ref-y.2.12.3.4.7.25-ref-y.2.12.3.4.8.7,16482,16545,ref-sifre-n.7.3.249,ref-sifre-n.7.3.261,1982669,1982850,ref-y.2.12.3.4.7.25,ref-y.2.12.3.4.8.7,טמאין בין לו בין לאחרים ר' עקיבה אומר אם טהורין לו יהיו טהורין לאחרים אם טמאין לאחרי' יהיו טמאין לו ר' יוחנן אמ' חמרין טמאין בין לו בין לאחרי' עם הארץ דתני עם הארץ שנתמנה להיות,טמאין בין לו בין לאחרים ר' עקיבה אומר אם טהורין לו יהיו טהורין לאחרים אם טמאין לאחרי' יהיו טמאין לו ר' יוחנן אמ' חמרין טמאין בין לו בין לאחרי' עם הארץ דתני עם הארץ שנתמנה להיות,27,27,882,882.0,49,49.0,0.0,0.0,27,טמאין בין_לו_בין_לאחרים ר'_עקיבה_אומר אם טהורין לו יהיו טהורין לאחרים אם טמאין לאחרי' יהיו טמאין לו ר'_יוחנן_אמ' חמרין טמאין בין_לו_בין לאחרי' עם הארץ דתני עם הארץ שנתמנה להיות,5070000038,27,27
ref-sifre-n.7.3.322-ref-sifre-n.7.3.339,ref-y.2.2.3.4.1.10-ref-y.2.2.3.4.1.23,16836,16929,ref-sifre-n.7.3.322,ref-sifre-n.7.3.339,1142494,1142566,ref-y.2.2.3.4.1.10,ref-y.2.2.3.4.1.23,ספק טומאה ברשות היחיד טמא ספק טומאה ברשות הרבים ספיקו טהור את שיש בו דעת לישאל ספיקו טמא ,ספק ניטמאת מבעוד יום ספק ניטמאת משחשיכה אבל אם היתה ספק טהורה ספק טמאה ,8,12,322,322.0,51,51.0,0.6741573033707865,0.7692307692307692,2,ספק ספק,5070000039,15,12
ref-sifre-n.7.3.322-ref-sifre-n.7.3.339,ref-y.3.4.8.2.1.24-ref-y.3.4.8.2.1.42,16836,16929,ref-sifre-n.7.3.322,ref-sifre-n.7.3.339,2806402,2806487,ref-y.3.4.8.2.1.24,ref-y.3.4.8.2.1.42,ספק טומאה ברשות היחיד טמא ספק טומאה ברשות הרבים ספיקו טהור את שיש בו דעת לישאל ספיקו טמא ,בספק הדא היא דתני ר' חייה ספק נזיר טמא ספק נזיר טהור אבל נזיר ודאי היה ספק מצורע טמא ,8,15,1458,1458.0,52,51.0,0.6741573033707865,0.7692307692307692,5,ספק טמא ספק טהור טמא,5070000040,15,15
ref-sifre-n.7.3.359-ref-sifre-n.7.3.373,ref-y.2.12.3.4.7.33-ref-y.2.12.3.4.8.7,17019,17089,ref-sifre-n.7.3.359,ref-sifre-n.7.3.373,1982707,1982850,ref-y.2.12.3.4.7.33,ref-y.2.12.3.4.8.7,היא נטמאה והיא לא נטמאה אם היא טמאה למה אינה משקה שותה ואם טהורה היא ,אם טהורין לו יהיו טהורין לאחרים אם טמאין לאחרי' יהיו טמאין לו ר' יוחנן אמ' חמרין טמאין בין לו בין לאחרי' עם הארץ דתני עם הארץ שנתמנה להיות ,15,24,884,882.0,53,53.0,0.697841726618705,0.9444444444444444,1,אם,5070000041,15,24
ref-sifre-n.7.3.434-ref-sifre-n.7.3.451,ref-y.2.2.3.4.1.10-ref-y.2.2.3.4.1.23,17381,17474,ref-sifre-n.7.3.434,ref-sifre-n.7.3.451,1142494,1142566,ref-y.2.2.3.4.1.10,ref-y.2.2.3.4.1.23,ספק טומאה ברשות היחיד טמא ספק טומאה ברשות הרבים םפיקו טהור את שיש בו דעת לישאל ספיקו טמא ,ספק ניטמאת מבעוד יום ספק ניטמאת משחשיכה אבל אם היתה ספק טהורה ספק טמאה ,8,12,323,322.0,54,54.0,0.6629213483146067,0.7857142857142857,2,ספק ספק,5070000042,15,12
ref-sifre-n.8.1.17-ref-sifre-n.8.1.25,ref-y.3.2.2.9.5.23-ref-y.3.2.2.9.5.30,17585,17631,ref-sifre-n.8.1.17,ref-sifre-n.8.1.25,2395357,2395397,ref-y.3.2.2.9.5.23,ref-y.3.2.2.9.5.30,מוסרים לו שני תלמידי חכמים בדרך שלא יבא עליה ,מוסרין לו שני תלמידי חכמים שמא יבוא עליה ,9,8,1200,1200.0,55,55.0,0.1777777777777777,0.5,5,לו שני תלמידי חכמים עליה,5070000043,9,8
ref-sifre-n.8.1.29-ref-sifre-n.8.1.54,ref-y.3.5.1.3.4.5-ref-y.3.5.1.3.4.35,17648,17775,ref-sifre-n.8.1.29,ref-sifre-n.8.1.54,2252526,2252674,ref-y.3.5.1.3.4.5,ref-y.3.5.1.3.4.35,בעלה נאמן עליה מקל וחומר ומה אם חנדה שחייבין עליה כרת הרי הוא נאמן עליה זו שאין חייבין עליה ברת אינו דין שיהא נ,בעלה נאמן עליה מקל וחומר ומה אם חנדה שחייבין עליה כרת הרי הוא נאמן עליה זו שאין חייבין עליה ברת אינו דין שיהא נ,18,18,1022,1022.0,56,56.0,0.0,0.0,18,בעלה נאמן עליה מקל וחומר_ומה_אם חנדה שחייבין עליה כרת הרי הוא נאמן עליה זו שאין_חייבין_עליה ברת אינו_דין_שיהא נ,5070000044,18,18
