,index,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,grp-ref-b,grp-ref-sifre-d,dam-lev,jac,id
10,15,ref-b.02.04.08.88a.3.1-ref-b.02.04.08.88a.3.18,ref-sifre-d.1.20.159-ref-sifre-d.1.20.169,1573128,1573214,215807,215821,ref-b.2.4.8.88a.3.1,ref-b.2.4.8.88a.3.18,5419,5477,901,911,ref-sifre-d.1.20.159,ref-sifre-d.1.20.169,ואמר רבי אלעזר מאי דכתיב והלכו עמים רבים ואמרו לכו ונעלה אל הר ה' אל בית אלהי יעקב ,ואומר והלכו עמים רבים ואמרו לכו ונעלה אל בית אלהי יעקב ,14,10,438.0,15.0,0.3614457831325301,0.3076923076923077,3080000011
11,16,ref-b.03.05.07.36b.5.33-ref-b.03.05.07.36b.6.2,ref-sifre-d.1.20.160-ref-sifre-d.1.20.166,4021433,4021491,555617,555630,ref-b.3.5.7.36b.5.33,ref-b.3.5.7.36b.6.2,5426,5463,902,908,ref-sifre-d.1.20.160,ref-sifre-d.1.20.166,עם רב ויאמר אליהם יהושע אם עם רב אתה עלה לך היערה אמר להן ,והלכו עמים רבים ואמרו לכו ונעלה אל ,13,6,1660.0,15.0,0.6896551724137931,0.7142857142857143,3080000012
12,17,ref-b.01.01.09.63b.3.6-ref-b.01.01.09.63b.3.11,ref-sifre-d.1.20.174-ref-sifre-d.1.20.179,350595,350622,49334,49339,ref-b.1.1.9.63b.3.6,ref-b.1.1.9.63b.3.11,5512,5539,916,921,ref-sifre-d.1.20.174,ref-sifre-d.1.20.179,כי מציון תצא תורה ודבר ה' ,כי מציון תצא תורה ודבר ה' ,5,5,167.0,17.0,0.0,0.0,3080000013
13,18,ref-b.05.02.06.65a.12.49-ref-b.05.02.06.65a.12.55,ref-sifre-d.2.1.1-ref-sifre-d.2.1.7,7341556,7341586,1031232,1031237,ref-b.5.2.6.65a.12.49,ref-b.5.2.6.65a.12.55,5849,5879,968,973,ref-sifre-d.2.1.1,ref-sifre-d.2.1.7,אחד עשר יום מחורב דרך הר שעיר ,אחד עשר יום מחורב דרך הר שעיר ,5,5,3572.0,18.0,0.0,0.0,3080000014
14,19,ref-b.02.09.04.29a.3.2-ref-b.02.09.04.29a.3.7,ref-sifre-d.2.1.27-ref-sifre-d.2.1.32,2481914,2481941,343620,343625,ref-b.2.9.4.29a.3.2,ref-b.2.9.4.29a.3.7,5986,6013,994,999,ref-sifre-d.2.1.27,ref-sifre-d.2.1.32,ויסעו מהר ה' דרך שלשת ימים ,ויסעו מהר ה' דרך שלשת ימים ,5,5,881.0,19.0,0.0,0.0,3080000015
15,20,ref-b.05.01.14.119a.3.8-ref-b.05.01.14.119a.3.16,ref-sifre-d.2.2.64-ref-sifre-d.2.2.72,7133017,7133057,1001046,1001053,ref-b.5.1.14.119a.3.8,ref-b.5.1.14.119a.3.16,6544,6584,1092,1099,ref-sifre-d.2.2.64,ref-sifre-d.2.2.72,כי לא באתם עד עתה אל המנוחה ואל הנחלה ,כי לא באתם עד עתה אל המנוחה ואל הנחלה ,7,7,3466.0,20.0,0.0,0.0,3080000016
16,21,ref-b.05.01.14.119a.9.5-ref-b.05.01.14.119a.9.13,ref-sifre-d.2.2.64-ref-sifre-d.2.2.72,7133779,7133819,1001169,1001176,ref-b.5.1.14.119a.9.5,ref-b.5.1.14.119a.9.13,6544,6584,1092,1099,ref-sifre-d.2.2.64,ref-sifre-d.2.2.72,כי לא באתם עד עתה אל המנוחה ואל הנחלה ,כי לא באתם עד עתה אל המנוחה ואל הנחלה ,7,7,3469.0,20.0,0.0,0.0,3080000017
17,22,ref-b.2.10.1.10a.3.4-ref-b.2.10.1.10a.3.10,ref-sifre-d.2.2.66-ref-sifre-d.2.2.72,2529491,2529525,347773,350112,ref-b.2.10.1.10a.3.4,ref-b.2.10.1.10a.3.10,6550,6584,1093,1101,ref-sifre-d.2.2.66,ref-sifre-d.2.2.72,באתם עד עתה אל המנוחה ואל הנחלה לבוא דכתיב כי לא באתם עד עתה אל המנוחה,באתם עד באתם עד עתה אל המנוחה ואל הנחלה,2340,9,895.0,20.0,0.6428571428571429,0.25,3080000018
18,24,ref-b.2.8.1.3b.7.14-ref-b.2.8.1.3b.8.7,ref-sifre-d.2.2.131-ref-sifre-d.2.3.8,2250216,2250314,308011,310152,ref-b.2.8.1.3b.7.14,ref-b.2.8.1.3b.8.7,6874,6931,1151,1162,ref-sifre-d.2.2.131,ref-sifre-d.2.3.8,בשנת שתים בעשרים ואחד לחדש ואם איתא בשביעי בשנת שלש מיבעי ליה אמר רבי אבהו כורש מלך כשר היה בשנת שתים בעשרים ואחד לחדש ואם איתא בשביעי בשנת שלש מיבעי ליה אמר רבי אבהו,אבותיך לך ויהי בארבעים שנה בעשתי עשר חודש באחד חודש באחד לחודש,2142,12,706.0,24.0,0.7771084337349398,0.8571428571428572,3080000019
19,26,ref-b.2.8.1.2b.9.26-ref-b.2.8.1.2b.9.42,ref-sifre-d.2.2.131-ref-sifre-d.2.3.9,2246523,2246615,307416,309557,ref-b.2.8.1.2b.9.26,ref-b.2.8.1.2b.9.42,6874,6939,1151,1163,ref-sifre-d.2.2.131,ref-sifre-d.2.3.9,לחדש וכתיב ויהי בארבעים שנה בעשתי עשר חדש באחד לחדש דבר משה וגו' מדקאי באב וקרי לה שנת ארבעים בחדש החמישי באחד לחדש וכתיב ויהי בארבעים שנה בעשתי עשר חדש באחד לחדש דבר משה וגו' מדקאי באב וקרי,אבותיך לך אבותיך לך ויהי בארבעים שנה בעשתי עשר חודש באחד לחודש דבר,2142,13,698.0,24.0,0.6947368421052632,0.5882352941176471,3080000020
20,28,ref-b.02.08.01.3a.11.37-ref-b.02.08.01.3a.11.42,ref-sifre-d.2.3.1-ref-sifre-d.2.3.6,2248392,2248425,309842,309847,ref-b.2.8.1.3a.11.37,ref-b.2.8.1.3a.11.42,6884,6918,1155,1160,ref-sifre-d.2.3.1,ref-sifre-d.2.3.6,ויהי בארבעים שנה בעשתי עשר חדש ,ויהי בארבעים שנה בעשתי עשר חודש ,5,5,702.0,24.0,0.03125,0.0,3080000021
21,29,ref-b.04.04.01.12a.8.9-ref-b.04.04.01.12a.8.26,ref-sifre-d.2.3.29-ref-sifre-d.2.3.39,5967084,5967180,829331,829344,ref-b.4.4.1.12a.8.9,ref-b.4.4.1.12a.8.26,7028,7086,1178,1186,ref-sifre-d.2.3.29,ref-sifre-d.2.3.39,ולשלמה שנים עשר נציבים על כל ישראל וכלכלו את המלך ואת חדש בשנה והכתיב ונציב אחד אשר בארץ ,"ולשלמה י""ב נציבים על כל ישראל ואומר ונציב אחד אשר בארץ ",13,8,2523.0,29.0,0.42696629213483145,0.5,3080000022
22,30,ref-b.02.08.01.11a.12.13-ref-b.02.08.01.11a.12.33,ref-sifre-d.2.3.61-ref-sifre-d.2.3.79,2274615,2274731,313527,313541,ref-b.2.8.1.11a.12.13,ref-b.2.8.1.11a.12.33,7191,7288,1206,1223,ref-sifre-d.2.3.61,ref-sifre-d.2.3.79,שנאמר ויאמר אליהם בן מאה ועשרים שנה אנכי היום שאין תלמוד לומר היום ומה תלמוד לומר היום היום מלאו ימי ושנותי ,"ויאמר אליהם בן מאה וכ' שנה אנכי היום שאין תלמוד לומר היום ומה ת""ל היום היום מלאו ימי שנותי ",14,17,743.0,30.0,0.18518518518518517,0.2857142857142857,3080000023
23,31,ref-b.03.05.01.13b.16.1-ref-b.03.05.01.13b.16.16,ref-sifre-d.2.3.61-ref-sifre-d.2.3.79,3954944,3955031,546015,546026,ref-b.3.5.1.13b.16.1,ref-b.3.5.1.13b.16.16,7191,7288,1205,1222,ref-sifre-d.2.3.61,ref-sifre-d.2.3.79,ויאמר אליהם בן מאה ועשרים שנה אנכי היום שאין תלמוד לומר היום היום מלאו ימי ושנותי ,"ויאמר אליהם בן מאה וכ' שנה אנכי היום שאין תלמוד לומר היום ומה ת""ל היום היום מלאו ימי שנותי ",11,17,1578.0,30.0,0.2087912087912088,0.23076923076923073,3080000024
24,32,ref-b.3.4.1.6b.4.23-ref-b.3.4.1.6b.6.4,ref-sifre-d.2.3.75-ref-sifre-d.2.3.87,3780893,3781006,521391,521517,ref-b.3.4.1.6b.4.23,ref-b.3.4.1.6b.6.4,7262,7331,1217,1228,ref-sifre-d.2.3.75,ref-sifre-d.2.3.87,ביום מלאת ימי נזרו התורה אמרה נטמא ביום מלאת ביום מלאת ימי נזרו התורה אמרה נטמא ביום מלאת תן לו תורת נזיר לימא כתנאי עד מלאת הימים שומעני מיעוט ימים שנים,היום היום מלאו ימי שנותי מעת לעת ר' אומר היום מלאו מלאו,127,12,1474.0,30.0,0.7320261437908496,0.875,3080000025
25,34,ref-b.02.08.01.13a.11.15-ref-b.02.08.01.13a.12.10,ref-sifre-d.2.3.89-ref-sifre-d.2.3.98,2280047,2280101,314307,314314,ref-b.2.8.1.13a.11.15,ref-b.2.8.1.13a.12.10,7337,7390,1231,1239,ref-sifre-d.2.3.89,ref-sifre-d.2.3.98,להו לא סלקא דעתך דכתיב והעם עלו מן הירדן בעשור לחדש ,לו מעת לעת ואומר והעם עלו מן הירדן בעשור לחודש ,7,8,752.0,34.0,0.3076923076923077,0.4545454545454546,3080000026
26,35,ref-b.03.01.08.71b.10.17-ref-b.03.01.08.71b.10.24,ref-sifre-d.2.3.92-ref-sifre-d.2.3.99,3077601,3077647,424397,424404,ref-b.3.1.8.71b.10.17,ref-b.3.1.8.71b.10.24,7350,7398,1232,1239,ref-sifre-d.2.3.92,ref-sifre-d.2.3.99,שנאמר והעם עלו מן הירדן בעשור לחדש הראשון ,ואומר והעם עלו מן הירדן בעשור לחודש הראשון ,7,7,1233.0,34.0,0.09302325581395349,0.2222222222222222,3080000027
27,36,ref-b.03.07.01.38a.6.20-ref-b.03.07.01.38a.6.32,ref-sifre-d.2.3.93-ref-sifre-d.2.3.107,4519778,4519849,623753,623765,ref-b.3.7.1.38a.6.20,ref-b.3.7.1.38a.6.32,7357,7449,1233,1247,ref-sifre-d.2.3.93,ref-sifre-d.2.3.107,והעם עלו מן הירדן בעשור לחדש הראשון צא מהן שלשים ושלשה ימים למפרע ,והעם עלו מן הירדן בעשור לחודש הראשון ויחנו בקצה הגלגל הוצא ומנה שלשים ושלשה למפרע ,12,14,2014.0,34.0,0.34146341463414637,0.33333333333333337,3080000028
28,37,ref-b.2.8.1.2b.9.26-ref-b.2.8.1.2b.9.32,ref-sifre-d.2.3.112-ref-sifre-d.2.4.9,2246523,2246565,307416,309548,ref-b.2.8.1.2b.9.26,ref-b.2.8.1.2b.9.32,7472,7528,1252,1262,ref-sifre-d.2.3.112,ref-sifre-d.2.4.9,לחדש וכתיב ויהי בארבעים שנה בעשתי עשר חדש באחד בחדש החמישי באחד לחדש וכתיב ויהי בארבעים שנה בעשתי עשר,"חודש ד""א ויהי בארבעים שנה בעשתי עשר חודש באחד באחד לחודש",2133,11,698.0,37.0,0.5247524752475248,0.33333333333333337,3080000029
29,38,ref-b.02.08.01.3a.11.37-ref-b.02.08.01.3a.11.42,ref-sifre-d.2.4.2-ref-sifre-d.2.4.7,2248392,2248425,309842,309847,ref-b.2.8.1.3a.11.37,ref-b.2.8.1.3a.11.42,7481,7515,1255,1260,ref-sifre-d.2.4.2,ref-sifre-d.2.4.7,ויהי בארבעים שנה בעשתי עשר חדש ,ויהי בארבעים שנה בעשתי עשר חודש ,5,5,702.0,37.0,0.03125,0.0,3080000030
30,40,ref-b.02.04.04.56a.7.6-ref-b.02.04.04.56a.7.13,ref-sifre-d.2.4.26-ref-sifre-d.2.4.33,1455895,1455938,199670,199677,ref-b.2.4.4.56a.7.6,ref-b.2.4.4.56a.7.13,7615,7658,1275,1282,ref-sifre-d.2.4.26,ref-sifre-d.2.4.33,ויקרא יעקב אל בניו ויאמר האספו ואגידה לכם ,ויקרא יעקב אל בניו ויאמר האספו ואגידה לכם ,7,7,396.0,40.0,0.0,0.0,3080000031
31,41,ref-b.03.03.04.38a.12.3-ref-b.03.03.04.38a.12.9,ref-sifre-d.2.6.58-ref-sifre-d.2.6.64,3683413,3683443,507442,507448,ref-b.3.3.4.38a.12.3,ref-b.3.3.4.38a.12.9,8484,8514,1406,1412,ref-sifre-d.2.6.58,ref-sifre-d.2.6.64,הנני ענו בי נגד ה' ונגד משיחו ,הנני ענו בי נגד ה' ונגד משיחו ,6,6,1458.0,41.0,0.0,0.0,3080000032
32,42,ref-b.04.05.03.23b.13.6-ref-b.04.05.03.23b.13.24,ref-sifre-d.2.6.58-ref-sifre-d.2.6.70,6495814,6495903,908653,908670,ref-b.4.5.3.23b.13.6,ref-b.4.5.3.23b.13.24,8484,8544,1406,1418,ref-sifre-d.2.6.58,ref-sifre-d.2.6.70,הנני ענו בי נגד ה' ונגד משיחו את שור מי לקחתי ויאמרו לא עשקתנו ולא רצותנו ויאמר עד ה' ,הנני ענו בי נגד ה' ונגד משיחו ויאמרו לא ויאמר אליהם עד ה' ,17,12,3165.0,41.0,0.4069767441860465,0.4666666666666667,3080000033
33,43,ref-b.02.03.02.21a.13.19-ref-b.02.03.02.21a.13.35,ref-sifre-d.2.6.66-ref-sifre-d.2.7.12,1002694,1002778,138987,139003,ref-b.2.3.2.21a.13.19,ref-b.2.3.2.21a.13.35,8523,8626,1415,1429,ref-sifre-d.2.6.66,ref-sifre-d.2.7.12,אמרו דוד ולא פירשו אמרו איוב ולא פירשו אמרו יחזקאל ולא פירשו עד שבא זכריה בן עדו ,לא ויאמר אליהם עד ה' בכם היום ויאמר עד וכן אתה מוצא בדוד שלא הוכיח את ישראל אלא סמוך למיתה שנאמר ,16,14,285.0,41.0,0.7319587628865979,0.8260869565217391,3080000034
34,44,ref-b.02.01.09.89a.4.4-ref-b.02.01.09.89a.4.20,ref-sifre-d.3.1.16-ref-sifre-d.3.1.28,655418,655491,91008,91020,ref-b.2.1.9.89a.4.4,ref-b.2.1.9.89a.4.20,8912,8973,1471,1480,ref-sifre-d.3.1.16,ref-sifre-d.3.1.28,אמר לו תורה שנתן לך הקדוש ברוך הוא היכן היא אמר לו וכי מה אני שנתן לי ,אמרו לו חיילותיו תן לנו את גלוסקאות חמות אמר להם אני נותן לכם ,12,9,228.0,44.0,0.6142857142857143,0.8666666666666667,3080000035
35,45,ref-b.03.05.07.35b.6.14-ref-b.03.05.07.35b.6.20,ref-sifre-d.4.1.1-ref-sifre-d.4.1.7,4018352,4018389,555122,555128,ref-b.3.5.7.35b.6.14,ref-b.3.5.7.35b.6.20,9699,9736,1604,1610,ref-sifre-d.4.1.1,ref-sifre-d.4.1.7,בעבר הירדן בארץ מואב הואיל משה באר ,בעבר הירדן בארץ מואב הואיל משה באר ,6,6,1654.0,45.0,0.0,0.0,3080000036
36,46,ref-b.05.01.14.120a.9.2-ref-b.05.01.14.120a.9.10,ref-sifre-d.4.1.35-ref-sifre-d.4.1.45,7137634,7137681,1001729,1001737,ref-b.5.1.14.120a.9.2,ref-b.5.1.14.120a.9.10,9880,9936,1636,1644,ref-sifre-d.4.1.35,ref-sifre-d.4.1.45,ויאמר שאול פוצו בעם ואמרתם להם הגישו אלי איש ,ויואל משה לשבת את האיש ואומר ויואל שאול את העם לאמר ,8,8,3480.0,46.0,0.6923076923076923,0.5454545454545454,3080000037
37,47,ref-b.04.04.01.18a.3.4-ref-b.04.04.01.18a.3.12,ref-sifre-d.5.2.18-ref-sifre-d.5.2.28,5991130,5991176,832811,832819,ref-b.4.4.1.18a.3.4,ref-b.4.4.1.18a.3.12,10311,10369,1710,1720,ref-sifre-d.5.2.18,ref-sifre-d.5.2.28,עליהם שרי אלפים שרי מאות שרי חמשים ושרי עשרות ,עליכם ע' זקנים ושרי אלפים ושרי מאות ושרי נ' ושרי עשרות ,8,10,2539.0,47.0,0.32727272727272727,0.6666666666666667,3080000038
38,48,ref-b.04.01.07.81b.6.14-ref-b.04.01.07.81b.6.22,ref-sifre-d.6.1.1-ref-sifre-d.6.1.14,4940859,4940903,683098,683106,ref-b.4.1.7.81b.6.14,ref-b.4.1.7.81b.6.22,10434,10499,1733,1746,ref-sifre-d.6.1.1,ref-sifre-d.6.1.14,פנו וסעו לכם ובאו הר האמורי ואל כל שכניו ,פנו וסעו לכם זה דרך ערד וחרמה ובאו אל הר האמורי ואל כל שכניו ,8,13,2140.0,48.0,0.32786885245901637,0.33333333333333337,3080000039
39,49,ref-b.04.04.02.20b.8.10-ref-b.04.04.02.20b.8.22,ref-sifre-d.6.2.5-ref-sifre-d.6.2.15,6002367,6002442,834541,834553,ref-b.4.4.2.20b.8.10,ref-b.4.4.2.20b.8.22,10729,10793,1789,1799,ref-sifre-d.6.2.5,ref-sifre-d.6.2.15,בכניסתן לארץ להעמיד להם מלך ולהכרית זרעו של עמלק ולבנות להם בית הבחירה ,נכנסים לארץ צריכים אתם להעמיד עליכם מלך ולבנות לכם בית הבחירה ,12,10,2551.0,49.0,0.39436619718309857,0.6470588235294117,3080000040
40,50,ref-b.04.04.02.20b.11.9-ref-b.04.04.02.20b.11.21,ref-sifre-d.6.2.5-ref-sifre-d.6.2.15,6002721,6002796,834597,834609,ref-b.4.4.2.20b.11.9,ref-b.4.4.2.20b.11.21,10729,10793,1789,1799,ref-sifre-d.6.2.5,ref-sifre-d.6.2.15,בכניסתן לארץ להעמיד להם מלך ולהכרית זרעו של עמלק ולבנות להם בית הבחירה ,נכנסים לארץ צריכים אתם להעמיד עליכם מלך ולבנות לכם בית הבחירה ,12,10,2556.0,49.0,0.39436619718309857,0.6470588235294117,3080000041
41,51,ref-b.05.05.09.30a.12.13-ref-b.05.05.09.30a.13.6,ref-sifre-d.6.2.8-ref-sifre-d.6.2.21,8213284,8213383,1155285,1155300,ref-b.5.5.9.30a.12.13,ref-b.5.5.9.30a.13.6,10749,10827,1792,1805,ref-sifre-d.6.2.8,ref-sifre-d.6.2.21,מנין שאינו מחשב אלא במנה שנאמר והשיב את העודף העודף שבידו מכרה לו במאתים והכסיפה ועמדה על ,אתם להעמיד עליכם מלך ולבנות לכם בית הבחירה ומנין שאין לבנון אלא מלך שנאמר ,15,13,3873.0,49.0,0.7888888888888889,0.782608695652174,3080000042
42,52,ref-b.04.04.02.20b.12.17-ref-b.04.04.02.20b.13.8,ref-sifre-d.6.2.11-ref-sifre-d.6.2.21,6002898,6002992,834627,834643,ref-b.4.4.2.20b.12.17,ref-b.4.4.2.20b.13.8,10766,10827,1795,1805,ref-sifre-d.6.2.11,ref-sifre-d.6.2.21,ואין כסא אלא מלך שנאמר וישב שלמה על כסא ה' למלך ועדיין איני יודע אם לבנות להם בית הבחירה ,מלך ולבנות לכם בית הבחירה ומנין שאין לבנון אלא מלך שנאמר ,16,10,2560.0,49.0,0.7078651685393258,0.7619047619047619,3080000043
43,53,ref-b.02.08.01.3b.6.23-ref-b.02.08.01.3b.6.33,ref-sifre-d.6.2.31-ref-sifre-d.6.2.40,2249987,2250043,310100,310110,ref-b.2.8.1.3b.6.23,ref-b.2.8.1.3b.6.33,10876,10925,1815,1824,ref-sifre-d.6.2.31,ref-sifre-d.6.2.40,אשר תשלחני אל יהודה אל עיר קברות אבותי ואבננה ויאמר לי ,אשר בלבנון שלח אל הארז אשר בלבנון לאמר תנה לנו ,10,9,705.0,53.0,0.6545454545454545,0.7857142857142857,3080000044
44,54,ref-b.03.05.08.43a.11.15-ref-b.03.05.08.43a.12.1,ref-sifre-d.6.2.31-ref-sifre-d.6.2.40,4046867,4046938,559326,559338,ref-b.3.5.8.43a.11.15,ref-b.3.5.8.43a.12.1,10876,10925,1814,1823,ref-sifre-d.6.2.31,ref-sifre-d.6.2.40,אשר בנה לקח וירש וניתן לו במתנה מנין תלמוד לומר מי האיש אשר בנה בית ,אשר בלבנון שלח אל הארז אשר בלבנון לאמר תנה לנו ,12,9,1720.0,53.0,0.6764705882352942,0.8,3080000045
45,55,ref-b.02.05.06.67a.10.29-ref-b.02.05.06.67a.10.35,ref-sifre-d.6.3.11-ref-sifre-d.6.3.17,1874059,1874100,258605,258611,ref-b.2.5.6.67a.10.29,ref-b.2.5.6.67a.10.35,11130,11171,1858,1864,ref-sifre-d.6.3.11,ref-sifre-d.6.3.17,שנאמר אם יהיו חטאיכם כשנים כשלג ילבינו ,שנאמר אם יהיו חטאיכם כשנים כשלג ילבינו ,6,6,592.0,55.0,0.0,0.0,3080000046
