baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-sifre-n,baseOrder,grp-ref-m,dam-lev,jac,lcs_len_char,lcs_str_char,lcc_distance,id
ref-m.1.6.1.4.23-ref-m.1.6.1.5.68,ref-sifre-n.120.1.76-ref-sifre-n.120.1.138,68699,69065,ref-m.1.6.1.4.23,ref-m.1.6.1.5.68,201125,201464,ref-sifre-n.120.1.76,ref-sifre-n.120.1.138,"ממנו גזירה שוה והרמותם ממנו שלא יתרום מן המחובר על התלוש ולא מן התלוש על המחובר ולא מן החדש על הישן ולא מן הישן על החדש והרמותם ממנו שלא יתרום מפירות הארץ על פירות חו""ל ולא מפירות חו""ל על פירות הארץ ת""ל ויקרא כז וכל מעשר הארץ שלא יתרום מפירות הארץ על פירות חו""ל ולא מפירות חו""ל על פירות הארץ והרמותם ממנו תרומת","ממנו גזירה שוה והרמותם ממנו שלא יתרום מן המחובר על התלוש ולא מן התלוש על המחובר ולא מן החדש על הישן ולא מן הישן על החדש והרמותם ממנו שלא יתרום מפירות הארץ על פירות חו""ל ולא מפירות חו""ל על פירות הארץ ת""ל ויקרא כז וכל מעשר הארץ שלא יתרום מפירות הארץ על פירות חו""ל ולא מפירות חו""ל על פירות הארץ והרמותם ממנו תרומת",63,63,419,419.0,11,11.0,0.0,0.0,310,"ממנו גזירה שוה והרמותם ממנו שלא יתרום מן המחובר על התלוש ולא מן התלוש על המחובר ולא מן החדש על הישן ולא מן הישן על החדש והרמותם ממנו שלא יתרום מפירות הארץ על פירות חו""ל ולא מפירות חו""ל על פירות הארץ ת""ל ויקרא כז וכל מעשר הארץ שלא יתרום מפירות הארץ על פירות חו""ל ולא מפירות חו""ל על פירות הארץ והרמותם ממנו תרומת",0.0,1050000011
ref-m.1.6.2.6.43-ref-m.1.6.2.6.64,ref-sifre-n.120.1.82-ref-sifre-n.120.1.103,71217,71315,ref-m.1.6.2.6.43,ref-m.1.6.2.6.64,201159,201271,ref-sifre-n.120.1.82,ref-sifre-n.120.1.103,יתרום מן המחובר על התלוש ולא מן התלוש על המחובר ולא מן החדש על הישן ולא מן הישן על החדש והרמותם ממנו,יתרום מן המחובר על התלוש ולא מן התלוש על המחובר ולא מן החדש על הישן ולא מן הישן על החדש והרמותם ממנו,22,22,422,422.0,16,16.0,0.0,0.0,100,יתרום מן המחובר על התלוש ולא מן התלוש על המחובר ולא מן החדש על הישן ולא מן הישן על החדש והרמותם ממנו,0.0,1050000012
ref-m.1.6.4.4.25-ref-m.1.6.4.5.9,ref-sifre-n.121.1.272-ref-sifre-n.121.1.284,73811,73927,ref-m.1.6.4.4.25,ref-m.1.6.4.5.9,203004,203069,ref-sifre-n.121.1.272,ref-sifre-n.121.1.284,"מעשרותיכם הרי תרומת מעשר אמור הא_מה_ת""ל תרימו את תרומת ה' בתרומה","מעשרותיכם הרי תרומת מעשר אמור הא_מה_ת""ל תרימו את תרומת ה' בתרומה",11,11,426,426.0,18,18.0,0.0,0.0,64,"מעשרותיכם הרי תרומת מעשר אמור הא_מה_ת""ל תרימו את תרומת ה' בתרומה",0.0,1050000013
ref-m.1.6.6.5.3-ref-m.1.6.6.5.12,ref-sifre-n.110.2.139-ref-sifre-n.110.2.146,78264,78319,ref-m.1.6.6.5.3,ref-m.1.6.6.5.12,158697,158739,ref-sifre-n.110.2.139,ref-sifre-n.110.2.146,מן הלקט ומן השכחה ומן הפאה ומן ההפקר ולא ממעשר ,מן החלה לקט שכחה ופאה שפטורים מן המעשר ,10,8,305,301.0,20,20.0,0.5106382978723404,0.6363636363636364,28,מן הלקט שכחה ופאה ומן המעשר ,0.4042553191489362,1050000014
ref-m.1.6.6.5.3-ref-m.1.6.6.5.12,ref-sifre-n.110.2.170-ref-sifre-n.110.2.180,78264,78319,ref-m.1.6.6.5.3,ref-m.1.6.6.5.12,158884,158941,ref-sifre-n.110.2.170,ref-sifre-n.110.2.180,מן הלקט ומן השכחה ומן הפאה ומן ההפקר ולא ממעשר ,מן החלה שהיה_בדין_ומה לקט שכחה ופאה שפטורים מן המעשר ,10,9,309,306.0,21,20.0,0.6226415094339622,0.6666666666666667,29,מן הל ומהשכחה ופאה ומן המעשר ,0.4528301886792453,1050000015
ref-m.1.6.6.6.47-ref-m.1.6.6.6.63,ref-sifre-n.5.1.174-ref-sifre-n.6.1.21,78674,78763,ref-m.1.6.6.6.47,ref-m.1.6.6.6.63,11032,11156,ref-sifre-n.5.1.174,ref-sifre-n.6.1.21,ונתן לכהן את הקדש כל שהוא ראוי להיות קדש דברי_רבי_אליעזר ורבי_עקיבא_אומר ונתן לכהן ,נתונים לכהנים ואיש_את_קדשיו_לו_יהיו כל הקדשים היו בכלל שנאמר ואיש_את_קדשיו_לו_יהיו משך הכתוב כל הקדשים ונתנם לכהנים ,13,15,35,35.0,22,22.0,0.6810344827586207,0.9444444444444444,45,נת לכה אתקדשוויהיו קדש יבלר וי_קי_ומ ונת לכה ,0.6120689655172413,1050000016
ref-m.1.8.5.11.17-ref-m.1.8.5.11.43,ref-sifre-n.120.1.62-ref-sifre-n.120.1.104,107500,107633,ref-m.1.8.5.11.17,ref-m.1.8.5.11.43,201047,201276,ref-sifre-n.120.1.62,ref-sifre-n.120.1.104,שלא יתרום מן המחובר על התלוש ולא מן התלוש על המחובר ולא מן החדש על הישן ולא מן הישן על החדש והרמותם ממנו שלא,ממנו ממין על מינו ולא ממין על שאינו מינו והרמותם ממנו מופנה להקיש ולדון ממנו גזירה שוה והרמותם ממנו שלא יתרום מן המחובר על התלוש ולא מן התלוש על המחובר ולא מן החדש על הישן ולא מן הישן על החדש והרמותם ממנו שלא יתרום מן המחובר על התלוש ולא מן התלוש על המחובר ולא מן החדש על הישן ולא מן הישן על החדש והרמותם ממנו שלא,24,66,418,418.0,23,23.0,0.6549520766773163,0.3125,108,שלא יתרום מן המחובר על התלוש ולא מן התלוש על המחובר ולא מן החדש על הישן ולא מן הישן על החדש והרמותם ממנו שלא,0.6549520766773163,1050000017
ref-m.1.9.1.1.5-ref-m.1.9.1.1.10,ref-sifre-n.110.1.131-ref-sifre-n.110.1.136,108540,108587,ref-m.1.9.1.1.5,ref-m.1.9.1.1.10,156859,156902,ref-sifre-n.110.1.131,ref-sifre-n.110.1.136,החטים והשעורים והכוסמין ושבולת שועל ושיפון ,חטים ושעורים וכוסמין ושבולת שועל ושיפון ,6,6,293,292.0,25,25.0,0.06976744186046512,0.0,40,חטים ושעורים וכוסמין ושבולת שועל ושיפון ,0.06976744186046513,1050000018
ref-m.1.9.1.1.5-ref-m.1.9.1.1.10,ref-sifre-n.142.5.13-ref-sifre-n.142.5.22,108540,108587,ref-m.1.9.1.1.5,ref-m.1.9.1.1.10,254568,254628,ref-sifre-n.142.5.13,ref-sifre-n.142.5.22,החטים והשעורים והכוסמין ושבולת שועל ושיפון ,החטים או_אינו_אלא מן השעורים וכוסמים ושבולת שועל ושיפון ,6,8,588,587.0,26,25.0,0.2857142857142857,0.4444444444444444,41,החטים והשעורים וכוסמי ושבולת שועל ושיפון ,0.2678571428571429,1050000019
ref-m.1.9.1.1.5-ref-m.1.9.1.1.10,ref-sifre-n.146.1.47-ref-sifre-n.146.1.52,108540,108587,ref-m.1.9.1.1.5,ref-m.1.9.1.1.10,259274,259321,ref-sifre-n.146.1.47,ref-sifre-n.146.1.52,החטים והשעורים והכוסמין ושבולת שועל ושיפון ,החטים והשעורים והכוסמים ושבולת שועל ושיפון ,6,6,601,601.0,27,25.0,0.023255813953488372,0.2857142857142857,42,החטים והשעורים והכוסמי ושבולת שועל ושיפון ,0.023255813953488413,1050000020
ref-m.1.9.1.1.25-ref-m.1.9.1.2.2,ref-sifre-n.148.1.84-ref-sifre-n.148.1.103,108672,108763,ref-m.1.9.1.1.25,ref-m.1.9.1.2.2,260583,260686,ref-sifre-n.148.1.84,ref-sifre-n.148.1.103,העומר ואם השרישו קודם לעומר העומר מתירן ואם לאו אסורין עד שיבא העומר הבא האוכל מהם ,לעומר ואם הביא פסול קודם לשתי הלחם לא יביא ואם הביא כשר מה הפרש בין עומר לשתי הלחם הקודם לעומר ,16,20,606,604.0,28,28.0,0.5684210526315789,0.75,48,עומר ואם היו קודם ל ה י ואם א ר  שב עומר  הל הם ,0.49473684210526314,1050000021
ref-m.1.9.1.3.2-ref-m.1.9.1.3.11,ref-sifre-n.110.2.126-ref-sifre-n.110.2.146,108989,109058,ref-m.1.9.1.3.2,ref-m.1.9.1.3.11,158618,158739,ref-sifre-n.110.2.126,ref-sifre-n.110.2.146,ופאה שחיבים בחלה שהיה_בדין_ומה שאר הפירות שחייבים במעשר פטורים מן החלה לקט שכחה ופאה שפטורים מן המעשר,לקט שכחה ופאה שחיבים בחלה שהיה_בדין_ומה שאר הפירות שחייבים במעשר פטורים מן החלה לקט שכחה ופאה שפטורים מן המעשר,17,19,301,301.0,34,34.0,0.08181818181818182,0.0,101,ופאה שחיבים בחלה שהיה_בדין_ומה שאר הפירות שחייבים במעשר פטורים מן החלה לקט שכחה ופאה שפטורים מן המעשר,0.08181818181818179,1050000022
ref-m.1.9.1.2.40-ref-m.1.9.1.3.11,ref-sifre-n.110.2.169-ref-sifre-n.110.2.191,108956,109058,ref-m.1.9.1.2.40,ref-m.1.9.1.3.11,158875,159009,ref-sifre-n.110.2.169,ref-sifre-n.110.2.191,לקט שכחה ופאה שפטורים מן המעשר חייבים בחלה שאר פירות שחייבים,שפטורים מן החלה שהיה_בדין_ומה לקט שכחה ופאה שפטורים מן המעשר חייבים בחלה שאר פירות שחייבים במעשר אינו דין שיהיו חייבים בחלה,11,21,307,307.0,29,29.0,0.5121951219512195,0.2142857142857143,60,לקט שכחה ופאה שפטורים מן המעשר חייבים בחלה שאר פירות שחייבים,0.5121951219512195,1050000023
ref-m.1.9.1.2.40-ref-m.1.9.1.3.11,ref-sifre-n.110.2.219-ref-sifre-n.110.2.268,108956,109058,ref-m.1.9.1.2.40,ref-m.1.9.1.3.11,159158,159442,ref-sifre-n.110.2.219,ref-sifre-n.110.2.268,שפטורה מן המעשר שתהא חיבת בחלה לא_אם_אמרת בלקט שכחה ופאה שמינם חיבת במעשרות לפיכך חייבים,שחייבים במעשר פטורים מן החלה עיסת שביעית שפטורה מן המעשר אינו דיו שתהא פטורה מן החלה והרי לקט שכחה ופאה יוכיחו שפטורים מו המעשר חייבים בחלה והן יוכיחו לעיסת שביעית שאף_על_פי שפטורה מן המעשר שתהא חיבת בחלה לא_אם_אמרת בלקט שכחה ופאה שמינם חיבת במעשרות,15,44,313,313.0,30,30.0,0.751004016064257,0.48,75,שפטורה מן המעשר שתהא חיבת בחלה לא_אם_אמרת בלקט שכחה ופאה שמינם חיבת במעשרות,0.6987951807228916,1050000024
ref-m.1.9.1.4.7-ref-m.1.9.1.4.10,ref-sifre-n.110.1.138-ref-sifre-n.110.1.141,109230,109264,ref-m.1.9.1.4.7,ref-m.1.9.1.4.10,156908,156940,ref-sifre-n.110.1.138,ref-sifre-n.110.1.141,האורז והדוחן והפרגים והשומשמין ,אורז ודוחן והפרגים והשומשומים ,4,4,296,295.0,36,36.0,0.12903225806451613,0.4,28,אורז ודוחן והפרגים והשומשמי ,0.09677419354838712,1050000025
ref-m.1.9.1.4.19-ref-m.1.9.1.5.18,ref-sifre-n.110.2.209-ref-sifre-n.110.2.234,109335,109488,ref-m.1.9.1.4.19,ref-m.1.9.1.5.18,159104,159249,ref-sifre-n.110.2.209,ref-sifre-n.110.2.234,עיסת שביעית שהיא חיבת בחלה שהיה_בדין_ומה שאר פירות שחייבים במעשר פטורים מן החלה עיסת שביעית שפטורה מן המעשר אינו דיו שתהא פטורה מן החלה,עיסת שביעית שהיא חיבת בחלה שהיה_בדין_ומה שאר פירות שחייבים במעשר פטורים מן החלה עיסת שביעית שפטורה מן המעשר אינו דיו שתהא פטורה מן החלה,24,24,311,311.0,37,37.0,0.0,0.0,135,עיסת שביעית שהיא חיבת בחלה שהיה_בדין_ומה שאר פירות שחייבים במעשר פטורים מן החלה עיסת שביעית שפטורה מן המעשר אינו דיו שתהא פטורה מן החלה,0.0,1050000026
ref-m.1.9.1.4.22-ref-m.1.9.1.5.18,ref-sifre-n.110.2.279-ref-sifre-n.110.2.291,109357,109488,ref-m.1.9.1.4.22,ref-m.1.9.1.5.18,159505,159579,ref-sifre-n.110.2.279,ref-sifre-n.110.2.291,פטורה מן החלה תלמוד לומר לדורותיכם להביא אה עיסת שביעית שתהא חיבת בחלה,פטורה מן החלה תלמוד לומר לדורותיכם להביא אה עיסת שביעית שתהא חיבת בחלה,13,13,318,318.0,39,39.0,0.0,0.0,70,פטורה מן החלה תלמוד לומר לדורותיכם להביא אה עיסת שביעית שתהא חיבת בחלה,0.0,1050000027
ref-m.1.9.1.7.19-ref-m.1.9.1.8.8,ref-sifre-n.110.2.169-ref-sifre-n.110.2.182,109748,109814,ref-m.1.9.1.7.19,ref-m.1.9.1.8.8,158875,158954,ref-sifre-n.110.2.169,ref-sifre-n.110.2.182,פטורה מן החלה עיסת הכלבים בזמן שהרועים אוכלין ממנה חייבת בחלה ,שפטורים מן החלה שהיה_בדין_ומה לקט שכחה ופאה שפטורים מן המעשר חייבים בחלה ,11,12,306,306.0,41,41.0,0.5342465753424658,0.8823529411764706,39,פטור מן החלה יהבין שה אוי מה חייב בחלה ,0.4657534246575342,1050000028
ref-m.1.9.2.1.1-ref-m.1.9.2.2.8,ref-sifre-n.110.1.42-ref-sifre-n.110.1.70,110367,110506,ref-m.1.9.2.1.1,ref-m.1.9.2.2.8,156382,156541,ref-sifre-n.110.1.42,ref-sifre-n.110.1.70,"שנכנסו לארץ מיד נתחייבו בחלה אשר אני מביא אתכם שמה מכאן_אתה_אומר פירות חו""ל שנכנסו לארץ חייבים בחלה ובמעשר יצאו מכאן לשם ר' אליעזר מחייב ור' עקיבא פוטר","שנכנסו לארץ מיד נתחייבו בחלה אשר אני מביא אתכם שמה מכאן_אתה_אומר פירות חו""ל שנכנסו לארץ חייבים בחלה ובמעשר יצאו מכאן לשם ר' אליעזר מחייב ור' עקיבא פוטר",27,27,287,287.0,42,42.0,0.0,0.0,151,"שנכנסו לארץ מיד נתחייבו בחלה אשר אני מביא אתכם שמה מכאן_אתה_אומר פירות חו""ל שנכנסו לארץ חייבים בחלה ובמעשר יצאו מכאן לשם ר' אליעזר מחייב ור' עקיבא פוטר",0.0,1050000029
ref-m.1.9.3.1.1-ref-m.1.9.3.1.31,ref-sifre-n.110.2.24-ref-sifre-n.110.2.53,111777,111955,ref-m.1.9.3.1.1,ref-m.1.9.3.1.31,158019,158199,ref-sifre-n.110.2.24,ref-sifre-n.110.2.53,אוכלין עראי מן העיסה עד שתתגלגל בחטים ותטמטם בשעורים גלגלה בחטים וטמטמה בשעורים האוכל ממנה חייב מיתה כיון שהיא נותנת את המים מגבהת חלתה ובלבד_שלא_יהא שם חמשה רבעי קמח ,אוכלים ארעי מן העיסה עד שתתגלגל בחטים ותיטמטם בשעורים בלבלה גלגלה בחטים וטימטמה בשעורים האוכל ממנה חייב מיתה כאן כיון שנותנת מים מגבהת חלתה ובלבד שתהא שם חמשת רבעים קמח ,29,30,298,298.0,44,44.0,0.17159763313609466,0.5,150,אוכלי אי מן העיסה עד שתתגלגל בחטים ותטמטם בשעורים גלגלה בחטים וטמטמה בשעורים האוכל ממנה חייב מיתה כיון שנותנת מים מגבהת חלתה ובלבדשהא שם חמש רבעי קמח ,0.1124260355029586,1050000030
ref-m.1.9.3.1.5-ref-m.1.9.3.1.9,ref-sifre-n.110.2.81-ref-sifre-n.110.2.85,111799,111834,ref-m.1.9.3.1.5,ref-m.1.9.3.1.9,158341,158376,ref-sifre-n.110.2.81,ref-sifre-n.110.2.85,עד שתתגלגל בחטים ותטמטם בשעורים ,עד שיתגלגל בחטים ומטמטם בשעורים ,5,5,300,300.0,45,44.0,0.0625,0.5714285714285714,30,עד שתגלגל בחטים וטמטם בשעורים ,0.0625,1050000031
ref-m.1.10.1.6.3-ref-m.1.10.1.6.17,ref-sifre-n.121.1.427-ref-sifre-n.121.1.432,116409,116491,ref-m.1.10.1.6.3,ref-m.1.10.1.6.17,203767,203801,ref-sifre-n.121.1.427,ref-sifre-n.121.1.432,ערלה ושל כלאי הכרם שנתערבו בנטיעות הרי_זה_לא ילקוט ואם לקט יעלה באחד ומאתים ,עולה באחד ומאה ערלה וכלאי הכרם ,13,6,428,428.0,46,46.0,0.7631578947368421,0.6428571428571428,20,עולה בא וא עלה ואים ,0.736842105263158,1050000032
ref-m.1.10.2.1.8-ref-m.1.10.2.1.29,ref-sifre-n.121.1.427-ref-sifre-n.122.1.3,117136,117261,ref-m.1.10.2.1.8,ref-m.1.10.2.1.29,203767,203835,ref-sifre-n.121.1.427,ref-sifre-n.122.1.3,עולה באחד ומאה ערלה וכלאי הכרם באחד ומאתים אמרת אליהם בהרימכם,עולה באחד ומאה ערלה וכלאי הכרם באחד ומאתים אמרת אליהם בהרימכם,11,11,429,429.0,47,47.0,0.0,0.0,61,עולה באחד ומאה ערלה וכלאי הכרם באחד ומאתים אמרת אליהם בהרימכם,0.0,1050000033
ref-m.1.11.1.9.10-ref-m.1.11.1.9.16,ref-sifre-n.5.1.149-ref-sifre-n.5.1.155,122913,122948,ref-m.1.11.1.9.10,ref-m.1.11.1.9.16,10908,10943,ref-sifre-n.5.1.149,ref-sifre-n.5.1.155,ראשית בכורי אדמתך תביא בית ה' אלהיך ,ראשית בכורי אדמתך תביא בית ה' אלהיך ,7,7,34,34.0,49,49.0,0.0,0.0,36,ראשית בכורי אדמתך תביא בית ה' אלהיך ,0.0,1050000034
ref-m.1.11.4.1.23-ref-m.1.11.4.2.17,ref-sifre-n.22.1.115-ref-sifre-n.22.1.136,127656,127788,ref-m.1.11.4.1.23,ref-m.1.11.4.2.17,33114,33226,ref-sifre-n.22.1.115,ref-sifre-n.22.1.136,נשים כאנשים תלמוד_לומר_איש_או_אשה לעשות נשים כאנשים איש ולא קטן שהיה_בדין_ומה_אם_במקום שלא עשה נשים כאנשים תלמוד_לומר_איש_או_אשה לעשות נשים כאנשים איש ולא קטן שהיה_בדין_ומה_אם_במקום שלא עשה נשים כאנשים,נשים כאנשים תלמוד_לומר_איש_או_אשה לעשות נשים כאנשים איש ולא קטן שהיה_בדין_ומה_אם_במקום שלא עשה נשים כאנשים תלמוד_לומר_איש_או_אשה לעשות נשים כאנשים איש ולא קטן שהיה_בדין_ומה_אם_במקום שלא עשה נשים כאנשים,26,26,133,133.0,50,50.0,0.0,0.0,201,נשים כאנשים תלמוד_לומר_איש_או_אשה לעשות נשים כאנשים איש ולא קטן שהיה_בדין_ומה_אם_במקום שלא עשה נשים כאנשים תלמוד_לומר_איש_או_אשה לעשות נשים כאנשים איש ולא קטן שהיה_בדין_ומה_אם_במקום שלא עשה נשים כאנשים,0.0,1050000035
ref-m.2.2.10.15.45-ref-m.2.2.10.15.51,ref-sifre-n.112.1.336-ref-sifre-n.112.1.354,178725,178762,ref-m.2.2.10.15.45,ref-m.2.2.10.15.51,165314,165416,ref-sifre-n.112.1.336,ref-sifre-n.112.1.354,שחייבין על זדונה כרת ושגגתה חטאת אף כל העושה מעשה בשגגה מעשה שחייבים על זדונה כרת ועל שגגתה חטאת,שחייבין על זדונה כרת ושגגתה חטאת אף כל העושה מעשה בשגגה מעשה שחייבים על זדונה כרת ועל שגגתה חטאת,19,19,341,341.0,52,52.0,0.0,0.0,96,שחייבין על זדונה כרת ושגגתה חטאת אף כל העושה מעשה בשגגה מעשה שחייבים על זדונה כרת ועל שגגתה חטאת,0.0,1050000036
ref-m.2.3.1.6.41-ref-m.2.3.1.6.52,ref-sifre-n.1.4.76-ref-sifre-n.1.4.94,180055,180118,ref-m.2.3.1.6.41,ref-m.2.3.1.6.52,2203,2294,ref-sifre-n.1.4.76,ref-sifre-n.1.4.94,שטבול יום מטמא טמא מת מטמא חמור טמא מת שהוא מטמא את האדם כל שמחוסר כפורים פוסל טבול יום,שטבול יום מטמא טמא מת מטמא חמור טמא מת שהוא מטמא את האדם כל שמחוסר כפורים פוסל טבול יום,19,19,9,9.0,55,55.0,0.0,0.0,87,שטבול יום מטמא טמא מת מטמא חמור טמא מת שהוא מטמא את האדם כל שמחוסר כפורים פוסל טבול יום,0.0,1050000037
