baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-bible,baseOrder,grp-ref-y,dam-lev,jac,lcc_len,lcs_str,id,bRangeOriginal,cRangeOriginal
ref-y.1.1.1.1.21.66-ref-y.1.1.1.1.21.73,ref-bible.0302.8.27.2-ref-bible.302.8.27.9,6484,6524,ref-y.1.1.1.1.21.66,ref-y.1.1.1.1.21.73,1264469,1264503,ref-bible.0302.8.27.2,ref-bible.0302.8.27.9,שמים יתהלך וכתיב בחוקו חוג על פני תהום ,שמים שם אני בחוקו חוג על פני תהום ,8,8,2695,2695.0,13,12.0,0.2307692307692307,0.4,6,שמים בחוקו חוג על פני תהום,7090000011,8,8
ref-y.1.1.1.1.22.29-ref-y.1.1.1.1.22.35,ref-bible.0301.1.3.1-ref-bible.301.1.3.9,6678,6709,ref-y.1.1.1.1.22.29,ref-y.1.1.1.1.22.35,1152438,1152478,ref-bible.0301.1.3.1,ref-bible.0301.1.3.9,והיה כעץ שתול על פלגי מים תני ,והיה כעץ שתול על פלגי מים אשר פריו יתן ,7,9,2458,2458.0,14,14.0,0.282051282051282,0.25,6,והיה כעץ שתול על פלגי מים,7090000012,7,9
ref-y.1.1.1.1.22.36-ref-y.1.1.1.1.22.50,ref-bible.0101.2.9.12-ref-bible.101.2.10.6,6710,6786,ref-y.1.1.1.1.22.36,ref-y.1.1.1.1.22.50,2910,2981,ref-bible.0101.2.9.12,ref-bible.0101.2.10.6,עץ חיים אחד מששים לגן וגן אחד מששים לעדן ונחר יוצא מעדן להשקות את הגן ,ועץ החיים בתוך הגן ועץ הדעת טוב ורע ונהר יצא מעדן להשקות את הגן ,15,14,29,29.0,15,15.0,0.4,0.5333333333333333,4,מעדן להשקות את הגן,7090000013,15,14
ref-y.1.1.1.1.22.113-ref-y.1.1.1.1.22.117,ref-bible.0101.1.6.3-ref-bible.101.1.6.7,7107,7130,ref-y.1.1.1.1.22.113,ref-y.1.1.1.1.22.117,279,304,ref-bible.0101.1.6.3,ref-bible.0101.1.6.7,יהי רקיע בתוך המים יהי ,יהי רקיע בתוך המים ויהי ,5,5,2,1.0,16,16.0,0.0416666666666666,0.0,4,יהי רקיע בתוך המים,7090000014,5,5
ref-y.1.1.1.1.23.19-ref-y.1.1.1.1.23.24,ref-bible.0303.37.18.1-ref-bible.303.37.18.6,7428,7461,ref-y.1.1.1.1.23.19,ref-y.1.1.1.1.23.24,1327722,1327756,ref-bible.0303.37.18.1,ref-bible.0303.37.18.6,תרקיע עמו לשחקים חזקים בראי מוצק ,תרקיע עמו לשחקים חזקים כראי מוצק ,6,6,2838,2838.0,17,17.0,0.0303030303030303,0.0,5,תרקיע עמו לשחקים חזקים מוצק,7090000015,6,6
ref-y.1.1.1.1.24.62-ref-y.1.1.1.1.24.70,ref-bible.0101.2.1.1-ref-bible.101.2.2.4,7882,7939,ref-y.1.1.1.1.24.62,ref-y.1.1.1.1.24.70,2292,2348,ref-bible.0101.2.1.1,ref-bible.0101.2.2.4,ויכולו השמים והארץ וכל צבאם ויכל אלהים ביום השביעי ,ויכלו השמים והארץ וכל צבאם ויכל אלהים ביום השביעי ,9,9,21,21.0,18,18.0,0.0196078431372549,0.0,8,השמים והארץ וכל צבאם ויכל אלהים ביום השביעי,7090000016,9,9
ref-y.1.1.1.1.24.106-ref-y.1.1.1.1.24.116,ref-bible.0101.2.3.14-ref-bible.0101.2.4.11,8112,8175,ref-y.1.1.1.1.24.106,ref-y.1.1.1.1.24.116,2470,2551,ref-bible.0101.2.3.14,ref-bible.0101.2.4.11,אלה תולדות השמים והארץ בהבראם ביום עשות יהוה אלהים ארץ ושמים,ברא אלהים לעשות אלה תולדות השמים והארץ בהבראם ביום עשות יהוה אלהים ארץ ושמים,11,14,23,23.0,19,19.0,0.2105263157894736,0.1111111111111111,11,אלה תולדות השמים והארץ בהבראם ביום עשות יהוה אלהים ארץ ושמים,7090000017,11,14
ref-y.1.1.1.1.26.12-ref-y.1.1.1.1.26.19,ref-bible.0301.119.62.1-ref-bible.301.119.62.8,8569,8607,ref-y.1.1.1.1.26.12,ref-y.1.1.1.1.26.19,1238345,1238383,ref-bible.0301.119.62.1,ref-bible.0301.119.62.8,חצות לילה אקום להודות לך על משפטי צדקך ,חצות לילה אקום להודות לך על משפטי צדקך ,8,8,2638,2638.0,21,21.0,0.0,0.0,8,חצות לילה אקום להודות לך על משפטי צדקך,7090000018,8,8
ref-y.1.1.1.1.26.101-ref-y.1.1.1.1.26.107,ref-bible.0301.57.9.1-ref-bible.301.57.9.7,9032,9071,ref-y.1.1.1.1.26.101,ref-y.1.1.1.1.26.107,1190030,1190068,ref-bible.0301.57.9.1,ref-bible.0301.57.9.7,עורה כבודי עורה הנבל וכינור אעירה שחר ,עורה כבודי עורה הנבל וכנור אעירה שחר ,7,7,2544,2544.0,22,22.0,0.0263157894736842,0.0,6,עורה כבודי עורה הנבל אעירה שחר,7090000019,7,7
ref-y.1.1.1.1.26.102-ref-y.1.1.1.1.26.107,ref-bible.0301.108.2.7-ref-bible.301.108.3.5,9037,9071,ref-y.1.1.1.1.26.102,ref-y.1.1.1.1.26.107,1230581,1230614,ref-bible.0301.108.2.7,ref-bible.0301.108.3.5,כבודי עורה הנבל וכינור אעירה שחר ,כבודי עורה הנבל וכנור אעירה שחר ,6,6,2624,2624.0,23,22.0,0.0303030303030303,0.0,5,כבודי עורה הנבל אעירה שחר,7090000020,6,6
ref-y.1.1.1.1.26.159-ref-y.1.1.1.1.26.166,ref-bible.0301.119.62.1-ref-bible.301.119.62.8,9331,9370,ref-y.1.1.1.1.26.159,ref-y.1.1.1.1.26.166,1238345,1238383,ref-bible.0301.119.62.1,ref-bible.0301.119.62.8,חצות לילה אקום והוא אומר על משפטי צדקך ,חצות לילה אקום להודות לך על משפטי צדקך ,8,8,2639,2638.0,24,24.0,0.1794871794871795,0.3333333333333333,6,חצות לילה אקום על משפטי צדקך,7090000021,8,8
ref-y.1.1.1.1.26.424-ref-y.1.1.1.1.26.432,ref-bible.0301.4.5.1-ref-bible.301.4.5.9,10723,10772,ref-y.1.1.1.1.26.424,ref-y.1.1.1.1.26.432,1153665,1153713,ref-bible.0301.4.5.1,ref-bible.0301.4.5.9,רגזו ואל תחטאו אמרו בלבבכם על משכבכם ודומו סלה ,רגזו ואל תחטאו אמרו בלבבכם על משכבכם ודמו סלה ,9,9,2462,2462.0,25,25.0,0.0212765957446808,0.0,8,רגזו ואל תחטאו אמרו בלבבכם על משכבכם סלה,7090000022,9,9
ref-y.1.1.1.1.34.52-ref-y.1.1.1.1.34.73,ref-bible.0105.24.15.10-ref-bible.105.24.15.20,13467,13573,ref-y.1.1.1.1.34.52,ref-y.1.1.1.1.34.73,387854,387903,ref-bible.0105.24.15.10,ref-bible.0105.24.15.20,אינון אמרי ליה ולא את הוא שאת מתיר אמר ליה ואין חבירי חולקין עלי וקרי עלוי ופורץ גדר ישכנו נחש וכן הות ,הוא ואליו הוא נשא את נפשו ולא יקרא עליך אל יהוה ,22,11,1348,1348.0,26,26.0,0.7087378640776699,0.8125,1,הוא,7090000023,22,11
ref-y.1.1.1.2.2.48-ref-y.1.1.1.2.3.3,ref-bible.0209.1.26.6-ref-bible.0209.1.26.15,15156,15203,ref-y.1.1.1.2.2.48,ref-y.1.1.1.2.3.3,981873,981925,ref-bible.0209.1.26.6,ref-bible.0209.1.26.15,כמראה אבן ספיר דמות כסא ועל דמות הכסא דמות כמראה,כמראה אבן ספיר דמות כסא ועל דמות הכסא דמות כמראה,10,10,2213,2213.0,29,29.0,0.0,0.0,10,כמראה אבן ספיר דמות כסא ועל דמות הכסא דמות כמראה,7090000024,10,10
ref-y.1.1.1.2.2.40-ref-y.1.1.1.2.3.3,ref-bible.0209.10.1.1-ref-bible.0209.10.2.1,15115,15203,ref-y.1.1.1.2.2.40,ref-y.1.1.1.2.3.3,993776,993862,ref-bible.0209.10.1.1,ref-bible.0209.10.2.1,ואראה והנה אל הרקיע אשר על ראש הכרבים כאבן ספיר כמראה דמות כסא נראה עליהם ויאמר,ואראה והנה אל הרקיע אשר על ראש הכרבים כאבן ספיר כמראה דמות כסא נראה עליהם ויאמר,16,16,2225,2224.0,27,27.0,0.0,0.0,14,ואראה והנה אל הרקיע אשר_על_ראש הכרבים כאבן ספיר כמראה דמות כסא נראה עליהם ויאמר,7090000025,16,16
ref-y.1.1.1.2.8.298-ref-y.1.1.1.2.8.303,ref-bible.0105.6.7.5-ref-bible.105.6.7.10,18374,18417,ref-y.1.1.1.2.8.298,ref-y.1.1.1.2.8.303,352887,352930,ref-bible.0105.6.7.5,ref-bible.0105.6.7.10,בשבתך בביתך ובלכתך בדרך ובשכבך ובקומך ,בשבתך בביתך ובלכתך בדרך ובשכבך ובקומך ,6,6,1153,1153.0,31,31.0,0.0,0.0,6,בשבתך בביתך ובלכתך בדרך ובשכבך ובקומך,7090000026,6,6
ref-y.1.1.1.2.8.298-ref-y.1.1.1.2.8.303,ref-bible.0105.11.19.7-ref-bible.105.11.19.12,18374,18417,ref-y.1.1.1.2.8.298,ref-y.1.1.1.2.8.303,363665,363708,ref-bible.0105.11.19.7,ref-bible.0105.11.19.12,בשבתך בביתך ובלכתך בדרך ובשכבך ובקומך ,בשבתך בביתך ובלכתך בדרך ובשכבך ובקומך ,6,6,1175,1175.0,32,31.0,0.0,0.0,6,בשבתך בביתך ובלכתך בדרך ובשכבך ובקומך,7090000027,6,6
ref-y.1.1.1.2.8.338-ref-y.1.1.1.2.8.343,ref-bible.0201.17.11.11-ref-bible.201.17.11.17,18603,18644,ref-y.1.1.1.2.8.338,ref-y.1.1.1.2.8.343,446446,446485,ref-bible.0201.17.11.11,ref-bible.0201.17.11.17,בשבתך בביתך ובלכתך בדרך בשבתך בביתך ,ישבי דאר ובנותיה וישבי עין דר ובנתיה ,6,7,1478,1478.0,33,33.0,0.7297297297297297,1.0,0,,7090000028,6,7
ref-y.1.1.1.4.2.61-ref-y.1.1.1.4.2.68,ref-bible.0215.2.6.1-ref-bible.215.2.6.8,19916,19953,ref-y.1.1.1.4.2.61,ref-y.1.1.1.4.2.68,1115039,1115074,ref-bible.0215.2.6.1,ref-bible.0215.2.6.8,אל תטיפו יטיפון אל יטיפו לאלה לא יסג ,אל תטפו יטיפון לא יטפו לאלה לא יסג ,8,8,2377,2376.0,34,34.0,0.081081081081081,0.0,5,אל יטיפון לאלה לא יסג,7090000029,8,8
ref-y.1.1.1.4.3.169-ref-y.1.1.1.4.3.175,ref-bible.0301.119.164.1-ref-bible.301.119.165.2,21098,21131,ref-y.1.1.1.4.3.169,ref-y.1.1.1.4.3.175,1241741,1241779,ref-bible.0301.119.164.1,ref-bible.0301.119.165.2,שבע ביו' הללתיך על משפטי צדקך ר' ,שבע ביום הללתיך על משפטי צדקך שלום רב ,7,8,2640,2640.0,35,35.0,0.1842105263157894,0.5,5,שבע הללתיך על משפטי צדקך,7090000030,7,8
ref-y.1.1.1.5.2.83-ref-y.1.1.1.5.2.91,ref-bible.0310.9.14.1-ref-bible.310.9.14.9,21596,21646,ref-y.1.1.1.5.2.83,ref-y.1.1.1.5.2.91,1410836,1410886,ref-bible.0310.9.14.1,ref-bible.0310.9.14.9,ואת שבת קדשך הודעת להם ומצות וחוקי' ותורה צוית ,ואת שבת קדשך הודעת להם ומצוות וחקים ותורה צוית ,9,9,2959,2959.0,36,36.0,0.0638297872340425,0.1999999999999999,7,ואת שבת קדשך הודעת להם ותורה צוית,7090000031,9,9
ref-y.1.1.1.5.2.105-ref-y.1.1.1.5.2.109,ref-bible.0105.11.21.1-ref-bible.105.11.21.5,21712,21739,ref-y.1.1.1.5.2.105,ref-y.1.1.1.5.2.109,363741,363768,ref-bible.0105.11.21.1,ref-bible.0105.11.21.5,למען ירבו ימיכם וימי בניכם ,למען ירבו ימיכם וימי בניכם ,5,5,1176,1176.0,37,37.0,0.0,0.0,5,למען ירבו ימיכם וימי בניכם,7090000032,5,5
ref-y.1.1.1.5.2.117-ref-y.1.1.1.5.2.124,ref-bible.0104.15.39.13-ref-bible.104.15.39.18,21779,21820,ref-y.1.1.1.5.2.117,ref-y.1.1.1.5.2.124,290563,290597,ref-bible.0104.15.39.13,ref-bible.0104.15.39.18,לא תנאף לא תתורו אחרי לבבכם ואחרי עיניכם ,ולא תתרו אחרי לבבכם ואחרי עיניכם ,8,6,987,987.0,38,38.0,0.2195121951219512,0.3333333333333333,4,אחרי לבבכם ואחרי עיניכם,7090000033,8,6
ref-y.1.1.1.5.2.133-ref-y.1.1.1.5.2.139,ref-bible.0302.23.26.1-ref-bible.302.23.26.8,21865,21898,ref-y.1.1.1.5.2.133,ref-y.1.1.1.5.2.139,1281282,1281321,ref-bible.0302.23.26.1,ref-bible.0302.23.26.8,תנה בני לבך לי ועיניך דרכי תצרנה ,תנה בני לבך לי ועיניך דרכי תרצנה תצרנה ,7,8,2752,2752.0,39,39.0,0.1538461538461538,0.1428571428571429,7,תנה בני לבך לי ועיניך דרכי תצרנה,7090000034,7,8
ref-y.1.1.1.5.2.151-ref-y.1.1.1.5.2.162,ref-bible.0102.20.14.1-ref-bible.102.20.16.4,21948,22003,ref-y.1.1.1.5.2.151,ref-y.1.1.1.5.2.162,145535,145567,ref-bible.0102.20.14.1,ref-bible.0102.20.16.4,לא תגנב ואספת דגנך ולא דגנו של חברך לא תענ' ברעך עד ,לא תנאף לא תגנב לא תענה ברעך עד ,12,8,306,306.0,40,40.0,0.4423076923076923,0.75,5,לא תגנב לא ברעך עד,7090000035,12,8
ref-y.1.1.1.5.2.151-ref-y.1.1.1.5.2.162,ref-bible.0105.5.18.1-ref-bible.105.5.20.4,21948,22003,ref-y.1.1.1.5.2.151,ref-y.1.1.1.5.2.162,351219,351257,ref-bible.0105.5.18.1,ref-bible.0105.5.20.4,לא תגנב ואספת דגנך ולא דגנו של חברך לא תענ' ברעך עד ,ולא תנאף ולא תגנב ולא תענה ברעך עד ,12,8,1148,1148.0,41,40.0,0.4615384615384615,0.6666666666666667,4,תגנב ולא ברעך עד,7090000036,12,8
ref-y.1.1.1.5.9.159-ref-y.1.1.1.5.9.171,ref-bible.0205.8.54.3-ref-bible.205.8.54.13,24730,24793,ref-y.1.1.1.5.9.159,ref-y.1.1.1.5.9.171,670609,670665,ref-bible.0205.8.54.3,ref-bible.0205.8.54.13,שלמה להתפלל אל ה' את בל התפילה ואת כל התחינה הזאת קם מלפני ,שלמה להתפלל אל יהוה את כל התפלה והתחנה הזאת קם מלפני ,13,11,1818,1818.0,42,42.0,0.2372881355932203,0.2727272727272727,6,שלמה להתפלל אל הזאת קם מלפני,7090000037,13,11
ref-y.1.1.1.5.13.107-ref-y.1.1.1.5.13.114,ref-bible.0301.71.23.1-ref-bible.301.71.23.8,25613,25651,ref-y.1.1.1.5.13.107,ref-y.1.1.1.5.13.114,1200176,1200214,ref-bible.0301.71.23.1,ref-bible.0301.71.23.8,תרננה שפתי בי אזמרה לך ונפשי אשר פדית ,תרננה שפתי כי אזמרה לך ונפשי אשר פדית ,8,8,2572,2572.0,43,43.0,0.0263157894736842,0.0,7,תרננה שפתי אזמרה לך ונפשי אשר פדית,7090000038,8,8
ref-y.1.1.1.5.13.147-ref-y.1.1.1.5.13.151,ref-bible.0301.145.14.1-ref-bible.301.145.14.7,25835,25864,ref-y.1.1.1.5.13.147,ref-y.1.1.1.5.13.151,1253181,1253224,ref-bible.0301.145.14.1,ref-bible.0301.145.14.7,הוא סומך נופלים וזוקף כפופים ,סומך יהוה לכל הנפלים וזוקף לכל הכפופים ,5,7,2667,2667.0,44,44.0,0.4358974358974359,0.7142857142857143,2,סומך וזוקף,7090000039,5,7
ref-y.1.1.1.5.13.163-ref-y.1.1.1.5.13.179,ref-bible.0205.1.15.14-ref-bible.205.1.17.2,25923,25994,ref-y.1.1.1.5.13.163,ref-y.1.1.1.5.13.179,645533,645594,ref-bible.0205.1.15.14,ref-bible.0205.1.17.2,לך כריעה לך כפיפה לך השתחויה לך בריכה כי לך תכרע כל ברך תשבע כל לשון לך ,המלך ותקד בת שבע ותשתחו למלך ויאמר המלך מה לך ותאמר לו ,17,12,1757,1757.0,45,45.0,0.6805555555555556,0.9375,1,לך,7090000040,17,12
ref-y.1.1.1.5.13.171-ref-y.1.1.1.5.13.179,ref-bible.0207.45.23.9-ref-bible.207.45.24.3,25961,25994,ref-y.1.1.1.5.13.171,ref-y.1.1.1.5.13.179,840004,840047,ref-bible.0207.45.23.9,ref-bible.0207.45.24.3,כי לך תכרע כל ברך תשבע כל לשון לך ,כי לי תכרע כל ברך תשבע כל לשון אך ביהוה לי ,9,11,2080,2080.0,46,45.0,0.2558139534883721,0.0,7,כי תכרע כל ברך תשבע כל לשון,7090000041,9,11
ref-y.1.1.1.5.13.179-ref-y.1.1.1.5.13.216,ref-bible.0312.29.11.1-ref-bible.312.29.13.8,25992,26219,ref-y.1.1.1.5.13.179,ref-y.1.1.1.5.13.216,1513668,1513898,ref-bible.0312.29.11.1,ref-bible.0312.29.13.8,לך ה' הגדולה והגבור' והתפארת והנצ' וההוד כי כל בשמי' ובארץ לך ה' הממלכ' והמתנש' לכל לראש והעושר והכבוד מלפניך ואת' מושל בכל ובידך כח וגבורה ובידך לגדל ולחזק לכל ועתה אלהינו מודים אנחנו לך ומהללים לשם תפארתך ,לך יהוה הגדלה והגבורה והתפארת והנצח וההוד כי כל בשמים ובארץ לך יהוה הממלכה והמתנשא לכל לראש והעשר והכבוד מלפניך ואתה מושל בכל ובידך כח וגבורה ובידך לגדל ולחזק לכל ועתה אלהינו מודים אנחנו לך ומהללים לשם תפארתך ,38,38,3124,3124.0,47,45.0,0.0669856459330143,0.3428571428571428,28,לך והתפארת וההוד כי כל ובארץ לך לכל לראש והכבוד מלפניך מושל בכל ובידך כח וגבורה ובידך לגדל ולחזק לכל ועתה אלהינו מודים אנחנו לך ומהללים לשם תפארתך,7090000042,38,38
ref-y.1.1.1.5.13.199-ref-y.1.1.1.5.13.204,ref-bible.0313.20.6.10-ref-bible.313.20.6.17,26114,26147,ref-y.1.1.1.5.13.199,ref-y.1.1.1.5.13.204,1549610,1549657,ref-bible.0313.20.6.10,ref-bible.0313.20.6.17,ואת' מושל בכל ובידך כח וגבורה ,ואתה מושל בכל ממלכות הגוים ובידך כח וגבורה ,6,8,3200,3200.0,48,45.0,0.3255813953488372,0.4444444444444444,5,מושל בכל ובידך כח וגבורה,7090000043,6,8
ref-y.1.1.1.5.13.222-ref-y.1.1.1.5.13.233,ref-bible.0301.35.10.1-ref-bible.301.35.10.12,26246,26306,ref-y.1.1.1.5.13.222,ref-y.1.1.1.5.13.233,1173729,1173791,ref-bible.0301.35.10.1,ref-bible.0301.35.10.12,כל עצמותי תאמרנה ה' מי כמוך מציל עני מחזק ממנו ועני ואביון ,כל עצמותי תאמרנה יהוה מי כמוך מציל עני מחזק ממנו ועני ואביון ,12,12,2502,2500.0,49,49.0,0.0491803278688524,0.0999999999999999,11,כל עצמותי תאמרנה מי כמוך מציל עני מחזק ממנו ועני ואביון,7090000044,12,12
ref-y.1.1.1.5.22.94-ref-y.1.1.1.5.22.104,ref-bible.0105.16.3.14-ref-bible.0105.16.3.24,28347,28397,ref-y.1.1.1.5.22.94,ref-y.1.1.1.5.22.104,372955,373017,ref-bible.0105.16.3.14,ref-bible.0105.16.3.24,מצרים למען תזכר את יום צאתך מארץ מצרים כל ימי חייך,יצאת מארץ מצרים למען תזכר את יום צאתך מארץ מצרים כל ימי חייך,11,13,1241,1241.0,50,50.0,0.1666666666666666,0.1111111111111111,9,מצרים למען תזכר את יום צאתך מארץ מצרים כל_ימי_חייך,7090000045,11,13
ref-y.1.1.1.6.6.17-ref-y.1.1.1.6.6.27,ref-bible.0301.105.44.1-ref-bible.301.105.45.5,29532,29596,ref-y.1.1.1.6.6.17,ref-y.1.1.1.6.6.27,1226966,1227038,ref-bible.0301.105.44.1,ref-bible.0301.105.45.5,ויתן להם ארצות גוים מפני מה בעבור ישמרו חוקיו ותורותיו ינצורו ,ויתן להם ארצות גוים ועמל לאמים יירשו בעבור ישמרו חקיו ותורתיו ינצרו ,11,12,2612,2612.0,52,52.0,0.2352941176470588,0.3076923076923077,6,ויתן להם ארצות גוים בעבור ישמרו,7090000046,11,12
ref-y.1.1.1.6.7.19-ref-y.1.1.1.6.7.30,ref-bible.0101.17.5.2-ref-bible.101.17.5.9,29823,29878,ref-y.1.1.1.6.7.19,ref-y.1.1.1.6.7.30,26287,26323,ref-bible.0101.17.5.2,ref-bible.0101.17.5.9,יקרא וקרא עוד את שמך אברם הרי בלא תעשה והיה שמך אברה' ,יקרא עוד את שמך אברם והיה שמך אברהם ,12,8,84,84.0,53,53.0,0.3518518518518518,0.4444444444444444,7,יקרא עוד את שמך אברם והיה שמך,7090000047,12,8
ref-y.1.1.1.6.7.41-ref-y.1.1.1.6.7.51,ref-bible.0310.9.7.1-ref-bible.0310.9.7.7,29935,29990,ref-y.1.1.1.6.7.41,ref-y.1.1.1.6.7.51,1410223,1410259,ref-bible.0310.9.7.1,ref-bible.0310.9.7.7,אתה הוא יהוה האלהים אשר בחרת באברם,אתה הוא יהוה האלהים אשר בחרת באברם,7,7,2955,2955.0,54,54.0,0.0,0.0,7,אתה הוא יהוה האלהים אשר בחרת באברם,7090000048,7,7
