,index,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,grp-ref-y,grp-ref-sifra,dam-lev,jac,id
10,16,ref-y.3.7.1.2.29.79-ref-y.3.7.1.2.29.87,ref-sifra.1.9.28-ref-sifra.1.9.36,2846728,2846769,426644,426652,ref-y.3.7.1.2.29.79,ref-y.3.7.1.2.29.87,1934,1974,328,336,ref-sifra.1.9.28,ref-sifra.1.9.36,דן אלא בעין הפרט לומ' לך מה הפרט מפורש ,דן אלא כעין הפרט לומר לך מה הפרט מפורש ,8,8,3257.0,9.0,0.05128205128205128,0.25,4060000011
11,17,ref-y.1.8.1.3.2.59-ref-y.1.8.1.3.2.71,ref-sifra.1.9.34-ref-sifra.1.9.51,703055,703120,106263,106274,ref-y.1.8.1.3.2.59,ref-y.1.8.1.3.2.71,1960,2048,334,347,ref-sifra.1.9.34,ref-sifra.1.9.51,וולד וולדות הארץ ר' עקיבה מפרש מה הפרט מפורש דבר שהוא פרי וולד ,מה הפרט מפורש דבר שהוא וולד וולדות הארץ וגדולי קרקע אף אין לי אלא כל דבר' שהוא וולד ,11,13,443.0,9.0,0.6309523809523809,0.5714285714285714,4060000012
12,18,ref-y.2.2.3.1.3.52-ref-y.2.2.3.1.3.63,ref-sifra.1.9.34-ref-sifra.1.9.51,1135937,1136000,169192,169203,ref-y.2.2.3.1.3.52,ref-y.2.2.3.1.3.63,1960,2048,334,347,ref-sifra.1.9.34,ref-sifra.1.9.51,וולד וולדות הארץ רבי עקיבה מפרש מה הפרט מפרש שהוא פרי כוולד ,מה הפרט מפורש דבר שהוא וולד וולדות הארץ וגדולי קרקע אף אין לי אלא כל דבר' שהוא וולד ,11,13,848.0,9.0,0.6428571428571429,0.6428571428571428,4060000013
13,19,ref-y.3.5.7.4.4.4-ref-y.3.5.7.4.4.33,ref-sifra.1.10.48-ref-sifra.1.11.19,2320574,2320720,347355,347373,ref-y.3.5.7.4.4.4,ref-y.3.5.7.4.4.33,2329,2416,400,413,ref-sifra.1.10.48,ref-sifra.1.11.19,שנכללו ונפרטו דברים שנכללו ולא נפרטו אמר ליה כן אמר רבי יוחנן משום רבי שמעון כל שהיה בכלל ויצא מן הכלל ללמד לא ללמר על עצמו יצא אלא ללמד על ,לכלל כל דבר שהיה בכלל ויצא מן הכלל ללמד לא ללמד על עצמו יצא אלא ללמד על הכלל כלו יצא ,18,13,2821.0,19.0,0.6,0.5,4060000014
14,20,ref-y.2.1.7.2.8.23-ref-y.2.1.7.2.8.31,ref-sifra.1.11.52-ref-sifra.1.11.63,994718,994762,148951,148959,ref-y.2.1.7.2.8.23,ref-y.2.1.7.2.8.31,2613,2666,446,457,ref-sifra.1.11.52,ref-sifra.1.11.63,יצאת זביחה ללמד על הכל השתחויה ללמד על עצמה,הכלל ללמד לא ללמד על עצמן יצאו אלא ללמד על הכלל כלו,9,12,768.0,20.0,0.6078431372549019,0.8181818181818181,4060000015
15,21,ref-y.3.4.6.1.3.23-ref-y.3.4.6.1.3.31,ref-sifra.1.11.52-ref-sifra.1.11.63,2767713,2767757,414706,414714,ref-y.3.4.6.1.3.23,ref-y.3.4.6.1.3.31,2613,2666,446,457,ref-sifra.1.11.52,ref-sifra.1.11.63,יצאת זביחה ללמד על הכל השתחויה ללמד על עצמה,הכלל ללמד לא ללמד על עצמן יצאו אלא ללמד על הכלל כלו,9,12,3129.0,20.0,0.6078431372549019,0.8181818181818181,4060000016
16,24,ref-y.2.1.12.3.2.179-ref-y.2.1.12.3.2.188,ref-sifra.1.13.43-ref-sifra.1.13.52,1054013,1054063,157472,157481,ref-y.2.1.12.3.2.179,ref-y.2.1.12.3.2.188,3319,3379,562,571,ref-sifra.1.13.43,ref-sifra.1.13.52,קלת וחומרת על דרבי יודה קלת וחמרת על דרבנן קלת ,להקל ולהחמיר להקל עליהן שלא ידונו כשער לבן ולהחמיר עליהן ,9,9,831.0,24.0,0.7368421052631579,1.0,4060000017
17,25,ref-y.1.6.1.1.7.16-ref-y.1.6.1.1.7.23,ref-sifra.1.17.29-ref-sifra.1.17.39,530761,530806,81236,81242,ref-y.1.6.1.1.7.16,ref-y.1.6.1.1.7.23,4449,4508,760,767,ref-sifra.1.17.29,ref-sifra.1.17.39,שישמעו קולו שלשה פעמים אמר ליה לשמיעת הקול ,השמיעך את קולו ליסרך הכריע השלישי מן השמים השמיעך את קולו ,6,7,339.0,25.0,0.5862068965517241,0.8333333333333334,4060000018
18,26,ref-y.4.4.10.4.1.30-ref-y.4.4.10.4.1.36,ref-sifra.1.18.86-ref-sifra.1.18.92,3303068,3303104,497595,497601,ref-y.4.4.10.4.1.30,ref-y.4.4.10.4.1.36,5295,5330,902,908,ref-sifra.1.18.86,ref-sifra.1.18.92,אשר נשבעתי באפי אם וביאון אל מנוחתי ,אשר נשבעתי באפי אם יבואון אל מנוחתי ,6,6,3961.0,26.0,0.05555555555555555,0.0,4060000019
19,27,ref-y.2.6.1.1.5.29-ref-y.2.6.1.1.5.38,ref-sifra.2.01-01.1.15-ref-sifra.2.01-01.1.25,1578215,1578265,235274,235283,ref-y.2.6.1.1.5.29,ref-y.2.6.1.1.5.38,5440,5500,924,932,ref-sifra.2.1-01.1.15,ref-sifra.2.1-01.1.25,מה דיבור שנאמר להלן רשות אחרת אף דיבור שנאמר כאן ,מה דיבור האמור בסנה הקדים קריאה לדיבור אף דיבור האמור כאן ,9,8,1738.0,27.0,0.43103448275862066,0.7272727272727273,4060000020
20,28,ref-y.3.1.10.7.2.34-ref-y.3.1.10.7.2.54,ref-sifra.2.1-02.5.36-ref-sifra.2.1-02.5.50,2179069,2179187,325756,325772,ref-y.3.1.10.7.2.34,ref-y.3.1.10.7.2.54,8025,8084,1313,1321,ref-sifra.2.1-02.5.36,ref-sifra.2.1-02.5.50,מייעדה לו אחיו שהוא קם תחתיו לחליצה ולייבום אינו דין שייעדנה לו תלמוד לומ' ואם לבנו ייעדנה,יעידה לדברות תלמוד לומר לך היתה יעידה ולא היתה,17,9,2524.0,28.0,0.7,0.9,4060000021
21,30,ref-y.3.1.10.7.2.34-ref-y.3.1.10.7.2.54,ref-sifra.2.01-02.6.53-ref-sifra.2.01-02.6.60,2179069,2179187,325756,325772,ref-y.3.1.10.7.2.34,ref-y.3.1.10.7.2.54,8366,8403,1361,1368,ref-sifra.2.1-02.6.53,ref-sifra.2.1-02.6.60,מייעדה לו אחיו שהוא קם תחתיו לחליצה ולייבום אינו דין שייעדנה לו תלמוד לומ' ואם לבנו ייעדנה הוא מייעדה אינו מייעדה ,אועד לך לך היתה יעידה ולא היתה יעידה ,16,7,2524.0,30.0,0.7543859649122807,0.9444444444444444,4060000022
22,31,ref-y.4.6.4.2.4.43-ref-y.4.6.4.2.4.54,ref-sifra.2.01-02.9.16-ref-sifra.2.01-02.9.28,3373391,3373451,508162,508171,ref-y.4.6.4.2.4.43,ref-y.4.6.4.2.4.54,8950,9011,1434,1443,ref-sifra.2.1-02.9.16,ref-sifra.2.1-02.9.28,תלמוד לומר ושמעה קול אלה את ששומע קול חייב יצאו אילו שאין ,תלמוד לומר קול אליו משה היה שומע את הקול ואין כל אלו שומעים ,9,9,4256.0,31.0,0.5,0.30000000000000004,4060000023
23,32,ref-y.2.1.6.1.3.132-ref-y.2.1.6.1.3.151,ref-sifra.2.01-02.9.18-ref-sifra.2.01-02.9.30,966026,966125,144636,144649,ref-y.2.1.6.1.3.132,ref-y.2.1.6.1.3.151,8961,9020,1435,1444,ref-sifra.2.1-02.9.18,ref-sifra.2.1-02.9.30,השמיע את הקול אסור ואם לאו מותר תמן אם אינן עשויין להשמיע את הקול בשבת עשויין הן להשמיע את הקול ,קול אליו משה היה שומע את הקול ואין כל אלו שומעים את הקול ,13,9,726.0,31.0,0.59375,0.7692307692307692,4060000024
24,33,ref-y.2.1.1.1.18.20-ref-y.2.1.1.1.18.28,ref-sifra.2.01-02.12.8-ref-sifra.2.01-02.12.21,892483,892531,133906,133914,ref-y.2.1.1.1.18.20,ref-y.2.1.1.1.18.28,9495,9572,1513,1525,ref-sifra.2.1-02.12.8,ref-sifra.2.1-02.12.21,מעל הכפורת אשר על ארון העדות מבין שני הכרובי' ,מעל הכפורת אי מעל הכפורת יכול מעל הכפורת כולה תלמוד לומר מבין שני הכרובים ,8,12,708.0,33.0,0.47297297297297297,0.6923076923076923,4060000025
25,34,ref-y.2.9.3.4.3.21-ref-y.2.9.3.4.3.37,ref-sifra.2.01-02.13.13-ref-sifra.2.01-02.13.29,1784912,1784998,266203,266218,ref-y.2.9.3.4.3.21,ref-y.2.9.3.4.3.37,10169,10256,1617,1632,ref-sifra.2.1-02.13.13,ref-sifra.2.1-02.13.29,שנים שהיו ישראל כמנודים לא היה מדבר עם משה שנאמ' ויהי כאשר תמו כל אנשי המלחמה למות ,שנים שהיו ישראל כמנודין לא היה מדבר עם משה שנאמר ויהי כאשר תמו כל אנשי המלחמה למות ,15,15,1950.0,34.0,0.024096385542168676,0.1428571428571429,4060000026
26,35,ref-y.3.2.7.7.3.103-ref-y.3.2.7.7.3.114,ref-sifra.2.02-00.8.90-ref-sifra.2.02-00.8.98,2463701,2463776,368821,368830,ref-y.3.2.7.7.3.103,ref-y.3.2.7.7.3.114,14225,14279,2233,2241,ref-sifra.2.2-00.8.90,ref-sifra.2.2-00.8.98,במומין שבסתר אבל במומין שבגלוי אינו יכול לטעון ואין אף במומין שבגלוי ,מום שמומו בגלוי תאמר ברובע ונרבע שאין מומו בגלוי ,9,8,2977.0,35.0,0.5507246376811594,1.0,4060000027
27,36,ref-y.3.7.2.4.3.96-ref-y.3.7.2.4.3.108,ref-sifra.2.02-00.8.90-ref-sifra.2.02-00.8.98,2898204,2898283,434512,434522,ref-y.3.7.2.4.3.96,ref-y.3.7.2.4.3.108,14225,14279,2233,2241,ref-sifra.2.2-00.8.90,ref-sifra.2.2-00.8.98,במומין שבסתר אבל במומין שבגלוי אינו יכול לטעון ואם במתנ' אף מומין שבגלוי ,מום שמומו בגלוי תאמר ברובע ונרבע שאין מומו בגלוי ,10,8,3339.0,35.0,0.5753424657534246,0.9375,4060000028
28,37,ref-y.2.4.2.4.2.33-ref-y.2.4.2.4.2.47,ref-sifra.2.02-00.10.88-ref-sifra.2.02-00.10.102,1508579,1508649,224609,224620,ref-y.2.4.2.4.2.33,ref-y.2.4.2.4.2.47,15230,15310,2372,2382,ref-sifra.2.2-00.10.88,ref-sifra.2.2-00.10.102,מן הצאן דבר שאינו בא אלא מן הצאן יצאת עולה שהיא באה אפילו מן הבקר ,כשהוא אומר למטה מן הבקר שאין תלמוד לומר אלא להוציא את הטריפה מן הצאן להוציא ,11,10,1618.0,37.0,0.7105263157894737,0.6875,4060000029
29,38,ref-y.1.4.7.3.1.70-ref-y.1.4.7.3.1.91,ref-sifra.2.2-00.11.71-ref-sifra.2.2-00.11.82,423992,424094,65282,65295,ref-y.1.4.7.3.1.70,ref-y.1.4.7.3.1.91,15677,15730,2440,2449,ref-sifra.2.2-00.11.71,ref-sifra.2.2-00.11.82,בין בן של אחרים אסור אית תניי תני שלו אסור של אחרים מותר הוון,בין שלו בין של אחרים אסור נעבד שלו אסור של,14,10,210.0,38.0,0.5245901639344263,0.625,4060000030
30,40,ref-y.4.10.2.5.4.167-ref-y.4.10.2.5.4.175,ref-sifra.2.02-03.9.50-ref-sifra.2.02-03.9.60,3524673,3524714,530947,530953,ref-y.4.10.2.5.4.167,ref-y.4.10.2.5.4.175,17496,17561,2682,2692,ref-sifra.2.2-03.9.50,ref-sifra.2.2-03.9.60,מביא נדבה אמר ליה אין חובה אינו מביא נדבה ,חובה יביאנה נדבה מנחה תוכיח שהציבור מביאה חובה ואינו מביאה נדבה ,6,10,4396.0,40.0,0.453125,0.5555555555555556,4060000031
31,41,ref-y.3.4.8.2.2.40-ref-y.3.4.8.2.2.59,ref-sifra.2.3-00.1.13-ref-sifra.2.3-00.1.27,2807214,2807328,420678,420695,ref-y.3.4.8.2.2.40,ref-y.3.4.8.2.2.59,17791,17867,2721,2731,ref-sifra.2.3-00.1.13,ref-sifra.2.3-00.1.27,עליה ואומר אם טמא הייתי העולה הראשונה נדבה או חובה והחטאת מחובתי ואם טהור הייתי העולה הראשונה חובה,בעולת נדבה עולת חובה מנין ודין הוא נאמר הבא עולת נדבה,18,11,3188.0,41.0,0.6938775510204082,0.8,4060000032
32,42,ref-y.3.4.8.2.6.9-ref-y.3.4.8.2.6.25,ref-sifra.2.03-00.1.13-ref-sifra.2.03-00.1.27,2808047,2808144,420811,420825,ref-y.3.4.8.2.6.9,ref-y.3.4.8.2.6.25,17791,17867,2721,2731,ref-sifra.2.3-00.1.13,ref-sifra.2.3-00.1.27,ואומר אם טמא הייתי העולה הראשונה חובה וזו נדבה ואם טהור הייתי העולה הראשונה נדבה וזו חובה ,בעולת נדבה עולת חובה מנין ודין הוא נאמר הבא עולת נדבה ונאמר הבא עולת חובה ,14,10,3196.0,41.0,0.6333333333333333,0.8,4060000033
33,43,ref-y.3.4.8.2.1.106-ref-y.3.4.8.2.1.125,ref-sifra.2.3-00.1.13-ref-sifra.2.3-00.1.29,2806801,2806916,420609,420626,ref-y.3.4.8.2.1.106,ref-y.3.4.8.2.1.125,17791,17875,2721,2733,ref-sifra.2.3-00.1.13,ref-sifra.2.3-00.1.29,מביא עולה ומגלה עליה חטאת העוף ומתנה עליה ואומר אם טמא הייתי החטאת מחובתי והעולה נדבה אם טהור,בעולת נדבה עולת חובה מנין ודין הוא נאמר הבא עולת נדבה ונאמר הבא,18,13,3175.0,41.0,0.6451612903225806,0.8333333333333334,4060000034
34,46,ref-y.3.4.8.2.7.9-ref-y.3.4.8.2.7.25,ref-sifra.2.03-00.1.16-ref-sifra.2.03-00.1.29,2808236,2808333,420843,420857,ref-y.3.4.8.2.7.9,ref-y.3.4.8.2.7.25,17808,17875,2724,2733,ref-sifra.2.3-00.1.16,ref-sifra.2.3-00.1.29,מביא עולת בהמה ומגלה עליה חטאת העוף ומתנה עליה ואומר אם טמא הייתי החטאת מחובתי והעולה נדבה ,חובה מנין ודין הוא נאמר הבא עולת נדבה ונאמר הבא עולת חובה מה עולת ,14,9,3199.0,41.0,0.6813186813186813,0.7647058823529411,4060000035
35,47,ref-y.3.4.5.1.6.29-ref-y.3.4.5.1.6.50,ref-sifra.2.03-00.3.3-ref-sifra.2.03-00.4.21,2758574,2758679,413330,413347,ref-y.3.4.5.1.6.29,ref-y.3.4.5.1.6.50,18156,18387,2767,2793,ref-sifra.2.3-00.3.3,ref-sifra.2.3-00.4.21,חולין ואמר עולה קדשה אמ' רבי יוחנן בא לומר חולין ואמר עולה קדשה אבל אם בא לומר עולה ואמר חולין לא קדשה ,בתמורה ודין הוא נאמר הבא עולה ונאמר הבא תמורה מה עולה כל הפסולים האלו נוהגים בה אף תמורה כל הפסולים האלו נוהגים בה לא אם אמרת בעולה שאין קדושה חלה עליה בבעל מום קבוע תאמר בתמורה שקדושה חלה עליה בבעל מום קבוע הואיל וקדושה ,17,26,3104.0,47.0,0.665158371040724,0.7727272727272727,4060000036
36,48,ref-y.2.5.5.4.4.49-ref-y.2.5.5.4.4.61,ref-sifra.2.03-00.3.8-ref-sifra.2.03-00.3.20,1451660,1451729,216074,216086,ref-y.2.5.5.4.4.49,ref-y.2.5.5.4.4.61,18183,18248,2769,2777,ref-sifra.2.3-00.3.8,ref-sifra.2.3-00.3.20,למעלן ונאמרו דמים למטן מה דמים אמורין בו למעלן אחת אף דמים אמורין ,עולה ונאמר הבא תמורה מה עולה כל הפסולים האלו נוהגים בה אף תמורה ,12,8,1338.0,47.0,0.6818181818181818,0.8461538461538461,4060000037
37,49,ref-y.3.7.2.1.2.127-ref-y.3.7.2.1.2.137,ref-sifra.2.03-04.1.148-ref-sifra.2.03-04.2.11,2888288,2888336,433079,433089,ref-y.3.7.2.1.2.127,ref-y.3.7.2.1.2.137,21727,21788,3237,3249,ref-sifra.2.3-04.1.148,ref-sifra.2.3-04.2.11,וסמך ידו ולא יד בנו ולא יד עבדו ולא יד שלוחו ,ויסמוך מבפנים וסמך ידו לא יד בנו ולא יד עבדו ולא יד שלוחו ,10,12,3333.0,49.0,0.2413793103448276,0.1428571428571429,4060000038
38,50,ref-y.3.7.1.3.10.60-ref-y.3.7.1.3.10.70,ref-sifra.2.03-04.2.2-ref-sifra.2.03-04.2.11,2852030,2852082,427477,427485,ref-y.3.7.1.3.10.60,ref-y.3.7.1.3.10.70,21748,21788,3240,3249,ref-sifra.2.3-04.2.2,ref-sifra.2.3-04.2.11,לו ביד עבדו ביד בנו ביד שלוחו לית הדא אמרה שהעבד ,ידו לא יד בנו ולא יד עבדו ולא יד שלוחו ,8,9,3266.0,49.0,0.6530612244897959,0.5,4060000039
39,51,ref-y.1.8.4.3.4.7-ref-y.1.8.4.3.4.13,ref-sifra.2.03-04.2.3-ref-sifra.2.03-04.2.11,730670,730702,110360,110366,ref-y.1.8.4.3.4.7,ref-y.1.8.4.3.4.13,21752,21788,3241,3249,ref-sifra.2.3-04.2.3,ref-sifra.2.3-04.2.11,לו ביד בנו ביד עבדו ביד שלוחו ,לא יד בנו ולא יד עבדו ולא יד שלוחו ,6,8,490.0,49.0,0.2857142857142857,0.19999999999999996,4060000040
40,52,ref-y.2.2.7.6.3.6-ref-y.2.2.7.6.3.12,ref-sifra.2.03-04.2.3-ref-sifra.2.03-04.2.11,1195154,1195186,177742,177748,ref-y.2.2.7.6.3.6,ref-y.2.2.7.6.3.12,21752,21788,3241,3249,ref-sifra.2.3-04.2.3,ref-sifra.2.3-04.2.11,לו ביד בנו ביד עבדו ביד שלוחו ,לא יד בנו ולא יד עבדו ולא יד שלוחו ,6,8,854.0,49.0,0.2857142857142857,0.19999999999999996,4060000041
41,53,ref-y.3.4.8.2.2.40-ref-y.3.4.8.2.2.59,ref-sifra.2.3-04.3.6-ref-sifra.2.3-04.3.20,2807214,2807328,420678,420695,ref-y.3.4.8.2.2.40,ref-y.3.4.8.2.2.59,22043,22117,3283,3293,ref-sifra.2.3-04.3.6,ref-sifra.2.3-04.3.20,עליה ואומר אם טמא הייתי העולה הראשונה נדבה או חובה והחטאת מחובתי ואם טהור הייתי העולה הראשונה חובה,עולת נדבה עולת חובה מנין ודין הוא נאמר הבא עולת נדבה,18,11,3188.0,53.0,0.6938775510204082,0.8,4060000042
42,54,ref-y.3.4.8.2.6.9-ref-y.3.4.8.2.6.25,ref-sifra.2.03-04.3.6-ref-sifra.2.03-04.3.20,2808047,2808144,420811,420825,ref-y.3.4.8.2.6.9,ref-y.3.4.8.2.6.25,22043,22117,3283,3293,ref-sifra.2.3-04.3.6,ref-sifra.2.3-04.3.20,ואומר אם טמא הייתי העולה הראשונה חובה וזו נדבה ואם טהור הייתי העולה הראשונה נדבה וזו חובה ,עולת נדבה עולת חובה מנין ודין הוא נאמר הבא עולת נדבה ונאמר הבא עולת חובה ,14,10,3196.0,53.0,0.6333333333333333,0.8,4060000043
43,55,ref-y.3.4.8.2.1.106-ref-y.3.4.8.2.1.125,ref-sifra.2.3-04.3.6-ref-sifra.2.3-04.3.22,2806801,2806916,420609,420626,ref-y.3.4.8.2.1.106,ref-y.3.4.8.2.1.125,22043,22125,3283,3295,ref-sifra.2.3-04.3.6,ref-sifra.2.3-04.3.22,מביא עולה ומגלה עליה חטאת העוף ומתנה עליה ואומר אם טמא הייתי החטאת מחובתי והעולה נדבה אם טהור,עולת נדבה עולת חובה מנין ודין הוא נאמר הבא עולת נדבה ונאמר הבא,18,13,3175.0,53.0,0.6559139784946236,0.8333333333333334,4060000044
44,58,ref-y.3.4.8.2.7.9-ref-y.3.4.8.2.7.25,ref-sifra.2.03-04.3.9-ref-sifra.2.03-04.3.22,2808236,2808333,420843,420857,ref-y.3.4.8.2.7.9,ref-y.3.4.8.2.7.25,22058,22125,3286,3295,ref-sifra.2.3-04.3.9,ref-sifra.2.3-04.3.22,מביא עולת בהמה ומגלה עליה חטאת העוף ומתנה עליה ואומר אם טמא הייתי החטאת מחובתי והעולה נדבה ,חובה מנין ודין הוא נאמר הבא עולת נדבה ונאמר הבא עולת חובה מה עולת ,14,9,3199.0,53.0,0.6813186813186813,0.7647058823529411,4060000045
45,59,ref-y.2.5.2.1.3.5-ref-y.2.5.2.1.3.16,ref-sifra.2.4-00.4.21-ref-sifra.2.4-00.4.41,1405391,1405456,208880,208891,ref-y.2.5.2.1.3.5,ref-y.2.5.2.1.3.16,24689,24794,3713,3732,ref-sifra.2.4-00.4.21,ref-sifra.2.4-00.4.41,מניין להצתת האליתא שלא תהא אלא בכהן כשר ובכלי שרת תלמו' לומ',שלא תהיה אלא בכהן כשר ובכלי שרת אמר רבי עקיבא מנין לקבלת הדם שלא תהיה אלא בכהן כשר ובכלי שרת,12,20,1187.0,59.0,0.6956521739130435,0.5294117647058824,4060000046
