baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-sifra,baseOrder,grp-ref-mek,dam-lev,jac,lcc_len_char,lcs_str_cahr,id
ref-mek.1.5.2.123-ref-mek.1.5.2.151,ref-sifra.4.6-00.11.13-ref-sifra.4.6-00.11.27,14337,14489,ref-mek.1.5.2.123,ref-mek.1.5.2.151,193569,193643,ref-sifra.4.6-00.11.13,ref-sifra.4.6-00.11.27,וזבחת פסח לה' אלקיך צאן ובקר והלא אין פסח,וזבחת פסח לה' אלקיך צאן ובקר והלא אין פסח,8,9,200,200.0,15,15.0,0.0,0.0,41,וזבחת פסח לה' אלקיך צאן ובקר והלא אין פסח,3040000011
ref-mek.1.5.2.172-ref-mek.1.5.2.179,ref-sifra.1.2.122-ref-sifra.1.2.127,14589,14639,ref-mek.1.5.2.172,ref-mek.1.5.2.179,644,682,ref-sifra.1.2.122,ref-sifra.1.2.127,עד שיתקיימו במקומן יבא כתוב שלישי ויכריע ביניהן ,עד שיבא הכתוב השלישי ויכריע ביניהן ,8,6,11,11.0,18,18.0,0.3541666666666667,0.4444444444444444,33,עד שיבא כתוב שלישי ויכריע ביניהן ,3040000012
ref-mek.1.6.1.161-ref-mek.1.6.1.172,ref-sifra.10.8-13.17.13-ref-sifra.10.8-13.17.20,15872,15927,ref-mek.1.6.1.161,ref-mek.1.6.1.172,481772,481807,ref-sifra.10.8-13.17.13,ref-sifra.10.8-13.17.20,גן נעול אחותי כלה גן נעול אלו הזכרים גל נעול מעין חתום ,גן נעול אחותי כלה גל נעול מעין חתום ,12,8,437,437.0,19,19.0,0.34545454545454546,0.2222222222222222,36,גן נעול אחותי כלה גל נעול מעין חתום ,3040000013
ref-mek.1.6.1.161-ref-mek.1.6.1.172,ref-sifra.11.4-12.17.17-ref-sifra.11.4-12.17.24,15872,15927,ref-mek.1.6.1.161,ref-mek.1.6.1.172,527757,527792,ref-sifra.11.4-12.17.17,ref-sifra.11.4-12.17.24,גן נעול אחותי כלה גן נעול אלו הזכרים גל נעול מעין חתום ,גן נעול אחותי כלה גל נעול מעין חתום ,12,8,618,618.0,20,19.0,0.34545454545454546,0.2222222222222222,36,גן נעול אחותי כלה גל נעול מעין חתום ,3040000014
ref-mek.1.6.1.178-ref-mek.1.6.1.185,ref-sifra.10.8-13.17.13-ref-sifra.10.8-13.17.20,15953,15991,ref-mek.1.6.1.178,ref-mek.1.6.1.185,481772,481807,ref-sifra.10.8-13.17.13,ref-sifra.10.8-13.17.20,גן נעול אלו הנשואות גל נעול מעין חתום ,גן נעול אחותי כלה גל נעול מעין חתום ,8,8,438,437.0,21,21.0,0.23684210526315788,0.4444444444444444,31,גן נעול או ה גל נעול מעין חתום ,3040000015
ref-mek.1.6.1.178-ref-mek.1.6.1.185,ref-sifra.11.4-12.17.17-ref-sifra.11.4-12.17.24,15953,15991,ref-mek.1.6.1.178,ref-mek.1.6.1.185,527757,527792,ref-sifra.11.4-12.17.17,ref-sifra.11.4-12.17.24,גן נעול אלו הנשואות גל נעול מעין חתום ,גן נעול אחותי כלה גל נעול מעין חתום ,8,8,619,618.0,22,21.0,0.23684210526315788,0.4444444444444444,31,גן נעול או ה גל נעול מעין חתום ,3040000016
ref-mek.1.6.1.323-ref-mek.1.6.1.340,ref-sifra.14.1-00.2.34-ref-sifra.14.1-00.2.46,16733,16825,ref-mek.1.6.1.323,ref-mek.1.6.1.340,644269,644335,ref-sifra.14.1-00.2.34,ref-sifra.14.1-00.2.46,מכל מצות האמורות בתורה סתם כשהוא_אומר_וכי תשגו ולא תעשו וגו' באו כל המצות ללמד על מצוה ,יכול אלו המצות וכשהוא אומר ולא תעשו את כל המצות האלה הרי מצות ,16,13,821,821.0,23,23.0,0.4827586206896552,0.7894736842105263,48,כל ו המות וכשהואאומר ולא תעשו א כל המצות ל  מצו ,3040000017
ref-mek.1.6.1.786-ref-mek.1.6.1.791,ref-sifra.12.11-14.5.11-ref-sifra.12.11-14.5.16,19164,19202,ref-mek.1.6.1.786,ref-mek.1.6.1.791,588863,588901,ref-sifra.12.11-14.5.11,ref-sifra.12.11-14.5.16,בערב אי בערב יכול משתחשך תלמוד לומר ,בערב אי בערב יכול משתחשך תלמוד לומר ,7,7,722,722.0,24,24.0,0.0,0.0,36,בערב אי בערב יכול משתחשך תלמוד לומר ,3040000018
ref-mek.1.6.1.851-ref-mek.1.6.1.874,ref-sifra.12.9-11.1.32-ref-sifra.12.9-11.1.51,19515,19635,ref-mek.1.6.1.851,ref-mek.1.6.1.874,575024,575110,ref-sifra.12.9-11.1.32,ref-sifra.12.9-11.1.51,"משש שעות ולמעלה אע""פ_שאין_ראיה_לדבר_זכר_לדבר קדשו עליה מלחמה קומו ונעלה בצהרים אוי לנו כי פנה היום כי ינטו צללי ערב ",משש שעות ולמעלה אף_על_פי_שאין ראיה לדבר זכר לדבר אוי לנו כי פנה יום כי ינטו צללי ערב ,19,17,693,693.0,25,25.0,0.3793103448275862,0.5238095238095238,76,משש שעות ולמעלה אעפ_שאיןראיהלדברזכר לבר אוי לנו כי פנה יום כי ינטו צללי ערב ,3040000019
ref-mek.1.7.2.3-ref-mek.1.7.2.12,ref-sifra.4.4-00.5.37-ref-sifra.4.4-00.5.45,20687,20738,ref-mek.1.7.2.3,ref-mek.1.7.2.12,180251,180309,ref-sifra.4.4-00.5.37,ref-sifra.4.4-00.5.45,בבשרה ולא בעצמות ולא בגידין ולא בקרנים ולא בטלפים,בבשרה ולא בעצמות ולא בגידין ולא בקרנים ולא בטלפים,10,9,179,179.0,26,26.0,0.0,0.0,49,בבשרה ולא בעצמות ולא בגידין ולא בקרנים ולא בטלפים,3040000020
ref-mek.1.7.2.60-ref-mek.1.7.2.82,ref-sifra.4.7-12.5.14-ref-sifra.4.7-12.5.34,20978,21096,ref-mek.1.7.2.60,ref-mek.1.7.2.82,199150,199260,ref-sifra.4.7-12.5.14,ref-sifra.4.7-12.5.34,להרחיק מן העבירה אבל אין מחשבה פוסלת בהן ואין חייבים_עליהם_משום נותר עד שיעלה עמוד השחר,אמרו חכמים עד חצות להרחיק מן העבירה אבל אין מחשבה פוסלת בהן ואין חייבים_עליהם_משום נותר עד שיעלה עמוד השחר,23,19,213,213.0,28,28.0,0.1792452830188679,0.17647058823529416,87,להרחיק מן העבירה אבל אין מחשבה פוסלת בהן ואין חייבים_עליהם_משום נותר עד שיעלה עמוד השחר,3040000021
ref-mek.1.8.1.436-ref-mek.1.8.1.449,ref-sifra.10.8-13.2.37-ref-sifra.10.8-13.2.41,26239,26304,ref-mek.1.8.1.436,ref-mek.1.8.1.449,474473,474493,ref-sifra.10.8-13.2.37,ref-sifra.10.8-13.2.41,במכה בהשחתה ובמגפה אני ה' מה שאי אפשר_לבשר_ודם לומר כן אני ה' ,אנכי ה' אלקיך אני ה' ,12,5,407,403.0,30,30.0,0.7419354838709677,0.8333333333333334,17,אני ה' אל אני ה' ,3040000022
ref-mek.1.8.2.30-ref-mek.1.8.2.37,ref-sifra.11.4-00.6.14-ref-sifra.11.4-00.6.21,26563,26599,ref-mek.1.8.2.30,ref-mek.1.8.2.37,509595,509630,ref-sifra.11.4-00.6.14,ref-sifra.11.4-00.6.21,בהם אין_לי_אלא בתים שיאכלו בהם בתים ,בנו ובתו באש אין_לי_אלא בנו ובתו ,6,6,497,496.0,31,31.0,0.6666666666666666,0.8571428571428572,19,ב אין_לי_אלא בו בת ,3040000023
ref-mek.1.8.3.88-ref-mek.1.8.3.95,ref-sifra.12.9-11.2.45-ref-sifra.12.9-11.3.18,28119,28160,ref-mek.1.8.3.88,ref-mek.1.8.3.95,575324,575418,ref-sifra.12.9-11.2.45,ref-sifra.12.9-11.3.18,מצה חג המצות לה' שבעת ימים מה_תלמוד_לומר_לפי_שנאמר ששת ימים תאכל מצות וביום השביעי עצרת לה',מצה חג המצות לה' שבעת ימים מה_תלמוד_לומר_לפי_שנאמר ששת ימים תאכל מצות וביום השביעי עצרת לה',8,9,696,696.0,32,32.0,0.0,0.0,91,מצה חג המצות לה' שבעת ימים מה_תלמוד_לומר_לפי_שנאמר ששת ימים תאכל מצות וביום השביעי עצרת לה',3040000024
ref-mek.1.8.3.89-ref-mek.1.8.3.95,ref-sifra.12.9-11.3.41-ref-sifra.12.9-11.3.47,28124,28160,ref-mek.1.8.3.89,ref-mek.1.8.3.95,575524,575562,ref-sifra.12.9-11.3.41,ref-sifra.12.9-11.3.47,ימים תאכל מצוה וביום השביעי חג לה' ,ימים תאכל מצות וביום השביעי עצרת לה' ,7,7,705,705.0,35,32.0,0.13513513513513514,0.4444444444444444,32,ימים תאכל מצו וביום השביעי  לה' ,3040000025
ref-mek.1.8.3.89-ref-mek.1.8.3.95,ref-sifra.12.9-11.3.49-ref-sifra.12.9-11.3.55,28124,28160,ref-mek.1.8.3.89,ref-mek.1.8.3.95,575567,575605,ref-sifra.12.9-11.3.49,ref-sifra.12.9-11.3.55,ימים תאכל מצוה וביום השביעי חג לה' ,ימים תאכל מצות וביום השביעי עצרת לה' ,7,7,706,706.0,36,32.0,0.13513513513513514,0.4444444444444444,32,ימים תאכל מצו וביום השביעי  לה' ,3040000026
ref-mek.1.8.3.211-ref-mek.1.8.3.222,ref-sifra.12.9-11.3.1-ref-sifra.12.9-11.3.20,28754,28810,ref-mek.1.8.3.211,ref-mek.1.8.3.222,575328,575425,ref-sifra.12.9-11.3.1,ref-sifra.12.9-11.3.20,חג המצות לה' שבעת ימים מה_תלמוד_לומר_לפי_שנאמר ששת ימים תאכל מצות וביום השביעי עצרת לה' שביעי,חג המצות לה' שבעת ימים מה_תלמוד_לומר_לפי_שנאמר ששת ימים תאכל מצות וביום השביעי עצרת לה' שביעי,9,16,699,698.0,39,39.0,0.0,0.0,93,חג המצות לה' שבעת ימים מה_תלמוד_לומר_לפי_שנאמר ששת ימים תאכל מצות וביום השביעי עצרת לה' שביעי,3040000027
ref-mek.1.8.3.206-ref-mek.1.8.3.222,ref-sifra.12.12-17.1.1-ref-sifra.12.12-17.1.12,28730,28810,ref-mek.1.8.3.206,ref-mek.1.8.3.222,597509,597567,ref-sifra.12.12-17.1.1,ref-sifra.12.12-17.1.12,וחגתם אותו חג לה' שבעת ימים לפי שנאמר שבעת ימים תחוג לה',וחגתם אותו חג לה' שבעת ימים לפי שנאמר שבעת ימים תחוג לה',12,12,742,742.0,37,37.0,0.0,0.0,56,וחגתם אותו חג לה' שבעת ימים לפי שנאמר שבעת ימים תחוג לה',3040000028
ref-mek.1.9.1.32-ref-mek.1.9.1.37,ref-sifra.2.13-00.5.74-ref-sifra.2.13-00.5.80,29079,29126,ref-mek.1.9.1.32,ref-mek.1.9.1.37,66392,66436,ref-sifra.2.13-00.5.74,ref-sifra.2.13-00.5.80,החטים והשעורים והכוסמים ושבולת שועל ושיפון ,חטין מן הכתוב וכוסמין ושבולת שועל ושיפון ,6,7,90,90.0,41,41.0,0.27906976744186046,0.7,33,חטי הו וכוסמי ושבולת שועל ושיפון ,3040000029
ref-mek.1.9.1.33-ref-mek.1.9.1.37,ref-sifra.12.10-00.9.27-ref-sifra.12.10-00.9.31,29086,29126,ref-mek.1.9.1.33,ref-mek.1.9.1.37,578398,578434,ref-sifra.12.10-00.9.27,ref-sifra.12.10-00.9.31,והשעורים והכוסמים ושבולת שועל ושיפון ,שעורים וכוסמים ושבולת שועל ושיפון ,5,5,717,716.0,42,41.0,0.08108108108108109,0.0,34,שעורים וכוסמים ושבולת שועל ושיפון ,3040000030
ref-mek.1.9.1.177-ref-mek.1.9.1.183,ref-sifra.1.11.50-ref-sifra.1.11.62,29883,29916,ref-mek.1.9.1.177,ref-mek.1.9.1.183,2601,2662,ref-sifra.1.11.50,ref-sifra.1.11.62,ויצא מוצא מן הכלל ללמד על הכלל ,וכשיצאו מן הכלל ללמד לא ללמד על עצמן יצאו אלא ללמד על הכלל ,7,13,34,34.0,47,43.0,0.559322033898305,0.4444444444444444,27,ויצאו מן הכלל ללמד על הכלל ,3040000031
ref-mek.1.9.1.166-ref-mek.1.9.1.222,ref-sifra.12.9-11.3.13-ref-sifra.12.9-11.3.104,29822,30109,ref-mek.1.9.1.166,ref-mek.1.9.1.222,575385,575847,ref-sifra.12.9-11.3.13,ref-sifra.12.9-11.3.104,תאכל מצות וביום השביעי עצרת לה' שביעי בכלל היה ולמה יצא להקיש אליו אלא מה שביעי רשות אף כולם רשות יכול אף לילה הראשון,תאכל מצות וביום השביעי עצרת לה' שביעי בכלל היה ולמה יצא להקיש אליו אלא מה שביעי רשות אף כולם רשות יכול אף לילה הראשון,27,25,703,703.0,43,43.0,0.0,0.0,117,תאכל מצות וביום השביעי עצרת לה' שביעי בכלל היה ולמה יצא להקיש אליו אלא מה שביעי רשות אף כולם רשות יכול אף לילה הראשון,3040000032
ref-mek.1.9.1.511-ref-mek.1.9.1.522,ref-sifra.10.5-07.8.5-ref-sifra.10.5-07.8.14,31610,31675,ref-mek.1.9.1.511,ref-mek.1.9.1.522,452333,452388,ref-sifra.10.5-07.8.5,ref-sifra.10.5-07.8.14,"אין חייבים עליו כרת ולא חלב שור הנסקל יוכיח שאע""פ שחייבים עליו ",שחייבים עליה כרת מלאכה שאין חייבים עליה כרת מנין שלא ,12,10,371,371.0,48,48.0,0.5873015873015873,0.7333333333333334,33,חייבים עלי כרת לאכ שא חייבים עלי ,3040000033
ref-mek.1.10.1.1-ref-mek.1.10.1.9,ref-sifra.12.12-00.4.1-ref-sifra.12.12-00.4.17,32988,33045,ref-mek.1.10.1.1,ref-mek.1.10.1.9,591847,591948,ref-sifra.12.12-00.4.1,ref-sifra.12.12-00.4.17,ביום הראשון מקרא קדש קדשהו וביום השמיני מקרא קדש קדשהו במה אתה מקדשו במאכל ובמשתה ובכסות נקיה,ביום הראשון מקרא קדש קדשהו וביום השמיני מקרא קדש קדשהו במה אתה מקדשו במאכל ובמשתה ובכסות נקיה,9,17,728,728.0,49,49.0,0.0,0.0,93,ביום הראשון מקרא קדש קדשהו וביום השמיני מקרא קדש קדשהו במה אתה מקדשו במאכל ובמשתה ובכסות נקיה,3040000034
ref-mek.1.10.1.18-ref-mek.1.10.1.34,ref-sifra.12.9-00.5.9-ref-sifra.12.9-00.5.15,33085,33169,ref-mek.1.10.1.18,ref-mek.1.10.1.34,573183,573216,ref-sifra.12.9-00.5.9,ref-sifra.12.9-00.5.15,מועדי ה' אשר תקראו אתם מקראי קדש,מועדי ה' אשר תקראו אתם מקראי קדש,11,7,686,686.0,51,51.0,0.0,0.0,32,מועדי ה' אשר תקראו אתם מקראי קדש,3040000035
ref-mek.1.10.1.28-ref-mek.1.10.1.33,ref-sifra.12.9-00.6.15-ref-sifra.12.9-00.6.21,33134,33164,ref-mek.1.10.1.28,ref-mek.1.10.1.33,573293,573327,ref-sifra.12.9-00.6.15,ref-sifra.12.9-00.6.21,מועדי ה' מקראי קדש אשר תקראו אותם,מועדי ה' מקראי קדש אשר תקראו אותם,5,7,689,689.0,56,56.0,0.0,0.0,33,מועדי ה' מקראי קדש אשר תקראו אותם,3040000036
ref-mek.1.10.1.28-ref-mek.1.10.1.32,ref-sifra.12.9-10.6.28-ref-sifra.12.9-10.6.32,33134,33157,ref-mek.1.10.1.28,ref-mek.1.10.1.32,574650,574672,ref-sifra.12.9-10.6.28,ref-sifra.12.9-10.6.32,מועדי ה' אשר תקראו אותם ,מועדי ה' אשר תקראו אתם ,5,5,691,691.0,57,51.0,0.041666666666666664,0.0,23,מועדי ה' אשר תקראו אתם ,3040000037
ref-mek.1.10.1.18-ref-mek.1.10.1.34,ref-sifra.12.12-00.7.7-ref-sifra.12.12-00.7.14,33085,33169,ref-mek.1.10.1.18,ref-mek.1.10.1.34,592163,592201,ref-sifra.12.12-00.7.7,ref-sifra.12.12-00.7.14,אלה מועדי ה' אשר תקראו אותם מקראי קדש,אלה מועדי ה' אשר תקראו אותם מקראי קדש,11,8,730,730.0,52,52.0,0.0,0.0,37,אלה מועדי ה' אשר תקראו אותם מקראי קדש,3040000038
ref-mek.1.10.1.18-ref-mek.1.10.1.34,ref-sifra.12.12-00.7.66-ref-sifra.12.12-00.7.73,33085,33169,ref-mek.1.10.1.18,ref-mek.1.10.1.34,592472,592510,ref-sifra.12.12-00.7.66,ref-sifra.12.12-00.7.73,תקראו אותם מקראי קדש אלא אלו ימי מועד,תקראו אותם מקראי קדש אלא אלו ימי מועד,11,8,734,734.0,53,53.0,0.0,0.0,37,תקראו אותם מקראי קדש אלא אלו ימי מועד,3040000039
ref-mek.1.10.1.238-ref-mek.1.10.1.281,ref-sifra.5.6-00.11.7-ref-sifra.5.6-00.11.26,34244,34456,ref-mek.1.10.1.238,ref-mek.1.10.1.281,284298,284401,ref-sifra.5.6-00.11.7,ref-sifra.5.6-00.11.26,נעשה בהם מלאכה תלמוד_לומר_אשר יעשה בהם מלאכה אוציא עור המצה ועור האיפה שלא נעשה בהם מלאכה ולא,שלא נעשה בהם מלאכה תלמוד_לומר_אשר יעשה בהם מלאכה אוציא עור המצה ועור האיפה שלא נעשה בהם מלאכה תלמוד_לומר_אשר יעשה בהם מלאכה אוציא עור המצה ועור האיפה שלא נעשה בהם מלאכה ולא,34,17,281,281.0,60,60.0,0.45930232558139533,0.0,93,נעשה בהם מלאכה תלמוד_לומר_אשר יעשה בהם מלאכה אוציא עור המצה ועור האיפה שלא נעשה בהם מלאכה ולא,3040000040
ref-mek.1.10.1.306-ref-mek.1.10.1.320,ref-sifra.12.11-14.8.63-ref-sifra.12.11-14.9.11,34571,34641,ref-mek.1.10.1.306,ref-mek.1.10.1.320,589688,589772,ref-sifra.12.11-14.8.63,ref-sifra.12.11-14.9.11,אינו מוזהר על מלאכת גוי במלאכתך יום טוב הקל דין_הוא_שלא יהא מוזהר על ,ואין מוזהרים על תוספת מלאכה יכול_לא_יהיו מוזהרים על תוספת מלאכה אבל יהיו מוזהרים על ,13,14,724,724.0,62,62.0,0.5595238095238095,0.8666666666666667,43,אי מוזהר על תו מלאכ יוו הל ולא יה מוזהר על ,3040000041
ref-mek.1.10.2.178-ref-mek.1.10.2.190,ref-sifra.12.12-00.4.1-ref-sifra.12.12-00.4.9,36701,36773,ref-mek.1.10.2.178,ref-mek.1.10.2.190,591847,591899,ref-sifra.12.12-00.4.1,ref-sifra.12.12-00.4.9,ויום הראשון ויום האחרון קרויין מקרא קדש וחולו_של_מועד קרוי מקרא קדש ,ביום הראשון מקרא קדש קדשהו וביום השמיני מקרא קדש ,11,9,727,727.0,63,63.0,0.5147058823529411,0.7,36,יום הראשון מקרא קדש ווושמי מקרא קדש ,3040000042
ref-mek.1.10.2.178-ref-mek.1.11.1.4,ref-sifra.12.12-00.7.55-ref-sifra.12.12-00.7.69,36701,36940,ref-mek.1.10.2.178,ref-mek.1.11.1.4,592412,592493,ref-sifra.12.12-00.7.55,ref-sifra.12.12-00.7.69,ביום הראשון שבתון וביום השמיני שבתון אם_כן_למה_נאמר_אשר תקראו אותם מקראי קדש,ביום הראשון שבתון וביום השמיני שבתון אם_כן_למה_נאמר_אשר תקראו אותם מקראי קדש,26,11,732,732.0,64,64.0,0.0,0.0,76,ביום הראשון שבתון וביום השמיני שבתון אם_כן_למה_נאמר_אשר תקראו אותם מקראי קדש,3040000043
ref-mek.1.11.3.80-ref-mek.1.11.3.93,ref-sifra.12.9-11.4.26-ref-sifra.12.9-11.4.39,39283,39368,ref-mek.1.11.3.80,ref-mek.1.11.3.93,575973,576045,ref-sifra.12.9-11.4.26,ref-sifra.12.9-11.4.39,בחלות תודה ולא ברקיקי נזיר ולא בבכורים תלמוד לומר בכל מושבותיכם תאכלו מצות יצאו ,תאכלו מצה הנאכלת כל שבעה יוצא בה ידי חובתו בפסח יצאו חלות ורקיקי נזיר ,14,14,715,713.0,66,66.0,0.7375,0.8695652173913043,30,לו ה א ב יוא ב ד ובוב או ות ו ,3040000044
ref-mek.1.12.1.74-ref-mek.1.12.1.80,ref-sifra.11.3-07.12.11-ref-sifra.11.3-07.12.20,40289,40327,ref-mek.1.12.1.74,ref-mek.1.12.1.80,505119,505168,ref-sifra.11.3-07.12.11,ref-sifra.11.3-07.12.20,לזקנים שנאמר לך ואספת את זקני ישראל ,זקן אלא חכם שנאמר אספה לי שבעים איש מזקני ישראל ,7,10,483,483.0,67,67.0,0.4791666666666667,0.7692307692307692,27,זקם שנאמר אספ א זקני ישראל ,3040000045
