baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-y,baseOrder,grp-ref-sifra,dam-lev,jac,lcc_len,lcs_str,id,bRangeOriginal,cRangeOriginal
ref-sifra.1.9.28-ref-sifra.1.9.36,ref-y.3.7.1.2.29.79-ref-y.3.7.1.2.29.87,1934,1974,ref-sifra.1.9.28,ref-sifra.1.9.36,2846728,2846769,ref-y.3.7.1.2.29.79,ref-y.3.7.1.2.29.87,דן אלא כעין הפרט לומר לך מה הפרט מפורש ,דן אלא בעין הפרט לומ' לך מה הפרט מפורש ,9,9,3257,3257.0,16,9.0,0.0512820512820512,0.25,7,דן אלא הפרט לך מה הפרט מפורש,4070000011,9,9
ref-sifra.1.9.7-ref-sifra.1.9.36,ref-y.4.6.3.5.2.61-ref-y.4.6.3.5.2.78,1826,1974,ref-sifra.1.9.7,ref-sifra.1.9.36,3360363,3360445,ref-y.4.6.3.5.2.61,ref-y.4.6.3.5.2.78,פרט לכל אשר יבטא חזר וכלל כלל ופרט וכלל אי אתה דן אלא בעין הפרט מה הפרט מפורש,פרט לכל אשר יבטא חזר וכלל כלל ופרט וכלל אי אתה דן אלא בעין הפרט מה הפרט מפורש,18,18,4221,4221.0,12,12.0,0.0,0.0,16,פרט לכל אשר יבטא חזר וכלל כלל_ופרט_וכלל אי אתה דן אלא בעין הפרט מה הפרט מפורש,4070000012,18,18
ref-sifra.1.9.7-ref-sifra.1.9.35,ref-y.4.6.6.6.1.155-ref-y.4.6.6.6.1.171,1826,1968,ref-sifra.1.9.7,ref-sifra.1.9.35,3396354,3396430,ref-y.4.6.6.6.1.155,ref-y.4.6.6.6.1.171,פרט לכל אשר יבטא חזר וכלל כלל ופרט וכלל אין אתה דן אלא כעין הפרט מה הפרט,פרט לכל אשר יבטא חזר וכלל כלל ופרט וכלל אין אתה דן אלא כעין הפרט מה הפרט,17,17,4293,4293.0,11,11.0,0.0,0.0,15,פרט לכל אשר יבטא חזר וכלל כלל_ופרט_וכלל אין אתה דן אלא כעין הפרט מה הפרט,4070000013,17,17
ref-sifra.1.10.48-ref-sifra.1.11.19,ref-y.3.5.7.4.4.4-ref-y.3.5.7.4.4.33,2329,2416,ref-sifra.1.10.48,ref-sifra.1.11.19,2320574,2320720,ref-y.3.5.7.4.4.4,ref-y.3.5.7.4.4.33,לכלל כל דבר שהיה בכלל ויצא מן הכלל ללמד לא ללמד על עצמו יצא אלא ללמד על הכלל כלו יצא ,שנכללו ונפרטו דברים שנכללו ולא נפרטו אמר ליה כן אמר רבי יוחנן משום רבי שמעון כל שהיה בכלל ויצא מן הכלל ללמד לא ללמר על עצמו יצא אלא ללמד על ,14,30,2822,2821.0,19,19.0,0.6357142857142857,0.6,7,לא על עצמו יצא אלא ללמד על,4070000014,20,30
ref-sifra.1.11.52-ref-sifra.1.11.63,ref-y.2.1.7.2.8.23-ref-y.2.1.7.2.8.31,2613,2666,ref-sifra.1.11.52,ref-sifra.1.11.63,994718,994762,ref-y.2.1.7.2.8.23,ref-y.2.1.7.2.8.31,יצאת זביחה ללמד על הכל השתחויה ללמד על עצמה,יצאת זביחה ללמד על הכל השתחויה ללמד על עצמה,9,9,768,768.0,20,20.0,0.0,0.0,9,יצאת זביחה ללמד על הכל השתחויה ללמד על עצמה,4070000015,9,9
ref-sifra.1.11.52-ref-sifra.1.11.63,ref-y.3.4.6.1.3.23-ref-y.3.4.6.1.3.31,2613,2666,ref-sifra.1.11.52,ref-sifra.1.11.63,2767713,2767757,ref-y.3.4.6.1.3.23,ref-y.3.4.6.1.3.31,יצאת זביחה ללמד על הכל השתחויה ללמד על עצמה,יצאת זביחה ללמד על הכל השתחויה ללמד על עצמה,9,9,3129,3129.0,21,21.0,0.0,0.0,9,יצאת זביחה ללמד על הכל השתחויה ללמד על עצמה,4070000016,9,9
ref-sifra.1.13.43-ref-sifra.1.13.52,ref-y.2.1.12.3.2.179-ref-y.2.1.12.3.2.188,3319,3379,ref-sifra.1.13.43,ref-sifra.1.13.52,1054013,1054063,ref-y.2.1.12.3.2.179,ref-y.2.1.12.3.2.188,להקל ולהחמיר להקל עליהן שלא ידונו כשער לבן ולהחמיר עליהן ,קלת וחומרת על דרבי יודה קלת וחמרת על דרבנן קלת ,10,10,832,831.0,24,24.0,0.7368421052631579,1.0,0,,4070000017,10,10
ref-sifra.1.17.29-ref-sifra.1.17.39,ref-y.1.6.1.1.7.16-ref-y.1.6.1.1.7.23,4449,4508,ref-sifra.1.17.29,ref-sifra.1.17.39,530761,530806,ref-y.1.6.1.1.7.16,ref-y.1.6.1.1.7.23,השמיעך את קולו ליסרך הכריע השלישי מן השמים השמיעך את קולו ,שישמעו קולו שלשה פעמים אמר ליה לשמיעת הקול ,11,8,339,339.0,25,25.0,0.5862068965517241,0.8333333333333334,1,קולו,4070000018,11,8
ref-sifra.1.18.86-ref-sifra.1.18.92,ref-y.4.4.10.4.1.30-ref-y.4.4.10.4.1.36,5295,5330,ref-sifra.1.18.86,ref-sifra.1.18.92,3303068,3303104,ref-y.4.4.10.4.1.30,ref-y.4.4.10.4.1.36,אשר נשבעתי באפי אם יבואון אל מנוחתי ,אשר נשבעתי באפי אם וביאון אל מנוחתי ,7,7,3961,3961.0,26,26.0,0.0555555555555555,0.0,6,אשר נשבעתי באפי אם אל מנוחתי,4070000019,7,7
ref-sifra.2.1-01.1.15-ref-sifra.2.1-01.1.25,ref-y.2.6.1.1.5.29-ref-y.2.6.1.1.5.38,5440,5500,ref-sifra.2.1-01.1.15,ref-sifra.2.1-01.1.25,1578215,1578265,ref-y.2.6.1.1.5.29,ref-y.2.6.1.1.5.38,מה דיבור האמור בסנה הקדים קריאה לדיבור אף דיבור האמור כאן ,מה דיבור שנאמר להלן רשות אחרת אף דיבור שנאמר כאן ,11,5,1739,1738.0,27,27.0,0.4655172413793103,0.7,5,מה דיבור אף דיבור כאן,4070000020,11,10
ref-sifra.2.1-02.5.36-ref-sifra.2.1-02.5.50,ref-y.3.1.10.7.2.34-ref-y.3.1.10.7.2.54,8025,8084,ref-sifra.2.1-02.5.36,ref-sifra.2.1-02.5.50,2179069,2179187,ref-y.3.1.10.7.2.34,ref-y.3.1.10.7.2.54,לו אחיו שהוא קם תחתיו לחליצה ולייבום אינו דין שייעדנה לו תלמוד לומ' ואם לבנו ייעדנה הוא מייעדה לו אחיו שהוא קם תחתיו לחליצה ולייבום אינו דין שייעדנה לו תלמוד לומ' ואם לבנו ייעדנה הוא מייעדה אינו מייעדה,מייעדה לו אחיו שהוא קם תחתיו לחליצה ולייבום אינו דין שייעדנה לו תלמוד לומ' ואם לבנו ייעדנה הוא מייעדה אינו מייעדה,38,21,2526,2526.0,28,28.0,0.4378109452736318,0.0,19,מייעדה לו אחיו שהוא קם תחתיו לחליצה ולייבום אינו דין שייעדנה לו תלמוד לומ' ואם_לבנו_ייעדנה הוא מייעדה אינו מייעדה,4070000021,38,21
ref-sifra.2.1-02.6.53-ref-sifra.2.1-02.6.60,ref-y.3.1.10.7.2.34-ref-y.3.1.10.7.2.54,8366,8403,ref-sifra.2.1-02.6.53,ref-sifra.2.1-02.6.60,2179069,2179187,ref-y.3.1.10.7.2.34,ref-y.3.1.10.7.2.54,אועד לך לך היתה יעידה ולא היתה יעידה ,מייעדה לו אחיו שהוא קם תחתיו לחליצה ולייבום אינו דין שייעדנה לו תלמוד לומ' ואם לבנו ייעדנה הוא מייעדה אינו מייעדה ,8,21,2527,2524.0,30,30.0,0.7543859649122807,0.9375,0,,4070000022,8,21
ref-sifra.2.1-02.9.18-ref-sifra.2.1-02.9.30,ref-y.2.1.6.1.3.132-ref-y.2.1.6.1.3.151,8961,9020,ref-sifra.2.1-02.9.18,ref-sifra.2.1-02.9.30,966026,966125,ref-y.2.1.6.1.3.132,ref-y.2.1.6.1.3.151,קול אליו משה היה שומע את הקול ואין כל אלו שומעים את הקול ,השמיע את הקול אסור ואם לאו מותר תמן אם אינן עשויין להשמיע את הקול בשבת עשויין הן להשמיע את הקול ,13,20,726,726.0,32,31.0,0.59375,0.6923076923076923,4,את הקול את הקול,4070000023,13,20
ref-sifra.2.1-02.9.16-ref-sifra.2.1-02.9.28,ref-y.4.6.4.2.4.43-ref-y.4.6.4.2.4.54,8950,9011,ref-sifra.2.1-02.9.16,ref-sifra.2.1-02.9.28,3373391,3373451,ref-y.4.6.4.2.4.43,ref-y.4.6.4.2.4.54,תלמוד לומר קול אליו משה היה שומע את הקול ואין כל אלו שומעים ,תלמוד לומר ושמעה קול אלה את ששומע קול חייב יצאו אילו שאין ,13,12,4256,4256.0,31,31.0,0.5,0.5384615384615384,4,תלמוד לומר קול את,4070000024,13,12
ref-sifra.2.1-02.12.8-ref-sifra.2.1-02.12.21,ref-y.2.1.1.1.18.20-ref-y.2.1.1.1.18.28,9495,9572,ref-sifra.2.1-02.12.8,ref-sifra.2.1-02.12.21,892483,892531,ref-y.2.1.1.1.18.20,ref-y.2.1.1.1.18.28,מעל הכפורת אי מעל הכפורת יכול מעל הכפורת כולה תלמוד לומר מבין שני הכרובים ,מעל הכפורת אשר על ארון העדות מבין שני הכרובי' ,14,9,708,708.0,33,33.0,0.4729729729729729,0.6923076923076923,4,מעל הכפורת מבין שני,4070000025,14,9
ref-sifra.2.1-02.13.13-ref-sifra.2.1-02.13.29,ref-y.2.9.3.4.3.21-ref-y.2.9.3.4.3.37,10169,10256,ref-sifra.2.1-02.13.13,ref-sifra.2.1-02.13.29,1784912,1784998,ref-y.2.9.3.4.3.21,ref-y.2.9.3.4.3.37,שנים שהיו ישראל כמנודין לא היה מדבר עם משה שנאמר ויהי כאשר תמו כל אנשי המלחמה למות ,שנים שהיו ישראל כמנודים לא היה מדבר עם משה שנאמ' ויהי כאשר תמו כל אנשי המלחמה למות ,11,11,1950,1950.0,34,34.0,0.0240963855421686,0.2666666666666667,15,שנים שהיו ישראל לא היה מדבר עם משה ויהי כאשר תמו כל אנשי המלחמה למות,4070000026,17,17
ref-sifra.2.2-00.8.90-ref-sifra.2.2-00.8.98,ref-y.3.2.7.7.3.103-ref-y.3.2.7.7.3.114,14225,14279,ref-sifra.2.2-00.8.90,ref-sifra.2.2-00.8.98,2463701,2463776,ref-y.3.2.7.7.3.103,ref-y.3.2.7.7.3.114,מום שמומו בגלוי תאמר ברובע ונרבע שאין מומו בגלוי ,במומין שבסתר אבל במומין שבגלוי אינו יכול לטעון ואין אף במומין שבגלוי ,9,12,2977,2977.0,35,35.0,0.5797101449275363,1.0,0,,4070000027,9,12
ref-sifra.2.2-00.8.90-ref-sifra.2.2-00.8.98,ref-y.3.7.2.4.3.96-ref-y.3.7.2.4.3.108,14225,14279,ref-sifra.2.2-00.8.90,ref-sifra.2.2-00.8.98,2898204,2898283,ref-y.3.7.2.4.3.96,ref-y.3.7.2.4.3.108,מום שמומו בגלוי תאמר ברובע ונרבע שאין מומו בגלוי ,במומין שבסתר אבל במומין שבגלוי אינו יכול לטעון ואם במתנ' אף מומין שבגלוי ,9,13,3339,3339.0,36,35.0,0.589041095890411,0.9333333333333332,0,,4070000028,9,13
ref-sifra.2.2-00.10.88-ref-sifra.2.2-00.10.102,ref-y.2.4.2.4.2.33-ref-y.2.4.2.4.2.47,15230,15310,ref-sifra.2.2-00.10.88,ref-sifra.2.2-00.10.102,1508579,1508649,ref-y.2.4.2.4.2.33,ref-y.2.4.2.4.2.47,כשהוא אומר למטה מן הבקר שאין תלמוד לומר אלא להוציא את הטריפה מן הצאן להוציא ,מן הצאן דבר שאינו בא אלא מן הצאן יצאת עולה שהיא באה אפילו מן הבקר ,15,15,1619,1618.0,37,37.0,0.7368421052631579,0.7333333333333334,2,מן הצאן,4070000029,15,15
ref-sifra.2.2-00.11.71-ref-sifra.2.2-00.11.82,ref-y.1.4.7.3.1.70-ref-y.1.4.7.3.1.91,15677,15730,ref-sifra.2.2-00.11.71,ref-sifra.2.2-00.11.82,423992,424094,ref-y.1.4.7.3.1.70,ref-y.1.4.7.3.1.91,בין בן של אחרים אסור אית תניי תני שלו אסור של אחרים מותר הוון בעיי מימר מאן דאמר בין שלו בין של אחרים,בין בן של אחרים אסור אית תניי תני שלו אסור של אחרים מותר הוון בעיי מימר מאן דאמר בין שלו בין של אחרים,23,23,210,210.0,38,38.0,0.0,0.0,17,בין בן של אחרים אסור אית_תניי_תני שלו אסור של אחרים מותר הוון_בעיי_מימר_מאן_דאמר בין שלו בין של אחרים,4070000030,23,23
ref-sifra.2.2-03.9.50-ref-sifra.2.2-03.9.60,ref-y.4.10.2.5.4.167-ref-y.4.10.2.5.4.175,17496,17561,ref-sifra.2.2-03.9.50,ref-sifra.2.2-03.9.60,3524673,3524714,ref-y.4.10.2.5.4.167,ref-y.4.10.2.5.4.175,חובה יביאנה נדבה מנחה תוכיח שהציבור מביאה חובה ואינו מביאה נדבה ,מביא נדבה אמר ליה אין חובה אינו מביא נדבה ,11,9,4401,4396.0,40,40.0,0.484375,0.5555555555555556,3,נדבה חובה נדבה,4070000031,11,9
ref-sifra.2.3-00.1.13-ref-sifra.2.3-00.1.29,ref-y.3.4.8.2.1.106-ref-y.3.4.8.2.1.125,17791,17875,ref-sifra.2.3-00.1.13,ref-sifra.2.3-00.1.29,2806801,2806916,ref-y.3.4.8.2.1.106,ref-y.3.4.8.2.1.125,מביא עולה ומגלה עליה חטאת העוף ומתנה עליה ואומר אם טמא הייתי החטאת מחובתי והעולה נדבה אם טהור העולה מחובתי,מביא עולה ומגלה עליה חטאת העוף ומתנה עליה ואומר אם טמא הייתי החטאת מחובתי והעולה נדבה אם טהור העולה מחובתי,7,7,3183,3179.0,43,43.0,0.0,0.0,18,מביא עולה ומגלה עליה חטאת העוף ומתנה עליה ואומר אם_טמא_הייתי החטאת מחובתי והעולה נדבה אם טהור העולה מחובתי,4070000032,20,20
ref-sifra.2.3-00.1.13-ref-sifra.2.3-00.1.27,ref-y.3.4.8.2.2.40-ref-y.3.4.8.2.2.59,17791,17867,ref-sifra.2.3-00.1.13,ref-sifra.2.3-00.1.27,2807214,2807328,ref-y.3.4.8.2.2.40,ref-y.3.4.8.2.2.59,עליה ואומר אם טמא הייתי העולה הראשונה נדבה או חובה והחטאת מחובתי ואם טהור הייתי העולה הראשונה חובה או נדבה,עליה ואומר אם טמא הייתי העולה הראשונה נדבה או חובה והחטאת מחובתי ואם טהור הייתי העולה הראשונה חובה או נדבה,20,20,3188,3188.0,41,41.0,0.0,0.0,18,עליה ואומר אם_טמא_הייתי העולה הראשונה נדבה או חובה והחטאת מחובתי ואם טהור הייתי העולה הראשונה חובה או נדבה,4070000033,20,20
ref-sifra.2.3-00.1.13-ref-sifra.2.3-00.1.27,ref-y.3.4.8.2.6.9-ref-y.3.4.8.2.6.25,17791,17867,ref-sifra.2.3-00.1.13,ref-sifra.2.3-00.1.27,2808047,2808144,ref-y.3.4.8.2.6.9,ref-y.3.4.8.2.6.25,בעולת נדבה עולת חובה מנין ודין הוא נאמר הבא עולת נדבה ונאמר הבא עולת חובה ,ואומר אם טמא הייתי העולה הראשונה חובה וזו נדבה ואם טהור הייתי העולה הראשונה נדבה וזו חובה ,5,17,3196,3196.0,42,41.0,0.6666666666666666,0.8571428571428572,3,חובה נדבה חובה,4070000034,15,17
ref-sifra.2.3-00.1.16-ref-sifra.2.3-00.1.29,ref-y.3.4.8.2.7.9-ref-y.3.4.8.2.7.25,17808,17875,ref-sifra.2.3-00.1.16,ref-sifra.2.3-00.1.29,2808236,2808333,ref-y.3.4.8.2.7.9,ref-y.3.4.8.2.7.25,חובה מנין ודין הוא נאמר הבא עולת נדבה ונאמר הבא עולת חובה מה עולת ,מביא עולת בהמה ומגלה עליה חטאת העוף ומתנה עליה ואומר אם טמא הייתי החטאת מחובתי והעולה נדבה ,4,4,3201,3199.0,46,41.0,0.7142857142857143,0.8,2,עולת נדבה,4070000035,14,17
ref-sifra.2.3-00.3.8-ref-sifra.2.3-00.3.20,ref-y.2.5.5.4.4.49-ref-y.2.5.5.4.4.61,18183,18248,ref-sifra.2.3-00.3.8,ref-sifra.2.3-00.3.20,1451660,1451729,ref-y.2.5.5.4.4.49,ref-y.2.5.5.4.4.61,עולה ונאמר הבא תמורה מה עולה כל הפסולים האלו נוהגים בה אף תמורה ,למעלן ונאמרו דמים למטן מה דמים אמורין בו למעלן אחת אף דמים אמורין ,13,3,1368,1338.0,48,47.0,0.7121212121212122,0.8181818181818181,2,מה אף,4070000036,13,13
ref-sifra.2.3-00.3.3-ref-sifra.2.3-00.4.21,ref-y.3.4.5.1.6.29-ref-y.3.4.5.1.6.50,18156,18387,ref-sifra.2.3-00.3.3,ref-sifra.2.3-00.4.21,2758574,2758679,ref-y.3.4.5.1.6.29,ref-y.3.4.5.1.6.50,בתמורה ודין הוא נאמר הבא עולה ונאמר הבא תמורה מה עולה כל הפסולים האלו נוהגים בה אף תמורה כל הפסולים האלו נוהגים בה לא אם אמרת בעולה שאין קדושה חלה עליה בבעל מום קבוע תאמר בתמורה שקדושה חלה עליה בבעל מום קבוע הואיל וקדושה ,חולין ואמר עולה קדשה אמ' רבי יוחנן בא לומר חולין ואמר עולה קדשה אבל אם בא לומר עולה ואמר חולין לא קדשה ,44,22,3104,3104.0,47,47.0,0.6787330316742082,0.8888888888888888,2,עולה עולה,4070000037,44,22
ref-sifra.2.3-04.2.3-ref-sifra.2.3-04.2.11,ref-y.1.8.4.3.4.7-ref-y.1.8.4.3.4.13,21752,21788,ref-sifra.2.3-04.2.3,ref-sifra.2.3-04.2.11,730670,730702,ref-y.1.8.4.3.4.7,ref-y.1.8.4.3.4.13,לא יד בנו ולא יד עבדו ולא יד שלוחו ,לו ביד בנו ביד עבדו ביד שלוחו ,2,1,491,490.0,51,49.0,0.2857142857142857,0.1999999999999999,3,בנו עבדו שלוחו,4070000038,9,7
ref-sifra.2.3-04.2.3-ref-sifra.2.3-04.2.11,ref-y.2.2.7.6.3.6-ref-y.2.2.7.6.3.12,21752,21788,ref-sifra.2.3-04.2.3,ref-sifra.2.3-04.2.11,1195154,1195186,ref-y.2.2.7.6.3.6,ref-y.2.2.7.6.3.12,לא יד בנו ולא יד עבדו ולא יד שלוחו ,לו ביד בנו ביד עבדו ביד שלוחו ,2,1,856,854.0,52,49.0,0.2857142857142857,0.1999999999999999,3,בנו עבדו שלוחו,4070000039,9,7
ref-sifra.2.3-04.2.2-ref-sifra.2.3-04.2.11,ref-y.3.7.1.3.10.60-ref-y.3.7.1.3.10.70,21748,21788,ref-sifra.2.3-04.2.2,ref-sifra.2.3-04.2.11,2852030,2852082,ref-y.3.7.1.3.10.60,ref-y.3.7.1.3.10.70,ידו לא יד בנו ולא יד עבדו ולא יד שלוחו ,לו ביד עבדו ביד בנו ביד שלוחו לית הדא אמרה שהעבד ,3,6,3268,3266.0,50,49.0,0.673469387755102,0.4285714285714286,2,עבדו שלוחו,4070000040,10,11
ref-sifra.2.3-04.1.148-ref-sifra.2.3-04.2.11,ref-y.3.7.2.1.2.127-ref-y.3.7.2.1.2.137,21727,21788,ref-sifra.2.3-04.1.148,ref-sifra.2.3-04.2.11,2888288,2888336,ref-y.3.7.2.1.2.127,ref-y.3.7.2.1.2.137,ויסמוך מבפנים וסמך ידו לא יד בנו ולא יד עבדו ולא יד שלוחו ,וסמך ידו ולא יד בנו ולא יד עבדו ולא יד שלוחו ,6,4,3333,3333.0,49,49.0,0.2413793103448276,0.1428571428571429,10,וסמך ידו יד בנו ולא יד עבדו ולא יד שלוחו,4070000041,13,11
