,index,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,grp-ref-y,grp-ref-sifre-d,dam-lev,jac,id
10,12,ref-y.2.5.8.5.7.122-ref-y.2.5.8.5.7.126,ref-sifre-d.2.8.16-ref-sifre-d.2.8.20,1487906,1487942,221597,221601,ref-y.2.5.8.5.7.122,ref-y.2.5.8.5.7.126,8718,8760,1444,1448,ref-sifre-d.2.8.16,ref-sifre-d.2.8.20,שבתורה קלות וחמורות זדונות ושגגות ,שבתורה הקלות והחמורות הזדונות והשגגות ,4,4,845.0,12.0,0.10526315789473684,0.0,4080000011
11,13,ref-y.1.8.1.1.8.10-ref-y.1.8.1.1.8.29,ref-sifre-d.3.1.19-ref-sifre-d.3.1.49,695486,695560,105100,105118,ref-y.1.8.1.1.8.10,ref-y.1.8.1.1.8.29,8929,9075,1473,1498,ref-sifre-d.3.1.19,ref-sifre-d.3.1.49,ותן לי שמן הא לך שמן ותן לי יין אבל אומר לו הא לך יין שאין לך יין הא לך ,תן לנו את גלוסקאות חמות אמר להם אני נותן לכם שוב אמרו לו תן לנו גלוסקאות חמות אמר להם האיפרכיס שלו בשביל שהמלך כשר אם לאו מאין לו רחיים מאין לו ,18,25,421.0,13.0,0.6597222222222222,0.8947368421052632,4080000012
12,14,ref-y.4.3.3.5.1.65-ref-y.4.3.3.5.1.75,ref-sifre-d.3.1.20-ref-sifre-d.3.1.33,3089850,3089897,464321,464330,ref-y.4.3.3.5.1.65,ref-y.4.3.3.5.1.75,8932,8992,1474,1484,ref-sifre-d.3.1.20,ref-sifre-d.3.1.33,לי כיליי אמר לו אתה נתתו לי במתנה אתה מכרתו לי ,לנו את גלוסקאות חמות אמר להם אני נותן לכם שוב אמרו לו תן לנו ,9,10,2284.0,13.0,0.639344262295082,0.8461538461538461,4080000013
13,15,ref-y.4.4.1.4.4.8-ref-y.4.4.1.4.4.24,ref-sifre-d.5.2.21-ref-sifre-d.5.2.28,3159788,3159865,474960,474975,ref-y.4.4.1.4.4.8,ref-y.4.4.1.4.4.24,10326,10369,1713,1720,ref-sifre-d.5.2.21,ref-sifre-d.5.2.28,"אלפים ושש מאות שרי אלפי' שש מאות שרי מאות ששת אלפי' שרי נ' ב""י אלף שרי",ושרי אלפים ושרי מאות ושרי נ' ושרי עשרות,16,8,2412.0,15.0,0.5857142857142857,0.625,4080000014
14,17,ref-y.1.5.9.2.4.14-ref-y.1.5.9.2.4.22,ref-sifre-d.6.1.25-ref-sifre-d.6.1.32,513051,513094,78578,78586,ref-y.1.5.9.2.4.14,ref-y.1.5.9.2.4.22,10548,10587,1757,1764,ref-sifre-d.6.1.25,ref-sifre-d.6.1.32,הר שביהודה זה הר המלך ושפלתנ זו שפלת דרום ,בהר זה הר המלך בשפלה זה שפילות דרום ,8,7,324.0,17.0,0.3333333333333333,0.5,4080000015
15,18,ref-y.3.5.8.3.11.112-ref-y.3.5.8.3.11.123,ref-sifre-d.6.2.23-ref-sifre-d.6.2.40,2335968,2336014,349709,349718,ref-y.3.5.8.3.11.112,ref-y.3.5.8.3.11.123,10832,10925,1807,1823,ref-sifre-d.6.2.23,ref-sifre-d.6.2.40,אשר בנה בית אין לי אלא אשר בנה לקח ירש,אל הלבנון ויקח את צמרת הארז ואומר החוח אשר בלבנון שלח אל הארז אשר בלבנון לאמר תנה,10,17,1837.0,18.0,0.691358024691358,0.6923076923076923,4080000016
16,20,ref-y.2.1.9.3.6.61-ref-y.2.1.9.3.6.70,ref-sifre-d.6.3.11-ref-sifre-d.6.3.17,1034711,1034759,154750,154758,ref-y.2.1.9.3.6.61,ref-y.2.1.9.3.6.70,11130,11171,1857,1863,ref-sifre-d.6.3.11,ref-sifre-d.6.3.17,אמרי אם יהיו חטאיו של אדם כפי שניו כשלג ולבינו ,שנאמר אם יהיו חטאיכם כשנים כשלג ילבינו ,8,6,663.0,20.0,0.3191489361702128,0.6363636363636364,4080000017
17,21,ref-y.2.1.9.3.6.30-ref-y.2.1.9.3.6.50,ref-sifre-d.6.3.12-ref-sifre-d.6.3.17,1034538,1034646,154722,154739,ref-y.2.1.9.3.6.30,ref-y.2.1.9.3.6.50,11137,11171,1858,1863,ref-sifre-d.6.3.12,ref-sifre-d.6.3.17,אם יחיו חטאיכם כשנים כשני אבות בשלג ילבינו יותר מיכן כצמר יהיו אמר רבי יודן בר פזי אם,אם יהיו חטאיכם כשנים כשלג ילבינו,18,6,659.0,20.0,0.6352941176470588,0.6666666666666667,4080000018
18,23,ref-y.2.5.6.5.2.26-ref-y.2.5.6.5.2.34,ref-sifre-d.6.3.12-ref-sifre-d.6.3.17,1466318,1466373,218371,218379,ref-y.2.5.6.5.2.26,ref-y.2.5.6.5.2.34,11137,11171,1858,1863,ref-sifre-d.6.3.12,ref-sifre-d.6.3.17,אם יהיו חטאיכם כשנים כשני אבות הראשונים כשלג ילבינו ,אם יהיו חטאיכם כשנים כשלג ילבינו ,8,5,807.0,20.0,0.36538461538461536,0.2857142857142857,4080000019
19,24,ref-y.1.9.2.1.6.32-ref-y.1.9.2.1.6.38,ref-sifre-d.6.3.17-ref-sifre-d.6.4.5,777520,777558,117024,117030,ref-y.1.9.2.1.6.32,ref-y.1.9.2.1.6.38,11165,11195,1863,1868,ref-sifre-d.6.3.17,ref-sifre-d.6.4.5,והלבנון הזה ועד הנהר הגדול נהר פרת ,ילבינו עד הנהר הגדול נהר פרת ,6,5,473.0,20.0,0.2571428571428571,0.375,4080000020
20,25,ref-y.3.4.3.6.1.24-ref-y.3.4.3.6.1.44,ref-sifre-d.8.1.57-ref-sifre-d.8.1.73,2745265,2745360,411289,411307,ref-y.3.4.3.6.1.24,ref-y.3.4.3.6.1.44,12128,12204,2033,2048,ref-sifre-d.8.1.57,ref-sifre-d.8.1.73,"אמ' סבר ר' יודה שלא נטמאה כל עיקר אין תימר ר' יודה כב""ש ותני שלשי' יום ויד שנה לא תנינן מתני ",ואמר מה בידי לא נתנה לי אלא כמות שהיא חזר ונטעה כרם אמר מה בידי לא נתנה ,18,15,2028.0,25.0,0.6451612903225806,0.8,4080000021
21,26,ref-y.3.7.1.3.4.39-ref-y.3.7.1.3.4.46,ref-sifre-d.8.1.92-ref-sifre-d.8.1.99,2848875,2848917,426988,426995,ref-y.3.7.1.3.4.39,ref-y.3.7.1.3.4.46,12295,12334,2064,2071,ref-sifre-d.8.1.92,ref-sifre-d.8.1.99,קום התהלך בארץ לאורכה ולרחבה כי לך אתננה ,קום לך בארץ לארכה ולרחבה כי לך אתננה ,7,7,2105.0,26.0,0.0975609756097561,0.1428571428571429,4080000022
22,27,ref-y.1.9.2.1.7.31-ref-y.1.9.2.1.7.39,ref-sifre-d.8.2.17-ref-sifre-d.8.2.26,777998,778040,117106,117113,ref-y.1.9.2.1.7.31,ref-y.1.9.2.1.7.39,12688,12734,2132,2139,ref-sifre-d.8.2.17,ref-sifre-d.8.2.26,השיב את גבול ישראל מלבוא חמת עד ים הערבה ,השיב את גבול ארץ ישראל מלבוא חמת עד ים הערבה ,7,7,480.0,27.0,0.08888888888888889,0.11111111111111116,4080000023
23,28,ref-y.2.4.3.3.3.38-ref-y.2.4.3.3.3.51,ref-sifre-d.9.2.85-ref-sifre-d.9.2.98,1520779,1520847,226490,226500,ref-y.2.4.3.3.3.38,ref-y.2.4.3.3.3.51,13558,13628,2281,2294,ref-sifre-d.9.2.85,ref-sifre-d.9.2.98,נוטל מן השנייה נטל מן השנייה אף על פי שיש בשנייה,נוטל שתים ואם חייב ליטול שתים נוטל שלשה ואם חייב ליטול דינר נוטל מנה,11,14,877.0,28.0,0.6617647058823529,0.8181818181818181,4080000024
24,30,ref-y.1.1.5.1.7.28-ref-y.1.1.5.1.7.35,ref-sifre-d.10.1.22-ref-sifre-d.10.1.29,111475,111513,17798,17804,ref-y.1.1.5.1.7.28,ref-y.1.1.5.1.7.35,13877,13916,2342,2348,ref-sifre-d.10.1.22,ref-sifre-d.10.1.29,אך צדיקים יודו לשמך ישבו ישרים את פניך ,אך צדיקים יודו לשמך ישבו ישרים את פניך ,6,6,94.0,30.0,0.0,0.0,4080000025
25,31,ref-y.2.12.2.1.6.231-ref-y.2.12.2.1.6.240,ref-sifre-d.10.2.6-ref-sifre-d.10.2.13,1942891,1942941,290449,290457,ref-y.2.12.2.1.6.231,ref-y.2.12.2.1.6.240,14150,14196,2392,2399,ref-sifre-d.10.2.6,ref-sifre-d.10.2.13,שובע שמחו' את פניך שבע ביתו' של צדיקי' לעתיד לבוא ,לשבע שמחות פניהם של צדיקים ראויים לעתיד לבוא ,8,7,1364.0,31.0,0.42,0.6923076923076923,4080000026
26,32,ref-y.4.3.8.1.5.37-ref-y.4.3.8.1.5.45,ref-sifre-d.10.2.23-ref-sifre-d.10.2.31,3108795,3108838,467232,467240,ref-y.4.3.8.1.5.37,ref-y.4.3.8.1.5.45,14265,14315,2408,2416,ref-sifre-d.10.2.23,ref-sifre-d.10.2.31,אחים בני אחים בנות אחים בני בנות אחים מניין ,לחמה וללבנה מנין יפה כלבנה ברה כחמה לרקיע מנין ,8,8,2294.0,32.0,0.6382978723404256,0.875,4080000027
27,33,ref-y.3.6.5.3.3.38-ref-y.3.6.5.3.3.51,ref-sifre-d.11.1.72-ref-sifre-d.11.1.98,2663804,2663879,399127,399140,ref-y.3.6.5.3.3.38,ref-y.3.6.5.3.3.51,14895,15019,2511,2534,ref-sifre-d.11.1.72,ref-sifre-d.11.1.98,הוינא מיתן ליה וישלם לי טיבו ראובן גזל שדה משמעון ונתנה מתנה ללוי והלך ,ההוא אמר לו לאפוטרופא תן לי הכסף וזהב שהניח לי אבא בידך עמד ונתן לו משלו כדי פרנסתו אמר לו כל מה שנתתי לך לא נתתי לך ,13,23,2000.0,33.0,0.6752136752136753,0.88,4080000028
28,34,ref-y.3.5.2.2.4.42-ref-y.3.5.2.2.4.55,ref-sifre-d.11.1.73-ref-sifre-d.11.1.97,2269851,2269915,339564,339576,ref-y.3.5.2.2.4.42,ref-y.3.5.2.2.4.55,14901,15016,2512,2533,ref-sifre-d.11.1.73,ref-sifre-d.11.1.97,אמר לי יהודה בני תן לי סנדלי ונתתי לו ופשט ידו לחלון ונתן,אמר לו לאפוטרופא תן לי הכסף וזהב שהניח לי אבא בידך עמד ונתן לו משלו כדי פרנסתו אמר לו כל מה שנתתי,13,22,1681.0,33.0,0.6597938144329897,0.8,4080000029
29,36,ref-y.1.8.3.1.3.32-ref-y.1.8.3.1.3.42,ref-sifre-d.13.1.1-ref-sifre-d.13.1.10,714946,714989,107944,107952,ref-y.1.8.3.1.3.32,ref-y.1.8.3.1.3.42,15855,15897,2683,2692,ref-sifre-d.13.1.1,ref-sifre-d.13.1.10,הב לי דברי הכל אסור הב לי ואנא יהב לך דברי ,הבו לכם אין הבו אלא עצה שנאמר הבו לכם דבר ,8,9,430.0,36.0,0.6046511627906976,0.8,4080000030
30,37,ref-y.3.7.1.2.8.43-ref-y.3.7.1.2.8.62,ref-sifre-d.13.5.5-ref-sifre-d.13.5.14,2836919,2837029,425230,425248,ref-y.3.7.1.2.8.43,ref-y.3.7.1.2.8.62,16677,16726,2818,2826,ref-sifre-d.13.5.5,ref-sifre-d.13.5.14,מניין אתה אומר נמבר ממנה מנה והשביח והרי הוא יפה ממאתים מאתים מניין שאינו מחשב עמו אלא ממנה מנה תלמוד לומר ,"מניתם אתם אותם הם ממונים ואם לאו אינן ממונים ת""ל ",18,8,2091.0,37.0,0.6822429906542056,0.9473684210526316,4080000031
31,38,ref-y.3.1.3.12.2.50-ref-y.3.1.3.12.2.61,ref-sifre-d.13.5.5-ref-sifre-d.13.5.34,2091713,2091780,312961,312972,ref-y.3.1.3.12.2.50,ref-y.3.1.3.12.2.61,16677,16826,2818,2845,ref-sifre-d.13.5.5,ref-sifre-d.13.5.34,ההין תמני וההין תמני הן קטנים והן גדולות פטורין וכולן הן גדולין,"מניתם אתם אותם הם ממונים ואם לאו אינן ממונים ת""ל ואשימם בראשיכם אם אני ממנה אותם הרי הם ממונים אם לאו אינם ממונים יכול אם גדלתם אותם הרי",12,28,1474.0,37.0,0.7352941176470589,0.9444444444444444,4080000032
32,40,ref-y.3.1.15.1.4.24-ref-y.3.1.15.1.4.43,ref-sifre-d.14.1.45-ref-sifre-d.14.1.64,2224608,2224715,332430,332448,ref-y.3.1.15.1.4.24,ref-y.3.1.15.1.4.43,17307,17413,2927,2945,ref-sifre-d.14.1.45,ref-sifre-d.14.1.64,ובאת מן הדרום היתה מלחמה בצפון ובאת מן הדרום והיא אומרת מן הצפון באתי ואני אומר מן הדרום באת והיא ,הייתם אומרים עכשיו הוא ממנה עלינו דיינים שהם מונים אלף חסר פרוטרוט אם אינו שומע אנו מביאים לו דורון והוא ,18,18,1630.0,40.0,0.7333333333333333,0.9047619047619048,4080000033
33,41,ref-y.4.4.10.2.16.56-ref-y.4.4.10.2.16.70,ref-sifre-d.15.4.13-ref-sifre-d.15.4.21,3293103,3293172,495937,495949,ref-y.4.4.10.2.16.56,ref-y.4.4.10.2.16.70,18012,18053,3046,3053,ref-sifre-d.15.4.13,ref-sifre-d.15.4.21,שרי אלפים שש מאות שרי מאות ששת אלפים שרי חמשים שנים עשר אלף שרי עשרות ,שר משרי מאות וכמו כן שרי חמשים שרי עשרות ,12,7,2697.0,41.0,0.5142857142857142,0.6666666666666667,4080000034
34,42,ref-y.2.4.4.4.5.83-ref-y.2.4.4.4.5.90,ref-sifre-d.16.5.47-ref-sifre-d.16.7.13,1530896,1530926,227907,227914,ref-y.2.4.4.4.5.83,ref-y.2.4.4.4.5.90,19658,19779,3309,3328,ref-sifre-d.16.5.47,ref-sifre-d.16.7.13,אשם בן שנה הביא בן שתים יצא בן ,ומביא ראיות בין איש להוציא את הקטן מכאן אמרו אין דנים יתומים בין איש ובין אחיו ובין גרו אין לי אלא בין איש לאשתו בין ,7,19,883.0,42.0,0.7948717948717948,0.8333333333333334,4080000035
35,43,ref-y.3.5.3.8.1.4-ref-y.3.5.3.8.1.26,ref-sifre-d.16.6.1-ref-sifre-d.16.7.16,2290582,2290686,342766,342783,ref-y.3.5.3.8.1.4,ref-y.3.5.3.8.1.26,19671,19793,3311,3331,ref-sifre-d.16.6.1,ref-sifre-d.16.7.16,בין איש לאשה האיש פורע ופורם כו' איש אין לי אלא איש אשה מניין תלמוד לומר צרוע בין,בין איש להוציא את הקטן מכאן אמרו אין דנים יתומים בין איש ובין אחיו ובין גרו אין לי אלא בין איש,18,21,1692.0,42.0,0.6382978723404256,0.8333333333333334,4080000036
36,44,ref-y.3.4.4.6.1.3-ref-y.3.4.4.6.1.23,ref-sifre-d.16.6.1-ref-sifre-d.16.7.19,2754525,2754614,412751,412766,ref-y.3.4.4.6.1.3,ref-y.3.4.4.6.1.23,19671,19810,3311,3334,ref-sifre-d.16.6.1,ref-sifre-d.16.7.19,האיש מדיר כו' אין לי אלא איש אשה מניין תלמוד לומר צרוע בין איש בין אשה,בין איש להוציא את הקטן מכאן אמרו אין דנים יתומים בין איש ובין אחיו ובין גרו אין לי אלא בין איש לאשתו בין אשה,16,24,2034.0,42.0,0.6203703703703703,0.8333333333333334,4080000037
37,45,ref-y.3.1.1.1.6.9-ref-y.3.1.1.1.6.33,ref-sifre-d.16.7.1-ref-sifre-d.16.7.14,2049539,2049660,306656,306672,ref-y.3.1.1.1.6.9,ref-y.3.1.1.1.6.33,19721,19783,3318,3329,ref-sifre-d.16.7.1,ref-sifre-d.16.7.14,בין אשת אחיו מאביו בין אשת אחיו מאמו בין אשת אחיו שהיה בעולמו בין אשת אחיו שלא היה בעולמו בין לחיים בין לאחר מיתה בין ,בין איש ובין אחיו ובין גרו אין לי אלא בין איש לאשתו בין אשה ,16,11,1389.0,42.0,0.5932203389830508,0.6363636363636364,4080000038
38,46,ref-y.4.3.8.1.5.22-ref-y.4.3.8.1.5.46,ref-sifre-d.16.7.1-ref-sifre-d.16.7.23,3108734,3108842,467222,467241,ref-y.4.3.8.1.5.22,ref-y.4.3.8.1.5.46,19721,19834,3318,3338,ref-sifre-d.16.7.1,ref-sifre-d.16.7.23,בן בת בת בן בן מניין תלמוד לומר בת מכל מקום אחים אין לי אלא אחים בני אחים בנות אחים,בין איש ובין אחיו ובין גרו אין לי אלא בין איש לאשתו בין אשה לאיש בין אומה למשפחה בין משפחה לחבירתה,20,21,2294.0,42.0,0.6938775510204082,0.875,4080000039
39,50,ref-y.3.5.8.3.11.99-ref-y.3.5.8.3.11.129,ref-sifre-d.16.7.5-ref-sifre-d.16.7.25,2335903,2336043,349697,349723,ref-y.3.5.8.3.11.99,ref-y.3.5.8.3.11.129,19740,19842,3322,3340,ref-sifre-d.16.7.5,ref-sifre-d.16.7.25,אש ומובללת באש חצובה מאש נתונה מאש מימינו אש דת למו הלכה ד' אשר בנה בית אין לי אלא אשר בנה לקח ירש ניתן לו ב מתנה,"ובין גרו אין לי אלא בין איש לאשתו בין אשה לאיש בין אומה למשפחה בין משפחה לחבירתה מנין ת""ל",27,19,1837.0,42.0,0.7079646017699115,0.8181818181818181,4080000040
40,52,ref-y.4.4.1.1.26.30-ref-y.4.4.1.1.26.43,ref-sifre-d.17.4.1-ref-sifre-d.17.4.16,3137453,3137523,471615,471628,ref-y.4.4.1.1.26.30,ref-y.4.4.1.1.26.43,20688,20764,3488,3501,ref-sifre-d.17.4.1,ref-sifre-d.17.4.16,מששמע דבריהן אין רשאי לומר להן איני נזקק לכם שנאמר לא תגורו מפני איש ,לא תגורו מפני איש שאם באים שנים לדין לפניך עד שלא תשמע את דבריהם אתה רשאי ,13,13,2320.0,52.0,0.7297297297297297,0.8,4080000041
41,53,ref-y.4.4.1.1.24.71-ref-y.4.4.1.1.24.78,ref-sifre-d.17.4.6-ref-sifre-d.17.4.14,3136984,3137023,471533,471539,ref-y.4.4.1.1.24.71,ref-y.4.4.1.1.24.78,20711,20755,3493,3499,ref-sifre-d.17.4.6,ref-sifre-d.17.4.14,שנים שבאו אל הדיין עד שלא שמע דבריהן ,באים שנים לדין לפניך עד שלא תשמע את דבריהם ,6,6,2319.0,52.0,0.4186046511627907,0.6666666666666667,4080000042
42,54,ref-y.4.4.1.1.23.9-ref-y.4.4.1.1.23.34,ref-sifre-d.17.4.49-ref-sifre-d.17.4.59,3136501,3136615,471449,471471,ref-y.4.4.1.1.23.9,ref-y.4.4.1.1.23.34,20939,20988,3529,3538,ref-sifre-d.17.4.49,ref-sifre-d.17.4.59,אמת ומשפט שלום כל מקום שיש אמת אין משפט שלום יש שלום אין משפט אמת ואי זהו אמת שיש בו משפט שלום הוי אומר זה ביצוע ,אמת ומשפט שלום שיש בו משפט אמת הוי אומר זה ביצוע ,22,9,2318.0,54.0,0.5752212389380531,0.2727272727272727,4080000043
43,55,ref-y.4.4.1.1.20.13-ref-y.4.4.1.1.20.22,ref-sifre-d.17.4.78-ref-sifre-d.17.4.85,3136049,3136101,471380,471388,ref-y.4.4.1.1.20.13,ref-y.4.4.1.1.20.22,21088,21126,3551,3557,ref-sifre-d.17.4.78,ref-sifre-d.17.4.85,המבצע הרי זה כמנאץ לפני המקו' שנאמ' ובוצע ברך נאץ ,המבצע הרי זה מנאץ שנא' ובוצע ברך נאץ ,8,6,2316.0,55.0,0.26,0.5,4080000044
44,56,ref-y.4.4.1.1.21.33-ref-y.4.4.1.1.21.42,ref-sifre-d.17.4.81-ref-sifre-d.17.4.85,3136362,3136407,471428,471433,ref-y.4.4.1.1.21.33,ref-y.4.4.1.1.21.42,21102,21126,3553,3557,ref-sifre-d.17.4.81,ref-sifre-d.17.4.85,מנאץ רבי מאיר אומר מה תלמוד לומ' בוצע ברך נאץ ,מנאץ שנא' ובוצע ברך נאץ ,5,4,2317.0,55.0,0.5434782608695652,0.7272727272727273,4080000045
45,57,ref-y.1.9.1.5.7.11-ref-y.1.9.1.5.7.14,ref-sifre-d.17.4.83-ref-sifre-d.17.4.86,774450,774467,116555,116558,ref-y.1.9.1.5.7.11,ref-y.1.9.1.5.7.14,21112,21129,3555,3558,ref-sifre-d.17.4.83,ref-sifre-d.17.4.86,ובוצע ברך נאץ ה' ,ובוצע ברך נאץ ה' ,3,3,469.0,55.0,0.0,0.0,4080000046
46,58,ref-y.4.4.1.1.28.40-ref-y.4.4.1.1.28.50,ref-sifre-d.17.6.1-ref-sifre-d.17.6.13,3137873,3137927,471684,471693,ref-y.4.4.1.1.28.40,ref-y.4.4.1.1.28.50,21313,21380,3591,3601,ref-sifre-d.17.6.1,ref-sifre-d.17.6.13,וכן יהושפט אומר לשופטים ראו מה אתם עושים כי לא לאדם ,וכן ביהושפט הוא אומר ויאמר לשופטים ראו מה אתם עשיתם כי לא לאדם ,9,10,2321.0,58.0,0.20634920634920634,0.25,4080000047
47,59,ref-y.4.3.3.5.1.67-ref-y.4.3.3.5.1.82,ref-sifre-d.21.1.18-ref-sifre-d.21.1.28,3089859,3089929,464323,464337,ref-y.4.3.3.5.1.67,ref-y.4.3.3.5.1.82,23884,23933,4010,4020,ref-sifre-d.21.1.18,ref-sifre-d.21.1.28,אמר לו אתה נתתו לי במתנה אתה מכרתו לי אינה חזקה אתה אמרת לי למוכרו לי ,"שאמר לחבירו מכור לי חמורך זה א""ל הן נותן אתה לי ",14,10,2284.0,59.0,0.6571428571428571,0.875,4080000048
48,60,ref-y.3.5.9.6.2.151-ref-y.3.5.9.6.2.162,ref-sifre-d.23.2.11-ref-sifre-d.23.2.20,2350784,2350840,351963,351973,ref-y.3.5.9.6.2.151,ref-y.3.5.9.6.2.162,24821,24872,4170,4179,ref-sifre-d.23.2.11,ref-sifre-d.23.2.20,ויאמר עלה נעלה וירשנו אותה כי ובול נוכל לה עד כאן אמ' ,שנאמר עלה נעלה וירשנו אותה כי יכול נוכל לה ואומר ,10,9,1884.0,60.0,0.2222222222222222,0.5,4080000049
