baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-sifra,baseOrder,grp-ref-t,dam-lev,jac,lcc_len,lcs_str,id,bRangeOriginal,cRangeOriginal
ref-t.1.2.1.6.5-ref-t.1.2.1.6.22,ref-sifra.11.1-01.10.7-ref-sifra.11.1-01.10.23,35672,35770,ref-t.1.2.1.6.5,ref-t.1.2.1.6.22,487118,487202,ref-sifra.11.1-01.10.7,ref-sifra.11.1-01.10.23,ארבע' דברים לא יתן אדם פיאה אלא בסוף מפני גזל העניים ומפני בטול העניים ומפני מראית העין ומפני ,ארבעה דברים אמרו לא יתן אדם פאה אלא בסוף שדהו מפני גזל עניים מפני ביטול עניים ומפני ,16,17,2840,2840.0,19,19.0,0.351063829787234,0.3125,9,דברים לא יתן אדם אלא בסוף מפני גזל ומפני,2040000017,16,17
ref-t.1.2.1.6.10-ref-t.1.2.1.6.62,ref-sifra.11.1-01.10.31-ref-sifra.11.1-01.10.65,35695,35980,ref-t.1.2.1.6.10,ref-t.1.2.1.6.62,487242,487428,ref-sifra.11.1-01.10.31,ref-sifra.11.1-01.10.65,פיאה אלא בסוף מפני גזל העניים ומפני בטול העניים ומפני מראית העין ומפני הרמאין מפני גזל העניים כיצד שלא יראה שעה שאין שם אדם ויאמר לעני מדעתו בוא וטול לך פיאה זו ומפני בטול עניים כיצד שלא יהו עניים יושבין ומשמרין כל היום ואו' עכשיו הוא נותן פיאה עכשיו הוא נותן פאה אלא ,פאת שדך מפני גזל עניים כיצד שלא יראה האדם שעה פנויה ויאמר לקרובו העני בוא וטול לך פאה מפני ביטול עניים כיצד שלא יהיו עניים יושבים ומשמרים כל היום ואומרים עכשיו הוא נותן פאה אלא ,51,35,2842,2841.0,20,19.0,0.4664179104477612,0.5,21,מפני גזל כיצד שלא יראה שעה ויאמר בוא וטול לך עניים כיצד שלא עניים כל היום עכשיו הוא נותן פאה אלא,2040000018,51,35
ref-t.1.2.1.6.93-ref-t.1.2.1.6.102,ref-sifra.11.1-01.10.28-ref-sifra.11.1-01.10.37,36148,36200,ref-t.1.2.1.6.93,ref-t.1.2.1.6.102,487229,487274,ref-sifra.11.1-01.10.28,ref-sifra.11.1-01.10.37,בתורה לא תכלה פאת שדך וגו' ומפני הרמאין כיצד שלא ,תורה לא תכלה פאת שדך מפני גזל עניים כיצד שלא ,10,10,2841,2841.0,23,21.0,0.3061224489795918,0.5,6,לא תכלה פאת שדך כיצד שלא,2040000019,10,10
ref-t.1.2.1.6.75-ref-t.1.2.1.6.99,ref-sifra.11.1-01.10.73-ref-sifra.11.1-01.10.99,36058,36182,ref-t.1.2.1.6.75,ref-t.1.2.1.6.99,487475,487617,ref-sifra.11.1-01.10.73,ref-sifra.11.1-01.10.99,כיצד שלא יהיו העוברים והשבים אומרים ראו איך קצר איש פלוני את שדהו ולא הניח פאה לעניים ומשום שאמרה תורה לא תכלה פאת שדך,מפני מראית העין כיצד שלא יהיו העוברים והשבים אומרים ראו איך קצר איש פלוני את שדהו ולא הניח פאה לעניים ומשום שאמרה תורה לא תכלה פאת שדך,24,27,2843,2843.0,21,21.0,0.1194029850746268,0.12,24,כיצד שלא יהיו העוברים והשבים אומרים ראו איך קצר איש פלוני את שדהו ולא הניח פאה לעניים ומשום שאמרה תורה לא תכלה פאת שדך,2040000020,24,27
ref-t.1.2.1.7.1-ref-t.1.2.1.7.14,ref-sifra.11.1-01.7.49-ref-sifra.11.1-01.7.74,36258,36345,ref-t.1.2.1.7.1,ref-t.1.2.1.7.14,486653,486803,ref-sifra.11.1-01.7.49,ref-sifra.11.1-01.7.74,ולקיטתו כאחד ומכניסו לקיום יצאו ירקות שאף על פי שלקיטתן כאחת אבל אין מכניסן לקיום יצאו התאנים שאף על פי שמכניסן לקיום אבל אין לקיטתן כאחת,ולקיטתו כאחד ומכניסו לקיום יצאו ירקות שאף על פי שלקיטתן כאחת אבל אין מכניסן לקיום יצאו התאנים שאף על פי שמכניסן לקיום אבל אין לקיטתן כאחת,22,22,2835,2835.0,24,24.0,0.0,0.0,22,ולקיטתו כאחד ומכניסו לקיום יצאו ירקות שאף_על_פי שלקיטתן כאחת אבל אין מכניסן לקיום יצאו התאנים שאף_על_פי שמכניסן לקיום אבל אין לקיטתן כאחת,2040000021,22,22
ref-t.1.2.1.8.1-ref-t.1.2.1.8.23,ref-sifra.11.1-02.1.3-ref-sifra.11.1-02.1.26,36499,36653,ref-t.1.2.1.8.1,ref-t.1.2.1.8.23,487743,487900,ref-sifra.11.1-02.1.3,ref-sifra.11.1-02.1.26,אילו מפסיקין לפיאה הנחל והשלולית דרך היחיד ודרך הרבים ושביל היחיד ושביל הרבים הקבוע בימות החמה ובימות הגשמים הבור והניר וזרע וקוצר לשחת ,אלו מפסיקים לפאה הנחל והשלולית דרך היחיד ודרך הרבים ושביל הרבים ושביל היחיד הקבוע בימות החמה ובימות הגשמים הבור והניר וזרע אחר והקוצר לשחת ,23,24,2845,2845.0,26,26.0,0.1007194244604316,0.1428571428571429,17,הנחל והשלולית דרך היחיד ודרך הרבים ושביל הרבים הקבוע בימות החמה ובימות הגשמים הבור והניר וזרע לשחת,2040000022,23,24
ref-t.1.2.1.8.52-ref-t.1.2.1.8.57,ref-sifra.11.1-01.6.5-ref-sifra.11.1-01.6.10,36803,36836,ref-t.1.2.1.8.52,ref-t.1.2.1.8.57,486179,486212,ref-sifra.11.1-01.6.5,ref-sifra.11.1-01.6.10,קירסמוה נמלים שברתה הרוח או בהמה ,קירסמוה נמלים שברתה הרוח או בהמה ,6,6,2832,2832.0,27,27.0,0.0,0.0,6,קירסמוה נמלים שברתה הרוח או בהמה,2040000023,6,6
ref-t.1.2.1.10.11-ref-t.1.2.1.10.18,ref-sifra.12.10-00.4.21-ref-sifra.12.10-00.4.28,37152,37196,ref-t.1.2.1.10.11,ref-t.1.2.1.10.18,577217,577262,ref-sifra.12.10-00.4.21,ref-sifra.12.10-00.4.28,ופטור מן הפרט מן השכחה ומן הפיאה וחייב ,ופטור מן הלקט ומן השכחה ומן הפאה וחייב ,8,3,3248,3247.0,28,28.0,0.1025641025641025,0.25,5,ופטור מן השכחה ומן וחייב,2040000024,8,8
ref-t.1.2.1.10.11-ref-t.1.2.1.10.18,ref-sifra.12.10-00.4.42-ref-sifra.12.10-00.4.49,37152,37196,ref-t.1.2.1.10.11,ref-t.1.2.1.10.18,577344,577389,ref-sifra.12.10-00.4.42,ref-sifra.12.10-00.4.49,ופטור מן הפרט מן השכחה ומן הפיאה וחייב ,ופטור מן הלקט ומן השכחה ומן הפאה וחייב ,8,3,3254,3254.0,29,28.0,0.1025641025641025,0.25,5,ופטור מן השכחה ומן וחייב,2040000025,8,8
ref-t.1.2.1.11.7-ref-t.1.2.1.11.14,ref-sifra.11.1-01.6.20-ref-sifra.11.1-01.6.28,37402,37444,ref-t.1.2.1.11.7,ref-t.1.2.1.11.14,486278,486327,ref-sifra.11.1-01.6.20,ref-sifra.11.1-01.6.28,שדהו פטור מן הלקט ומן השכחה ומן הפיאה ,שדהו ואחר כך נתגייר פטור מן הלקט והשכחה והפאה ,8,9,2833,2833.0,31,30.0,0.4782608695652174,0.4,4,שדהו פטור מן הלקט,2040000026,8,9
ref-t.1.2.1.11.8-ref-t.1.2.1.11.16,ref-sifra.12.10-00.4.21-ref-sifra.12.10-00.4.29,37407,37460,ref-t.1.2.1.11.8,ref-t.1.2.1.11.16,577217,577271,ref-sifra.12.10-00.4.21,ref-sifra.12.10-00.4.29,פטור מן הלקט ומן השכחה ומן הפיאה וחייב במעשרות ,ופטור מן הלקט ומן השכחה ומן הפאה וחייב במעשרות ,9,4,3249,3247.0,32,30.0,0.0425531914893617,0.0,7,מן הלקט ומן השכחה ומן וחייב במעשרות,2040000027,9,9
ref-t.1.2.1.11.8-ref-t.1.2.1.11.16,ref-sifra.12.10-00.4.42-ref-sifra.12.10-00.4.50,37407,37460,ref-t.1.2.1.11.8,ref-t.1.2.1.11.16,577344,577398,ref-sifra.12.10-00.4.42,ref-sifra.12.10-00.4.50,פטור מן הלקט ומן השכחה ומן הפיאה וחייב במעשרות ,ופטור מן הלקט ומן השכחה ומן הפאה וחייב במעשרות ,9,4,3255,3254.0,33,30.0,0.0425531914893617,0.0,7,מן הלקט ומן השכחה ומן וחייב במעשרות,2040000028,9,9
ref-t.1.2.1.10.45-ref-t.1.2.1.11.11,ref-sifra.13.2-03.4.13-ref-sifra.13.2-03.5.1,37335,37425,ref-t.1.2.1.10.45,ref-t.1.2.1.11.11,621377,621420,ref-sifra.13.2-03.4.13,ref-sifra.13.2-03.5.1,לתוך ביתו נותן מן המשואר על הכל המקטף ומכניס לתוך ביתו אפי' כל שדהו פטור מן הלקט ומן ,אוכל מתוך הבית כלה מן השדה  מן הבית מיכן ,18,9,3395,3390.0,30,30.0,0.7176470588235294,0.7058823529411764,2,מן מן,2040000029,18,9
ref-t.1.2.2.10.20-ref-t.1.2.2.10.28,ref-sifra.12.10-00.4.21-ref-sifra.12.10-00.4.29,39118,39168,ref-t.1.2.2.10.20,ref-t.1.2.2.10.28,577217,577271,ref-sifra.12.10-00.4.21,ref-sifra.12.10-00.4.29,פטור מן הלקט מן השכחה ומן הפאה וחייב במעשרות ,ופטור מן הלקט ומן השכחה ומן הפאה וחייב במעשרות ,9,4,3250,3247.0,34,34.0,0.0425531914893617,0.0,7,מן הלקט השכחה ומן הפאה וחייב במעשרות,2040000030,9,9
ref-t.1.2.2.10.20-ref-t.1.2.2.10.28,ref-sifra.12.10-00.4.42-ref-sifra.12.10-00.4.50,39118,39168,ref-t.1.2.2.10.20,ref-t.1.2.2.10.28,577344,577398,ref-sifra.12.10-00.4.42,ref-sifra.12.10-00.4.50,פטור מן הלקט מן השכחה ומן הפאה וחייב במעשרות ,ופטור מן הלקט ומן השכחה ומן הפאה וחייב במעשרות ,9,4,3256,3254.0,35,34.0,0.0425531914893617,0.0,7,מן הלקט השכחה ומן הפאה וחייב במעשרות,2040000031,9,9
ref-t.1.2.2.14.13-ref-t.1.2.2.14.24,ref-sifra.11.1-02.5.1-ref-sifra.11.1-02.5.12,39773,39834,ref-t.1.2.2.14.13,ref-t.1.2.2.14.24,488448,488508,ref-sifra.11.1-02.5.1,ref-sifra.11.1-02.5.12,אין לקט אלא הנושר בשעת הקצירה בלבד שנ' ולקט קצירך לא תלקט ,ולקט קצירך לא לקט קיטוף ולקט קצירך אין לקט אלא מחמת הקציר ,12,12,2846,2846.0,36,36.0,0.7931034482758621,0.5384615384615384,3,ולקט קצירך לא,2040000032,12,12
ref-t.1.2.2.14.18-ref-t.1.2.2.14.24,ref-sifra.12.10-13.11.15-ref-sifra.12.10-13.11.19,39798,39834,ref-t.1.2.2.14.18,ref-t.1.2.2.14.24,584711,584737,ref-sifra.12.10-13.11.15,ref-sifra.12.10-13.11.19,הקצירה בלבד שנ' ולקט קצירך לא תלקט ,בקצרך ולקט קצירך לא תלקט ,7,5,3281,3281.0,37,36.0,0.3428571428571428,0.5,4,ולקט קצירך לא תלקט,2040000033,7,5
ref-t.1.2.3.7.13-ref-t.1.2.3.7.27,ref-sifra.11.1-01.6.26-ref-sifra.11.1-01.6.34,43444,43517,ref-t.1.2.3.7.13,ref-t.1.2.3.7.27,486307,486361,ref-sifra.11.1-01.6.26,ref-sifra.11.1-01.6.34,לקט שכחה ופיאה מה שאין כן בעומר העומר שיש בו סאתים ושכחו אין זו שכחה ,הלקט והשכחה והפאה ור' יהודה מחייב בשכחה שאין שכחה ,13,9,2834,2833.0,38,38.0,0.5797101449275363,0.8571428571428572,1,שכחה,2040000034,13,9
ref-t.1.2.3.8.29-ref-t.1.2.3.8.35,ref-sifra.3.12-00.13.54-ref-sifra.3.12-00.14.7,43699,43733,ref-t.1.2.3.8.29,ref-t.1.2.3.8.35,150993,151038,ref-sifra.3.12-00.13.54,ref-sifra.3.12-00.14.7,ששכח עומר בתוך שדהו ואמ' לבנו צא ,כשוכח עומר בתוך שדהו   קשה בן שתי שנים צאן' ל,7,7,605,605.0,39,39.0,0.4444444444444444,0.7,3,עומר בתוך שדהו,2040000035,7,7
ref-t.1.2.3.8.133-ref-t.1.2.3.8.141,ref-sifra.6.1-04.3.84-ref-sifra.6.1-04.3.94,44218,44269,ref-t.1.2.3.8.133,ref-t.1.2.3.8.141,319144,319208,ref-sifra.6.1-04.3.84,ref-sifra.6.1-04.3.94,לחטוא ולא חטא מעלין עליו כאילו חטא המתכון לחטוא ,חטאתה ממין עולתה תלמוד לומר אחד לעולה ואחד לחטאת הביאה חטאתה ,9,9,1763,1732.0,40,40.0,0.7213114754098361,0.9090909090909092,0,,2040000036,9,9
ref-t.1.2.3.11.8-ref-t.1.2.3.11.18,ref-sifra.11.1-03.1.36-ref-sifra.11.1-03.1.50,44624,44685,ref-t.1.2.3.11.8,ref-t.1.2.3.11.18,488986,489080,ref-sifra.11.1-03.1.36,ref-sifra.11.1-03.1.50,ועניים נוטלין את האשכולות ואת העוללות אי זו היא עוללות כל ,תעולל אפילו כולו עוללות שיכול הואיל והתיר הכתוב את העוללות לעניים יבואו עניים ויטלו אותם ,9,15,2847,2847.0,41,41.0,0.651685393258427,0.7333333333333334,2,את העוללות,2040000037,9,15
ref-t.1.2.3.11.17-ref-t.1.2.3.11.34,ref-sifra.11.1-03.3.2-ref-sifra.11.1-03.3.21,44676,44750,ref-t.1.2.3.11.17,ref-t.1.2.3.11.34,489383,489465,ref-sifra.11.1-03.3.2,ref-sifra.11.1-03.3.21,עוללות כל שאין לה כתף ולא נטף יש לו כתף אבל לא נטף נטף אבל לא כתף לבעל הבית אם,עוללות כל שאין לה כתף ולא נטף יש לו כתף אבל לא נטף נטף אבל לא כתף לבעל הבית אם,20,20,2848,2848.0,42,42.0,0.0,0.0,20,עוללות כל שאין לה כתף ולא נטף יש לו כתף אבל לא נטף נטף אבל לא כתף לבעל הבית אם,2040000038,20,20
ref-t.1.2.4.7.7-ref-t.1.2.4.7.19,ref-sifra.5.10-12.3.54-ref-sifra.5.10-12.3.70,46850,46930,ref-t.1.2.4.7.7,ref-t.1.2.4.7.19,306102,306187,ref-sifra.5.10-12.3.54,ref-sifra.5.10-12.3.70,ובקדשי הגבול שאין בקדשי מקדש קדשי הגבול קטנים חולקין בהן וטמאים חולקין בהן ,בם אם מטמאים אתם בהם סופכם ליטמא בם כי אני ה' אלהיכם והתקדשתם והייתם קדושים כי קדוש ,13,15,1667,1665.0,44,44.0,0.7976190476190477,0.875,0,,2040000039,13,15
ref-t.1.2.4.7.24-ref-t.1.2.4.7.36,ref-sifra.5.1.23.106-ref-sifra.5.1.23.119,46962,47038,ref-t.1.2.4.7.24,ref-t.1.2.4.7.36,244401,244472,ref-sifra.5.1.23.106,ref-sifra.5.1.23.119,מנה כנגד מנה קדשי מקדש חייבין באחריותן ליטפל בהן ולהביא לבית הבחירה קדשי ,בי או בך בית מתקדש עכשיו נמצאו בניך גדולים ממני וממך שבהם הבית נתקדש ,13,14,1275,1275.0,45,45.0,0.726027397260274,0.9473684210526316,0,,2040000040,13,14
ref-t.1.2.4.10.8-ref-t.1.2.4.10.18,ref-sifra.8.1-00.12.15-ref-sifra.8.1-00.12.27,47602,47651,ref-t.1.2.4.10.8,ref-t.1.2.4.10.18,367796,367857,ref-sifra.8.1-00.12.15,ref-sifra.8.1-00.12.27,אותן ממנו אם לא נתן אין מחייבין אותו ליתן נתנו לו ,תן לי סנדלי ונתתי לו פשט ידו לחלון ונתן לי ממנה מקל אמר לי ,9,14,2095,2092.0,46,46.0,0.7457627118644068,0.8333333333333334,1,לו,2040000041,9,14
ref-t.1.2.4.12.9-ref-t.1.2.4.12.36,ref-sifra.11.4-12.18.5-ref-sifra.11.4-12.18.17,48391,48547,ref-t.1.2.4.12.9,ref-t.1.2.4.12.36,527814,527874,ref-sifra.11.4-12.18.5,ref-sifra.11.4-12.18.17,אותו ונותנין לו לשום מלוה וחוזרין ונותנין לו לשום מתנה דברי ר' מאיר וחכמים או' נותנין לו לשום מתנה וחוזרין ונותנין לו לשום מלוה ר' שמעו' או' אומרין ,אותה עתיד אני ליתנה לכם ירושת עולם שמא תאמרו אין לך ליתן לנו ,24,13,3024,3019.0,47,47.0,0.7432432432432432,0.8421052631578947,0,,2040000042,24,13
ref-t.1.2.4.20.25-ref-t.1.2.4.20.41,ref-sifra.3.5-00.1.58-ref-sifra.3.5-00.1.71,50436,50521,ref-t.1.2.4.20.25,ref-t.1.2.4.20.41,107869,107933,ref-sifra.3.5-00.1.58,ref-sifra.3.5-00.1.71,מה אמור להלן נשיא שאין על גביו אלא ה' אלקיו אף נשיא האמור כאן,מה אמור להלן נשיא שאין על גביו אלא ה' אלקיו אף נשיא האמור כאן,14,14,366,366.0,49,49.0,0.0,0.0,14,מה אמור להלן נשיא שאין על גביו אלא ה' אלקיו אף נשיא האמור כאן,2040000043,14,14
ref-t.1.2.4.20.25-ref-t.1.2.4.20.38,ref-sifra.11.2-05.6.15-ref-sifra.11.2-05.6.25,50436,50504,ref-t.1.2.4.20.25,ref-t.1.2.4.20.38,497942,497995,ref-sifra.11.2-05.6.15,ref-sifra.11.2-05.6.25,לאמר ולהלן הוא או' יצאו אנשים בני בליעל מה בליעל האמור להלן ע'ז אף ,ונאמר להלן איל אשם מה איל האמור להלן בכסף שקלים אף ,14,11,2879,2868.0,48,48.0,0.5671641791044776,0.8,4,מה האמור להלן אף,2040000044,14,11
ref-t.1.2.4.20.25-ref-t.1.2.4.20.41,ref-sifra.12.8-00.3.53-ref-sifra.12.8-00.3.71,50436,50521,ref-t.1.2.4.20.25,ref-t.1.2.4.20.41,565767,565875,ref-sifra.12.8-00.3.53,ref-sifra.12.8-00.3.71,לאמר ולהלן הוא או' יצאו אנשים בני בליעל מה בליעל האמור להלן ע'ז אף בליעל האמור כאן ,האמור להלן פרט לכלאים וליוצא דופן ולמחוסר זמן וליתום ומה תחת האמור להלן פרט לטריפה אף תחת האמור כאן ,17,19,3204,3204.0,50,48.0,0.53,0.8,5,האמור להלן אף האמור כאן,2040000045,17,19
ref-t.1.3.1.28.6-ref-t.1.3.1.28.13,ref-sifra.2.12-00.6.13-ref-sifra.2.12-00.6.20,55154,55201,ref-t.1.3.1.28.6,ref-t.1.3.1.28.13,61474,61523,ref-sifra.2.12-00.6.13,ref-sifra.2.12-00.6.20,מותר העומר ושתי הלחם ולחם הפנים ושירי מנחות ,ומותר העומר ושתי הלחם ולחם הפנים ושירי מנחות ,6,6,189,184.0,52,52.0,0.0222222222222222,0.2857142857142857,5,העומר ושתי הלחם_ולחם_הפנים ושירי מנחות,2040000046,6,6
