baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-sifre-n,baseOrder,grp-ref-t,dam-lev,jac,lcc_len,lcs_str,id,bRangeOriginal,cRangeOriginal
ref-t.1.3.1.9.1-ref-t.1.3.1.9.15,ref-sifre-n.120.1.106-ref-sifre-n.120.1.116,52016,52096,ref-t.1.3.1.9.1,ref-t.1.3.1.9.15,201283,201343,ref-sifre-n.120.1.106,ref-sifre-n.120.1.116,פירות ארץ ישראל שרבו על פירות חוצה לארץ חייבין פירות חוצה לארץ שרבו על פירות ,"מפירות הארץ על פירות חו""ל ולא מפירות חו""ל על פירות הארץ ",15,11,629,624.0,14,14.0,0.5324675324675324,0.6666666666666667,4,על פירות על פירות,2050000011,15,11
ref-t.1.3.2.6.2-ref-t.1.3.2.7.9,ref-sifre-n.122.1.126-ref-sifre-n.122.1.135,56419,56522,ref-t.1.3.2.6.2,ref-t.1.3.2.7.9,204487,204532,ref-sifre-n.122.1.126,ref-sifre-n.122.1.135,בן לוי שקיבל עליו כל עבודת לויה חוץ מדבר אחד,בן לוי שקיבל עליו כל עבודת לויה חוץ מדבר אחד,10,10,642,642.0,15,15.0,0.0,0.0,10,בן לוי שקיבל עליו כל עבודת לויה חוץ מדבר אחד,2050000012,10,10
ref-t.1.3.2.7.67-ref-t.1.3.2.7.74,ref-sifre-n.5.1.26-ref-sifre-n.5.1.33,56861,56908,ref-t.1.3.2.7.67,ref-t.1.3.2.7.74,10287,10332,ref-sifre-n.5.1.26,ref-sifre-n.5.1.33,אף ממתנות גבילין ת'ל ראשית דגנך תירושך ויצהרך ,אף משמרה תלמוד לומר ראשית דגנך תירושך ויצהרך ,8,8,44,44.0,17,17.0,0.3043478260869565,0.5454545454545454,5,אף ראשית דגנך תירושך ויצהרך,2050000013,8,8
ref-t.1.3.4.14.2-ref-t.1.3.4.15.11,ref-sifre-n.120.1.125-ref-sifre-n.120.1.137,66005,66144,ref-t.1.3.4.14.2,ref-t.1.3.4.15.11,201384,201458,ref-sifre-n.120.1.125,ref-sifre-n.120.1.137,מפירות חוצה לארץ על פירות הארץ כדי שירבו על פירות הארץ לפוטרן מן המעשרות מצרפין מפירות חוצה לארץ על פירות שנייה כדי שירבו על פירות ,"מפירות הארץ על פירות חו""ל ולא מפירות חו""ל על פירות הארץ והרמותם ממנו ",25,13,630,624.0,18,18.0,0.5877862595419847,0.8,7,מפירות הארץ על פירות מפירות על פירות,2050000014,25,13
ref-t.1.3.8.17.50-ref-t.1.3.8.17.69,ref-sifre-n.121.1.259-ref-sifre-n.121.1.280,85845,85951,ref-t.1.3.8.17.50,ref-t.1.3.8.17.69,202931,203049,ref-sifre-n.121.1.259,ref-sifre-n.121.1.280,"בתרומת מעשר כשהוא אומר מכל מעשרותיכם הרי תרומת מעשר אמור הא מה ת""ל תרימו","בתרומה גדולה הכתוב מדבר או אינו מדבר אלא בתרומת מעשר כשהוא אומר מכל מעשרותיכם הרי תרומת מעשר אמור הא מה ת""ל תרימו",14,17,633,633.0,19,19.0,0.3628318584070796,0.1818181818181817,12,"בתרומת מעשר כשהוא אומר מכל מעשרותיכם הרי תרומת מעשר אמור הא_מה_ת""ל תרימו",2050000015,14,22
ref-t.1.4.1.11.18-ref-t.1.4.1.11.24,ref-sifre-n.110.1.215-ref-sifre-n.110.1.222,90915,90954,ref-t.1.4.1.11.18,ref-t.1.4.1.11.24,157312,157350,ref-sifre-n.110.1.215,ref-sifre-n.110.1.222,תרום לי גרני ותרמה וחזרה תרומה לגורן ,כתרומת גרן כן תרימו אותה מה תרומת גרן ,7,8,464,464.0,21,21.0,0.5263157894736842,0.6666666666666667,0,,2050000016,7,8
ref-t.1.4.1.11.18-ref-t.1.4.1.11.24,ref-sifre-n.110.1.281-ref-sifre-n.110.1.287,90915,90954,ref-t.1.4.1.11.18,ref-t.1.4.1.11.24,157637,157674,ref-sifre-n.110.1.281,ref-sifre-n.110.1.287,תרום לי גרני ותרמה וחזרה תרומה לגורן ,כתרומת גרן כן תרימו אותה לתרומת גרן ,7,7,469,469.0,22,21.0,0.5405405405405406,0.6666666666666667,0,,2050000017,7,7
ref-t.1.4.1.11.33-ref-t.1.4.1.11.49,ref-sifre-n.110.1.164-ref-sifre-n.110.1.176,91000,91088,ref-t.1.4.1.11.33,ref-t.1.4.1.11.49,157062,157126,ref-sifre-n.110.1.164,ref-sifre-n.110.1.176,תרימו תרומה הרי חלה אמורה הא מה אני מקיים תרימו תרומת ה' בתרומה,תרימו תרומה הרי חלה אמורה הא מה אני מקיים תרימו תרומת ה' בתרומה,13,13,462,462.0,23,23.0,0.0,0.0,13,תרימו תרומה הרי חלה אמורה הא מה אני מקיים תרימו תרומת ה' בתרומה,2050000018,13,13
ref-t.1.4.2.6.3-ref-t.1.4.2.6.22,ref-sifre-n.120.1.82-ref-sifre-n.120.1.109,91899,92001,ref-t.1.4.2.6.3,ref-t.1.4.2.6.22,201159,201305,ref-sifre-n.120.1.82,ref-sifre-n.120.1.109,יתרום מן המחובר על התלוש ולא מן התלוש על המחובר ולא מן החדש על הישן ולא מן הישן על החדש והרמותם ממנו שלא יתרום מפירות הארץ על פירות,יתרום מן המחובר על התלוש ולא מן התלוש על המחובר ולא מן החדש על הישן ולא מן הישן על החדש והרמותם ממנו שלא יתרום מפירות הארץ על פירות,19,19,624,624.0,25,25.0,0.0,0.0,28,יתרום מן המחובר על התלוש ולא מן התלוש על המחובר ולא מן החדש על הישן ולא מן הישן על החדש והרמותם ממנו שלא יתרום מפירות הארץ על פירות,2050000019,28,28
ref-t.1.4.2.9.3-ref-t.1.4.2.9.21,ref-sifre-n.120.1.105-ref-sifre-n.120.1.125,93320,93426,ref-t.1.4.2.9.3,ref-t.1.4.2.9.21,201277,201391,ref-sifre-n.120.1.105,ref-sifre-n.120.1.125,"יתרום מפירות הארץ על פירות חו""ל ולא מפירות חו""ל על פירות הארץ ת""ל ויקרא כז וכל מעשר הארץ שלא יתרום מפירות הארץ על פירות חו""ל ולא מפירות חו""ל על פירות הארץ ת""ל ויקרא כז וכל מעשר הארץ שלא יתרום מפירות","יתרום מפירות הארץ על פירות חו""ל ולא מפירות חו""ל על פירות הארץ ת""ל ויקרא כז וכל מעשר הארץ שלא יתרום מפירות הארץ על פירות חו""ל ולא מפירות חו""ל על פירות הארץ ת""ל ויקרא כז וכל מעשר הארץ שלא יתרום מפירות",40,40,627,627.0,27,27.0,0.0,0.0,40,"יתרום מפירות הארץ על פירות חו""ל ולא מפירות חו""ל על פירות הארץ ת""ל ויקרא כז וכל מעשר הארץ שלא יתרום מפירות הארץ על פירות חו""ל ולא מפירות חו""ל על פירות הארץ ת""ל ויקרא כז וכל מעשר הארץ שלא יתרום מפירות",2050000020,40,40
ref-t.1.4.3.18.19-ref-t.1.4.3.18.32,ref-sifre-n.121.1.63-ref-sifre-n.121.1.74,99455,99535,ref-t.1.4.3.18.19,ref-t.1.4.3.18.32,201907,201970,ref-sifre-n.121.1.63,ref-sifre-n.121.1.74,ענבים ועתיד לעשותן יין זתים ועתיד לעשותן שמן שכשם שתרומת ראשית מן הגרן ומן ,וענבים מן היין וזיתים מן השמן תלמוד לומר כדגן מן הגורן מן ,14,12,631,631.0,29,29.0,0.56,0.6428571428571428,1,מן,2050000021,14,12
ref-t.1.4.3.19.55-ref-t.1.4.3.19.61,ref-sifre-n.121.1.229-ref-sifre-n.121.1.234,100254,100291,ref-t.1.4.3.19.55,ref-t.1.4.3.19.61,202778,202811,ref-sifre-n.121.1.229,ref-sifre-n.121.1.234,ונתתם ממנו את תרומת ייי לאהרן הכהן ,ונתתם ממנו תרומת ה' לאהרן הכהן ,7,6,632,632.0,30,30.0,0.1714285714285714,0.2857142857142857,5,ונתתם ממנו תרומת לאהרן הכהן,2050000022,7,6
ref-t.1.4.5.8.86-ref-t.1.4.5.8.103,ref-sifre-n.110.1.221-ref-sifre-n.110.1.237,107077,107168,ref-t.1.4.5.8.86,ref-t.1.4.5.8.103,157341,157421,ref-sifre-n.110.1.221,ref-sifre-n.110.1.237,תרומת גרן אחת לאלף אף חלה אחת לאלף מה תרומת גרן מדמעת ועולה באחד ומאה אף זו,תרומת גרן אחת לאלף אף חלה אחת לאלף מה תרומת גרן מדמעת ועולה באחד ומאה אף זו,17,17,465,465.0,31,31.0,0.0,0.0,17,תרומת גרן אחת לאלף אף חלה אחת לאלף מה תרומת גרן מדמעת ועולה באחד ומאה אף זו,2050000023,17,17
ref-t.1.4.5.8.103-ref-t.1.4.5.8.112,ref-sifre-n.110.1.265-ref-sifre-n.110.1.273,107165,107214,ref-t.1.4.5.8.103,ref-t.1.4.5.8.112,157557,157611,ref-sifre-n.110.1.265,ref-sifre-n.110.1.273,אחד מעשרה אמ' לו לא אם אמרת בתרומת מעשר שניטלת ,לתרומת מעשר המפורשת אומר לו ותנטל אחת מעשרה אמר לו ,10,10,468,468.0,33,31.0,0.6666666666666666,0.8,2,מעשרה לו,2050000024,10,10
ref-t.1.4.5.8.128-ref-t.1.4.5.9.6,ref-sifre-n.121.1.427-ref-sifre-n.121.1.434,107291,107333,ref-t.1.4.5.8.128,ref-t.1.4.5.9.6,203767,203815,ref-sifre-n.121.1.427,ref-sifre-n.121.1.434,עולה באחד ומאה ערלה וכלאי הכרם באחד ומאתים,עולה באחד ומאה ערלה וכלאי הכרם באחד ומאתים,8,8,639,638.0,34,34.0,0.0,0.0,8,עולה באחד ומאה ערלה וכלאי הכרם באחד ומאתים,2050000025,8,8
ref-t.1.4.6.4.131-ref-t.1.4.6.4.142,ref-sifre-n.129.2.4-ref-sifre-n.129.2.12,112096,112164,ref-t.1.4.6.4.131,ref-t.1.4.6.4.142,225578,225621,ref-sifre-n.129.2.4,ref-sifre-n.129.2.12,הטהור במצותו טהור שאכל את הטמא בעשה וטמא שאכל את הטהור וטמא ,הטמא טהור על הטמא טהור טהור על הטהור טמא ,2,9,785,782.0,36,36.0,0.4833333333333333,0.7142857142857143,3,טהור הטמא הטהור,2050000026,12,9
ref-t.1.4.6.12.28-ref-t.1.4.6.12.41,ref-sifre-n.110.1.233-ref-sifre-n.110.1.242,113570,113635,ref-t.1.4.6.12.28,ref-t.1.4.6.12.41,157397,157444,ref-sifre-n.110.1.233,ref-sifre-n.110.1.242,מעלות את זו בזו מאה ובזו מאה הריני או' לתוך מאה נפלה אחת מדומעת ,ועולה באחד ומאה אף זו אם נפלה לתוך מאה מדמעת ,14,10,467,464.0,37,37.0,0.53125,0.7142857142857143,3,זו לתוך מאה,2050000027,14,10
ref-t.1.4.7.9.50-ref-t.1.4.7.10.13,ref-sifre-n.120.1.62-ref-sifre-n.120.1.80,117323,117412,ref-t.1.4.7.9.50,ref-t.1.4.7.10.13,201047,201153,ref-sifre-n.120.1.62,ref-sifre-n.120.1.80,ממין על שאינו מינו האוכל את הטבל משלם מן הלקט מן השכחה ומן הפאה ומן התבואה שלא ,ממנו ממין על מינו ולא ממין על שאינו מינו והרמותם ממנו מופנה להקיש ולדון ממנו גזירה שוה והרמותם ממנו ,12,19,623,623.0,38,38.0,0.66,0.8,4,ממין על שאינו מינו,2050000028,17,19
ref-t.1.4.9.1.95-ref-t.1.4.9.1.103,ref-sifre-n.85.1.91-ref-sifre-n.85.1.108,125403,125445,ref-t.1.4.9.1.95,ref-t.1.4.9.1.103,117874,117961,ref-sifre-n.85.1.91,ref-sifre-n.85.1.108,ידעו כי מייי הוא כי תאנה הוא מבקש מפלשתים ,דעו נא וראו כי מתאנה הוא לי וכן הוא אומר בשמשון שופטים יד כי תואנה הוא מבקש מפלשתים ,9,18,390,390.0,39,39.0,0.5476190476190477,0.5555555555555556,6,כי הוא כי הוא מבקש מפלשתים,2050000029,9,18
ref-t.1.5.2.5.50-ref-t.1.5.2.5.59,ref-sifre-n.120.1.90-ref-sifre-n.120.1.101,136305,136351,ref-t.1.5.2.5.50,ref-t.1.5.2.5.59,201201,201257,ref-sifre-n.120.1.90,ref-sifre-n.120.1.101,עליו נמצא מעשר מן החדש על החדש ומן הישן על ,על המחובר ולא מן החדש על הישן ולא מן הישן על החדש ,10,3,626,624.0,40,40.0,0.44,0.5555555555555556,5,מן החדש על הישן על,2050000030,10,12
ref-t.1.5.4.20.160-ref-t.1.5.4.20.170,ref-sifre-n.110.2.166-ref-sifre-n.110.2.181,148104,148165,ref-t.1.5.4.20.160,ref-t.1.5.4.20.170,158858,158948,ref-sifre-n.110.2.166,ref-sifre-n.110.2.181,למוצאי שביעית פטור מן המעשר ופטור מן הביעור אין לך שחייב ,להוציא שאר פירות שפטורים מן החלה שהיה בדין ומה לקט שכחה ופאה שפטורים מן המעשר חייבים ,11,11,478,478.0,42,41.0,0.611764705882353,0.8888888888888888,2,מן מן,2050000031,11,16
ref-t.1.5.4.20.159-ref-t.1.5.4.20.171,ref-sifre-n.110.2.248-ref-sifre-n.110.2.274,148095,148174,ref-t.1.5.4.20.159,ref-t.1.5.4.20.171,159328,159481,ref-sifre-n.110.2.248,ref-sifre-n.110.2.274,משביעית למוצאי שביעית פטור מן המעשר ופטור מן הביעור אין לך שחייב במעשרות ,שביעית שאף על פי שפטורה מן המעשר שתהא חיבת בחלה לא אם אמרת בלקט שכחה ופאה שמינם חיבת במעשרות לפיכך חייבים בחלה תאמר בעיסת שביעית שמינם פטורים ,13,27,485,485.0,41,41.0,0.7253521126760564,0.8333333333333334,4,שביעית מן המעשר במעשרות,2050000032,13,27
ref-t.1.5.5.19.21-ref-t.1.5.5.20.11,ref-sifre-n.118.1.42-ref-sifre-n.118.1.65,150827,150963,ref-t.1.5.5.19.21,ref-t.1.5.5.20.11,189022,189133,ref-sifre-n.118.1.42,ref-sifre-n.118.1.65,באדם יש לך בו בבהמה יצאו לוים שאין לך בהם באדם לא יהיה לך בהם בבהמה מקיש בכור אדם לבכור בהמה מה בכור בהמה,באדם יש לך בו בבהמה יצאו לוים שאין לך בהם באדם לא יהיה לך בהם בבהמה מקיש בכור אדם לבכור בהמה מה בכור בהמה,24,24,592,592.0,43,43.0,0.0,0.0,24,באדם יש לך בו בבהמה יצאו לוים שאין לך בהם באדם לא יהיה לך בהם בבהמה מקיש בכור אדם לבכור בהמה מה בכור בהמה,2050000033,24,24
ref-t.1.6.4.6.100-ref-t.1.6.4.7.11,ref-sifre-n.70.1.23-ref-sifre-n.70.1.56,173568,173636,ref-t.1.6.4.6.100,ref-t.1.6.4.7.11,95244,95417,ref-sifre-n.70.1.23,ref-sifre-n.70.1.56,אמות מותר כל מחיצה שעשויה שתי ואין עשוייה ערב ערב ואין עשוייה שתי ,ואין הצבור עושים פסח שני רבי נתן אומר אין צריך שהרי כבר נאמר והאיש איש וגו' היחיד עושה פסח שני ואין הצבור עושים פסח שני וחדל לעשות הפסח אין וחדל אלא כל שיכול לעשות ,13,34,342,338.0,45,45.0,0.7560975609756098,0.8571428571428572,2,ואין ואין,2050000034,13,34
ref-t.1.7.1.1.11-ref-t.1.7.1.1.23,ref-sifre-n.118.1.1038-ref-sifre-n.118.1.1048,178712,178786,ref-t.1.7.1.1.11,ref-t.1.7.1.1.23,194062,194129,ref-sifre-n.118.1.1038,ref-sifre-n.118.1.1048,כל שתחלתו אוכל וסופו אוכל כגון ירק חייב בתחלתו וחייב בסופו כל שתחלתו ,שכולל בתחלה ופורט בסוף פורט בתחלה ופורט בסוף וזו כוללה בתחלה ,13,11,615,615.0,46,46.0,0.6376811594202898,0.9230769230769232,0,,2050000035,13,11
ref-t.1.7.1.1.11-ref-t.1.7.1.1.23,ref-sifre-n.123.1.33-ref-sifre-n.123.1.43,178712,178786,ref-t.1.7.1.1.11,ref-t.1.7.1.1.23,205146,205214,ref-sifre-n.123.1.33,ref-sifre-n.123.1.43,כל שתחלתו אוכל וסופו אוכל כגון ירק חייב בתחלתו וחייב בסופו כל שתחלתו ,שכולל בתחלה ופורט בסוף ופורט בתחלה וכולל בסוף וזו כללה בתחלה ,13,11,644,644.0,47,46.0,0.6086956521739131,0.9285714285714286,0,,2050000036,13,11
ref-t.1.7.2.20.44-ref-t.1.7.2.20.67,ref-sifre-n.153.4.300-ref-sifre-n.153.4.314,185667,185797,ref-t.1.7.2.20.44,ref-t.1.7.2.20.67,266919,267007,ref-sifre-n.153.4.300,ref-sifre-n.153.4.314,בית דירה אוכל בהן עריי ואם לאו אוכל בהן עריי האוריות והאוצרות שבשדה העשויות למיכנס אוכל בהן עריי לבית דירה אין אוכל בהן עריי ,בית אביה שכלו נעוריה בבית אביה יצאתה שנתארמלה או שנתגרשה מן הנשואין שאין כל נעוריה ,24,15,921,921.0,48,48.0,0.68,0.8,1,בית,2050000037,24,15
ref-t.1.8.2.16.28-ref-t.1.8.2.16.42,ref-sifre-n.118.1.374-ref-sifre-n.118.1.385,200265,200349,ref-t.1.8.2.16.28,ref-t.1.8.2.16.42,190674,190744,ref-sifre-n.118.1.374,ref-sifre-n.118.1.385,הכל ייפדה ויאכל בחוץ חוץ משנטמא באב הטומאה בחוץ ובית הלל שמאי או' הכל ייפדה ,בכל פודים בכור אדם חוץ מעבדים ומשטרות ומקרקעות רבי אומר בכל פודים ,15,12,603,603.0,49,49.0,0.6447368421052632,0.8888888888888888,1,חוץ,2050000038,15,12
ref-t.1.8.2.16.28-ref-t.1.8.2.16.42,ref-sifre-n.118.1.469-ref-sifre-n.118.1.480,200265,200349,ref-t.1.8.2.16.28,ref-t.1.8.2.16.42,191149,191219,ref-sifre-n.118.1.469,ref-sifre-n.118.1.480,הכל ייפדה ויאכל בחוץ חוץ משנטמא באב הטומאה בחוץ ובית הלל שמאי או' הכל ייפדה ,בכל פודים בכור אדם חוץ מעבדים ומשטרות ומקרקעות רבי אומר בכל פודים ,15,12,608,608.0,50,49.0,0.6447368421052632,0.8888888888888888,1,חוץ,2050000039,15,12
ref-t.1.8.2.17.47-ref-t.1.8.2.17.56,ref-sifre-n.75.1.26-ref-sifre-n.75.1.56,201150,201199,ref-t.1.8.2.17.47,ref-t.1.8.2.17.56,99619,99785,ref-sifre-n.75.1.26,ref-sifre-n.75.1.56,"תמימים ובין בעלי מומין דברי ר' טרפון ר""ע אומר תמימים ולא בעלי מומין נאמר כאן כהנים ונאמר להלן כהנים מה כהנים האמור להלן תמימים ולא בעלי מומין אף כהנים האמור כאן","תמימים ובין בעלי מומין דברי ר' טרפון ר""ע אומר תמימים ולא בעלי מומין נאמר כאן כהנים ונאמר להלן כהנים מה כהנים האמור להלן תמימים ולא בעלי מומין אף כהנים האמור כאן",14,14,359,359.0,51,51.0,0.0,0.0,31,"תמימים ובין בעלי מומין דברי ר' טרפון ר""ע אומר תמימים ולא בעלי מומין נאמר כאן כהנים ונאמר להלן כהנים מה כהנים האמור להלן תמימים ולא בעלי מומין אף כהנים האמור כאן",2050000040,31,31
ref-t.1.8.4.14.58-ref-t.1.8.4.14.71,ref-sifre-n.118.1.299-ref-sifre-n.118.1.310,209972,210045,ref-t.1.8.4.14.58,ref-t.1.8.4.14.71,190299,190360,ref-sifre-n.118.1.299,ref-sifre-n.118.1.310,נתקדשו פדה הימנו מעשר בסלע ולא הספיק למושכו עד שעמד בסלע מה שפדה פדה ,הקודש נפדה בחמש סלעים ונפדה לאחר זמן הא מה תלמוד לומר תפדה ,14,12,598,594.0,53,53.0,0.6811594202898551,0.9473684210526316,0,,2050000041,14,12
ref-t.1.9.1.3.17-ref-t.1.9.1.4.7,ref-sifre-n.110.2.209-ref-sifre-n.110.2.224,215795,215850,ref-t.1.9.1.3.17,ref-t.1.9.1.4.7,159104,159194,ref-sifre-n.110.2.209,ref-sifre-n.110.2.224,פטור מן החלה העושה עיסה לרבים חייב בחלה העושה עיסה ,עיסת שביעית שהיא חיבת בחלה שהיה בדין ומה שאר פירות שחייבים במעשר פטורים מן החלה עיסת ,10,16,484,484.0,54,54.0,0.6823529411764706,0.8823529411764706,2,מן החלה,2050000042,10,16
ref-t.1.9.1.3.17-ref-t.1.9.1.4.8,ref-sifre-n.110.2.268-ref-sifre-n.110.2.294,215795,215857,ref-t.1.9.1.3.17,ref-t.1.9.1.4.8,159436,159596,ref-sifre-n.110.2.268,ref-sifre-n.110.2.294,בעיסת שביעית שמינם פטורים מן המעשרות לפיכך תהיה פטורה מן החלה תלמוד לומר לדורותיכם להביא אה עיסת שביעית שתהא חיבת בחלה,חייבים בחלה תאמר בעיסת שביעית שמינם פטורים מן המעשרות לפיכך תהיה פטורה מן החלה תלמוד לומר לדורותיכם להביא אה עיסת שביעית שתהא חיבת בחלה מכאן אמרו האוכל,21,27,489,489.0,55,55.0,0.2185430463576159,0.1999999999999999,21,בעיסת שביעית שמינם פטורים מן המעשרות לפיכך תהיה פטורה מן החלה תלמוד לומר לדורותיכם להביא אה עיסת שביעית שתהא חיבת בחלה,2050000043,21,27
ref-t.1.9.1.11.9-ref-t.1.9.1.11.21,ref-sifre-n.110.2.28-ref-sifre-n.110.2.35,217594,217675,ref-t.1.9.1.11.9,ref-t.1.9.1.11.21,158041,158096,ref-sifre-n.110.2.28,ref-sifre-n.110.2.35,עד שתגלגל בחטים ותטמטם בשעורין אין בחלה עד שיהא בדגן בשיעור גילגלה בחטים ,עד שתתגלגל בחטים ותיטמטם בשעורים בלבלה גלגלה בחטים ,13,8,470,470.0,58,57.0,0.3972602739726027,0.7142857142857143,3,עד בחטים בחטים,2050000044,13,8
