baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-mek,baseOrder,grp-ref-t,dam-lev,jac,lcc_len,lcs_str,id,bRangeOriginal,cRangeOriginal
ref-t.1.2.4.12.10-ref-t.1.2.4.12.25,ref-mek.4.4.1.41-ref-mek.4.4.1.56,48396,48484,ref-t.1.2.4.12.10,ref-t.1.2.4.12.25,189189,189267,ref-mek.4.4.1.41,ref-mek.4.4.1.56,ונותנין לו לשום מלוה וחוזרין ונותנין לו לשום מתנה דברי ר' מאיר וחכמים או' נותנין לו ,ונתתיו לכם חזרתם שאלתם בשר ממלא מעיין הרי אני נותנו לכם מפני מה אני נותנו לכם ,12,16,272,271.0,36,36.0,0.7142857142857143,0.9411764705882352,0,,2030000028,12,16
ref-t.1.2.4.17.2-ref-t.1.2.4.17.17,ref-mek.4.4.1.50-ref-mek.4.4.1.63,49182,49264,ref-t.1.2.4.17.2,ref-t.1.2.4.17.17,189236,189302,ref-mek.4.4.1.50,ref-mek.4.4.1.63,ליתן ונתן נותנין לו שכר אמירה ושכר מעשה אמ' ליתן ולא הספיק בידו ליתן נותנין לו ,נותנו לכם מפני מה אני נותנו לכם שלא תאמרו אין ספק בידו ליתנו לנו ,16,14,278,271.0,37,37.0,0.5822784810126582,0.8,1,בידו,2030000029,16,14
ref-t.1.3.1.7.4-ref-t.1.3.1.8.9,ref-mek.8.3.4.56-ref-mek.8.3.4.76,51818,51924,ref-t.1.3.1.7.4,ref-t.1.3.1.8.9,369545,369680,ref-mek.8.3.4.56,ref-mek.8.3.4.76,והשביעית להביא פרות ערב שביעית שנכנסו לשביעית אין לי אלא פירות ערב שביעית שנכנסו לשביעית מנין לפירות שביעית שיצאו למוצאי שביעית,והשביעית להביא פרות ערב שביעית שנכנסו לשביעית אין לי אלא פירות ערב שביעית שנכנסו לשביעית מנין לפירות שביעית שיצאו למוצאי שביעית,19,19,625,625.0,38,38.0,0.0,0.0,19,והשביעית להביא פרות ערב שביעית שנכנסו לשביעית אין_לי_אלא פירות ערב שביעית שנכנסו לשביעית מנין לפירות שביעית שיצאו למוצאי שביעית,2030000030,19,19
ref-t.1.3.1.13.9-ref-t.1.3.1.13.27,ref-mek.6.5.1.632-ref-mek.6.5.1.642,53116,53208,ref-t.1.3.1.13.9,ref-t.1.3.1.13.27,254918,254963,ref-mek.6.5.1.632,ref-mek.6.5.1.642,יחיד אבל באוצר של מלכים הולכין אחר הרוב אמרו לו אחר שהוריתה לנו על אוצר של יבנה שלפנים מן ,אחד ממונה על אוצר של תבן וא' ממונה על אוצר של ,17,11,334,334.0,40,40.0,0.6888888888888889,0.75,4,של על אוצר של,2030000031,17,11
ref-t.1.3.2.9.4-ref-t.1.3.2.9.21,ref-mek.6.2.7.155-ref-mek.6.2.7.169,57207,57308,ref-t.1.3.2.9.4,ref-t.1.3.2.9.21,242967,243043,ref-mek.6.2.7.155,ref-mek.6.2.7.169,אם מקבלים אתם עליכם עונשים בשמחה הרי אתם מקבלים שכר ואם לאו הרי אתם מקבלים,אם מקבלים אתם עליכם עונשים בשמחה הרי אתם מקבלים שכר ואם לאו הרי אתם מקבלים,15,15,330,329.0,41,41.0,0.0,0.0,15,אם מקבלים אתם עליכם עונשים בשמחה הרי אתם מקבלים שכר ואם לאו הרי אתם מקבלים,2030000032,15,15
ref-t.1.3.6.3.78-ref-t.1.3.6.3.102,ref-mek.4.4.1.55-ref-mek.4.4.1.70,76609,76737,ref-t.1.3.6.3.78,ref-t.1.3.6.3.102,189258,189339,ref-mek.4.4.1.55,ref-mek.4.4.1.70,תורם ונותן לו רבי מאיר אומר מעש' ונותן לו רבי יהוד' אומר אם נתן לו מאות' השדה ומאותו המין תורם ונותן לו משדה אחר' וממין ,נותנו לכם שלא תאמרו אין ספק בידו ליתנו לנו אלא הריני נותנה לכם ולבסוף אפרע מכם ,25,16,285,271.0,43,43.0,0.6833333333333333,0.96,0,,2030000033,25,16
ref-t.1.4.4.10.1-ref-t.1.4.4.10.10,ref-mek.8.1.5.80-ref-mek.8.1.5.89,102474,102537,ref-t.1.4.4.10.1,ref-t.1.4.4.10.10,359907,359975,ref-mek.8.1.5.80,ref-mek.8.1.5.89,המקדים תרומה לבכורים מעשר ראשון לתרומה מעשר שני לראשון אע'פ ,"המקדים תרומה לביכורים ומעשר ראשון לתרומה ומעשר שני לראשון אע""פ ",10,10,593,593.0,44,44.0,0.0634920634920634,0.4444444444444444,6,המקדים תרומה ראשון לתרומה שני לראשון,2030000034,10,10
ref-t.1.4.5.1.4-ref-t.1.4.5.1.24,ref-mek.3.2.1.883-ref-mek.3.2.1.889,104756,104860,ref-t.1.4.5.1.4,ref-t.1.4.5.1.24,144431,144468,ref-mek.3.2.1.883,ref-mek.3.2.1.889,להיות מפריש עליה והולך והיה רושם ואו' עד כאן תרומה עד כאן תרומה דברי ר' רבן שמעון בן גמליאל אומר תורם ,הללו רמה שהיו עולין למרום ירה שהיו ,16,7,233,233.0,45,45.0,0.7745098039215687,1.0,0,,2030000035,16,7
ref-t.1.4.5.8.28-ref-t.1.4.5.8.36,ref-mek.1.11.2.59-ref-mek.1.11.2.65,106755,106796,ref-t.1.4.5.8.28,ref-t.1.4.5.8.36,37382,37415,ref-mek.1.11.2.59,ref-mek.1.11.2.65,מה זו אחד מחמשים אף זו אחד מחמשים מניין ,מה זה מחמשת המינין אף זה מחמשת ,9,7,41,41.0,47,46.0,0.575,0.7142857142857143,2,מה אף,2030000036,9,7
ref-t.1.4.5.8.27-ref-t.1.4.5.8.36,ref-mek.1.18.2.392-ref-mek.1.18.2.414,106750,106796,ref-t.1.4.5.8.27,ref-t.1.4.5.8.36,72181,72274,ref-mek.1.18.2.392,ref-mek.1.18.2.414,זה בבל יראה מה זה בבל ימצא אף זה בבל ימצא מה זה מחמשת המינין אף זה מחמשת,מה זה בבל יראה אף זה בבל יראה מה זה בבל ימצא אף זה בבל ימצא מה זה מחמשת המינין אף זה מחמשת,18,23,100,100.0,46,46.0,0.2,0.0,18,זה בבל יראה מה זה בבל ימצא אף זה בבל ימצא מה זה מחמשת המינין אף זה מחמשת,2030000037,18,23
ref-t.1.4.6.19.2-ref-t.1.4.6.19.19,ref-mek.8.1.5.52-ref-mek.8.1.5.70,115120,115218,ref-t.1.4.6.19.2,ref-t.1.4.6.19.19,359756,359864,ref-mek.8.1.5.52,ref-mek.8.1.5.70,תרומה ומעשר ראשון ומעשר שיני ואין ידוע אי זהו הרי זה מודד את התרומה ואת הראשונה ואת השנייה ,תרומה ודמע למעשר ראשון שאינו קרוי אלא שני שמות ויקדים מעשר ראשון שהוא קרוי שני שמות תרומה ומעשר למעשר ,16,19,588,588.0,49,49.0,0.6470588235294118,0.75,3,תרומה ראשון ומעשר,2030000038,16,19
ref-t.1.4.7.8.19-ref-t.1.4.7.8.27,ref-mek.7.15.3.230-ref-mek.7.15.3.246,116748,116798,ref-t.1.4.7.8.19,ref-t.1.4.7.8.27,343396,343487,ref-mek.7.15.3.230,ref-mek.7.15.3.246,כל המשלם את הקרן חייב לשלם את החומש ושאינו משלם את הקרן פטור מחומש לרעהו ולא להתקדש,כל המשלם את הקרן חייב לשלם את החומש ושאינו משלם את הקרן פטור מחומש לרעהו ולא להתקדש,17,17,555,555.0,50,50.0,0.0,0.0,17,כל המשלם את הקרן חייב לשלם את החומש ושאינו משלם את הקרן פטור מחומש לרעהו ולא להתקדש,2030000039,17,17
ref-t.1.4.8.5.10-ref-t.1.4.8.5.23,ref-mek.8.1.5.52-ref-mek.8.1.5.70,121854,121936,ref-t.1.4.8.5.10,ref-t.1.4.8.5.23,359756,359864,ref-mek.8.1.5.52,ref-mek.8.1.5.70,תרומה ודמע למעשר ראשון שאינו קרוי אלא שני שמות ויקדים מעשר ראשון שהוא קרוי שני שמות תרומה ומעשר למעשר,תרומה ודמע למעשר ראשון שאינו קרוי אלא שני שמות ויקדים מעשר ראשון שהוא קרוי שני שמות תרומה ומעשר למעשר,19,19,589,589.0,52,52.0,0.0,0.0,19,תרומה ודמע למעשר ראשון שאינו קרוי אלא שני שמות ויקדים מעשר ראשון שהוא קרוי שני שמות תרומה ומעשר למעשר,2030000040,19,19
ref-t.1.5.2.2.4-ref-t.1.5.2.2.21,ref-mek.8.3.4.59-ref-mek.8.3.4.76,135468,135585,ref-t.1.5.2.2.4,ref-t.1.5.2.2.21,369566,369680,ref-mek.8.3.4.59,ref-mek.8.3.4.76,ערב שביעית שנכנסו לשביעית אין לי אלא פירות ערב שביעית שנכנסו לשביעית מנין לפירות שביעית שיצאו למוצאי שביעית,ערב שביעית שנכנסו לשביעית אין לי אלא פירות ערב שביעית שנכנסו לשביעית מנין לפירות שביעית שיצאו למוצאי שביעית,16,16,626,626.0,54,54.0,0.0,0.0,16,ערב שביעית שנכנסו לשביעית אין_לי_אלא פירות ערב שביעית שנכנסו לשביעית מנין לפירות שביעית שיצאו למוצאי שביעית,2030000041,16,16
ref-t.1.5.4.13.2-ref-t.1.5.4.13.12,ref-mek.8.3.4.59-ref-mek.8.3.4.80,145609,145679,ref-t.1.5.4.13.2,ref-t.1.5.4.13.12,369566,369699,ref-mek.8.3.4.59,ref-mek.8.3.4.80,שנכנסו מערב שביעית לשביעית או שיצאו משביעית למוצאי שביעית אם עשו ,ערב שביעית שנכנסו לשביעית אין לי אלא פירות ערב שביעית שנכנסו לשביעית מנין לפירות שביעית שיצאו למוצאי שביעית תלמוד לומר כן תעשה ,11,20,632,625.0,56,56.0,0.5826771653543307,0.6428571428571428,6,שנכנסו שביעית לשביעית שיצאו למוצאי שביעית,2030000042,11,20
